,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,trending,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
186,fuzzywuzzy,seatgeek/fuzzywuzzy,nlp,,https://github.com/seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,GPL-2.0,2011-07-08 19:32:34.000,2021-11-02 23:56:01.000000,2021-09-09 20:54:41,384,,866,269.0,145.0,103.0,103.0,8690,Fuzzy String Matching in Python.,70.0,32,False,2020-02-13 22:14:12.000,0.18.0,27.0,fuzzywuzzy,conda-forge/fuzzywuzzy,,,,15051.0,13118.0,https://pypi.org/project/fuzzywuzzy,2020-02-13 21:06:25.000,1933.0,6450476.0,6455691.0,https://anaconda.org/conda-forge/fuzzywuzzy,2020-11-18 12:59:01.409,370292.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
187,pretrainedmodels,Cadene/pretrained-models.pytorch,pytorch-utils,,https://github.com/Cadene/pretrained-models.pytorch,https://github.com/Cadene/pretrained-models.pytorch,BSD-3-Clause,2017-04-09 15:54:23.000,2022-04-22 09:08:45.000000,2020-04-16 08:02:22,154,,1757,227.0,46.0,92.0,94.0,8550,"Pretrained ConvNets for pytorch: NASNet, ResNeXt, ResNet, InceptionV4, InceptionResnetV2, Xception, DPN, etc.",22.0,32,False,2018-10-29 08:18:45.000,0.7.4,16.0,pretrainedmodels,conda-forge/pretrainedmodels,,,['pytorch'],1724.0,1644.0,https://pypi.org/project/pretrainedmodels,2018-10-29 08:18:45.000,80.0,109847.0,110145.0,https://anaconda.org/conda-forge/pretrainedmodels,2021-04-30 19:04:30.054,7171.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
188,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23.000,2022-06-16 14:55:09.000000,2021-11-19 11:13:47,5439,,2347,236.0,1170.0,563.0,3326.0,7860,Open-source simulator for autonomous driving research.,138.0,32,True,2021-11-17 08:28:27.000,0.9.13,24.0,carla,,,,,196.0,193.0,https://pypi.org/project/carla,2021-11-17 08:28:27.000,3.0,30248.0,30248.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
189,Gradio,gradio-app/gradio,others,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2022-06-16 09:13:24.000000,2022-06-16 09:13:24,4166,577.0,464,76.0,678.0,160.0,615.0,7456,"Wrap UIs around any model, share with anyone.",81.0,32,True,2022-06-14 00:34:11.000,3.0.17,295.0,gradio,,,,,21.0,1.0,https://pypi.org/project/gradio,2022-06-14 20:45:51.000,20.0,198977.0,198977.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
190,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,MIT,2020-01-23 18:35:18.000,2022-06-16 13:37:35.000000,2022-06-16 05:20:14,980,76.0,801,129.0,1059.0,475.0,446.0,6896,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",107.0,32,True,2022-05-25 20:35:57.000,0.6.5,47.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],288.0,278.0,https://pypi.org/project/deepspeed,2022-05-25 20:34:59.000,10.0,111890.0,112366.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-06-06 22:20:20.884439,3.0,13826.0,2.0,,,,,,,,,,,,,,,,,,,,
191,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2022-06-16 02:43:58.000000,2022-06-13 18:03:41,1030,69.0,819,159.0,1299.0,170.0,637.0,6219,An open source python library for automated feature engineering.,65.0,32,True,2022-06-10 15:22:15.000,1.9.2,100.0,featuretools,conda-forge/featuretools,,,,64.0,,https://pypi.org/project/featuretools,2022-06-10 15:22:15.000,64.0,145625.0,147734.0,https://anaconda.org/conda-forge/featuretools,2022-06-13 13:11:23.318,88585.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
192,tensorpack,tensorpack/tensorpack,ml-frameworks,,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000,2022-05-04 12:19:58.000000,2022-05-04 12:19:51,2939,2.0,1808,201.0,205.0,13.0,1333.0,6213,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",58.0,32,True,2020-04-24 19:01:06.000,0.10.1,37.0,tensorpack,conda-forge/tensorpack,,,['tensorflow'],1083.0,1037.0,https://pypi.org/project/tensorpack,2021-01-22 08:44:03.000,46.0,16474.0,16668.0,https://anaconda.org/conda-forge/tensorpack,2022-02-06 19:35:57.930,1540.0,,,,,3.0,,131.0,,,,,,,,,,,,,,,,,,
193,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2022-06-16 09:35:55.000000,2022-06-16 09:35:47,1969,68.0,583,146.0,47.0,93.0,202.0,4788,Fit interpretable models. Explain blackbox machine learning.,29.0,32,True,2021-09-23 20:41:03.000,0.2.7,37.0,interpret,,,,['jupyter'],226.0,218.0,https://pypi.org/project/interpret,2021-09-23 19:52:27.000,8.0,106677.0,106677.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
194,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2022-06-16 07:09:19.000000,2022-06-14 09:20:07,5195,75.0,477,100.0,1265.0,92.0,441.0,4630,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",70.0,32,True,2022-06-06 20:23:28.000,1.4.0,77.0,perspective-python,conda-forge/perspective,,,['jupyter'],264.0,255.0,https://pypi.org/project/perspective-python,2022-06-06 20:23:28.000,9.0,3010.0,8713.0,https://anaconda.org/conda-forge/perspective,2022-06-07 12:17:40.770,81213.0,,,,,2.0,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2022-06-06 16:43:41.083,,2320.0,,,,,,,,,,,
195,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,BSD-3-Clause,2014-12-17 18:16:59.000,2022-06-16 02:59:01.000000,2022-06-10 03:56:49,27996,348.0,1408,180.0,1787.0,103.0,1401.0,4016,mlpack: a scalable C++ machine learning library --.,288.0,32,True,2020-10-28 18:28:47.000,3.4.2,40.0,mlpack,conda-forge/mlpack,,,,1.0,,https://pypi.org/project/mlpack,2020-10-28 18:28:47.000,1.0,112.0,2325.0,https://anaconda.org/conda-forge/mlpack,2021-11-09 18:05:21.719,104054.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
196,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2022-06-16 00:18:08.000000,2022-06-15 13:15:14,1394,34.0,535,61.0,1513.0,136.0,955.0,3979,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,173.0,32,True,2022-05-04 20:27:48.000,0.4.9,935.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],83.0,,https://pypi.org/project/pytorch-ignite,2022-06-16 00:18:08.000,83.0,172546.0,174419.0,https://anaconda.org/pytorch/ignite,2022-05-04 20:29:56.200,89917.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
197,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50.000,2022-06-16 13:08:38.000000,2022-06-16 07:56:34,17214,380.0,993,241.0,3580.0,465.0,911.0,3949,Building Large-Scale AI Applications for Distributed Big Data.,148.0,32,True,2022-03-09 07:47:13.000,2.0.0,257.0,bigdl,,,,,41.0,36.0,https://pypi.org/project/bigdl,2022-06-16 13:08:38.000,1.0,6472.0,6472.0,,,,,,,,2.0,,,,,,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4,2021-04-20 01:33:14,4.0,,
198,plotnine,has2k1/plotnine,data-viz,,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,MIT,2017-04-24 19:00:44.000,2022-06-06 14:30:06.000000,2022-06-06 13:13:26,1803,64.0,168,65.0,104.0,63.0,430.0,3102,A grammar of graphics for Python.,96.0,32,True,2021-03-25 12:57:10.000,0.8.0,11.0,plotnine,conda-forge/plotnine,,,,203.0,,https://pypi.org/project/plotnine,2021-03-25 10:49:20.000,203.0,256659.0,259466.0,https://anaconda.org/conda-forge/plotnine,2021-03-25 12:31:04.423,171267.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
199,ART,Trusted-AI/adversarial-robustness-toolbox,adversarial,,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,MIT,2018-03-15 14:40:43.000,2022-06-15 22:36:01.000000,2022-06-14 05:14:01,10061,184.0,835,92.0,936.0,93.0,601.0,3048,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction,..",100.0,32,True,2022-06-04 10:53:03.000,1.10.3,42.0,adversarial-robustness-toolbox,conda-forge/adversarial-robustness-toolbox,,,,240.0,233.0,https://pypi.org/project/adversarial-robustness-toolbox,2022-06-04 10:46:20.000,7.0,6633.0,7083.0,https://anaconda.org/conda-forge/adversarial-robustness-toolbox,2022-06-04 13:54:18.450,10355.0,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,
200,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2022-06-16 14:23:34.000000,2022-06-16 14:23:34,1346,42.0,351,89.0,588.0,128.0,373.0,2782,Quickly and accurately render even the largest data.,47.0,32,True,2022-04-25 21:30:45.000,0.14.0,28.0,datashader,conda-forge/datashader,,,,1240.0,1145.0,https://pypi.org/project/datashader,2022-05-07 00:06:46.000,95.0,47828.0,53609.0,https://anaconda.org/conda-forge/datashader,2022-04-26 20:02:47.634,317988.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
201,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2022-06-16 10:08:41.000000,2022-06-13 19:44:53,946,33.0,426,104.0,591.0,272.0,676.0,2749,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",123.0,32,True,2022-02-22 22:38:34.000,5.2.0,37.0,coremltools,conda-forge/coremltools,,,,1081.0,932.0,https://pypi.org/project/coremltools,2022-06-07 17:38:09.000,149.0,75689.0,77382.0,https://anaconda.org/conda-forge/coremltools,2021-10-15 05:58:32.248,32397.0,,,,,1.0,,4270.0,,,,,,,,,,,,,,,,,,
202,hmmlearn,hmmlearn/hmmlearn,probabilistics,,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000,2022-05-29 13:41:00.000000,2022-05-24 20:59:36,419,12.0,696,113.0,94.0,54.0,333.0,2521,"Hidden Markov Models in Python, with scikit-learn like API.",40.0,32,True,2022-02-10 14:13:50.000,0.2.7,10.0,hmmlearn,conda-forge/hmmlearn,,,['sklearn'],1421.0,1294.0,https://pypi.org/project/hmmlearn,2022-02-10 14:13:50.000,127.0,189593.0,192459.0,https://anaconda.org/conda-forge/hmmlearn,2022-02-12 03:10:38.209,123249.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
203,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2022-06-14 20:01:07.000000,2022-06-09 21:55:08,1104,31.0,226,47.0,123.0,35.0,285.0,2295,STUMPY is a powerful and scalable Python library for modern time series analysis.,30.0,32,True,2022-03-31 21:23:48.000,1.11.1,27.0,stumpy,conda-forge/stumpy,,,,227.0,223.0,https://pypi.org/project/stumpy,2022-03-31 21:23:48.000,4.0,326150.0,327251.0,https://anaconda.org/conda-forge/stumpy,2022-03-31 21:30:16.208,40744.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
204,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2022-05-25 10:15:03.000000,2022-05-25 10:15:03,2818,12.0,632,79.0,763.0,224.0,563.0,2068,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",106.0,32,True,2022-03-30 19:18:53.000,0.1.18,17.0,pgmpy,,,,,374.0,363.0,https://pypi.org/project/pgmpy,2022-03-30 19:09:08.000,11.0,74727.0,74733.0,,,,,,,,2.0,,155.0,,,,,,,,,,,,,,,,,,
205,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2022-05-24 22:24:23.000000,2022-05-24 22:24:23,2176,3.0,474,69.0,454.0,225.0,638.0,1901,Survival analysis in Python.,100.0,32,True,2022-03-15 15:20:56.000,0.27.0,161.0,lifelines,conda-forge/lifelines,,,,1031.0,925.0,https://pypi.org/project/lifelines,2022-03-15 15:20:56.000,106.0,355946.0,358649.0,https://anaconda.org/conda-forge/lifelines,2022-05-18 22:54:56.806,194619.0,,,,,2.0,-1.0,,,,,,,,,,,,,,,,,,,
206,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2022-06-16 06:49:25.000000,2022-06-15 18:00:46,1911,170.0,199,69.0,595.0,50.0,379.0,1830,Adaptive Experimentation Platform.,116.0,32,True,2022-04-26 19:55:48.000,0.2.5.1,27.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],297.0,282.0,https://pypi.org/project/ax-platform,2022-04-26 21:57:06.000,15.0,166297.0,166427.0,https://anaconda.org/conda-forge/ax-platform,2022-04-27 22:01:59.917,1561.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
207,GPflow,GPflow/GPflow,probabilistics,,https://github.com/GPflow/GPflow,https://github.com/GPflow/GPflow,Apache-2.0,2016-01-14 11:29:24.000,2022-06-15 13:10:42.000000,2022-06-14 15:50:27,2360,56.0,424,77.0,1139.0,132.0,647.0,1632,Gaussian processes in TensorFlow.,78.0,32,True,2022-05-10 10:46:33.000,2.5.2,37.0,gpflow,conda-forge/gpflow,,,['tensorflow'],400.0,371.0,https://pypi.org/project/gpflow,2022-05-10 10:46:33.000,29.0,30064.0,30318.0,https://anaconda.org/conda-forge/gpflow,2022-05-24 14:05:38.796,12466.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
208,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2022-06-16 14:43:58.000000,2022-06-16 14:43:54,13463,557.0,177,27.0,1077.0,265.0,557.0,1340,"Visualize, create, and debug image and video datasets and model predictions.",41.0,32,True,2022-06-02 18:05:25.000,desktop-v0.21.2,74.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",126.0,125.0,https://pypi.org/project/fiftyone,2022-06-02 18:20:20.000,1.0,23990.0,23990.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
209,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,https://github.com/tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28.000,2022-06-16 04:49:51.000000,2022-06-16 00:46:56,754,24.0,281,121.0,688.0,172.0,154.0,1250,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.",68.0,32,True,2022-03-18 17:04:59.000,0.7.2,26.0,tensorflow-model-optimization,,,,['tensorflow'],1873.0,1852.0,https://pypi.org/project/tensorflow-model-optimization,2022-03-18 16:49:50.000,21.0,157220.0,157220.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
210,pyopencl,inducer/pyopencl,others,,https://github.com/inducer/pyopencl,https://github.com/inducer/pyopencl,MIT,2011-04-06 02:51:33.000,2022-06-14 16:05:39.000000,2022-06-14 16:05:38,3089,32.0,226,46.0,259.0,71.0,240.0,891,"OpenCL integration for Python, plus shiny features.",92.0,32,True,2022-05-19 17:03:52.000,2022.1.5,81.0,pyopencl,conda-forge/pyopencl,,,,941.0,753.0,https://pypi.org/project/pyopencl,2022-05-19 19:15:38.000,188.0,59804.0,68939.0,https://anaconda.org/conda-forge/pyopencl,2022-05-29 17:22:07.724,621193.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
211,datalad,datalad/datalad,others,,https://github.com/datalad/datalad,https://github.com/datalad/datalad,MIT,2013-11-01 19:40:08.000,2022-06-14 21:40:01.000000,2022-06-14 02:56:48,15745,349.0,89,26.0,3157.0,501.0,3042.0,318,"Keep code, data, containers under control with git and git-annex.",47.0,32,True,2022-06-14 18:39:13.000,0.16.6,85.0,datalad,conda-forge/datalad,,,,56.0,,https://pypi.org/project/datalad,2022-06-14 18:39:43.000,56.0,7030.0,11254.0,https://anaconda.org/conda-forge/datalad,2022-06-08 19:44:05.040,215439.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
212,CNTK,microsoft/CNTK,ml-frameworks,,https://github.com/microsoft/CNTK,https://github.com/microsoft/CNTK,MIT,2015-11-26 09:52:06.000,2021-08-27 04:46:43.000000,2020-03-31 15:55:14,16116,,4402,1282.0,552.0,836.0,2533.0,17167,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit.",271.0,31,False,2019-04-26 14:13:32.000,2.7,32.0,cntk,,,,,18.0,,https://pypi.org/project/cntk,2020-12-09 22:21:57.000,18.0,1074.0,1255.0,,,,,,,,3.0,,13964.0,,,,,,,,,,,,,,,,,,
213,PaddleHub,PaddlePaddle/PaddleHub,others,,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,Apache-2.0,2018-12-21 06:00:48.000,2022-05-24 12:48:15.000000,2022-04-15 10:20:19,2498,29.0,1628,147.0,796.0,436.0,646.0,8055,"Awesome pre-trained models toolkit based on PaddlePaddle.(300+ models including Image, Text, Audio and Video with Easy..",61.0,31,True,2021-12-28 02:55:41.000,2.2.0,47.0,paddlehub,,,,['paddle'],821.0,816.0,https://pypi.org/project/paddlehub,2021-12-28 02:55:41.000,5.0,13953.0,13967.0,,,,,,,,2.0,-1.0,571.0,,,,,,,,,,,,,,,,,,
214,PaddleDetection,PaddlePaddle/PaddleDetection,image,,https://github.com/PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14.000,2022-06-16 14:06:02.000000,2022-06-15 12:00:33,1610,177.0,1977,167.0,2673.0,767.0,2866.0,7900,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object..",98.0,31,True,2022-04-24 05:05:40.000,2.4.0,7.0,paddledet,,,,['paddle'],19.0,19.0,https://pypi.org/project/paddledet,2022-04-24 05:05:40.000,,238.0,238.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
215,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2022-05-27 16:41:46.000000,2022-05-26 01:12:26,390,3.0,2025,283.0,102.0,234.0,281.0,6325,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",45.0,31,True,2017-12-05 14:05:14.000,3.8.1,52.0,SpeechRecognition,conda-forge/speechrecognition,,,,695.0,,https://pypi.org/project/SpeechRecognition,2017-12-05 13:58:29.000,695.0,291301.0,293280.0,https://anaconda.org/conda-forge/speechrecognition,2021-12-13 09:59:53.408,138577.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
216,Pydub,jiaaro/pydub,audio,,https://github.com/jiaaro/pydub,https://github.com/jiaaro/pydub,MIT,2011-05-02 18:42:38.000,2022-06-15 07:12:08.000000,2022-05-14 13:22:02,743,1.0,821,124.0,189.0,224.0,259.0,6180,Manipulate audio with a simple and easy high level interface.,92.0,31,True,2021-03-10 02:10:41.000,0.25.1,68.0,pydub,conda-forge/pydub,,,,13586.0,12685.0,https://pypi.org/project/pydub,2021-03-10 02:09:53.000,901.0,1275136.0,1275714.0,https://anaconda.org/conda-forge/pydub,2021-03-13 05:16:50.142,24285.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
217,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2022-06-15 12:28:25.000000,2022-05-31 12:00:18,2615,4.0,1034,212.0,953.0,81.0,552.0,5774,An open source library for deep learning end-to-end dialog systems and chatbots.,67.0,31,True,2022-05-31 12:04:38.000,0.17.4,50.0,deeppavlov,,,,['tensorflow'],276.0,270.0,https://pypi.org/project/deeppavlov,2022-05-31 12:04:38.000,6.0,11487.0,11487.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
218,Metaflow,Netflix/metaflow,ml-experiments,,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25.000,2022-06-16 08:44:57.000000,2022-06-16 08:44:56,515,33.0,511,238.0,658.0,222.0,229.0,5705,Build and manage real-life data science projects with ease!.,52.0,31,True,2022-05-26 23:25:08.000,2.6.3,48.0,metaflow,conda-forge/metaflow,,,,300.0,291.0,https://pypi.org/project/metaflow,2022-05-27 16:40:14.000,9.0,48388.0,49883.0,https://anaconda.org/conda-forge/metaflow,2022-05-29 17:48:23.914,44853.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
219,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2022-05-16 16:49:25.000000,2022-02-09 16:15:17,2589,,2101,165.0,858.0,112.0,1216.0,5631,Open Source Neural Machine Translation in PyTorch.,174.0,31,True,2021-09-14 08:49:23.000,2.2.0,32.0,OpenNMT-py,,,,['pytorch'],152.0,143.0,https://pypi.org/project/OpenNMT-py,2021-09-14 08:49:23.000,9.0,4403.0,4403.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
220,FinRL,AI4Finance-Foundation/FinRL,reinforcement-learning,,https://github.com/AI4Finance-Foundation/FinRL,https://github.com/AI4Finance-Foundation/FinRL,MIT,2020-07-26 13:18:16.000,2022-06-14 02:33:48.000000,2022-06-14 02:33:48,2303,606.0,1249,154.0,175.0,56.0,350.0,5579,FinRL: The first open-source project for financial reinforcement learning. Please star.,67.0,31,True,2022-01-08 13:58:14.000,0.3.4,6.0,finrl,,,,,12.0,12.0,https://pypi.org/project/finrl,2022-01-08 13:58:14.000,,265.0,265.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
221,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2022-04-11 06:45:39.000000,2022-04-01 05:47:58,397,8.0,225,56.0,57.0,35.0,78.0,5140,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others).",17.0,31,True,2022-03-04 09:32:08.000,0.4.1,7.0,einops,conda-forge/einops,,,,3256.0,3056.0,https://pypi.org/project/einops,2022-03-04 09:32:08.000,200.0,3416508.0,3417039.0,https://anaconda.org/conda-forge/einops,2022-03-04 10:57:10.315,17547.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
222,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2022-06-16 14:59:24.000000,2022-06-16 11:39:09,2346,96.0,1065,64.0,1081.0,567.0,576.0,4949,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",78.0,31,True,2022-04-20 08:05:01.000,2.5.0,15.0,paddleseg,,,,['paddle'],577.0,575.0,https://pypi.org/project/paddleseg,2022-04-20 08:05:01.000,2.0,1166.0,1166.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
223,haystack,deepset-ai/haystack,nlp,,https://github.com/deepset-ai/haystack,https://github.com/deepset-ai/haystack,Apache-2.0,2019-11-14 09:05:28.000,2022-06-16 14:25:03.000000,2022-06-15 11:50:55,1312,168.0,764,81.0,1199.0,211.0,1169.0,4847,Haystack is an open source NLP framework that leverages pre-trained Transformer models. It enables developers to..,119.0,31,True,2022-06-02 15:37:11.000,1.5.0,35.0,haystack,,,,,85.0,,https://pypi.org/project/haystack,2021-12-15 14:01:39.322,85.0,1356.0,1356.0,,,,,,,,2.0,,13.0,,,,,,,,,,,,,,,,,,
224,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2022-06-16 14:42:21.000000,2022-06-16 00:37:30,35229,406.0,619,137.0,6485.0,807.0,3877.0,4803,cuDF - GPU DataFrame Library.,242.0,31,True,2022-06-07 17:26:45.000,22.06.00,24.0,cudf,,,,,5.0,,https://pypi.org/project/cudf,2020-06-01 20:07:47.000,5.0,1581.0,1581.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
225,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2022-06-04 16:32:25.000000,2022-01-22 18:26:24,2187,,967,199.0,194.0,225.0,256.0,4738,Distributed Evolutionary Algorithms in Python.,78.0,31,False,2020-01-21 01:18:06.000,1.3.1,19.0,deap,conda-forge/deap,,,,3027.0,2706.0,https://pypi.org/project/deap,2020-01-21 01:18:06.000,321.0,185931.0,188494.0,https://anaconda.org/conda-forge/deap,2022-04-11 15:37:59.925,184583.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
