,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
140,TF Addons,tensorflow/addons,tensorflow-utils,,https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000,2024-03-26 15:09:29.000000,2023-12-13 04:29:27,1518.0,,612.0,57.0,1881.0,87.0,896.0,1680.0,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,207.0,35,True,2023-11-28 01:45:31.000,0.23.0,38.0,tensorflow-addons,,,,['tensorflow'],14549.0,14324.0,https://pypi.org/project/tensorflow-addons,2023-11-28 01:45:31.000,225.0,1045899.0,1045899.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
141,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2024-03-26 18:33:29.000000,2024-02-11 16:39:29,1856.0,8.0,199.0,32.0,212.0,22.0,397.0,1356.0,The ctypes-based simple ImageMagick binding for Python.,104.0,35,True,2023-11-04 01:41:17.000,0.6.13,56.0,wand,conda-forge/wand,,,,19325.0,18605.0,https://pypi.org/project/wand,2023-11-03 23:18:50.000,720.0,924872.0,926237.0,https://anaconda.org/conda-forge/wand,2023-06-16 16:16:46.218,38055.0,,,,,2.0,44634.0,,,,,,,,,,,,,,,,,,
142,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2024-04-03 09:13:20.470000,2024-03-21 07:35:29,2816.0,50.0,275.0,33.0,209.0,42.0,500.0,1225.0,Python interface for igraph.,74.0,35,False,2024-02-14 11:09:57.000,0.11.4,40.0,python-igraph,conda-forge/igraph,,,,4288.0,3865.0,https://pypi.org/project/python-igraph,2024-02-14 11:09:57.000,423.0,532573.0,550568.0,https://anaconda.org/conda-forge/igraph,2024-04-03 09:13:20.470,510557.0,,,,,1.0,562564.0,,,,,,,,,,,,,,,,,,
143,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/intel/scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2024-04-04 12:43:21.000000,2024-04-04 09:38:14,1628.0,104.0,165.0,31.0,1519.0,70.0,177.0,1149.0,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,78.0,35,True,2024-04-02 19:33:18.000,2024.2.0,25.0,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,,['sklearn'],10218.0,10191.0,https://pypi.org/project/scikit-learn-intelex,2024-03-26 16:13:41.000,27.0,147257.0,154069.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2024-01-25 17:59:16.547,245262.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
144,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2024-03-31 10:24:34.000000,2024-03-18 22:27:21,1541.0,14.0,212.0,34.0,683.0,31.0,571.0,979.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,65.0,35,True,2023-09-21 02:07:12.000,3.6.1,61.0,pyproj,conda-forge/pyproj,,,,30663.0,28553.0,https://pypi.org/project/pyproj,2023-09-21 02:07:12.000,2110.0,8577304.0,8740621.0,https://anaconda.org/conda-forge/pyproj,2023-12-08 10:35:21.072,7349274.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
145,NIPYPE,nipy/nipype,medical-data,,https://github.com/nipy/nipype,https://github.com/nipy/nipype,Apache-2.0,2010-07-22 17:06:49.000,2024-03-25 08:59:45.000000,2024-03-22 00:49:10,14865.0,61.0,506.0,51.0,2289.0,392.0,959.0,731.0,Workflows and interfaces for neuroimaging packages.,256.0,35,True,2023-04-06 12:55:55.544,1.8.6,64.0,nipype,conda-forge/nipype,,,,4356.0,4178.0,https://pypi.org/project/nipype,2023-04-06 12:55:55.544,178.0,152231.0,165769.0,https://anaconda.org/conda-forge/nipype,2023-09-22 18:28:24.915,595698.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
146,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2024-04-03 13:55:02.000000,2024-04-03 02:14:55,1508.0,12.0,6871.0,381.0,655.0,395.0,3047.0,28484.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",266.0,34,True,2021-11-15 22:08:26.000,0.6,10.0,detectron2,conda-forge/detectron2,,,['pytorch'],1691.0,1691.0,https://pypi.org/project/detectron2,,,,5028.0,https://anaconda.org/conda-forge/detectron2,2024-01-18 08:57:46.349,226302.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
147,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2024-04-04 01:06:52.000000,2024-04-04 01:06:47,7783.0,287.0,2646.0,296.0,190.0,27.0,1035.0,25886.0,"Visualizer for neural network, deep learning and machine learning models.",2.0,34,True,2024-03-29 04:47:32.000,7.5.7,634.0,netron,,,,"['pytorch', 'tensorflow']",87.0,12.0,https://pypi.org/project/netron,2024-03-29 04:47:32.000,75.0,27819.0,152484.0,,,,,,,,1.0,124665.0,,,,,,,,,,,,,,,,,,
148,DeepSpeech,mozilla/DeepSpeech,audio,,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,MPL-2.0,2016-06-02 15:04:53.000,2024-02-18 05:01:17.000000,2021-11-17 17:52:52,3466.0,,3924.0,664.0,1674.0,137.0,1985.0,24138.0,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices..",163.0,34,False,2020-12-10 17:22:09.000,0.9.3,100.0,deepspeech,conda-forge/deepspeech,,,['tensorflow'],452.0,409.0,https://pypi.org/project/deepspeech,2020-12-19 10:05:12.000,43.0,3525.0,20388.0,https://anaconda.org/conda-forge/deepspeech,2023-06-16 19:27:01.157,2570.0,,,,,2.0,1124696.0,,,,,,,,,,,,,,,,,,
149,PyFlink,apache/flink,ml-frameworks,,https://github.com/apache/flink,https://github.com/apache/flink,Apache-2.0,2014-06-07 07:00:10.000,2024-04-04 11:31:05.000000,2024-04-03 21:50:29,35123.0,579.0,12363.0,949.0,24604.0,,,23066.0,Apache Flink Python API.,1843.0,34,True,,,,apache-flink,,,,,21.0,21.0,https://pypi.org/project/apache-flink,,,84300.0,84300.0,,,,,,,,2.0,,,,,,,,,,,,-4.0,,,,,,,
150,Recommenders,microsoft/recommenders,recommender-systems,,https://github.com/recommenders-team/recommenders,https://github.com/recommenders-team/recommenders,MIT,2018-09-19 10:06:07.000,2024-04-04 13:49:52.000000,2024-01-30 09:34:31,8771.0,20.0,2975.0,271.0,1232.0,169.0,660.0,17841.0,Best Practices on Recommendation Systems.,129.0,34,True,2022-07-20 05:58:55.000,1.1.1,12.0,recommenders,,,,,107.0,105.0,https://pypi.org/project/recommenders,2022-04-01 08:49:49.000,2.0,63279.0,63286.0,,,,,,,,1.0,470.0,recommenders-team/recommenders,,,,,,,,,,,,,,,,,
151,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2024-04-04 11:05:28.000000,2023-10-18 07:33:05,791.0,,4457.0,436.0,441.0,382.0,1725.0,17677.0,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,173.0,34,True,2023-10-10 12:57:04.000,1.1.5,16.0,fbprophet,conda-forge/prophet,,,,150.0,21.0,https://pypi.org/project/fbprophet,2020-09-05 16:12:50.000,129.0,791246.0,823074.0,https://anaconda.org/conda-forge/prophet,2023-10-20 01:36:39.935,1144825.0,,,,,1.0,2414.0,,,,,,,,,,,,,,,,,,
152,horovod,horovod/horovod,distributed-ml,,https://github.com/horovod/horovod,https://github.com/horovod/horovod,Apache-2.0,2017-08-09 19:39:59.000,2024-03-27 20:19:41.000000,2024-03-25 12:37:43,1333.0,1.0,2229.0,334.0,1588.0,372.0,1857.0,13917.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",172.0,34,True,2023-06-12 09:28:02.604,0.28.1,77.0,horovod,,,,,1156.0,1119.0,https://pypi.org/project/horovod,2023-06-12 09:28:02.604,37.0,54512.0,54512.0,,,,,,,,2.0,,,,,,,,stable/horovod,,,,,,,,,,,
153,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2024-03-26 22:34:02.000000,2024-03-26 22:34:00,3786.0,43.0,871.0,138.0,170.0,103.0,990.0,11793.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",94.0,34,True,2024-03-20 21:35:23.000,16.1.2,235.0,ocrmypdf,conda-forge/ocrmypdf,,,,795.0,774.0,https://pypi.org/project/ocrmypdf,2024-03-20 21:35:23.000,21.0,82841.0,84831.0,https://anaconda.org/conda-forge/ocrmypdf,2023-06-16 19:24:58.228,62133.0,,,,,2.0,2843.0,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,,
154,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2024-03-28 19:49:07.000000,2024-03-28 19:49:07,2462.0,27.0,986.0,202.0,2289.0,249.0,835.0,8324.0,Deep universal probabilistic programming with Python and PyTorch.,154.0,34,True,2024-02-19 18:03:28.000,1.9.0,35.0,pyro-ppl,conda-forge/pyro-ppl,,,['pytorch'],116.0,,https://pypi.org/project/pyro-ppl,2024-02-19 18:03:28.000,116.0,301675.0,305737.0,https://anaconda.org/conda-forge/pyro-ppl,2024-02-20 17:06:11.848,150300.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
155,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2024-04-01 13:06:05.000000,2023-11-16 08:43:39,1418.0,,872.0,219.0,221.0,174.0,233.0,6757.0,Efficiently computes derivatives of numpy code.,56.0,34,True,2023-06-23 08:37:07.368,1.6.2,29.0,autograd,conda-forge/autograd,,,,8052.0,7725.0,https://pypi.org/project/autograd,2023-06-23 08:37:07.368,327.0,1279601.0,1298152.0,https://anaconda.org/conda-forge/autograd,2023-06-26 15:21:38.267,408133.0,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,
156,librosa,librosa/librosa,audio,,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000,2024-04-03 20:11:14.000000,2024-04-03 20:11:11,3271.0,10.0,913.0,136.0,650.0,57.0,1123.0,6625.0,Python library for audio and music analysis.,120.0,34,True,2023-08-16 13:52:19.000,0.10.1,41.0,librosa,conda-forge/librosa,,,,1591.0,,https://pypi.org/project/librosa,2023-08-16 13:52:19.000,1591.0,2620625.0,2636743.0,https://anaconda.org/conda-forge/librosa,2023-08-16 18:07:49.183,725321.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
157,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2024-04-01 15:25:50.000000,2024-04-01 08:32:50,2334.0,71.0,624.0,94.0,253.0,442.0,532.0,5190.0,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline,..",93.0,34,True,2024-04-01 15:25:50.000,1.15.0,158.0,clearml,,allegroai/trains,,,1036.0,1018.0,https://pypi.org/project/clearml,2024-04-01 15:20:54.000,18.0,304862.0,305423.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30237.0,2.0,2320.0,,,,,,,,,,,,,,,,,,
158,MLxtend,rasbt/mlxtend,sklearn-utils,,https://github.com/rasbt/mlxtend,https://github.com/rasbt/mlxtend,BSD-3-Clause,2014-08-14 01:56:16.000,2024-03-31 13:12:23.000000,2024-03-31 13:12:23,1645.0,8.0,839.0,118.0,527.0,145.0,340.0,4752.0,A library of extension and helper modules for Pythons data analysis and machine learning libraries.,106.0,34,True,2024-01-05 09:13:47.000,0.23.1,52.0,mlxtend,conda-forge/mlxtend,,,['sklearn'],12966.0,12774.0,https://pypi.org/project/mlxtend,2024-01-05 09:13:47.000,192.0,783159.0,789828.0,https://anaconda.org/conda-forge/mlxtend,2024-01-05 18:58:45.309,300130.0,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,
159,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2024-04-04 13:42:47.000000,2024-04-02 15:08:34,1686.0,34.0,607.0,61.0,1829.0,152.0,1255.0,4446.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,467.0,34,True,2024-04-01 10:35:11.000,0.5.0.post2,1579.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],2833.0,2780.0,https://pypi.org/project/pytorch-ignite,2024-04-04 00:14:06.000,53.0,224805.0,227350.0,https://anaconda.org/pytorch/ignite,2024-04-01 12:32:01.049,178196.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
160,ART,Trusted-AI/adversarial-robustness-toolbox,adversarial,,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,MIT,2018-03-15 14:40:43.000,2024-04-04 07:58:47.000000,2024-04-03 21:26:43,12195.0,64.0,1105.0,100.0,1330.0,152.0,746.0,4414.0,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction,..",133.0,34,True,2024-02-17 23:58:41.000,1.17.1,58.0,adversarial-robustness-toolbox,conda-forge/adversarial-robustness-toolbox,,,,514.0,503.0,https://pypi.org/project/adversarial-robustness-toolbox,2024-02-17 23:56:02.000,11.0,27936.0,28748.0,https://anaconda.org/conda-forge/adversarial-robustness-toolbox,2024-02-18 02:39:29.665,36563.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
161,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2024-04-04 07:57:35.000000,2024-04-03 21:43:19,1142.0,23.0,588.0,114.0,865.0,284.0,1039.0,4016.0,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",163.0,34,True,2023-11-01 14:46:14.000,7.1,46.0,coremltools,conda-forge/coremltools,,,,3867.0,3694.0,https://pypi.org/project/coremltools,2023-11-01 14:33:59.000,173.0,191833.0,193231.0,https://anaconda.org/conda-forge/coremltools,2023-06-16 19:23:14.592,53805.0,,,,,2.0,9256.0,,,,,,,,,,,,,,,,,,
162,AzureML SDK,Azure/MachineLearningNotebooks,ml-experiments,,https://github.com/Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,MIT,2018-08-17 17:29:14.000,2024-02-15 18:01:45.000000,2024-02-15 18:01:44,1293.0,3.0,2511.0,1971.0,533.0,386.0,1076.0,3939.0,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft.,64.0,34,True,2023-11-09 22:25:24.000,1.54.0,102.0,azureml-sdk,,,,,48.0,,https://pypi.org/project/azureml-sdk,2024-02-06 19:36:25.000,48.0,607600.0,607608.0,,,,,,,,2.0,537.0,,,,,,,,,,,,,,,,,,
163,tensorflow-hub,tensorflow/hub,tensorflow-utils,,https://github.com/tensorflow/hub,https://github.com/tensorflow/hub,Apache-2.0,2018-03-12 07:55:42.000,2024-03-18 19:31:30.000000,2024-03-18 19:31:27,1181.0,7.0,1678.0,147.0,210.0,8.0,684.0,3433.0,A library for transfer learning by reusing parts of TensorFlow models.,106.0,34,True,2024-01-30 15:53:29.000,0.16.1,20.0,tensorflow-hub,conda-forge/tensorflow-hub,,,['tensorflow'],343.0,,https://pypi.org/project/tensorflow-hub,2024-01-30 14:49:07.000,343.0,3637549.0,3639690.0,https://anaconda.org/conda-forge/tensorflow-hub,2024-01-30 18:21:57.617,94244.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
164,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2024-04-04 02:13:29.000000,2024-04-04 00:20:09,1833.0,68.0,363.0,54.0,1575.0,65.0,411.0,2938.0,Bayesian optimization in PyTorch.,110.0,34,True,2024-02-27 06:16:38.000,0.10.0,43.0,botorch,conda-forge/botorch,,,['pytorch'],974.0,926.0,https://pypi.org/project/botorch,2024-02-27 06:16:38.000,48.0,151515.0,153819.0,https://anaconda.org/conda-forge/botorch,2024-02-27 09:02:55.942,101395.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
165,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2024-04-04 07:22:05.000000,2024-04-04 07:17:40,2933.0,153.0,287.0,68.0,1660.0,84.0,602.0,2251.0,Adaptive Experimentation Platform.,167.0,34,True,2024-03-01 16:28:08.000,0.3.7,40.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],717.0,688.0,https://pypi.org/project/ax-platform,2024-03-01 16:28:08.000,29.0,115603.0,116128.0,https://anaconda.org/conda-forge/ax-platform,2024-03-02 16:28:38.668,17883.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
166,snakemake,snakemake/snakemake,ml-experiments,,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867,2024-04-04 14:29:52.000000,2024-04-04 14:28:58,5128.0,156.0,507.0,19.0,1229.0,1009.0,623.0,2089.0,"This is the development home of the workflow management system Snakemake. For general information, see.",320.0,34,True,2024-03-27 20:47:44.000,8.10.4,326.0,snakemake,bioconda/snakemake,,,,2191.0,1922.0,https://pypi.org/project/snakemake,2024-03-27 20:47:44.000,269.0,178891.0,188768.0,https://anaconda.org/bioconda/snakemake,2024-03-28 21:05:40.916,1007468.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
167,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2024-04-04 14:21:21.000000,2024-03-29 13:26:39,1001.0,80.0,348.0,54.0,1154.0,309.0,388.0,2083.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,101.0,34,True,2024-03-25 13:32:21.000,1.18.0,59.0,optimum,conda-forge/optimum,,,,2088.0,2014.0,https://pypi.org/project/optimum,2024-03-25 11:40:25.000,74.0,941200.0,941702.0,https://anaconda.org/conda-forge/optimum,2024-03-25 13:36:48.402,12070.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
168,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,BSD-3-Clause,2012-08-03 07:43:59.000,2024-04-04 03:17:03.000000,2024-04-03 22:49:29,3007.0,62.0,356.0,55.0,1148.0,314.0,946.0,1344.0,Cartopy - a cartographic python library with matplotlib support.,125.0,34,True,2023-08-05 00:57:41.000,0.22.0,29.0,cartopy,conda-forge/cartopy,,,,5154.0,4669.0,https://pypi.org/project/cartopy,2023-08-05 00:57:41.000,485.0,223440.0,296746.0,https://anaconda.org/conda-forge/cartopy,2023-10-24 18:58:07.197,3445404.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
169,TensorFlow Text,tensorflow/text,nlp,,https://github.com/tensorflow/text,https://github.com/tensorflow/text,Apache-2.0,2019-05-29 22:10:03.000,2024-03-19 19:42:50.000000,2024-03-13 00:47:35,874.0,9.0,319.0,44.0,1018.0,77.0,168.0,1193.0,Making text a first-class citizen in TensorFlow.,113.0,34,True,2024-03-11 20:48:59.000,2.16.1,55.0,tensorflow-text,,,,['tensorflow'],6621.0,6621.0,https://pypi.org/project/tensorflow-text,,,6886648.0,6886648.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
170,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2024-02-23 21:54:31.000000,2024-02-23 21:54:27,1531.0,7.0,153.0,41.0,132.0,8.0,640.0,1160.0,A Python data analysis library that is optimized for humans instead of machines.,52.0,34,True,2023-12-21 20:05:21.000,1.9.1,32.0,agate,conda-forge/agate,,,,3124.0,2975.0,https://pypi.org/project/agate,2023-12-21 20:05:21.000,149.0,6037922.0,6042696.0,https://anaconda.org/conda-forge/agate,2023-12-21 21:50:42.816,167096.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
171,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2024-04-04 09:14:38.000000,2024-04-03 09:15:47,3050.0,118.0,4197.0,376.0,3767.0,391.0,1187.0,37616.0,"Making large AI models cheaper, faster and more accessible.",174.0,33,True,2024-03-07 15:38:25.000,0.3.6,36.0,,,,,,309.0,309.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
172,MindsDB,mindsdb/mindsdb,ml-frameworks,,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45.000,2024-04-04 13:22:21.000000,2024-04-04 11:51:54,17644.0,934.0,2658.0,378.0,4824.0,365.0,3372.0,21059.0,The platform for customizing AI from enterprise data.,825.0,33,False,2024-03-26 10:44:05.000,24.3.5.0,100.0,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,,,17417.0,17417.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
173,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2024-04-03 20:11:26.000000,2023-07-11 13:03:36,1421.0,,3770.0,755.0,1135.0,403.0,588.0,18906.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,33,True,2023-12-02 01:16:14.308,0.1.0,68.0,magenta,,,,['tensorflow'],537.0,499.0,https://pypi.org/project/magenta,2022-08-01 18:23:00.243,38.0,3056.0,3056.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
174,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000000,2020-10-14 16:36:49,6226.0,,4630.0,1006.0,1869.0,362.0,658.0,17017.0,"Zipline, a Pythonic Algorithmic Trading Library.",160.0,33,False,2020-10-05 15:46:20.429,1.4.1,30.0,zipline,conda-forge/zipline,,,,1074.0,988.0,https://pypi.org/project/zipline,2020-10-05 15:46:20.429,86.0,2805.0,2979.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,7498.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
175,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2024-03-07 11:44:47.000000,2023-10-26 05:31:53,3012.0,,1800.0,285.0,3504.0,374.0,1681.0,13691.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,33,True,2023-09-14 12:12:06.000,3.0,55.0,nni,,,,,650.0,612.0,https://pypi.org/project/nni,2023-09-14 12:22:00.000,38.0,14657.0,14657.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
176,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2024-02-26 15:57:08.680000,2024-02-23 19:03:07,2440.0,6.0,1511.0,289.0,430.0,279.0,637.0,9473.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,121.0,33,False,2024-02-23 19:05:48.000,0.12.2,30.0,tpot,conda-forge/tpot,,,['sklearn'],2679.0,2679.0,https://pypi.org/project/tpot,,,39448.0,44799.0,https://anaconda.org/conda-forge/tpot,2024-02-26 15:57:08.680,246182.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
177,fuzzywuzzy,seatgeek/fuzzywuzzy,nlp,,https://github.com/seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,GPL-2.0,2011-07-08 19:32:34.000,2023-06-16 13:22:53.603000,2021-09-09 20:54:41,384.0,,870.0,259.0,148.0,83.0,103.0,9099.0,Fuzzy String Matching in Python.,70.0,33,False,2020-02-13 22:14:12.000,0.18.0,23.0,fuzzywuzzy,conda-forge/fuzzywuzzy,,,,23508.0,23508.0,https://pypi.org/project/fuzzywuzzy,,,7343646.0,7349300.0,https://anaconda.org/conda-forge/fuzzywuzzy,2023-06-16 13:22:53.603,525850.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
178,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2024-03-20 22:02:13.000000,2024-03-20 22:02:12,1391.0,4.0,1399.0,302.0,894.0,133.0,759.0,9054.0,AutoML library for deep learning.,143.0,33,True,2024-03-20 21:40:33.000,2.0.0,59.0,autokeras,,,,['tensorflow'],671.0,658.0,https://pypi.org/project/autokeras,2024-03-20 21:40:33.000,13.0,21097.0,21330.0,,,,,,,,1.0,17948.0,,,,,,,,,,,,,,,,,,
179,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000,2024-03-28 15:39:12.000000,2024-03-21 15:41:34,10411.0,13.0,1865.0,350.0,3422.0,130.0,1134.0,8397.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,336.0,33,True,2023-07-19 14:18:35.000,9.9.0,29.0,vowpalwabbit,conda-forge/vowpalwabbit,,,,,,https://pypi.org/project/vowpalwabbit,,,82019.0,85398.0,https://anaconda.org/conda-forge/vowpalwabbit,2024-03-26 18:31:32.556,141935.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
