,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,bitbucket_id
160,filterpy,rlabbe/filterpy,,probabilistics,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000000,2021-07-25 19:21:03.000000,2021-05-04 18:33:52.000000,433,34.0,151.0,1886.0,542.0,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",36.0,29,True,2018-10-10 22:38:24.000000,1.4.5,48.0,filterpy,conda-forge/filterpy,,,,1168.0,956.0,https://pypi.org/project/filterpy,2018-10-10 22:38:24.000000,212.0,578826.0,580159.0,https://anaconda.org/conda-forge/filterpy,2020-05-05 21:13:59.073000,65341.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
161,Lifelines,CamDavidsonPilon/lifelines,,medical-data,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000000,2021-07-28 19:57:56.000000,2021-07-28 19:57:50.000000,429,204.0,605.0,1661.0,2127.0,Survival analysis in Python.,96.0,29,True,2021-05-27 00:34:08.000000,0.26.0,157.0,lifelines,conda-forge/lifelines,,,,753.0,627.0,https://pypi.org/project/lifelines,2021-05-27 00:34:08.000000,126.0,230768.0,233365.0,https://anaconda.org/conda-forge/lifelines,2021-05-27 04:55:00.431000,158445.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
162,pyLDAvis,bmabey/pyLDAvis,,interpretability,https://github.com/bmabey/pyLDAvis,https://github.com/bmabey/pyLDAvis,BSD-3-Clause,2015-04-09 22:48:03.000000,2021-06-24 14:14:46.000000,2021-03-24 13:03:31.000000,311,77.0,77.0,1490.0,240.0,Python library for interactive topic model visualization. Port of the R LDAvis package.,32.0,29,True,2021-03-24 13:05:21.000000,3.3.1,24.0,pyldavis,conda-forge/pyldavis,,,['jupyter'],2631.0,2433.0,https://pypi.org/project/pyldavis,2021-03-24 12:57:08.000000,198.0,232720.0,233444.0,https://anaconda.org/conda-forge/pyldavis,2021-03-24 15:17:07.309000,26808.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
163,ipyleaflet,jupyter-widgets/ipyleaflet,,geospatial-data,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000000,2021-07-15 07:20:58.000000,2021-07-15 07:20:58.000000,303,170.0,265.0,1161.0,945.0,A Jupyter - Leaflet.js bridge.,68.0,29,True,2021-07-21 12:23:32.000000,0.14.0,71.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],1091.0,991.0,https://pypi.org/project/ipyleaflet,2021-06-17 16:00:18.000000,98.0,57800.0,91801.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,726347.0,,,,,3.0,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-06-17 15:58:50.351000,2.0,22286.0,,,,,,,,,,,,,
164,PyTables,PyTables/PyTables,,data-containers,https://github.com/PyTables/PyTables,https://github.com/PyTables/PyTables,BSD-3-Clause,2011-06-03 19:44:46.000000,2021-07-19 13:56:32.000000,2021-07-19 13:56:32.000000,204,168.0,452.0,1047.0,3956.0,A Python package to manage extremely large amounts of data.,98.0,29,True,2019-10-30 19:33:37.000000,3.6.1,25.0,tables,conda-forge/pytables,,,,3754.0,,https://pypi.org/project/tables,2019-10-30 19:33:37.000000,3754.0,816310.0,865144.0,https://anaconda.org/conda-forge/pytables,2021-01-14 18:41:06.536000,2881132.0,,,,,2.0,160.0,,,,,,,,,,,,,,,,,,,,
165,Keras-Preprocessing,keras-team/keras-preprocessing,,tensorflow-utils,https://github.com/keras-team/keras-preprocessing,https://github.com/keras-team/keras-preprocessing,MIT,2018-05-30 22:43:36.000000,2021-07-02 00:20:02.000000,2021-02-04 19:43:30.000000,420,93.0,100.0,966.0,284.0,"Utilities for working with image data, text data, and sequence data.",50.0,29,True,2020-05-14 03:53:47.000000,1.1.2,12.0,keras-preprocessing,conda-forge/keras-preprocessing,,,['tensorflow'],2736.0,,https://pypi.org/project/keras-preprocessing,2020-05-14 03:53:47.000000,2736.0,6400671.0,6428609.0,https://anaconda.org/conda-forge/keras-preprocessing,2021-01-15 12:28:58.923000,1033720.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
166,TensorFlow Transform,tensorflow/transform,,tensorflow-utils,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000000,2021-07-29 00:24:12.000000,2021-07-29 00:04:24.000000,173,20.0,145.0,879.0,676.0,Input pipeline framework.,27.0,29,True,2021-07-29 00:24:12.000000,1.2.0,41.0,tensorflow-transform,,,,['tensorflow'],596.0,512.0,https://pypi.org/project/tensorflow-transform,2021-07-29 00:24:12.000000,84.0,7953450.0,7953450.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
167,patsy,pydata/patsy,,probabilistics,https://github.com/pydata/patsy,https://github.com/pydata/patsy,BSD-2-Clause,2012-07-10 12:30:06.000000,2021-05-04 21:33:59.000000,2018-10-31 21:55:48.000000,85,78.0,53.0,764.0,517.0,Describing statistical models in Python using symbolic formulas.,13.0,29,False,2018-10-28 05:07:55.000000,0.5.1,8.0,patsy,conda-forge/patsy,,,,43052.0,38128.0,https://pypi.org/project/patsy,2018-10-28 03:59:51.000000,4924.0,3272970.0,3328763.0,https://anaconda.org/conda-forge/patsy,2018-10-28 05:21:35.412000,3291816.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
168,snowballstemmer,snowballstem/snowball,,nlp,https://github.com/snowballstem/snowball,https://github.com/snowballstem/snowball,BSD-3-Clause,2013-02-23 07:17:42.000000,2021-07-15 14:00:37.000000,2021-05-31 05:42:16.000000,142,19.0,43.0,508.0,853.0,Snowball compiler and stemming algorithms.,26.0,29,True,2021-01-21 11:43:00.000000,2.1.0,9.0,snowballstemmer,conda-forge/snowballstemmer,,,,13186.0,4.0,https://pypi.org/project/snowballstemmer,2021-01-21 11:43:00.000000,13182.0,5209560.0,5257679.0,https://anaconda.org/conda-forge/snowballstemmer,2021-01-21 23:16:54.597000,2839068.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
169,NiBabel,nipy/nibabel,,medical-data,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000000,2021-07-13 03:30:39.000000,2021-06-25 19:40:13.000000,214,112.0,302.0,427.0,5037.0,Python package to access a cacophony of neuro-imaging file formats.,92.0,29,True,2020-11-28 22:19:50.000000,3.2.1,32.0,nibabel,conda-forge/nibabel,,,,6204.0,4940.0,https://pypi.org/project/nibabel,2020-11-28 22:18:23.000000,1264.0,164305.0,170150.0,https://anaconda.org/conda-forge/nibabel,2020-11-29 03:40:05.178000,362418.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
170,Rasa,RasaHQ/rasa,,nlp,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000000,2021-07-29 13:48:32.000000,2021-07-29 13:33:12.000000,3617,749.0,4973.0,11764.0,,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",498.0,28,True,2021-07-22 13:51:29.000000,2.8.1,209.0,rasa,,,,['tensorflow'],64.0,,https://pypi.org/project/rasa,2021-07-22 13:51:12.000000,64.0,198444.0,198444.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
171,NNI,microsoft/nni,,hyperopt,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000000,2021-07-29 14:00:12.000000,2021-07-29 06:44:46.000000,1386,205.0,1136.0,10036.0,2229.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",142.0,28,True,2021-06-15 13:19:08.000000,2.3,42.0,nni,,,,,151.0,135.0,https://pypi.org/project/nni,2021-06-15 13:29:08.000000,16.0,11289.0,11289.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
172,Jina,jina-ai/jina,,ml-frameworks,https://github.com/jina-ai/jina,https://github.com/jina-ai/jina,Apache-2.0,2020-02-13 17:04:44.000000,2021-07-29 13:54:54.000000,2021-07-29 12:33:10.000000,1038,63.0,863.0,7823.0,5907.0,Cloud-native neural search framework for kind of data.,110.0,28,True,2021-07-28 13:46:21.000000,2.0.12,982.0,jina,,jinaai/jina,,,120.0,120.0,https://pypi.org/project/jina,2021-07-29 12:34:52.000000,,21745.0,66643.0,,,,https://hub.docker.com/r/jinaai/jina,2021-07-29 12:57:24.598670,4.0,763277.0,3.0,,,,,,,,,,,,,,,,,,,,,
173,dgl,dmlc/dgl,,graph,https://github.com/dmlc/dgl,https://github.com/dmlc/dgl,Apache-2.0,2018-04-20 14:49:09.000000,2021-07-29 13:29:54.000000,2021-07-29 07:24:15.000000,1649,267.0,886.0,7735.0,1870.0,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",148.0,28,True,2021-07-22 02:01:12.000000,0.7.0,438.0,dgl,,,,,30.0,,https://pypi.org/project/dgl,2021-05-27 13:25:52.000000,30.0,82111.0,82111.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
174,Pyro,pyro-ppl/pyro,,probabilistics,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000000,2021-07-29 05:41:00.000000,2021-07-22 21:19:41.000000,854,165.0,718.0,7034.0,2248.0,Deep universal probabilistic programming with Python and PyTorch.,111.0,28,True,2021-07-06 23:56:51.000000,1.7.0,27.0,pyro-ppl,,,,['pytorch'],529.0,493.0,https://pypi.org/project/pyro-ppl,2021-07-07 00:00:51.000000,36.0,52917.0,52917.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
175,auto-sklearn,automl/auto-sklearn,,hyperopt,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000000,2021-07-29 08:22:49.000000,2021-07-28 06:58:31.000000,1041,105.0,640.0,5556.0,2491.0,Automated Machine Learning with scikit-learn.,71.0,28,True,2021-07-28 07:35:52.000000,0.13.0,33.0,auto-sklearn,,,,['sklearn'],215.0,185.0,https://pypi.org/project/auto-sklearn,2021-07-28 07:33:05.000000,30.0,24081.0,24081.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
176,DeepPavlov,deepmipt/DeepPavlov,,nlp,https://github.com/deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000000,2021-07-29 13:07:51.000000,2021-05-14 10:17:11.000000,964,129.0,465.0,5317.0,2595.0,An open source library for deep learning end-to-end dialog systems and chatbots.,63.0,28,True,2021-05-14 10:27:41.000000,0.15.0,43.0,deeppavlov,,,,['tensorflow'],219.0,211.0,https://pypi.org/project/deeppavlov,2021-05-14 10:27:41.000000,8.0,9322.0,9322.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
177,OpenNMT,OpenNMT/OpenNMT-py,,nlp,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000000,2021-07-28 13:45:32.000000,2021-07-28 13:45:32.000000,1869,113.0,1160.0,5137.0,2569.0,Open Source Neural Machine Translation in PyTorch.,170.0,28,True,2021-04-30 16:41:28.000000,2.1.2,31.0,OpenNMT-py,,,,['pytorch'],99.0,95.0,https://pypi.org/project/OpenNMT-py,2021-04-30 16:41:28.000000,4.0,3659.0,3659.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
178,Tokenizers,huggingface/tokenizers,,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20.000000,2021-07-27 08:59:40.000000,2021-07-21 07:58:38.000000,368,135.0,355.0,4714.0,1464.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,28,True,2021-05-24 21:47:49.000000,0.10.3,62.0,tokenizers,conda-forge/tokenizers,,,,35.0,35.0,https://pypi.org/project/tokenizers,2021-05-24 21:47:49.000000,0.0,3246572.0,3252512.0,https://anaconda.org/conda-forge/tokenizers,2021-03-10 20:31:28.913000,71285.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
179,PyOD,yzhao062/pyod,,others,https://github.com/yzhao062/pyod,https://github.com/yzhao062/pyod,BSD-2-Clause,2017-10-03 20:29:04.000000,2021-07-23 18:46:53.000000,2021-07-04 15:32:35.000000,943,123.0,96.0,4686.0,1286.0,(JMLR'19) A Python Toolbox for Scalable Outlier Detection (Anomaly Detection).,24.0,28,True,2021-07-07 13:02:23.000000,V0.9.0,68.0,pyod,,,,,770.0,764.0,https://pypi.org/project/pyod,2021-07-04 15:35:44.000000,6.0,206178.0,206178.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
180,librosa,librosa/librosa,,audio,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000000,2021-07-27 23:24:42.000000,2021-07-01 13:06:00.000000,739,48.0,840.0,4633.0,,Python library for audio and music analysis.,90.0,28,True,2021-05-26 10:15:06.000000,0.8.1,31.0,librosa,conda-forge/librosa,,,,1750.0,,https://pypi.org/project/librosa,2021-05-26 10:15:06.000000,1750.0,616073.0,622251.0,https://anaconda.org/conda-forge/librosa,2021-05-26 10:44:27.607000,370713.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
181,DEAP,deap/deap,,distributed-ml,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000000,2021-07-09 22:52:46.000000,2021-05-08 10:26:27.000000,913,219.0,227.0,4313.0,2149.0,Distributed Evolutionary Algorithms in Python.,68.0,28,False,2020-01-21 01:18:06.000000,1.3.1,16.0,deap,conda-forge/deap,,,,2491.0,2009.0,https://pypi.org/project/deap,2020-01-21 01:18:06.000000,482.0,120859.0,123177.0,https://anaconda.org/conda-forge/deap,2021-01-13 14:43:13.393000,141411.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
182,espnet,espnet/espnet,,audio,https://github.com/espnet/espnet,https://github.com/espnet/espnet,Apache-2.0,2017-12-13 00:45:11.000000,2021-07-29 14:15:38.000000,2021-07-29 12:41:10.000000,1241,219.0,1209.0,3984.0,11579.0,End-to-End Speech Processing Toolkit.,167.0,28,True,2021-06-22 01:03:33.000000,0.10.0,36.0,espnet,,,,,13.0,13.0,https://pypi.org/project/espnet,2021-06-22 01:03:33.000000,0.0,3203.0,3204.0,,,,,,,,2.0,73.0,,,,,,,,,,,,,,,,,,,,
183,pyfolio,quantopian/pyfolio,,financial-data,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000000,2021-07-18 20:15:36.000000,2020-07-15 13:46:58.000000,1231,132.0,264.0,3940.0,1184.0,Portfolio and risk analytics in Python.,55.0,28,True,2019-04-15 15:00:21.000000,0.9.2,22.0,pyfolio,conda-forge/pyfolio,,,,345.0,291.0,https://pypi.org/project/pyfolio,2019-04-15 15:00:21.000000,54.0,8953.0,9120.0,https://anaconda.org/conda-forge/pyfolio,2020-05-16 14:11:57.267000,6860.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
184,imutils,jrosebr1/imutils,,image,https://github.com/jrosebr1/imutils,https://github.com/jrosebr1/imutils,MIT,2015-01-11 20:05:39.000000,2021-07-27 13:52:41.000000,2021-01-15 10:46:45.000000,911,142.0,76.0,3751.0,138.0,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",20.0,28,True,2021-01-15 10:53:17.000000,0.5.4,29.0,imutils,conda-forge/imutils,,,,18226.0,17030.0,https://pypi.org/project/imutils,2021-01-15 10:53:17.000000,1196.0,266590.0,268978.0,https://anaconda.org/conda-forge/imutils,2021-01-15 14:27:25.471000,59720.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
185,Ignite,pytorch/ignite,,ml-frameworks,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000000,2021-07-29 08:04:01.000000,2021-07-27 07:04:00.000000,477,127.0,751.0,3624.0,1169.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,145.0,28,True,2021-06-24 22:53:22.000000,0.4.5,631.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],62.0,,https://pypi.org/project/pytorch-ignite,2021-07-29 00:10:09.000000,62.0,64500.0,66213.0,https://anaconda.org/pytorch/ignite,2021-06-24 22:54:30.068000,63417.0,,,,,3.0,,-2.0,,,,,,,,,,,,,,,,,,,
186,huey,coleifer/huey,,data-pipelines,https://github.com/coleifer/huey,https://github.com/coleifer/huey,MIT,2011-11-03 16:39:43.000000,2021-06-23 16:02:47.000000,2021-06-23 16:02:39.000000,306,,461.0,3585.0,914.0,a little task queue for python.,65.0,28,True,2021-04-20 13:47:00.000000,2.3.2,59.0,huey,conda-forge/huey,,,,1051.0,765.0,https://pypi.org/project/huey,2021-04-20 13:46:36.000000,286.0,42569.0,43095.0,https://anaconda.org/conda-forge/huey,2019-10-16 15:34:27.487000,20520.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
187,sacred,IDSIA/sacred,,ml-experiments,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000000,2021-07-20 13:59:38.000000,2021-07-20 13:59:38.000000,319,92.0,422.0,3531.0,1311.0,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",93.0,28,True,2020-12-14 15:21:05.000000,0.8.2,27.0,sacred,,,,,1150.0,996.0,https://pypi.org/project/sacred,2020-12-14 15:21:05.000000,154.0,21459.0,21459.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
188,dyNET,clab/dynet,,ml-frameworks,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000000,2021-06-08 19:03:01.000000,2021-01-27 15:43:03.000000,703,259.0,661.0,3237.0,3267.0,DyNet: The Dynamic Neural Network Toolkit.,156.0,28,True,2020-10-21 14:31:01.000000,2.1.2,24.0,dyNET,,,,,222.0,184.0,https://pypi.org/project/dyNET,2020-10-21 14:31:01.000000,38.0,16087.0,16146.0,,,,,,,,3.0,3365.0,,,,,,,,,,,,,,,,,,,,
189,Gradio,gradio-app/gradio,,others,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000000,2021-07-28 18:21:56.000000,2021-07-26 21:25:41.000000,198,20.0,131.0,3190.0,1145.0,"Wrap UIs around any model, share with anyone.",22.0,28,True,2021-07-22 18:25:12.000000,2.2.3,117.0,gradio,,,,,222.0,220.0,https://pypi.org/project/gradio,2021-07-22 18:25:12.000000,2.0,10052.0,10052.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
190,bqplot,bqplot/bqplot,,data-viz,https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000000,2021-07-21 06:59:54.000000,2021-07-16 07:55:36.000000,411,193.0,346.0,3120.0,3404.0,Plotting library for IPython/Jupyter notebooks.,53.0,28,True,2021-07-16 08:16:38.000000,0.12.30,97.0,bqplot,conda-forge/bqplot,,,['jupyter'],148.0,26.0,https://pypi.org/project/bqplot,2021-07-16 08:04:30.000000,112.0,70791.0,94846.0,https://anaconda.org/conda-forge/bqplot,2021-07-16 09:06:48.168000,706881.0,,,,,2.0,,,,bqplot,https://www.npmjs.com/package/bqplot,2021-07-16 08:02:45.624000,10.0,12654.0,,,,,,,,,,,,,
191,Blaze,blaze/blaze,,data-containers,https://github.com/blaze/blaze,https://github.com/blaze/blaze,BSD-3-Clause,2012-10-26 14:25:22.000000,2020-02-01 19:33:09.000000,2019-08-15 21:14:59.000000,373,262.0,500.0,2972.0,7496.0,NumPy and Pandas interface to Big Data.,64.0,28,False,2016-07-19 20:40:03.000000,0.11.0,14.0,blaze,conda-forge/blaze,,,,9427.0,7805.0,https://pypi.org/project/blaze,2016-05-06 21:19:21.000000,1622.0,10636.0,14738.0,https://anaconda.org/conda-forge/blaze,2018-07-15 22:16:17.685000,192815.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
192,torchtext,pytorch/text,,nlp,https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000000,2021-07-29 11:36:27.000000,2021-07-28 19:15:04.000000,648,316.0,328.0,2810.0,845.0,Data loaders and abstractions for text and NLP.,113.0,28,True,2021-06-15 16:03:12.000000,0.10.0,15.0,torchtext,,,,['pytorch'],682.0,,https://pypi.org/project/torchtext,2021-06-15 15:32:07.000000,682.0,115589.0,115589.0,,,,,,,,2.0,,-2.0,,,,,,,,,,,,,,,,,,,
193,plotnine,has2k1/plotnine,,data-viz,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,GPL-2.0,2017-04-24 19:00:44.000000,2021-06-29 19:47:35.000000,2021-05-24 08:44:04.000000,143,63.0,373.0,2750.0,1698.0,A grammar of graphics for Python.,85.0,28,False,2021-03-25 12:57:10.000000,0.8.0,11.0,plotnine,conda-forge/plotnine,,,,2467.0,2213.0,https://pypi.org/project/plotnine,2021-03-25 10:49:20.000000,254.0,250684.0,253026.0,https://anaconda.org/conda-forge/plotnine,2021-03-25 12:31:04.423000,117123.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
194,datashader,holoviz/datashader,,data-viz,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000000,2021-07-28 21:51:31.000000,2021-06-05 20:55:59.000000,328,123.0,351.0,2549.0,1295.0,Quickly and accurately render even the largest data.,43.0,28,True,2021-06-09 23:30:20.000000,0.13.0,24.0,datashader,conda-forge/datashader,,,,832.0,762.0,https://pypi.org/project/datashader,2021-06-09 22:59:52.000000,70.0,34442.0,39092.0,https://anaconda.org/conda-forge/datashader,2021-06-10 09:04:19.929000,204642.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
195,sklearn-pandas,scikit-learn-contrib/sklearn-pandas,,data-containers,https://github.com/scikit-learn-contrib/sklearn-pandas,https://github.com/scikit-learn-contrib/sklearn-pandas,Zlib,2013-04-22 22:55:20.000000,2021-05-08 08:31:08.000000,2021-05-08 08:05:59.000000,393,25.0,125.0,2459.0,287.0,Pandas integration with sklearn.,37.0,28,False,2021-05-08 08:32:08.000000,2.1.0,27.0,sklearn-pandas,,,,"['sklearn', 'pandas']",2828.0,2606.0,https://pypi.org/project/sklearn-pandas,2021-05-08 08:14:28.000000,222.0,177628.0,177628.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
196,Cufflinks,santosjorge/cufflinks,,data-viz,https://github.com/santosjorge/cufflinks,https://github.com/santosjorge/cufflinks,MIT,2014-11-19 20:59:33.000000,2021-02-25 05:05:09.000000,2021-02-25 05:05:09.000000,535,81.0,123.0,2264.0,452.0,Productivity Tools for Plotly + Pandas.,38.0,28,True,2020-03-01 17:42:01.000000,0.17.3,27.0,cufflinks,,,,['pandas'],4153.0,3919.0,https://pypi.org/project/cufflinks,2020-03-01 17:42:01.000000,234.0,171315.0,171315.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
197,TF-Agents,tensorflow/agents,,reinforcement-learning,https://github.com/tensorflow/agents,https://github.com/tensorflow/agents,Apache-2.0,2018-11-17 00:29:12.000000,2021-07-28 19:14:56.000000,2021-07-28 19:14:33.000000,541,112.0,370.0,1984.0,1829.0,"TF-Agents: A reliable, scalable and easy to use TensorFlow library for Contextual Bandits and Reinforcement Learning.",99.0,28,True,2021-05-16 23:41:49.000000,0.8.0,22.0,tf-agents,,,,['tensorflow'],539.0,527.0,https://pypi.org/project/tf-agents,2021-05-16 23:41:49.000000,12.0,20655.0,20655.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
198,hdbscan,scikit-learn-contrib/hdbscan,,others,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000000,2021-04-07 15:55:02.000000,2021-04-07 15:55:02.000000,339,232.0,147.0,1935.0,884.0,A high performance implementation of HDBSCAN clustering.,69.0,28,True,2021-02-03 20:21:02.000000,0.8.27,43.0,hdbscan,conda-forge/hdbscan,,,['sklearn'],1047.0,923.0,https://pypi.org/project/hdbscan,2021-02-03 20:21:02.000000,124.0,244518.0,257293.0,https://anaconda.org/conda-forge/hdbscan,2021-02-14 03:07:15.749000,766527.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
199,Pythran,serge-sans-paille/pythran,,others,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000000,2021-07-26 06:05:28.000000,2021-07-23 12:46:51.000000,153,112.0,591.0,1580.0,3420.0,Ahead of Time compiler for numeric kernels.,59.0,28,True,2021-07-13 20:41:53.000000,0.9.12,50.0,pythran,conda-forge/pythran,,,,83.0,57.0,https://pypi.org/project/pythran,2021-07-14 12:11:19.000000,26.0,56610.0,61393.0,https://anaconda.org/conda-forge/pythran,2021-07-22 09:00:34.986000,181791.0,,,,,1.0,,,,,,,,,,,,,,,pythran,python-pythran,,,,,
200,Ax,facebook/Ax,,hyperopt,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000000,2021-07-28 20:52:19.000000,2021-07-28 20:52:15.000000,163,27.0,244.0,1564.0,1284.0,Adaptive Experimentation Platform.,98.0,28,True,2021-06-30 21:07:38.000000,0.2.0,22.0,ax-platform,,,,['pytorch'],191.0,187.0,https://pypi.org/project/ax-platform,2021-06-30 22:14:39.000000,4.0,56875.0,56875.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
201,tesserocr,sirfz/tesserocr,,ocr,https://github.com/sirfz/tesserocr,https://github.com/sirfz/tesserocr,MIT,2015-12-17 23:29:36.000000,2021-07-21 23:24:42.000000,2021-06-19 22:44:28.000000,202,62.0,150.0,1486.0,167.0,A Python wrapper for the tesseract-ocr API.,26.0,28,True,2021-06-19 21:10:18.000000,2.5.2,16.0,tesserocr,conda-forge/tesserocr,,,,632.0,532.0,https://pypi.org/project/tesserocr,2021-06-19 21:10:18.000000,100.0,64581.0,67141.0,https://anaconda.org/conda-forge/tesserocr,2021-01-13 16:38:14.456000,53775.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
