,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,dnf_id,yay_id,snap_id
203,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2023-11-06 06:38:09.000000,2022-06-10 09:12:18,238.0,,12911.0,1567.0,224.0,719.0,584.0,50646.0,The worlds simplest facial recognition api for Python and the command line.,54.0,32,False,2018-04-02 17:18:43.000,1.2.2,2.0,face_recognition,conda-forge/face_recognition,,,['pytorch'],21.0,21.0,https://pypi.org/project/face_recognition,69511.0,70021.0,https://anaconda.org/conda-forge/face_recognition,2023-06-16 19:21:40.721,19338.0,,,,,2.0,1223.0,,,,,,,,,,,,,,,,,,
204,spleeter,deezer/spleeter,audio,,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,MIT,2019-09-26 15:40:46.000,2023-11-17 01:43:12.000000,2023-07-13 08:50:20,531.0,,2646.0,382.0,118.0,213.0,561.0,24164.0,Deezer source separation library including pretrained models.,19.0,32,True,2023-07-10 10:07:01.047,2.4.0,37.0,spleeter,conda-forge/spleeter,,,['tensorflow'],636.0,630.0,https://pypi.org/project/spleeter,16136.0,74796.0,https://anaconda.org/conda-forge/spleeter,2023-06-16 16:18:57.741,78862.0,,,,,2.0,2852551.0,2022-06-10 13:19:35.000,6.0,,,,,,,,,,,,,,,,
205,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2023-10-04 00:17:49.000000,2023-07-11 13:03:36,1421.0,,3631.0,763.0,1132.0,356.0,588.0,18780.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,32,True,2022-08-01 18:18:44.000,2.1.4,48.0,magenta,,,,['tensorflow'],486.0,486.0,https://pypi.org/project/magenta,3020.0,3020.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
206,tensor2tensor,tensorflow/tensor2tensor,tensorflow-utils,,https://github.com/tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,Apache-2.0,2017-06-15 16:57:39.000,2023-06-02 18:55:09.000000,2023-04-01 10:19:28,4379.0,,3299.0,468.0,671.0,589.0,672.0,14439.0,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,244.0,32,True,2020-06-17 16:31:34.798,1.15.7,79.0,tensor2tensor,,,,['tensorflow'],1537.0,1447.0,https://pypi.org/project/tensor2tensor,4378.0,4378.0,,,,,,,,2.0,,2020-06-17 16:31:34.798,90.0,,,,,,,,,,,,,,,,
207,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,MIT,2016-03-31 12:05:53.000,2023-12-02 19:19:10.000000,2020-11-30 04:34:51,613.0,,2415.0,460.0,260.0,570.0,362.0,9607.0,Deep learning library featuring a higher-level API for TensorFlow.,128.0,32,False,2020-11-11 19:26:11.000,0.5.0,8.0,tflearn,,,,['tensorflow'],5231.0,4742.0,https://pypi.org/project/tflearn,7097.0,7097.0,,,,,,,,3.0,,2020-11-11 19:13:47.000,489.0,,,,,,,,,,,,,,,,
208,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2023-12-23 11:21:53.000000,2023-12-06 12:55:15,486.0,32.0,2220.0,281.0,138.0,275.0,313.0,7764.0,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",49.0,32,True,2023-12-06 13:10:51.000,3.10.1,26.0,SpeechRecognition,conda-forge/speechrecognition,,,,21.0,21.0,https://pypi.org/project/SpeechRecognition,585677.0,590064.0,https://anaconda.org/conda-forge/speechrecognition,2023-12-06 16:25:19.819,175487.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
209,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2023-12-18 18:04:31.000000,2023-12-07 16:30:16,1315.0,7.0,848.0,158.0,1656.0,172.0,804.0,6912.0,An open source python library for automated feature engineering.,71.0,32,True,2023-10-26 18:22:23.000,1.28.0,103.0,featuretools,conda-forge/featuretools,,,,1580.0,1502.0,https://pypi.org/project/featuretools,53250.0,57389.0,https://anaconda.org/conda-forge/featuretools,2023-10-27 14:28:34.721,173857.0,,,,,2.0,,2023-10-26 18:22:23.000,78.0,,,,,,,,,,,,,,,,
210,stanza,stanfordnlp/stanza,nlp,,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,,2017-09-26 08:00:56.000,2023-12-25 07:01:43.000000,2023-12-02 06:10:46,4212.0,164.0,844.0,143.0,462.0,75.0,760.0,6899.0,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages.",66.0,32,False,2023-12-03 06:47:22.000,1.7.0,20.0,stanza,stanfordnlp/stanza,,,,2342.0,2342.0,https://pypi.org/project/stanza,191221.0,191383.0,https://anaconda.org/stanfordnlp/stanza,2023-06-16 19:18:21.932,7300.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
211,pyfolio,quantopian/pyfolio,financial-data,,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000,2023-12-23 06:14:58.000000,2020-07-15 13:46:58,1184.0,,1594.0,304.0,294.0,152.0,267.0,5278.0,Portfolio and risk analytics in Python.,59.0,32,False,2019-04-15 15:00:21.000,0.9.2,22.0,pyfolio,conda-forge/pyfolio,,,,961.0,927.0,https://pypi.org/project/pyfolio,9279.0,9461.0,https://anaconda.org/conda-forge/pyfolio,2023-06-16 16:07:59.111,12745.0,,,,,1.0,,2019-04-15 15:00:21.000,34.0,,,,,,,,,,,,,,,,
212,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2023-12-27 11:15:17.000000,2023-12-14 10:58:43,3845.0,105.0,495.0,84.0,537.0,96.0,459.0,4573.0,Online machine learning in Python.,107.0,32,True,2023-12-05 09:29:54.000,0.21.0,14.0,river,conda-forge/river,,,,397.0,397.0,https://pypi.org/project/river,20518.0,22139.0,https://anaconda.org/conda-forge/river,2023-10-06 14:40:00.791,51873.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
213,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2023-12-21 07:11:03.000000,2023-12-03 03:47:34,490.0,9.0,582.0,64.0,212.0,191.0,148.0,3740.0,Header-only C++/python library for fast approximate nearest neighbors.,72.0,32,True,2023-12-03 04:16:17.000,0.8.0,11.0,hnswlib,conda-forge/hnswlib,,,,5806.0,5743.0,https://pypi.org/project/hnswlib,636513.0,639889.0,https://anaconda.org/conda-forge/hnswlib,2023-09-27 14:20:16.958,121569.0,,,,,2.0,,2023-12-03 04:16:17.000,63.0,,,,,,,,,,,,,,,,
214,Keras Tuner,keras-team/keras-tuner,hyperopt,,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,Apache-2.0,2019-06-06 22:38:21.000,2023-12-27 20:29:35.000000,2023-11-29 20:31:13,1079.0,22.0,382.0,63.0,487.0,201.0,268.0,2795.0,A Hyperparameter Tuning Library for Keras.,60.0,32,True,2023-11-07 19:38:18.000,1.4.6,34.0,keras-tuner,conda-forge/keras-tuner,,,['tensorflow'],3093.0,3031.0,https://pypi.org/project/keras-tuner,148135.0,149101.0,https://anaconda.org/conda-forge/keras-tuner,2023-11-10 05:23:26.167,27066.0,,,,,2.0,,2023-11-07 19:38:18.000,62.0,,,,,,,,,,,,,,,,
215,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/google-deepmind/dm-haiku,https://github.com/google-deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2023-11-30 11:52:42.000000,2023-11-30 11:52:37,963.0,15.0,220.0,39.0,518.0,71.0,171.0,2670.0,JAX-based neural network library.,79.0,32,True,2023-11-10 14:04:37.000,0.0.11,14.0,dm-haiku,conda-forge/dm-haiku,,,,1724.0,1637.0,https://pypi.org/project/dm-haiku,200193.0,200609.0,https://anaconda.org/conda-forge/dm-haiku,2023-11-16 14:41:40.026,14167.0,,,,,3.0,,2023-11-10 14:04:37.000,87.0,,,google-deepmind/dm-haiku,,,,,,,,,,,,,
216,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2023-11-20 19:06:35.000000,2023-11-20 19:03:21,997.0,7.0,478.0,57.0,135.0,341.0,164.0,2591.0,A high performance implementation of HDBSCAN clustering.,86.0,32,True,2023-07-18 17:54:02.116,0.8.33,51.0,hdbscan,conda-forge/hdbscan,,,['sklearn'],3173.0,2950.0,https://pypi.org/project/hdbscan,441894.0,488790.0,https://anaconda.org/conda-forge/hdbscan,2023-10-06 14:12:48.829,1782068.0,,,,,2.0,,2023-11-20 19:06:35.000,223.0,,,,,,,,,,,,,,,,
217,explainerdashboard,oegedijk/explainerdashboard,interpretability,,https://github.com/oegedijk/explainerdashboard,https://github.com/oegedijk/explainerdashboard,MIT,2019-10-30 08:26:16.000,2023-12-18 20:05:31.000000,2023-12-18 19:57:13,1353.0,11.0,303.0,22.0,44.0,34.0,198.0,2117.0,Quickly build Explainable AI dashboards that show the inner workings of so-called blackbox machine learning models.,21.0,32,True,2023-12-17 19:42:36.000,0.4.5,90.0,explainerdashboard,conda-forge/explainerdashboard,,,,435.0,425.0,https://pypi.org/project/explainerdashboard,59228.0,60393.0,https://anaconda.org/conda-forge/explainerdashboard,2023-12-17 21:59:52.942,41965.0,,,,,2.0,,2023-12-17 19:42:36.000,10.0,,,,,,,,,,,,,,,,
218,evaluate,huggingface/evaluate,interpretability,,https://github.com/huggingface/evaluate,https://github.com/huggingface/evaluate,Apache-2.0,2022-03-30 15:08:26.000,2023-12-27 20:42:03.000000,2023-12-27 10:12:23,938.0,6.0,189.0,48.0,300.0,127.0,121.0,1648.0,Evaluate: A library for easily evaluating machine learning models and datasets.,124.0,32,True,2023-10-13 15:57:18.000,0.4.1,14.0,evaluate,,,,,5857.0,5712.0,https://pypi.org/project/evaluate,2185149.0,2185149.0,,,,,,,,2.0,,2023-10-13 15:54:47.000,145.0,,,,,,,,,,,,,,,,
219,Geocoder,DenisCarriere/geocoder,geospatial-data,,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000,2023-11-20 21:01:48.000000,2018-10-12 15:53:05,1251.0,,282.0,51.0,157.0,104.0,218.0,1568.0,Python Geocoder.,73.0,32,False,2021-12-15 15:58:16.110,1.1.4,110.0,geocoder,conda-forge/geocoder,,,,9163.0,8632.0,https://pypi.org/project/geocoder,407373.0,409027.0,https://anaconda.org/conda-forge/geocoder,2023-06-16 13:21:27.128,135657.0,,,,,2.0,,2021-12-15 15:58:16.110,531.0,,,,,,,,,,,,,,,,geocoder
220,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2023-12-21 21:50:42.816000,2023-12-21 20:10:06,1524.0,29.0,145.0,41.0,132.0,4.0,640.0,1149.0,A Python data analysis library that is optimized for humans instead of machines.,52.0,32,True,,,10.0,agate,conda-forge/agate,,,,2575.0,2575.0,https://pypi.org/project/agate,4124584.0,4129682.0,https://anaconda.org/conda-forge/agate,2023-12-21 21:50:42.816,158059.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
221,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2023-12-22 04:06:48.000000,2023-12-21 17:38:18,11246.0,148.0,232.0,58.0,11809.0,185.0,2143.0,900.0,Cloud-native genomic dataframes and batch computing.,91.0,32,True,2023-10-30 17:22:27.000,0.2.126,146.0,hail,,,,['spark'],136.0,119.0,https://pypi.org/project/hail,24510.0,24510.0,,,,,,,,2.0,,2023-10-30 17:22:27.000,17.0,,,,,,,,,,,,,,,,
222,hvPlot,holoviz/hvplot,data-viz,,https://github.com/holoviz/hvplot,https://github.com/holoviz/hvplot,BSD-3-Clause,2018-03-19 14:22:41.000,2023-12-24 16:29:22.000000,2023-12-22 10:07:46,641.0,46.0,91.0,23.0,489.0,301.0,395.0,840.0,"A high-level plotting API for pandas, dask, xarray, and networkx built on HoloViews.",45.0,32,True,2023-10-17 08:55:43.000,0.9.0,17.0,hvplot,conda-forge/hvplot,,,,4148.0,4148.0,https://pypi.org/project/hvplot,124551.0,136706.0,https://anaconda.org/conda-forge/hvplot,2023-12-22 17:00:16.835,510536.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
223,snowballstemmer,snowballstem/snowball,nlp,,https://github.com/snowballstem/snowball,https://github.com/snowballstem/snowball,BSD-3-Clause,2013-02-23 07:17:42.000,2023-12-12 21:25:37.000000,2023-11-09 02:15:57,1048.0,17.0,170.0,36.0,113.0,31.0,58.0,697.0,Snowball compiler and stemming algorithms.,34.0,32,True,2021-11-16 18:38:34.000,2.2.0,10.0,snowballstemmer,conda-forge/snowballstemmer,,,,6829.0,5.0,https://pypi.org/project/snowballstemmer,9909284.0,9995074.0,https://anaconda.org/conda-forge/snowballstemmer,2023-06-16 13:16:49.834,7549606.0,,,,,2.0,,2021-11-16 18:38:34.000,6824.0,,,,,,,,,,,,,,,,
224,tinygrad,geohot/tinygrad,pytorch-utils,,https://github.com/tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,MIT,2020-10-18 16:23:12.000,2023-12-28 09:38:14.000000,2023-12-27 19:10:04,3208.0,670.0,2354.0,269.0,2431.0,77.0,373.0,21672.0,You like pytorch? You like micrograd? You love tinygrad!.,262.0,31,True,2023-08-27 16:40:37.000,0.7.0,4.0,,,,,['pytorch'],36.0,36.0,,,,,,,,,,,1.0,,,,,,tinygrad/tinygrad,,,,,,,,,,,,,
225,InsightFace,deepinsight/insightface,image,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51.000,2023-12-24 05:29:03.000000,2023-12-24 05:29:03,2283.0,2.0,4883.0,498.0,152.0,994.0,1347.0,19578.0,State-of-the-art 2D and 3D Face Analysis Project.,58.0,31,False,2023-04-02 07:43:27.000,0.7,1.0,insightface,,,,['mxnet'],1384.0,1384.0,https://pypi.org/project/insightface,502529.0,674808.0,,,,,,,,2.0,1378239.0,,,,,,,,,,,,,,,,,,
226,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2023-11-01 06:14:06.000000,2021-11-29 19:55:31,1571.0,,1125.0,339.0,1683.0,502.0,1294.0,11135.0,Turi Create simplifies the development of custom machine learning models.,86.0,31,False,2020-09-30 22:44:07.000,6.4.1,30.0,turicreate,,,,,21.0,21.0,https://pypi.org/project/turicreate,18400.0,18532.0,,,,,,,,3.0,9558.0,,,,,,,,,,,,,,,,,,
227,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-11-03 14:30:00.000000,2023-11-03 14:30:00,4358.0,6.0,2060.0,287.0,3401.0,54.0,1494.0,10377.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,217.0,31,True,2023-06-06 20:46:16.091,1.7.2,25.0,parlai,,,,['pytorch'],26.0,21.0,https://pypi.org/project/parlai,2371.0,2371.0,,,,,,,,2.0,,2022-09-20 02:56:01.305,5.0,,,,,,,,,,,,,,,,
228,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2023-07-21 09:09:23.000000,2023-07-21 09:09:17,859.0,,1358.0,418.0,82.0,34.0,159.0,9654.0,TensorFlow-based neural network library.,58.0,31,True,2022-12-15 16:54:01.069,2.0.1,28.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1255.0,1202.0,https://pypi.org/project/dm-sonnet,15721.0,16264.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,26654.0,,,,,3.0,,2022-12-15 16:54:01.069,53.0,,,google-deepmind/sonnet,,,,,,,,,,,,,
229,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2023-12-23 01:58:33.000000,2023-10-02 22:40:55,1387.0,1.0,1406.0,303.0,889.0,129.0,758.0,9008.0,AutoML library for deep learning.,143.0,31,True,2023-01-28 18:46:30.271,1.1.0,58.0,autokeras,,,,['tensorflow'],629.0,617.0,https://pypi.org/project/autokeras,12693.0,12935.0,,,,,,,,2.0,17679.0,2023-01-28 18:46:30.271,12.0,,,,,,,,,,,,,,,,
230,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2023-12-25 14:05:19.000000,2023-04-18 11:08:13,2759.0,,1239.0,215.0,711.0,177.0,827.0,7263.0,Automated Machine Learning with scikit-learn.,88.0,31,True,2023-02-13 12:35:21.000,0.15.0,42.0,auto-sklearn,conda-forge/auto-sklearn,,,['sklearn'],569.0,530.0,https://pypi.org/project/auto-sklearn,16769.0,17410.0,https://anaconda.org/conda-forge/auto-sklearn,2023-06-16 19:25:30.278,20513.0,,,,,2.0,51.0,2022-09-20 10:32:07.471,39.0,,,,,,,,,,,,,,,,
231,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2023-12-27 18:19:15.000000,2023-12-27 18:19:14,5855.0,115.0,891.0,110.0,1584.0,92.0,615.0,7039.0,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",93.0,31,True,2023-11-29 21:48:30.000,2.7.1,117.0,perspective-python,conda-forge/perspective,,,['jupyter'],122.0,105.0,https://pypi.org/project/perspective-python,5288.0,17833.0,https://anaconda.org/conda-forge/perspective,2023-12-04 04:58:10.833,495620.0,,,,,2.0,1912.0,2023-11-29 16:47:42.000,14.0,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,363.0,2023-11-29 16:47:08.922,3.0,,,,,,,,
232,Darts,unit8co/darts,time-series-data,,https://github.com/unit8co/darts,https://github.com/unit8co/darts,Apache-2.0,2018-09-13 15:17:28.000,2023-12-28 01:24:04.000000,2023-12-21 09:38:00,1121.0,34.0,752.0,58.0,882.0,243.0,1011.0,6808.0,A python library for user-friendly forecasting and anomaly detection on time series.,109.0,31,True,2023-12-10 18:17:20.000,0.27.1,39.0,u8darts,conda-forge/u8darts-all,unit8/darts,,,482.0,477.0,https://pypi.org/project/u8darts,16687.0,18026.0,https://anaconda.org/conda-forge/u8darts-all,2023-12-10 22:13:26.243,38630.0,https://hub.docker.com/r/unit8/darts,2023-12-10 17:53:59.869630,,455.0,2.0,,2023-12-10 18:17:20.000,5.0,,,,,,,,,,,,,,,,
233,DoWhy,py-why/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2023-12-25 08:21:52.000000,2023-12-22 16:16:00,978.0,64.0,869.0,137.0,659.0,123.0,304.0,6433.0,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,82.0,31,True,2023-12-25 07:08:29.000,0.11.1,15.0,dowhy,conda-forge/dowhy,,,,315.0,315.0,https://pypi.org/project/dowhy,33148.0,33642.0,https://anaconda.org/conda-forge/dowhy,2023-11-30 17:35:40.350,18300.0,,,,,2.0,33.0,,,,,,,,,,,,,,,,,,
234,tensorpack,tensorpack/tensorpack,ml-frameworks,,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000,2023-08-06 00:30:36.000000,2023-08-06 00:30:36,2944.0,,1804.0,200.0,206.0,11.0,1343.0,6294.0,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",58.0,31,True,2019-01-18 19:18:13.000,doc-v0.9.0.1,3.0,tensorpack,conda-forge/tensorpack,,,['tensorflow'],1433.0,1433.0,https://pypi.org/project/tensorpack,12084.0,12478.0,https://anaconda.org/conda-forge/tensorpack,2023-06-16 19:27:42.012,10214.0,,,,,3.0,160.0,,,,,,,,,,,,,,,,,,
235,kaggle,Kaggle/kaggle-api,ml-experiments,,https://github.com/Kaggle/kaggle-api,https://github.com/Kaggle/kaggle-api,Apache-2.0,2018-01-25 03:02:39.000,2023-12-12 19:47:22.000000,2023-07-17 16:59:29,152.0,,1020.0,197.0,94.0,147.0,282.0,5717.0,Official Kaggle API.,37.0,31,True,2023-07-17 17:06:58.000,1.5.16,59.0,kaggle,conda-forge/kaggle,,,,399.0,21.0,https://pypi.org/project/kaggle,200720.0,204345.0,https://anaconda.org/conda-forge/kaggle,2023-07-18 03:35:17.292,141375.0,,,,,2.0,,2023-09-19 19:12:15.000,378.0,,,,,,,,,,,,,,,,
236,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2023-12-17 14:04:01.000000,2023-12-13 13:40:56,1081.0,6.0,362.0,81.0,522.0,51.0,450.0,5447.0,A scikit-learn compatible neural network library that wraps PyTorch.,61.0,31,True,2023-09-04 10:10:59.000,0.15.0,15.0,skorch,conda-forge/skorch,,,"['pytorch', 'sklearn']",1058.0,1058.0,https://pypi.org/project/skorch,54346.0,74287.0,https://anaconda.org/conda-forge/skorch,2023-09-06 08:43:59.780,777729.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
237,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,,2014-12-17 18:16:59.000,2023-12-27 06:17:32.000000,2023-12-23 17:14:35,29240.0,403.0,1505.0,185.0,2024.0,24.0,1543.0,4629.0,"mlpack: a fast, header-only C++ machine learning library.",310.0,31,False,2023-11-27 18:45:09.000,4.3.0,46.0,mlpack,conda-forge/mlpack,,,,,,https://pypi.org/project/mlpack,3804.0,7735.0,https://anaconda.org/conda-forge/mlpack,2023-11-29 00:35:31.566,165123.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
238,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-12-01 05:25:05.000000,2023-11-29 14:09:54,774.0,22.0,368.0,73.0,278.0,56.0,498.0,4384.0,Visualizer for pandas data structures.,30.0,31,True,2023-11-29 14:48:32.000,3.8.1,178.0,dtale,conda-forge/dtale,,,"['pandas', 'jupyter']",992.0,969.0,https://pypi.org/project/dtale,91919.0,97976.0,https://anaconda.org/conda-forge/dtale,2023-11-29 15:12:38.018,260490.0,,,,,2.0,,2023-11-29 14:48:32.000,23.0,,,,,,,,,,,,,,,,
239,ta,bukosabino/ta,financial-data,,https://github.com/bukosabino/ta,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48.000,2023-11-05 18:03:02.000000,2023-11-02 13:49:44,662.0,35.0,822.0,147.0,125.0,124.0,104.0,3869.0,Technical Analysis Library using Pandas and Numpy.,34.0,31,True,2023-11-02 13:53:35.000,0.11.0,56.0,ta,conda-forge/ta,,,,2877.0,2831.0,https://pypi.org/project/ta,69497.0,70143.0,https://anaconda.org/conda-forge/ta,2023-11-02 22:03:30.766,21980.0,,,,,2.0,,2023-11-02 13:53:35.000,46.0,,,,,,,,,,,,,,,,
240,nevergrad,facebookresearch/nevergrad,hyperopt,,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,MIT,2018-11-21 00:33:17.000,2023-12-19 09:40:36.000000,2023-12-07 08:10:18,1077.0,12.0,345.0,60.0,1333.0,122.0,172.0,3780.0,A Python toolbox for performing gradient-free optimization.,51.0,31,True,2023-11-19 06:44:47.000,1.0.1,46.0,nevergrad,conda-forge/nevergrad,,,,621.0,591.0,https://pypi.org/project/nevergrad,59038.0,60076.0,https://anaconda.org/conda-forge/nevergrad,2023-09-21 13:51:23.949,44665.0,,,,,2.0,,2023-11-19 06:44:47.000,30.0,,,,,,,,,,,,,,,,
241,gpustat,wookayin/gpustat,gpu-utilities,,https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat,MIT,2016-04-24 10:46:43.000,2023-11-24 07:56:25.000000,2023-11-24 07:54:37,246.0,8.0,267.0,47.0,50.0,26.0,93.0,3686.0,A simple command-line utility for querying and monitoring GPU status.,17.0,31,True,2023-08-22 19:40:33.000,1.1.1,15.0,gpustat,conda-forge/gpustat,,,,4631.0,4497.0,https://pypi.org/project/gpustat,902647.0,910064.0,https://anaconda.org/conda-forge/gpustat,2023-08-23 10:35:25.821,274435.0,,,,,2.0,,2023-08-22 19:39:06.000,134.0,,,,,,,,,,,,,,,,
242,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2023-12-27 01:31:07.000000,2023-12-23 04:52:01,1393.0,32.0,439.0,53.0,743.0,39.0,456.0,3461.0,NeuralProphet: A simple forecasting package.,50.0,31,True,2023-06-14 22:41:07.000,0.6.2,28.0,neuralprophet,,,,['pytorch'],351.0,351.0,https://pypi.org/project/neuralprophet,76948.0,76948.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
243,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2023-12-01 17:10:01.000000,2023-11-08 12:40:01,3273.0,1.0,672.0,185.0,737.0,262.0,669.0,3399.0,DyNet: The Dynamic Neural Network Toolkit.,160.0,31,True,2020-10-21 13:39:07.000,2.1.2,9.0,dyNET,,,,,251.0,251.0,https://pypi.org/project/dyNET,402357.0,402521.0,,,,,,,,3.0,14126.0,,,,,,,,,,,,,,,,,,
244,implicit,benfred/implicit,recommender-systems,,https://github.com/benfred/implicit,https://github.com/benfred/implicit,MIT,2016-04-17 03:45:23.000,2023-11-21 21:16:03.000000,2023-11-21 21:15:59,435.0,3.0,602.0,78.0,227.0,76.0,404.0,3345.0,Fast Python Collaborative Filtering for Implicit Feedback Datasets.,34.0,31,True,2023-09-29 21:07:11.000,0.7.2,47.0,implicit,conda-forge/implicit,,,,1245.0,1206.0,https://pypi.org/project/implicit,157226.0,171498.0,https://anaconda.org/conda-forge/implicit,2023-11-21 19:59:55.425,555533.0,,,,,1.0,665.0,2023-09-29 21:07:11.000,39.0,,,,,,,,,,,,,,,,
