,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
122,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2024-08-21 06:22:36.000000,2022-06-10 09:12:18,238.0,,13413.0,1566.0,232.0,785.0,588.0,52956.0,The worlds simplest facial recognition api for Python and the command line.,54.0,35,False,2020-02-20 14:26:01.000,1.3.0,23.0,face_recognition,conda-forge/face_recognition,,['pytorch'],1386.0,123267.0,3362.0,3246.0,https://pypi.org/project/face_recognition,2020-02-20 14:26:01.000,116.0,122698.0,https://anaconda.org/conda-forge/face_recognition,2023-06-16 19:21:40.721,26626.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
123,Coqui TTS,coqui-ai/TTS,audio,,https://github.com/coqui-ai/TTS,https://github.com/coqui-ai/TTS,MPL-2.0,2020-05-20 15:45:28.000,2024-08-16 12:07:14.000000,2024-02-10 14:20:58,4668.0,,4001.0,282.0,746.0,71.0,1026.0,33728.0,"- a deep learning toolkit for Text-to-Speech, battle-tested in research and production.",165.0,35,True,2023-12-12 15:27:06.000,0.22.0,98.0,tts,conda-forge/tts,,"['pytorch', 'tensorflow']",3206660.0,183960.0,1766.0,1715.0,https://pypi.org/project/tts,2023-12-12 15:27:06.000,51.0,107127.0,https://anaconda.org/conda-forge/tts,2023-06-16 19:27:41.222,16974.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
124,fairseq,facebookresearch/fairseq,nlp,,https://github.com/facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,MIT,2017-08-29 16:26:12.000,2024-09-22 22:23:30.593000,2024-07-22 08:17:18,2324.0,1.0,6351.0,429.0,1342.0,1271.0,3050.0,30218.0,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,427.0,35,True,2022-06-27 19:32:58.000,0.12.2,16.0,fairseq,conda-forge/fairseq,,['pytorch'],357.0,160326.0,3667.0,3550.0,https://pypi.org/project/fairseq,2022-06-27 19:32:38.000,117.0,158469.0,https://anaconda.org/conda-forge/fairseq,2024-09-22 22:23:30.593,92685.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
125,fastText,facebookresearch/fastText,nlp,,https://github.com/facebookresearch/fastText,https://github.com/facebookresearch/fastText,MIT,2016-07-16 13:38:42.000,2024-06-12 09:44:40.000000,2024-03-13 15:16:33,391.0,,4709.0,846.0,268.0,556.0,611.0,25865.0,Library for fast text representation and classification.,68.0,35,True,2024-06-12 09:44:40.000,0.9.3,37.0,fasttext,conda-forge/fasttext,,,,1716661.0,6856.0,6609.0,https://pypi.org/project/fasttext,2024-06-12 09:44:40.000,247.0,1714553.0,https://anaconda.org/conda-forge/fasttext,2024-05-19 03:10:51.802,101231.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
126,Recommenders,microsoft/recommenders,recommender-systems,,https://github.com/recommenders-team/recommenders,https://github.com/recommenders-team/recommenders,MIT,2018-09-19 10:06:07.000,2024-09-26 12:35:01.000000,2024-09-11 08:45:28,9010.0,76.0,3028.0,273.0,1288.0,160.0,702.0,18865.0,Best Practices on Recommendation Systems.,136.0,35,True,2024-05-01 18:45:29.000,1.2.0,13.0,recommenders,,,,583.0,33540.0,124.0,120.0,https://pypi.org/project/recommenders,2024-05-01 18:45:29.000,4.0,33532.0,,,,1.0,,,,,,recommenders-team/recommenders,,,,,,,,,,,,,,,,,,
127,haystack,deepset-ai/haystack,nlp,,https://github.com/deepset-ai/haystack,https://github.com/deepset-ai/haystack,Apache-2.0,2019-11-14 09:05:28.000,2024-09-26 15:01:37.000000,2024-09-26 15:01:35,3673.0,184.0,1825.0,133.0,4008.0,120.0,3413.0,16893.0,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models,..",262.0,35,True,2024-09-10 14:08:08.000,2.5.1,100.0,haystack,,,,,5995.0,527.0,522.0,https://pypi.org/project/haystack,2021-12-15 14:01:39.322,5.0,5995.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
128,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2024-09-05 05:37:11.713000,2024-07-29 00:37:39,894.0,4.0,1146.0,319.0,268.0,56.0,343.0,13129.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,89.0,35,True,2023-06-14 16:39:02.504,1.17.3,47.0,annoy,conda-forge/python-annoy,,,,1015947.0,4461.0,4262.0,https://pypi.org/project/annoy,2023-06-14 16:39:02.504,199.0,1005101.0,https://anaconda.org/conda-forge/python-annoy,2024-09-05 05:37:11.713,520633.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
129,glfw,glfw/glfw,image,,https://github.com/glfw/glfw,https://github.com/glfw/glfw,Zlib,2013-04-18 15:24:53.000,2024-08-15 14:02:46.000000,2024-04-12 16:27:53,4816.0,,5131.0,381.0,718.0,643.0,1363.0,12891.0,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input.",199.0,35,False,2024-02-24 10:01:09.000,2.7.0,58.0,glfw,conda-forge/glfw,,,3952767.0,406137.0,1633.0,1440.0,https://pypi.org/project/glfw,2024-02-24 10:01:09.000,193.0,365652.0,https://anaconda.org/conda-forge/glfw,2024-02-24 15:41:47.790,249921.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
130,Datasette,simonw/datasette,others,,https://github.com/simonw/datasette,https://github.com/simonw/datasette,Apache-2.0,2017-10-23 00:39:03.000,2024-09-09 16:18:55.000000,2024-09-09 16:18:47,2658.0,51.0,668.0,101.0,493.0,595.0,1262.0,9422.0,An open source multi-tool for exploring and publishing data.,80.0,35,True,2024-06-21 23:45:38.000,0.64.8,152.0,datasette,conda-forge/datasette,,,68.0,57191.0,1737.0,1326.0,https://pypi.org/project/datasette,2024-09-06 04:05:34.000,411.0,56119.0,https://anaconda.org/conda-forge/datasette,2024-06-24 15:27:37.980,43935.0,2.0,,,,,,,,,,,,,,datasette,,,,,,,,,,
131,Pydub,jiaaro/pydub,audio,,https://github.com/jiaaro/pydub,https://github.com/jiaaro/pydub,MIT,2011-05-02 18:42:38.000,2024-07-25 08:47:51.000000,2022-12-08 17:49:19,746.0,,1024.0,133.0,233.0,360.0,274.0,8803.0,Manipulate audio with a simple and easy high level interface.,95.0,35,False,2021-03-10 02:10:41.000,0.25.1,68.0,pydub,conda-forge/pydub,,,,5715004.0,69644.0,68292.0,https://pypi.org/project/pydub,2021-03-10 02:09:53.000,1352.0,5713322.0,https://anaconda.org/conda-forge/pydub,2023-06-16 16:12:25.533,116076.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
132,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2024-09-26 15:02:00.000000,2024-09-26 02:51:18,39505.0,505.0,883.0,152.0,10484.0,1052.0,5470.0,8295.0,cuDF - GPU DataFrame Library.,295.0,35,True,2024-09-17 00:25:17.000,24.08.03,55.0,cudf,,,,,3162.0,79.0,57.0,https://pypi.org/project/cudf,2020-06-01 20:07:47.000,22.0,3162.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
133,BentoML,bentoml/BentoML,model-serialisation,,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000,2024-09-26 09:19:10.000000,2024-09-26 09:19:09,3291.0,141.0,780.0,78.0,3665.0,168.0,914.0,7004.0,"The easiest way to serve AI apps and models - Build reliable Inference APIs, LLM apps, Multi-model chains, RAG..",208.0,35,True,2024-09-25 12:30:24.000,1.3.7,162.0,bentoml,,,,1196.0,105652.0,2081.0,2053.0,https://pypi.org/project/bentoml,2024-09-25 12:30:24.000,28.0,105629.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
134,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2024-09-26 13:12:20.000000,2024-09-25 17:21:24,32519.0,49.0,1994.0,390.0,6872.0,2838.0,6661.0,6871.0,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",268.0,35,True,,,155.0,h2o,,,,,282834.0,69.0,21.0,https://pypi.org/project/h2o,2024-08-29 13:55:23.000,48.0,282834.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
135,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2024-05-28 15:38:50.650000,2024-05-28 14:28:56,865.0,,1275.0,142.0,500.0,44.0,562.0,6809.0,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,84.0,35,True,2024-05-28 15:13:16.000,0.12.3,37.0,imbalanced-learn,conda-forge/imbalanced-learn,,['sklearn'],,12619898.0,32664.0,32226.0,https://pypi.org/project/imbalanced-learn,2024-05-28 15:11:10.000,438.0,12607848.0,https://anaconda.org/conda-forge/imbalanced-learn,2024-05-28 15:38:50.650,614556.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
136,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,BSD-3-Clause,2014-12-17 18:16:59.000,2024-09-23 16:20:50.000000,2024-09-23 16:20:49,30369.0,313.0,1593.0,183.0,2180.0,19.0,1612.0,5035.0,"mlpack: a fast, header-only C++ machine learning library.",323.0,35,True,2024-09-20 14:12:49.000,4.5.0,48.0,mlpack,conda-forge/mlpack,,,,9324.0,4.0,,https://pypi.org/project/mlpack,2024-09-20 14:12:49.000,4.0,4515.0,https://anaconda.org/conda-forge/mlpack,2024-09-22 00:54:14.076,245289.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
137,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2024-09-26 00:15:39.000000,2024-09-14 10:06:56,1723.0,17.0,611.0,59.0,1871.0,155.0,1266.0,4512.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,641.0,35,True,2024-08-13 12:47:02.000,0.5.1,1750.0,pytorch-ignite,pytorch/ignite,,['pytorch'],,161763.0,3321.0,3226.0,https://pypi.org/project/pytorch-ignite,2024-09-26 00:15:39.000,95.0,159135.0,https://anaconda.org/pytorch/ignite,2024-08-13 12:46:51.642,197114.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
138,opencv-python,opencv/opencv-python,image,,https://github.com/opencv/opencv-python,https://github.com/opencv/opencv-python,MIT,2016-04-08 13:36:40.000,2024-08-11 15:17:42.000000,2024-07-24 14:28:18,965.0,2.0,833.0,91.0,218.0,124.0,685.0,4462.0,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-..",49.0,35,True,2024-06-17 17:55:00.000,84,74.0,opencv-python,,,,,17532507.0,454253.0,443897.0,https://pypi.org/project/opencv-python,2024-06-17 18:28:13.000,10356.0,17532507.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
139,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2024-09-23 18:46:17.000000,2024-09-23 18:46:01,1182.0,22.0,627.0,123.0,927.0,350.0,1090.0,4344.0,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",176.0,35,True,2024-09-16 20:50:54.000,8.0,50.0,coremltools,conda-forge/coremltools,,,11700.0,446444.0,4215.0,4134.0,https://pypi.org/project/coremltools,2024-09-16 21:06:12.000,81.0,444820.0,https://anaconda.org/conda-forge/coremltools,2023-06-16 19:23:14.592,69802.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
140,tensorflow-probability,tensorflow/probability,probabilistics,,https://github.com/tensorflow/probability,https://github.com/tensorflow/probability,Apache-2.0,2017-10-23 23:50:54.000,2024-09-20 19:50:34.000000,2024-09-20 19:50:32,12171.0,25.0,1094.0,163.0,466.0,686.0,754.0,4241.0,Probabilistic reasoning and statistical analysis in TensorFlow.,496.0,35,True,2024-03-12 19:43:46.000,0.24.0,52.0,tensorflow-probability,conda-forge/tensorflow-probability,,['tensorflow'],,1535351.0,614.0,1.0,https://pypi.org/project/tensorflow-probability,2024-03-12 19:43:39.000,613.0,1532004.0,https://anaconda.org/conda-forge/tensorflow-probability,2024-05-27 12:58:13.692,143926.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
141,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2024-09-24 22:42:09.000000,2024-09-24 16:41:17,3877.0,65.0,845.0,57.0,1698.0,400.0,1265.0,4195.0,"Serve, optimize and scale PyTorch models in production.",215.0,35,True,2024-07-18 18:56:54.000,0.11.1,25.0,torchserve,pytorch/torchserve,,['pytorch'],6550.0,80155.0,742.0,720.0,https://pypi.org/project/torchserve,2024-07-18 17:19:00.000,22.0,52481.0,https://anaconda.org/pytorch/torchserve,2024-07-18 17:18:59.921,259475.0,2.0,pytorch/torchserve,https://hub.docker.com/r/pytorch/torchserve,2024-07-18 18:10:34.554819,28.0,1336743.0,,,,,,,,,,,,,,,,,,,
142,plotnine,has2k1/plotnine,data-viz,,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,MIT,2017-04-24 19:00:44.000,2024-09-23 21:33:43.000000,2024-09-23 17:14:15,2401.0,31.0,210.0,63.0,145.0,90.0,593.0,3978.0,A Grammar of Graphics for Python.,111.0,35,True,2024-05-10 08:15:43.000,0.13.6,27.0,plotnine,conda-forge/plotnine,,,,2954280.0,9061.0,8754.0,https://pypi.org/project/plotnine,2024-05-09 20:44:49.000,307.0,2946402.0,https://anaconda.org/conda-forge/plotnine,2024-09-20 10:25:14.080,401783.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
143,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2024-09-26 11:34:48.000000,2024-09-14 09:02:47,2314.0,4.0,641.0,73.0,2895.0,249.0,726.0,2489.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",227.0,35,True,2024-09-04 20:06:34.000,2.4.1,37.0,torchaudio,,,['pytorch'],,5219606.0,1263.0,,https://pypi.org/project/torchaudio,2024-09-04 19:15:37.000,1263.0,5219606.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
144,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2024-09-26 14:17:52.000000,2024-09-26 07:29:19,1097.0,43.0,436.0,55.0,1279.0,417.0,417.0,2482.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,124.0,35,True,2024-09-10 21:37:01.000,1.22.0,70.0,optimum,conda-forge/optimum,,,,917469.0,3586.0,3428.0,https://pypi.org/project/optimum,2024-09-10 16:18:53.000,158.0,916661.0,https://anaconda.org/conda-forge/optimum,2024-05-29 19:43:21.254,23443.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
145,TFX,tensorflow/tfx,tensorflow-utils,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2024-09-23 21:18:10.000000,2024-09-23 21:16:54,5877.0,213.0,701.0,88.0,5997.0,245.0,858.0,2106.0,TFX is an end-to-end platform for deploying production ML pipelines.,189.0,35,True,2024-05-13 23:20:24.000,1.15.1,98.0,tfx,,,['tensorflow'],,30307.0,1577.0,1560.0,https://pypi.org/project/tfx,2024-05-13 23:20:24.000,17.0,30307.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
146,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2024-09-23 13:32:26.000000,2024-09-04 13:45:43,2902.0,54.0,247.0,35.0,226.0,49.0,510.0,1285.0,Python interface for igraph.,75.0,35,False,2024-07-08 23:38:30.000,0.11.6,42.0,python-igraph,conda-forge/igraph,,,564820.0,554801.0,4520.0,4124.0,https://pypi.org/project/python-igraph,2024-07-08 23:38:30.000,396.0,536427.0,https://anaconda.org/conda-forge/igraph,2024-06-28 12:12:37.634,602763.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
147,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/intel/scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2024-09-26 07:36:03.000000,2024-09-26 07:36:03,1839.0,119.0,173.0,30.0,1786.0,91.0,191.0,1209.0,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,82.0,35,True,2024-09-18 12:49:48.000,2024.7.0,30.0,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,['sklearn'],,89094.0,12136.0,12081.0,https://pypi.org/project/scikit-learn-intelex,2024-09-17 16:36:34.000,55.0,80759.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2024-08-20 09:58:15.356,341754.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
148,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2024-09-23 15:56:04.000000,2024-09-23 15:54:45,1570.0,18.0,211.0,34.0,705.0,32.0,586.0,1047.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,66.0,35,True,2023-09-21 02:07:12.000,3.6.1,61.0,pyproj,conda-forge/pyproj,,,,9243355.0,35546.0,33817.0,https://pypi.org/project/pyproj,2023-09-21 02:07:12.000,1729.0,9071261.0,https://anaconda.org/conda-forge/pyproj,2024-09-18 18:08:56.919,8604712.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
149,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000,2024-09-25 01:18:06.000000,2024-09-25 01:18:06,5997.0,117.0,257.0,37.0,842.0,134.0,406.0,647.0,Python package to access a cacophony of neuro-imaging file formats.,105.0,35,True,2024-02-27 04:17:30.000,5.2.1,42.0,nibabel,conda-forge/nibabel,,,,1047125.0,22734.0,21579.0,https://pypi.org/project/nibabel,2024-02-27 04:13:17.000,1155.0,1032003.0,https://anaconda.org/conda-forge/nibabel,2024-02-27 14:41:50.570,771242.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
150,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2024-09-26 04:45:13.000000,2024-09-26 04:29:27,3701.0,241.0,4307.0,384.0,4176.0,415.0,1263.0,38657.0,"Making large AI models cheaper, faster and more accessible.",193.0,34,True,2024-09-19 02:53:35.000,0.4.4,44.0,,,,,,,415.0,415.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
151,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2024-09-09 22:31:14.000000,2024-09-09 22:27:36,1530.0,5.0,7384.0,386.0,684.0,519.0,3068.0,30072.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",272.0,34,True,2021-11-15 22:08:26.000,0.6,10.0,detectron2,conda-forge/detectron2,,['pytorch'],,8399.0,2032.0,2019.0,https://pypi.org/project/detectron2,2020-02-06 00:35:57.000,13.0,,https://anaconda.org/conda-forge/detectron2,2024-08-26 11:04:11.128,419992.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
152,DeepSpeech,mozilla/DeepSpeech,audio,,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,MPL-2.0,2016-06-02 15:04:53.000,2024-09-03 21:17:43.000000,2021-11-17 17:52:52,3466.0,,3938.0,672.0,1678.0,149.0,1987.0,25125.0,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices..",163.0,34,False,2020-12-10 17:22:09.000,0.9.3,100.0,deepspeech,conda-forge/deepspeech,,['tensorflow'],1187417.0,28449.0,476.0,452.0,https://pypi.org/project/deepspeech,2020-12-19 10:05:12.000,24.0,11876.0,https://anaconda.org/conda-forge/deepspeech,2023-06-16 19:27:01.157,3132.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
153,ChatterBot,gunthercox/ChatterBot,nlp,,https://github.com/gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,BSD-3-Clause,2014-09-28 14:49:00.000,2024-04-24 19:01:00.000000,2021-06-01 10:43:00,1848.0,,4403.0,543.0,717.0,402.0,1283.0,14032.0,"ChatterBot is a machine learning, conversational dialog engine for creating chat bots.",103.0,34,False,2020-08-22 18:42:43.000,1.0.8,86.0,chatterbot,,,,,40189.0,5945.0,5927.0,https://pypi.org/project/chatterbot,2020-08-22 18:40:36.000,18.0,40189.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
154,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2024-09-15 23:43:40.000000,2024-09-15 23:43:35,3868.0,31.0,988.0,137.0,180.0,112.0,1063.0,13718.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",100.0,34,True,2024-08-31 09:35:44.000,16.5.0,244.0,ocrmypdf,conda-forge/ocrmypdf,,,5156.0,128792.0,1023.0,989.0,https://pypi.org/project/ocrmypdf,2024-08-31 09:35:10.000,34.0,126593.0,https://anaconda.org/conda-forge/ocrmypdf,2023-06-16 19:24:58.228,77534.0,2.0,,,,,,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,,
155,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23.000,2024-09-26 13:00:42.000000,2024-09-25 07:50:36,6256.0,8.0,3561.0,244.0,1702.0,1079.0,4430.0,11152.0,Open-source simulator for autonomous driving research.,189.0,34,True,2023-11-14 22:51:02.000,0.9.15,26.0,carla,,,,,16666.0,817.0,806.0,https://pypi.org/project/carla,2023-11-14 22:51:02.000,11.0,16666.0,,,,2.0,,,,,,,,,,,,,-2.0,,,,,,,,,,,
156,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2024-09-26 08:57:46.000000,2024-09-26 08:57:45,2492.0,16.0,983.0,201.0,2324.0,258.0,846.0,8503.0,Deep universal probabilistic programming with Python and PyTorch.,156.0,34,True,2024-06-02 00:37:37.000,1.9.1,36.0,pyro-ppl,conda-forge/pyro-ppl,,['pytorch'],,334458.0,186.0,,https://pypi.org/project/pyro-ppl,2024-06-02 00:37:37.000,186.0,329825.0,https://anaconda.org/conda-forge/pyro-ppl,2024-06-03 00:37:06.159,194618.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
157,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000,2024-09-05 15:50:55.744000,2024-08-01 18:55:53,10421.0,4.0,1926.0,352.0,3428.0,131.0,1138.0,8466.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,338.0,34,True,2024-08-08 17:57:21.000,9.10.0,30.0,vowpalwabbit,conda-forge/vowpalwabbit,,,,50710.0,40.0,,https://pypi.org/project/vowpalwabbit,2024-08-08 17:57:21.000,40.0,46007.0,https://anaconda.org/conda-forge/vowpalwabbit,2024-09-05 15:50:55.744,221065.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
158,Metaflow,Netflix/metaflow,ml-experiments,,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25.000,2024-09-26 11:24:56.000000,2024-09-24 17:21:39,1051.0,95.0,754.0,286.0,1398.0,320.0,416.0,8076.0,"Open Source Platform for developing, scaling and deploying serious ML, AI, and data science systems.",93.0,34,True,2024-09-20 00:45:58.000,2.12.22,146.0,metaflow,conda-forge/metaflow,,,,947182.0,769.0,724.0,https://pypi.org/project/metaflow,2024-09-20 00:45:58.000,45.0,942917.0,https://anaconda.org/conda-forge/metaflow,2024-09-17 05:12:56.084,213253.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
159,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2024-09-20 07:52:27.000000,2024-09-20 07:52:27,381.0,17.0,1525.0,129.0,162.0,8.0,354.0,7819.0,A Python implementation of global optimization with gaussian processes.,47.0,34,True,2024-07-10 12:02:35.000,1.5.1,16.0,bayesian-optimization,,,,160.0,472092.0,3087.0,2943.0,https://pypi.org/project/bayesian-optimization,2024-07-10 12:02:35.000,144.0,472091.0,,,,1.0,,,,,,bayesian-optimization/BayesianOptimization,,,,,,,,,,,,,,,,,,
160,UMAP,lmcinnes/umap,data-viz,,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17.000,2024-08-18 00:48:19.000000,2024-08-18 00:48:18,1815.0,14.0,796.0,127.0,285.0,473.0,337.0,7378.0,Uniform Manifold Approximation and Projection.,134.0,34,True,2024-04-03 16:53:16.000,0.5.6,40.0,umap-learn,conda-forge/umap-learn,,,,1471000.0,959.0,1.0,https://pypi.org/project/umap-learn,2024-04-03 16:53:16.000,958.0,1419638.0,https://anaconda.org/conda-forge/umap-learn,2024-08-14 17:32:09.484,2619496.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
