,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
246,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2022-06-09 13:27:56.000000,2022-06-07 10:02:00,752.0,60.0,153,37.0,278.0,38.0,127.0,1939,JAX-based neural network library.,61.0,31,True,2022-02-14 13:30:31.000,0.0.6,8.0,dm-haiku,conda-forge/dm-haiku,,,93923.0,485.0,455.0,https://pypi.org/project/dm-haiku,2022-02-14 13:30:31.000,30.0,93741.0,https://anaconda.org/conda-forge/dm-haiku,2022-02-14 15:16:38.407,2923.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
247,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2022-06-09 02:30:10.000000,2022-06-01 21:47:15,625.0,23.0,176,37.0,698.0,66.0,244.0,1768,PyTorch extensions for high performance and large scale training.,61.0,31,True,2022-03-09 19:12:03.000,0.4.6,28.0,fairscale,conda-forge/fairscale,['pytorch'],,161751.0,324.0,309.0,https://pypi.org/project/fairscale,2022-03-09 19:12:00.000,15.0,158621.0,https://anaconda.org/conda-forge/fairscale,2022-03-22 05:13:02.529,21913.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
248,TFX,tensorflow/tfx,data-pipelines,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2022-06-09 11:12:56.000000,2022-06-09 11:12:51,4286.0,136.0,580,85.0,4168.0,252.0,532.0,1767,TFX is an end-to-end platform for deploying production ML pipelines.,140.0,31,True,2022-05-26 01:00:04.000,1.8.0,81.0,tfx,,['tensorflow'],,318000.0,12.0,,https://pypi.org/project/tfx,2022-05-26 01:00:04.000,12.0,318000.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
249,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,BSD-2-Clause,2010-07-09 20:41:11.000,2022-04-08 08:13:55.565000,2022-01-07 20:13:06,422.0,,148,42.0,51.0,10.0,99.0,1671,a python library for doing approximate and phonetic matching of strings.,25.0,31,True,2022-01-07 20:20:43.000,0.9.0,32.0,jellyfish,conda-forge/jellyfish,,,2146750.0,4153.0,3755.0,https://pypi.org/project/jellyfish,2022-01-07 20:20:43.000,398.0,2143347.0,https://anaconda.org/conda-forge/jellyfish,2022-04-08 08:13:55.565,234845.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
250,mleap,combust/mleap,data-pipelines,,https://github.com/combust/mleap,https://github.com/combust/mleap,Apache-2.0,2016-08-23 03:51:03.000,2022-05-03 11:44:46.000000,2022-05-03 11:44:45,998.0,15.0,296,72.0,376.0,90.0,354.0,1389,MLeap: Deploy ML Pipelines to Production.,73.0,31,True,2022-04-04 13:22:30.000,0.20.0,10.0,mleap,conda-forge/mleap,,,253138.0,212.0,186.0,https://pypi.org/project/mleap,2022-04-04 13:22:30.000,26.0,251899.0,https://anaconda.org/conda-forge/mleap,2022-04-05 03:50:48.321,47115.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
251,ArcGIS API,Esri/arcgis-python-api,geospatial-data,,https://github.com/Esri/arcgis-python-api,https://github.com/Esri/arcgis-python-api,Apache-2.0,2016-03-16 01:09:14.000,2022-06-09 05:06:22.000000,2022-06-09 05:06:22,3540.0,98.0,907,137.0,833.0,54.0,410.0,1317,Documentation and samples for ArcGIS API for Python.,80.0,31,True,2022-06-01 17:24:30.000,2.0.1,33.0,arcgis,,,3566.0,71345.0,26.0,,https://pypi.org/project/arcgis,2022-06-02 11:54:17.000,26.0,71201.0,,,,3.0,,esridocker/arcgis-api-python-notebook,,https://hub.docker.com/r/esridocker/arcgis-api-python-notebook,2022-06-06 11:26:10.139398,34.0,7019.0,,,,,,,,,,,,,,,,,,
252,Model Analysis,tensorflow/model-analysis,interpretability,,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis,Apache-2.0,2018-03-23 19:08:49.000,2022-06-09 00:41:49.000000,2022-06-09 00:41:48,1160.0,47.0,246,71.0,91.0,27.0,49.0,1158,Model analysis tools for TensorFlow.,43.0,31,True,2022-05-16 03:23:38.000,0.39.0,49.0,tensorflow-model-analysis,,"['tensorflow', 'jupyter']",,781598.0,21.0,,https://pypi.org/project/tensorflow-model-analysis,2022-05-16 03:38:20.000,21.0,781598.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
253,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2022-06-05 00:21:56.123000,2022-05-24 23:24:15,2609.0,14.0,319,58.0,983.0,329.0,778.0,1054,Cartopy - a cartographic python library with matplotlib support.,110.0,31,False,2022-01-13 02:45:47.000,0.20.2,25.0,cartopy,conda-forge/cartopy,,,162962.0,2731.0,2428.0,https://pypi.org/project/cartopy,2022-01-13 02:48:14.000,303.0,134512.0,https://anaconda.org/conda-forge/cartopy,2022-06-05 00:21:56.123,2133774.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
254,petl,petl-developers/petl,data-pipelines,,https://github.com/petl-developers/petl,https://github.com/petl-developers/petl,MIT,2011-08-19 09:51:03.000,2022-06-08 06:15:03.866000,2022-06-08 00:11:09,1254.0,23.0,178,49.0,182.0,77.0,366.0,1014,Python Extract Transform and Load Tables of Data.,55.0,31,True,2022-06-08 00:21:43.000,1.7.10,85.0,petl,conda-forge/petl,,,195477.0,810.0,732.0,https://pypi.org/project/petl,2022-06-08 00:21:43.000,78.0,194360.0,https://anaconda.org/conda-forge/petl,2022-06-08 06:15:03.866,77107.0,2.0,http://petl.readthedocs.org,,,,,,,,,,,,,,,,,,,,,,,,
255,ktrain,amaiya/ktrain,ml-frameworks,,https://github.com/amaiya/ktrain,https://github.com/amaiya/ktrain,Apache-2.0,2019-02-06 17:01:39.000,2022-05-23 19:42:53.000000,2022-05-22 19:18:50,2819.0,195.0,244,32.0,35.0,,414.0,1009,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply.,15.0,31,True,2022-05-20 16:09:28.000,0.31.2,172.0,ktrain,,['tensorflow'],,25292.0,299.0,296.0,https://pypi.org/project/ktrain,2022-05-20 16:08:40.000,3.0,25292.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
256,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2022-06-08 22:34:07.000000,2022-06-08 20:54:34,1906.0,37.0,219,34.0,137.0,39.0,362.0,977,Python interface for igraph.,60.0,31,False,2022-06-08 20:51:59.000,0.9.11,29.0,python-igraph,conda-forge/igraph,,412099.0,270854.0,1076.0,696.0,https://pypi.org/project/python-igraph,2022-06-08 20:51:59.000,380.0,260126.0,https://anaconda.org/conda-forge/igraph,2022-04-12 09:31:20.357,291534.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
257,metrics,PyTorchLightning/metrics,distributed-ml,,https://github.com/PyTorchLightning/metrics,https://github.com/PyTorchLightning/metrics,Apache-2.0,2020-12-22 20:02:42.000,2022-06-09 13:09:42.000000,2022-06-09 11:25:04,819.0,120.0,189,24.0,590.0,58.0,317.0,896,"Machine learning metrics for distributed, scalable PyTorch applications.",138.0,31,True,2022-06-08 20:23:01.000,0.9.1,20.0,metrics,conda-forge/torchmetrics,['pytorch'],704.0,27475.0,3227.0,3213.0,https://pypi.org/project/metrics,2018-04-28 10:58:56.000,14.0,3365.0,https://anaconda.org/conda-forge/torchmetrics,2022-06-09 09:53:51.053,360966.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
258,pyopencl,inducer/pyopencl,others,,https://github.com/inducer/pyopencl,https://github.com/inducer/pyopencl,MIT,2011-04-06 02:51:33.000,2022-06-07 21:17:35.000000,2022-06-07 21:17:35,3087.0,30.0,226,46.0,257.0,71.0,240.0,891,"OpenCL integration for Python, plus shiny features.",92.0,31,True,2022-05-19 17:03:52.000,2022.1.5,81.0,pyopencl,conda-forge/pyopencl,,,43823.0,933.0,745.0,https://pypi.org/project/pyopencl,2022-05-19 19:15:38.000,188.0,34796.0,https://anaconda.org/conda-forge/pyopencl,2022-05-29 17:22:07.724,613850.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
259,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,BSD-3-Clause,2010-02-06 11:43:08.000,2022-05-31 20:07:37.000000,2022-05-29 22:12:57,12274.0,124.0,357,50.0,1763.0,147.0,662.0,515,"DIPY is the paragon 3D/4D+ imaging library in Python. Contains generic methods for spatial normalization, signal..",133.0,31,True,2021-05-06 04:40:48.000,1.4.1,24.0,dipy,conda-forge/dipy,,,17911.0,652.0,572.0,https://pypi.org/project/dipy,2022-03-11 20:19:02.000,80.0,13705.0,https://anaconda.org/conda-forge/dipy,2022-03-15 06:15:21.138,307092.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
260,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Apache-2.0,2020-12-22 10:20:28.000,2022-06-09 15:04:39.000000,2022-06-09 13:55:58,649.0,62.0,104,42.0,593.0,82.0,162.0,440,All the open source things related to the Hugging Face Hub.,63.0,31,True,2022-05-30 12:18:09.000,0.7.0,30.0,huggingface_hub,conda-forge/huggingface_hub,,,6886340.0,82.0,,https://pypi.org/project/huggingface_hub,2022-05-24 14:04:04.000,82.0,6876116.0,https://anaconda.org/conda-forge/huggingface_hub,2022-05-25 08:24:35.170,163591.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
261,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2022-05-26 20:30:40.000000,2021-05-08 20:05:36,292.0,,1918,278.0,70.0,257.0,429.0,7056,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,15.0,30,False,2021-01-05 01:26:01.000,2.1.6,10.0,imageai,conda-forge/imageai,,756322.0,26757.0,1129.0,1113.0,https://pypi.org/project/imageai,2021-01-05 01:26:01.000,16.0,11507.0,https://anaconda.org/conda-forge/imageai,2021-04-30 19:03:25.297,2870.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
262,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2022-06-08 08:25:32.000000,2022-06-08 08:22:18,3215.0,49.0,576,124.0,111.0,91.0,778.0,6507,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",69.0,30,True,2022-06-03 07:11:56.000,13.4.7,199.0,ocrmypdf,conda-forge/ocrmypdf,,,27585.0,12.0,,https://pypi.org/project/ocrmypdf,2022-06-03 07:11:56.000,12.0,26842.0,https://anaconda.org/conda-forge/ocrmypdf,2022-06-03 12:33:19.089,11895.0,2.0,,,,,,,,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,
263,faust,robinhood/faust,data-pipelines,,https://github.com/robinhood/faust,https://github.com/robinhood/faust,BSD-3-Clause,2017-03-08 18:36:11.000,2022-06-07 21:54:47.000000,2020-10-09 12:59:42,4137.0,,525,135.0,288.0,249.0,238.0,6192,Python Stream Processing.,93.0,30,False,2020-02-25 22:57:18.000,1.10.4,46.0,faust,,,,36591.0,1093.0,1064.0,https://pypi.org/project/faust,2020-02-25 22:57:18.000,29.0,36591.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
264,DoWhy,Microsoft/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2022-06-09 13:44:43.000000,2022-06-09 13:27:04,546.0,57.0,640,130.0,252.0,55.0,146.0,4527,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,52.0,30,True,2022-03-20 14:18:18.000,0.7.1,8.0,dowhy,conda-forge/dowhy,,31.0,110252.0,110.0,106.0,https://pypi.org/project/dowhy,2022-03-20 14:18:18.000,4.0,110025.0,https://anaconda.org/conda-forge/dowhy,2022-03-21 02:41:13.248,5687.0,2.0,,,,,,,,,,,,,,,py-why/dowhy,,,,,,,,,,
265,VisualDL,PaddlePaddle/VisualDL,ml-experiments,,https://github.com/PaddlePaddle/VisualDL,https://github.com/PaddlePaddle/VisualDL,Apache-2.0,2017-12-20 12:34:31.000,2022-06-09 11:46:19.000000,2022-04-01 08:12:37,861.0,1.0,584,151.0,664.0,75.0,336.0,4360,Deep Learning Visualization Toolkit.,31.0,30,True,2021-11-09 12:29:34.000,2.2.2,35.0,visualdl,,['paddle'],182.0,93839.0,1195.0,1172.0,https://pypi.org/project/visualdl,2022-01-06 11:05:02.000,23.0,93832.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
266,huey,coleifer/huey,data-pipelines,,https://github.com/coleifer/huey,https://github.com/coleifer/huey,MIT,2011-11-03 16:39:43.000,2022-05-31 16:43:57.000000,2022-05-31 16:43:32,941.0,6.0,335,82.0,163.0,,507.0,4072,a little task queue for python.,66.0,30,True,2021-12-28 18:36:38.000,2.4.3,64.0,huey,conda-forge/huey,,,157651.0,1101.0,941.0,https://pypi.org/project/huey,2021-12-28 18:36:38.000,160.0,157172.0,https://anaconda.org/conda-forge/huey,2019-10-16 15:34:27.487,23970.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
267,sacred,IDSIA/sacred,ml-experiments,,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000,2022-04-30 12:04:38.000000,2022-03-28 13:48:51,1318.0,2.0,342,78.0,339.0,90.0,445.0,3836,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",97.0,30,True,2022-03-28 13:51:55.000,0.8.3,27.0,sacred,conda-forge/sacred,,,48846.0,1494.0,1392.0,https://pypi.org/project/sacred,2020-12-14 15:21:05.000,102.0,48774.0,https://anaconda.org/conda-forge/sacred,2021-11-14 09:49:23.948,508.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
268,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-05-29 03:51:51.767000,2022-05-29 03:05:22,603.0,30.0,280,65.0,206.0,39.0,426.0,3458,Visualizer for pandas data structures.,23.0,30,True,2022-05-29 03:26:13.000,2.5.1,147.0,dtale,conda-forge/dtale,"['pandas', 'jupyter']",,70253.0,395.0,383.0,https://pypi.org/project/dtale,2022-05-29 03:25:33.000,12.0,65973.0,https://anaconda.org/conda-forge/dtale,2022-05-29 03:51:51.767,119848.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
269,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2022-03-12 01:10:50.000000,2022-03-11 14:08:21,3271.0,,703,188.0,731.0,259.0,665.0,3302,DyNet: The Dynamic Neural Network Toolkit.,159.0,30,True,2020-10-21 14:31:01.000,2.1.2,24.0,dyNET,,,5969.0,22634.0,242.0,214.0,https://pypi.org/project/dyNET,2020-10-21 14:31:01.000,28.0,22547.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
270,ftfy,rspeer/python-ftfy,nlp,,https://github.com/rspeer/python-ftfy,https://github.com/rspeer/python-ftfy,MIT,2012-08-24 16:14:59.000,2022-05-07 09:43:39.000000,2022-02-09 19:43:12,605.0,,112,73.0,63.0,12.0,118.0,3248,"Fixes mojibake and other glitches in Unicode text, after the fact.",18.0,30,True,2022-02-09 19:44:15.000,6.1.1,48.0,ftfy,conda-forge/ftfy,,,1702995.0,6355.0,5864.0,https://pypi.org/project/ftfy,2022-02-09 19:44:15.000,491.0,1700352.0,https://anaconda.org/conda-forge/ftfy,2022-03-13 19:47:23.479,163884.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
271,missingno,ResidentMario/missingno,data-viz,,https://github.com/ResidentMario/missingno,https://github.com/ResidentMario/missingno,MIT,2016-03-27 15:18:50.000,2022-02-27 20:46:03.000000,2022-02-27 20:46:03,186.0,,409,70.0,36.0,7.0,112.0,3198,Missing data visualization module for Python.,17.0,30,True,2022-02-27 20:39:36.000,0.5.1,25.0,missingno,conda-forge/missingno,,,1045834.0,7686.0,7569.0,https://pypi.org/project/missingno,2022-02-27 20:39:36.000,117.0,1043088.0,https://anaconda.org/conda-forge/missingno,2020-02-15 10:07:41.253,162062.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
272,ta,bukosabino/ta,financial-data,,https://github.com/bukosabino/ta,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48.000,2022-05-06 05:50:08.000000,2022-04-24 13:40:45,612.0,8.0,702,131.0,103.0,111.0,96.0,3047,Technical Analysis Library using Pandas and Numpy.,28.0,30,True,2022-04-16 10:24:20.000,0.10.1,53.0,ta,conda-forge/ta,,,71077.0,1263.0,1230.0,https://pypi.org/project/ta,2022-04-16 10:24:20.000,33.0,70863.0,https://anaconda.org/conda-forge/ta,2022-04-21 15:19:41.291,3429.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
273,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2022-06-09 06:14:59.000000,2022-05-26 20:48:44,3182.0,276.0,521,49.0,780.0,128.0,765.0,2656,"Serve, optimize and scale PyTorch models in production.",116.0,30,True,2022-05-16 20:02:45.000,0.6.0,15.0,torchserve,pytorch/torchserve,['pytorch'],1794.0,55572.0,9.0,,https://pypi.org/project/torchserve,2022-05-13 21:12:28.000,9.0,22651.0,https://anaconda.org/pytorch/torchserve,2022-05-13 21:22:14.370,23991.0,2.0,,pytorch/torchserve,,https://hub.docker.com/r/pytorch/torchserve,2022-06-09 00:28:18.201421,12.0,1021774.0,,,,,,,,,,,,,,,,,,
274,eli5,TeamHG-Memex/eli5,interpretability,,https://github.com/TeamHG-Memex/eli5,https://github.com/TeamHG-Memex/eli5,MIT,2016-09-15 01:04:57.000,2022-05-14 05:59:23.776000,2020-01-22 07:39:36,1198.0,,328,69.0,167.0,160.0,111.0,2546,A library for debugging/inspecting machine learning classifiers and explaining their predictions.,14.0,30,False,2022-05-11 09:37:12.000,0.13.0,30.0,eli5,conda-forge/eli5,,,3446966.0,85.0,,https://pypi.org/project/eli5,2022-05-11 09:37:12.000,85.0,3445109.0,https://anaconda.org/conda-forge/eli5,2022-05-14 05:59:23.776,113294.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
275,Neural Network Libraries,sony/nnabla,ml-frameworks,,https://github.com/sony/nnabla,https://github.com/sony/nnabla,Apache-2.0,2017-06-26 01:07:10.000,2022-06-09 06:25:37.000000,2022-06-09 06:25:33,3086.0,87.0,315,163.0,1008.0,33.0,47.0,2542,Neural Network Libraries.,66.0,30,True,2022-05-02 00:27:26.000,1.28.0,65.0,nnabla,,,535.0,3639.0,53.0,,https://pypi.org/project/nnabla,2022-05-01 11:42:01.000,53.0,3630.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
276,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2022-05-24 19:41:19.000000,2021-09-07 19:15:32,209.0,,295,64.0,55.0,13.0,94.0,2399,A Python Perceptual Image Hashing Module.,20.0,30,True,2021-07-15 12:35:01.000,4.2.1,18.0,ImageHash,conda-forge/imagehash,,,1396132.0,5536.0,5221.0,https://pypi.org/project/ImageHash,2021-07-15 12:35:01.000,315.0,1393436.0,https://anaconda.org/conda-forge/imagehash,2021-07-15 15:00:27.543,180641.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
277,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2022-06-08 02:22:03.000000,2022-05-31 18:52:01,884.0,32.0,286,46.0,258.0,72.0,198.0,2307,NeuralProphet: A simple forecasting package.,21.0,30,True,2022-03-22 02:55:21.000,0.3.2,12.0,neuralprophet,,['pytorch'],,70195.0,87.0,87.0,https://pypi.org/project/neuralprophet,2022-03-22 02:55:21.000,,70195.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
278,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2022-05-10 10:55:09.000000,2022-05-02 14:25:44,946.0,5.0,396,56.0,117.0,272.0,159.0,2180,A high performance implementation of HDBSCAN clustering.,78.0,30,True,2022-02-08 17:15:41.000,0.8.28.wheels,44.0,hdbscan,conda-forge/hdbscan,['sklearn'],,425720.0,1554.0,1404.0,https://pypi.org/project/hdbscan,2022-02-08 15:45:27.000,150.0,410215.0,https://anaconda.org/conda-forge/hdbscan,2022-02-11 21:21:32.499,1100901.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
279,shapash,MAIF/shapash,interpretability,,https://github.com/MAIF/shapash,https://github.com/MAIF/shapash,Apache-2.0,2020-04-29 07:34:23.000,2022-05-09 08:46:05.000000,2022-05-09 07:42:07,1123.0,110.0,233,39.0,228.0,18.0,100.0,1780,Shapash makes Machine Learning models transparent and understandable by everyone.,34.0,30,True,2022-05-09 08:46:05.000,2.0.1,21.0,shapash,,['jupyter'],,17817.0,75.0,74.0,https://pypi.org/project/shapash,2022-05-09 08:46:05.000,1.0,17817.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
280,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2022-06-09 05:40:19.000000,2022-06-09 05:40:19,3537.0,23.0,173,53.0,1251.0,113.0,648.0,1736,Ahead of Time compiler for numeric kernels.,66.0,30,True,2021-12-14 08:16:44.000,0.11.0,52.0,pythran,conda-forge/pythran,,,357130.0,162.0,148.0,https://pypi.org/project/pythran,2021-12-14 08:16:44.000,14.0,352313.0,https://anaconda.org/conda-forge/pythran,2022-04-10 10:43:10.231,236070.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,pythran,python-pythran
281,Alibi,SeldonIO/alibi,interpretability,,https://github.com/SeldonIO/alibi,https://github.com/SeldonIO/alibi,Apache-2.0,2019-02-26 10:10:56.000,2022-06-09 14:06:40.000000,2022-06-08 09:55:34,438.0,65.0,187,44.0,406.0,127.0,171.0,1645,Algorithms for explaining machine learning models.,18.0,30,True,2022-05-18 11:35:00.000,0.7.0,25.0,alibi,,,,23064.0,198.0,174.0,https://pypi.org/project/alibi,2022-05-18 11:32:55.000,24.0,23064.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
282,PennyLane,PennyLaneAI/PennyLane,others,,https://github.com/PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane,Apache-2.0,2018-04-17 16:45:42.000,2022-06-09 15:23:19.000000,2022-06-09 15:23:18,2579.0,173.0,369,53.0,1995.0,181.0,535.0,1441,PennyLane is a cross-platform Python library for differentiable programming of quantum computers. Train a quantum..,103.0,30,True,2022-05-09 15:36:48.000,0.23.1,36.0,pennylane,conda-forge/pennylane,,60.0,13328.0,32.0,,https://pypi.org/project/pennylane,2022-05-09 15:36:48.000,32.0,13129.0,https://anaconda.org/conda-forge/pennylane,2022-05-01 12:38:58.341,1386.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
283,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2022-03-02 09:28:56.000000,2021-07-15 17:22:49,1466.0,,136,42.0,125.0,54.0,630.0,1092,A Python data analysis library that is optimized for humans instead of machines.,49.0,30,True,2021-07-15 16:32:29.000,1.6.3,26.0,agate,conda-forge/agate,,,4263431.0,1087.0,954.0,https://pypi.org/project/agate,2021-07-15 16:32:29.000,133.0,4262122.0,https://anaconda.org/conda-forge/agate,2021-07-16 07:46:42.405,83802.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
284,kmodes,nicodv/kmodes,others,,https://github.com/nicodv/kmodes,https://github.com/nicodv/kmodes,MIT,2013-08-01 11:54:40.000,2022-05-09 05:22:13.000000,2022-05-09 05:22:09,514.0,21.0,370,53.0,34.0,15.0,131.0,1019,"Python implementations of the k-modes and k-prototypes clustering algorithms, for clustering categorical data.",21.0,30,True,2022-04-14 21:25:10.000,0.12.1,16.0,kmodes,conda-forge/kmodes,,,374176.0,1264.0,1238.0,https://pypi.org/project/kmodes,2022-04-14 21:22:39.000,26.0,373805.0,https://anaconda.org/conda-forge/kmodes,2022-04-15 01:12:43.970,9663.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
285,pyjanitor,pyjanitor-devs/pyjanitor,others,,https://github.com/pyjanitor-devs/pyjanitor,https://github.com/pyjanitor-devs/pyjanitor,MIT,2018-03-04 22:43:33.000,2022-06-08 00:31:26.000000,2022-06-02 01:10:30,1396.0,50.0,153,20.0,639.0,105.0,371.0,927,Clean APIs for data cleaning. Python implementation of R package Janitor.,104.0,30,True,2022-05-03 04:09:24.000,0.23.1,55.0,pyjanitor,conda-forge/pyjanitor,,,26269.0,196.0,185.0,https://pypi.org/project/pyjanitor,2022-05-03 04:09:18.000,11.0,23918.0,https://anaconda.org/conda-forge/pyjanitor,2021-11-22 17:28:45.154,119944.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
286,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2022-06-08 13:39:39.000000,2022-06-08 13:39:38,10370.0,627.0,138,14.0,177.0,59.0,130.0,853,Huggingface Transformers + Adapters =.,1316.0,30,True,2022-05-18 08:48:09.000,adapters3.0.1,15.0,adapter-transformers,,['huggingface'],,41959.0,82.0,77.0,https://pypi.org/project/adapter-transformers,2022-05-18 08:45:47.000,5.0,41959.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
