,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,dnf_id,yay_id,snap_id
179,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2023-06-20 12:28:56.000000,2021-10-12 13:32:38,1570,,472.0,64.0,529.0,266.0,390.0,2612.0,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,33,False,2021-10-12 15:33:19.000,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,4637.0,4398.0,https://pypi.org/project/scikit-optimize,527645.0,536726.0,https://anaconda.org/conda-forge/scikit-optimize,2023-06-16 13:23:01.487,644767.0,,,,,1.0,,2018-02-09 22:41:09.000,239.0,,,,,,,,,,,,,,,,
180,TF-Agents,tensorflow/agents,reinforcement-learning,,https://github.com/tensorflow/agents,https://github.com/tensorflow/agents,Apache-2.0,2018-11-17 00:29:12.000,2023-06-19 16:19:38.000000,2023-06-19 16:18:51,2224,23.0,689.0,85.0,194.0,180.0,455.0,2530.0,"TF-Agents: A reliable, scalable and easy to use TensorFlow library for Contextual Bandits and Reinforcement Learning.",138.0,33,True,2023-03-23 15:26:04.197,0.16.0,44.0,tf-agents,,,,['tensorflow'],1196.0,1193.0,https://pypi.org/project/tf-agents,160194.0,160194.0,,,,,,,,1.0,,2019-01-17 17:24:54.000,3.0,,,,,,,,,,,,,,,,
181,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,https://github.com/scikit-learn-contrib/category_encoders,https://github.com/scikit-learn-contrib/category_encoders,BSD-3-Clause,2015-11-29 19:32:37.000,2023-06-16 13:24:52.029000,2023-05-19 10:29:59,913,7.0,383.0,38.0,139.0,46.0,228.0,2241.0,A library of sklearn compatible categorical variable encoders.,61.0,33,True,2023-05-15 21:30:42.662,2.6.1,30.0,category_encoders,conda-forge/category_encoders,,,['sklearn'],5662.0,5522.0,https://pypi.org/project/category_encoders,1287521.0,1290242.0,https://anaconda.org/conda-forge/category_encoders,2023-06-16 13:24:52.029,225866.0,,,,,2.0,,2023-01-14 21:24:01.587,140.0,,,,,,,,,,,,,,,,
182,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2023-06-16 13:24:15.529000,2023-06-14 12:46:17,2251,28.0,520.0,70.0,472.0,241.0,668.0,2118.0,Survival analysis in Python.,109.0,33,True,2023-05-01 16:15:35.000,0.27.7,100.0,lifelines,conda-forge/lifelines,,,,1657.0,1657.0,https://pypi.org/project/lifelines,355785.0,358975.0,https://anaconda.org/conda-forge/lifelines,2023-06-16 13:24:15.529,268026.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
183,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2023-06-22 12:17:10.000000,2023-06-22 12:12:56,2428,79.0,256.0,67.0,1132.0,56.0,499.0,2085.0,Adaptive Experimentation Platform.,146.0,33,True,2023-05-08 20:46:03.548,0.3.2,35.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],515.0,494.0,https://pypi.org/project/ax-platform,120061.0,120481.0,https://anaconda.org/conda-forge/ax-platform,2023-06-16 19:26:28.890,10090.0,,,,,1.0,,2019-08-27 15:39:15.000,21.0,,,,,,,,,,,,,,,,
184,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2023-06-16 16:11:46.490000,2023-05-26 08:39:12,3636,20.0,186.0,51.0,1315.0,123.0,691.0,1897.0,Ahead of Time compiler for numeric kernels.,70.0,33,True,2023-05-02 20:06:11.980,0.12.2,57.0,pythran,conda-forge/pythran,,,,958.0,937.0,https://pypi.org/project/pythran,232883.0,239096.0,https://anaconda.org/conda-forge/pythran,2023-06-16 16:11:46.490,379036.0,,,,,1.0,,2020-01-02 08:37:33.000,21.0,,,,,,,,,,,,,,pythran,python-pythran,
185,Geocoder,DenisCarriere/geocoder,geospatial-data,,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000,2023-06-16 13:21:27.128000,2018-10-12 15:53:05,1251,,272.0,51.0,153.0,99.0,217.0,1535.0,Python Geocoder.,73.0,33,False,2021-12-15 15:58:16.110,1.1.4,110.0,geocoder,conda-forge/geocoder,,,,7711.0,7202.0,https://pypi.org/project/geocoder,508516.0,510166.0,https://anaconda.org/conda-forge/geocoder,2023-06-16 13:21:27.128,125415.0,,,,,2.0,,2018-04-04 12:34:51.000,509.0,,,,,,,,,,,,,,,,geocoder
186,pmdarima,alkaline-ml/pmdarima,time-series-data,,https://github.com/alkaline-ml/pmdarima,https://github.com/alkaline-ml/pmdarima,MIT,2017-03-30 14:58:30.000,2023-06-16 19:23:20.782000,2023-05-26 14:15:03,1072,3.0,222.0,35.0,241.0,41.0,268.0,1378.0,"A statistical library designed to fill the void in Pythons time series analysis capabilities, including the equivalent..",22.0,33,True,2023-03-15 20:42:28.000,2.0.3,43.0,pmdarima,conda-forge/pmdarima,,,,5573.0,5573.0,https://pypi.org/project/pmdarima,1557762.0,1579314.0,https://anaconda.org/conda-forge/pmdarima,2023-06-16 19:23:20.782,689686.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
187,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2023-06-16 13:19:47.023000,2023-06-14 18:09:08,1494,9.0,149.0,41.0,130.0,13.0,634.0,1135.0,A Python data analysis library that is optimized for humans instead of machines.,51.0,33,True,2023-01-04 20:14:00.948,1.7.1,29.0,agate,conda-forge/agate,,,,1991.0,1851.0,https://pypi.org/project/agate,2669680.0,2671434.0,https://anaconda.org/conda-forge/agate,2023-06-16 13:19:47.023,133335.0,,,,,1.0,,2021-07-15 16:32:29.000,140.0,,,,,,,,,,,,,,,,
188,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2023-06-19 22:24:07.000000,2023-06-19 22:24:05,2589,61.0,245.0,35.0,179.0,41.0,451.0,1119.0,Python interface for igraph.,71.0,33,False,2023-01-28 13:30:00.570,0.10.4,34.0,python-igraph,conda-forge/igraph,,,,2298.0,1898.0,https://pypi.org/project/python-igraph,244566.0,257293.0,https://anaconda.org/conda-forge/igraph,2023-06-16 13:19:23.938,425850.0,,,,,1.0,561386.0,2023-01-28 13:30:00.570,400.0,,,,,,,,,,,,,,,,
189,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/intel/scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2023-06-22 11:57:51.000000,2023-06-21 19:00:35,1336,47.0,159.0,29.0,1114.0,76.0,145.0,982.0,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,74.0,33,True,2023-05-04 11:41:59.000,2023.1.1,19.0,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,,['sklearn'],6739.0,6725.0,https://pypi.org/project/scikit-learn-intelex,144288.0,151138.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2023-06-16 19:25:32.602,178125.0,,,,,2.0,,2023-01-23 12:22:01.687,14.0,,,,,,,,,,,,,,,,
190,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000,2023-06-16 13:17:25.616000,2023-04-23 14:38:16,5534,22.0,248.0,37.0,751.0,122.0,377.0,563.0,Python package to access a cacophony of neuro-imaging file formats.,96.0,33,True,2023-04-03 15:53:03.644,5.1.0,40.0,nibabel,conda-forge/nibabel,,,,12643.0,11573.0,https://pypi.org/project/nibabel,255324.0,262298.0,https://anaconda.org/conda-forge/nibabel,2023-06-16 13:17:25.616,592836.0,,,,,2.0,,2022-06-18 17:11:31.000,1070.0,,,,,,,,,,,,,,,,
191,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2023-06-22 09:51:17.000000,2023-06-22 06:41:25,2466,307.0,3525.0,325.0,2735.0,315.0,842.0,30378.0,"Making large AI models cheaper, faster and more accessible.",135.0,32,True,2023-05-25 08:26:34.000,0.3.0,30.0,,,,,,241.0,241.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
192,tensor2tensor,tensorflow/tensor2tensor,tensorflow-utils,,https://github.com/tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,Apache-2.0,2017-06-15 16:57:39.000,2023-06-02 18:55:09.000000,2023-04-01 10:19:28,4379,1.0,3293.0,461.0,671.0,589.0,672.0,13787.0,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,244.0,32,True,2020-06-17 16:31:34.798,1.15.7,79.0,tensor2tensor,,,,['tensorflow'],1472.0,1382.0,https://pypi.org/project/tensor2tensor,7944.0,7944.0,,,,,,,,2.0,,2017-06-21 01:15:55.000,90.0,,,,,,,,,,,,,,,,
193,PaddleDetection,PaddlePaddle/PaddleDetection,image,,https://github.com/PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14.000,2023-06-19 10:43:55.000000,2023-06-13 07:20:31,2144,17.0,2587.0,189.0,3505.0,1067.0,3804.0,10710.0,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object..",141.0,32,True,2023-02-23 03:25:22.000,2.6.0,8.0,paddledet,,,,['paddle'],90.0,90.0,https://pypi.org/project/paddledet,781.0,781.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
194,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,MIT,2016-03-31 12:05:53.000,2021-01-25 09:41:59.000000,2020-11-30 04:34:51,613,,2415.0,463.0,255.0,570.0,362.0,9590.0,Deep learning library featuring a higher-level API for TensorFlow.,128.0,32,False,2020-11-11 19:26:11.000,0.5.0,8.0,tflearn,,,,['tensorflow'],5013.0,4524.0,https://pypi.org/project/tflearn,9316.0,9316.0,,,,,,,,3.0,,2020-11-11 19:13:47.000,489.0,,,,,,,,,,,,,,,,
195,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/deepmind/sonnet,https://github.com/deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2023-06-19 01:55:22.000000,2023-02-23 15:39:10,857,,1358.0,425.0,80.0,34.0,156.0,9576.0,TensorFlow-based neural network library.,56.0,32,True,2022-12-15 16:54:01.069,2.0.1,28.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1146.0,1094.0,https://pypi.org/project/dm-sonnet,20931.0,21483.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,23739.0,,,,,3.0,,2020-03-27 10:36:10.000,52.0,,,,,,,,,,,,,,,,
196,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2023-06-22 03:41:48.000000,2023-06-10 19:39:42,3525,107.0,1033.0,186.0,2461.0,267.0,699.0,8985.0,Data-centric declarative deep learning framework.,136.0,32,True,2023-03-23 15:31:01.750,0.7.4,38.0,ludwig,,,,['tensorflow'],183.0,174.0,https://pypi.org/project/ludwig,2759.0,2759.0,,,,,,,,3.0,,2022-10-28 19:19:00.519,9.0,,,,,,,,,,,,,,,,
197,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2023-06-21 15:51:48.000000,2023-06-21 15:51:47,1385,2.0,1406.0,306.0,885.0,125.0,756.0,8853.0,AutoML library for deep learning.,142.0,32,True,2023-01-28 18:46:30.271,1.1.0,58.0,autokeras,,,,['tensorflow'],518.0,507.0,https://pypi.org/project/autokeras,11926.0,12160.0,,,,,,,,2.0,15717.0,2022-04-30 05:46:13.000,11.0,,,,,,,,,,,,,,,,
198,deepface,serengil/deepface,image,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28.000,2023-06-16 11:28:24.000000,2023-06-16 11:28:24,1019,25.0,1362.0,105.0,76.0,14.0,698.0,6668.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,32,True,2023-02-23 10:07:02.320,0.0.79,78.0,deepface,,,,,1576.0,1564.0,https://pypi.org/project/deepface,50208.0,50208.0,,,,,,,,2.0,,2023-01-24 23:15:00.809,12.0,,,,,,,,,,,,,,,,
199,tensorpack,tensorpack/tensorpack,ml-frameworks,,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000,2023-06-16 19:27:42.012000,2023-03-31 20:54:05,2943,3.0,1821.0,201.0,206.0,9.0,1343.0,6276.0,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",58.0,32,True,2019-01-18 19:18:13.000,doc-v0.9.0.1,3.0,tensorpack,conda-forge/tensorpack,,,['tensorflow'],1312.0,1312.0,https://pypi.org/project/tensorpack,15360.0,15838.0,https://anaconda.org/conda-forge/tensorpack,2023-06-16 19:27:42.012,9525.0,,,,,3.0,153.0,,,,,,,,,,,,,,,,,,
200,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2023-06-19 16:46:24.000000,2023-06-19 15:42:57,1052,16.0,341.0,81.0,495.0,45.0,435.0,5185.0,A scikit-learn compatible neural network library that wraps PyTorch.,59.0,32,True,2023-05-17 10:20:33.000,0.13.0,13.0,skorch,conda-forge/skorch,,,"['pytorch', 'sklearn']",885.0,885.0,https://pypi.org/project/skorch,50228.0,63759.0,https://anaconda.org/conda-forge/skorch,2023-06-16 16:09:44.770,771280.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
201,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2023-06-16 13:17:36.169000,2023-05-25 13:38:03,2241,5.0,1068.0,190.0,215.0,271.0,269.0,5160.0,Distributed Evolutionary Algorithms in Python.,81.0,32,False,2022-08-08 11:13:02.278,1.3.3,21.0,deap,conda-forge/deap,,,,4063.0,3702.0,https://pypi.org/project/deap,153998.0,157561.0,https://anaconda.org/conda-forge/deap,2023-06-16 13:17:36.169,299293.0,,,,,2.0,,2022-08-08 11:13:02.278,361.0,,,,,,,,,,,,,,,,
202,pyfolio,quantopian/pyfolio,financial-data,,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000,2023-06-16 16:07:59.111000,2020-07-15 13:46:58,1184,,1594.0,305.0,292.0,152.0,265.0,5033.0,Portfolio and risk analytics in Python.,59.0,32,False,2019-04-15 15:00:21.000,0.9.2,22.0,pyfolio,conda-forge/pyfolio,,,,859.0,825.0,https://pypi.org/project/pyfolio,11228.0,11412.0,https://anaconda.org/conda-forge/pyfolio,2023-06-16 16:07:59.111,11806.0,,,,,1.0,,2019-04-15 15:00:21.000,34.0,,,,,,,,,,,,,,,,
203,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2023-06-16 19:25:37.799000,2023-06-14 23:28:25,3672,102.0,474.0,84.0,479.0,22.0,420.0,4281.0,Online machine learning in Python.,97.0,32,True,2023-05-27 14:06:20.000,0.17.0,15.0,river,conda-forge/river,,,,343.0,319.0,https://pypi.org/project/river,13810.0,15423.0,https://anaconda.org/conda-forge/river,2023-06-16 19:25:37.799,41942.0,,,,,2.0,,2022-06-06 21:29:21.000,24.0,,,,,,,,,,,,,,,,
204,TensorFlow Datasets,tensorflow/datasets,tensorflow-utils,,https://github.com/tensorflow/datasets,https://github.com/tensorflow/datasets,Apache-2.0,2018-09-10 21:27:22.000,2023-06-22 13:33:27.000000,2023-06-22 13:13:36,5889,160.0,1385.0,111.0,3903.0,388.0,673.0,3912.0,"TFDS is a collection of datasets ready to use with TensorFlow, Jax, ...",285.0,32,True,2023-04-13 11:21:10.000,4.9.2,30.0,tensorflow-datasets,conda-forge/tensorflow-datasets,,,['tensorflow'],,,https://pypi.org/project/tensorflow-datasets,1439231.0,1440010.0,https://anaconda.org/conda-forge/tensorflow-datasets,2023-06-16 19:25:46.849,19497.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
205,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2023-06-22 04:49:05.000000,2023-06-16 03:07:07,3434,95.0,748.0,53.0,1128.0,284.0,1032.0,3536.0,"Serve, optimize and scale PyTorch models in production.",159.0,32,True,2023-06-14 23:54:09.000,0.8.1,20.0,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],10.0,,https://pypi.org/project/torchserve,34428.0,62635.0,https://anaconda.org/pytorch/torchserve,2023-06-14 18:34:05.576,90692.0,https://hub.docker.com/r/pytorch/torchserve,2023-06-14 18:58:43.090933,17.0,1131225.0,2.0,4266.0,2022-05-13 21:12:28.000,10.0,,,,,,,,,,,,,,,,
206,implicit,benfred/implicit,recommender-systems,,https://github.com/benfred/implicit,https://github.com/benfred/implicit,MIT,2016-04-17 03:45:23.000,2023-06-22 00:19:49.173000,2023-06-21 05:20:57,420,12.0,599.0,81.0,215.0,80.0,381.0,3189.0,Fast Python Collaborative Filtering for Implicit Feedback Datasets.,34.0,32,True,2023-06-13 05:29:00.998,0.7.0,45.0,implicit,conda-forge/implicit,,,,1064.0,1026.0,https://pypi.org/project/implicit,136370.0,151386.0,https://anaconda.org/conda-forge/implicit,2023-06-22 00:19:49.173,494750.0,,,,,1.0,421.0,2022-12-11 00:50:00.539,38.0,,,,,,,,,,,,,,,,
207,Keras Tuner,keras-team/keras-tuner,hyperopt,,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,Apache-2.0,2019-06-06 22:38:21.000,2023-06-15 21:56:32.772000,2023-06-12 17:49:04,1034,22.0,369.0,65.0,439.0,194.0,256.0,2735.0,A Hyperparameter Tuning Library for Keras.,56.0,32,True,2023-04-13 04:37:00.942,1.3.5,26.0,keras-tuner,conda-forge/keras-tuner,,,['tensorflow'],2481.0,2424.0,https://pypi.org/project/keras-tuner,248778.0,249701.0,https://anaconda.org/conda-forge/keras-tuner,2023-06-15 21:56:32.772,20326.0,,,,,2.0,,2022-03-25 00:39:10.000,57.0,,,,,,,,,,,,,,,,
208,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2023-06-21 20:21:01.000000,2023-06-21 19:39:20,1160,47.0,181.0,25.0,319.0,87.0,103.0,2663.0,Lightning fast forecasting with statistical and econometric models.,23.0,32,True,2023-02-28 19:28:00.449,1.5.0,26.0,statsforecast,conda-forge/statsforecast,,,,339.0,325.0,https://pypi.org/project/statsforecast,413310.0,415979.0,https://anaconda.org/conda-forge/statsforecast,2023-06-18 08:40:58.514,40042.0,,,,,2.0,,2022-06-27 22:20:26.000,14.0,,,,,,,,,,,,,,,,
209,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2023-06-22 11:29:15.000000,2023-06-20 14:48:51,902,34.0,211.0,40.0,451.0,100.0,159.0,2521.0,JAX-based neural network library.,75.0,32,True,2023-02-03 20:23:57.650,0.0.4,12.0,dm-haiku,conda-forge/dm-haiku,,,,1380.0,1318.0,https://pypi.org/project/dm-haiku,136948.0,137350.0,https://anaconda.org/conda-forge/dm-haiku,2023-06-16 19:24:44.849,11281.0,,,,,3.0,,2022-07-04 18:49:30.000,62.0,,,,,,,,,,,,,,,,
210,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2023-06-21 10:02:35.000000,2023-06-21 10:02:34,2876,12.0,669.0,79.0,812.0,249.0,600.0,2388.0,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",117.0,32,True,2023-04-08 06:38:26.000,0.1.22,21.0,pgmpy,,,,,683.0,659.0,https://pypi.org/project/pgmpy,64521.0,64528.0,,,,,,,,2.0,252.0,2022-06-30 09:26:19.000,24.0,,,,,,,,,,,,,,,,
211,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,MIT,2010-07-09 20:41:11.000,2023-06-21 16:53:52.000000,2023-06-21 16:51:52,516,68.0,154.0,43.0,66.0,6.0,118.0,1863.0,a python library for doing approximate and phonetic matching of strings.,29.0,32,True,,,10.0,jellyfish,conda-forge/jellyfish,,,,6254.0,6254.0,https://pypi.org/project/jellyfish,1927038.0,1934433.0,https://anaconda.org/conda-forge/jellyfish,2023-06-16 13:23:31.461,599026.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
212,PennyLane,PennyLaneAI/PennyLane,others,,https://github.com/PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane,Apache-2.0,2018-04-17 16:45:42.000,2023-06-22 14:29:45.000000,2023-06-22 14:11:12,3425,211.0,469.0,51.0,3315.0,314.0,753.0,1801.0,PennyLane is a cross-platform Python library for differentiable programming of quantum computers. Train a quantum..,141.0,32,True,2023-05-01 18:46:01.348,0.30.0,46.0,pennylane,conda-forge/pennylane,,,,53.0,,https://pypi.org/project/pennylane,23380.0,24221.0,https://anaconda.org/conda-forge/pennylane,2023-06-16 19:27:59.809,15973.0,,,,,2.0,69.0,2021-05-03 08:31:01.000,53.0,,,,,,,,,,,,,,,,
213,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2023-06-01 23:13:48.000000,2023-05-22 12:29:35,12581,8.0,278.0,25.0,244.0,61.0,263.0,1693.0,Huggingface Transformers + Adapters =.,1713.0,32,True,2023-04-06 21:17:41.000,adapters3.2.1,18.0,adapter-transformers,,,,['huggingface'],194.0,187.0,https://pypi.org/project/adapter-transformers,17258.0,17258.0,,,,,,,,2.0,,2022-05-18 08:45:47.000,7.0,,,,,,,,,,,,,,,,
214,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,https://github.com/tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28.000,2023-06-22 13:40:03.000000,2023-06-05 08:14:53,806,11.0,315.0,125.0,754.0,196.0,159.0,1413.0,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.",79.0,32,True,2023-05-26 02:36:01.000,0.7.5,30.0,tensorflow-model-optimization,,,,['tensorflow'],2943.0,2913.0,https://pypi.org/project/tensorflow-model-optimization,299208.0,299208.0,,,,,,,,2.0,,2022-03-18 16:49:50.000,30.0,,,,,,,,,,,,,,,,
215,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2023-06-05 07:39:09.482000,2023-06-02 07:03:26,1146,1.0,347.0,64.0,563.0,245.0,340.0,1375.0,A Jupyter - Leaflet.js bridge.,83.0,32,True,2023-06-02 07:27:55.785,0.17.3,77.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],4735.0,4586.0,https://pypi.org/project/ipyleaflet,130461.0,187615.0,https://anaconda.org/conda-forge/ipyleaflet,2023-06-05 07:39:09.482,1029552.0,,,,,2.0,,2022-10-19 07:45:44.840,144.0,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2023-06-02 07:27:55.785,5.0,45042.0,,,,,,,,,
216,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2023-06-22 13:26:07.000000,2023-06-22 08:42:24,703,99.0,204.0,47.0,775.0,174.0,224.0,1268.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,66.0,32,True,2023-06-16 12:43:03.293,1.8.8,38.0,optimum,conda-forge/optimum,,,,219.0,208.0,https://pypi.org/project/optimum,121186.0,121740.0,https://anaconda.org/conda-forge/optimum,2023-06-18 08:41:09.996,7758.0,,,,,1.0,,2022-10-25 17:47:03.454,11.0,,,,,,,,,,,,,,,,
217,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000,2023-06-20 22:37:13.000000,2023-06-20 22:37:12,893,23.0,202.0,59.0,97.0,37.0,168.0,960.0,Input pipeline framework.,27.0,32,True,2023-04-13 22:32:01.919,1.13.0,55.0,tensorflow-transform,,,,['tensorflow'],1439.0,1383.0,https://pypi.org/project/tensorflow-transform,728349.0,728349.0,,,,,,,,2.0,,2022-06-29 07:42:53.000,56.0,,,,,,,,,,,,,,,,
218,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2023-05-11 07:42:20.000000,2023-05-01 17:35:06,1420,1.0,3721.0,778.0,1128.0,373.0,587.0,18545.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,31,True,2022-08-01 18:23:00.243,2.1.4,67.0,magenta,,,,['tensorflow'],486.0,448.0,https://pypi.org/project/magenta,3698.0,3698.0,,,,,,,,2.0,,2018-07-31 15:38:15.000,38.0,,,,,,,,,,,,,,,,
219,PaddleHub,PaddlePaddle/PaddleHub,others,,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,Apache-2.0,2018-12-21 06:00:48.000,2023-06-06 10:02:26.000000,2023-03-28 11:49:55,2665,1.0,2052.0,183.0,997.0,547.0,692.0,11872.0,"Awesome pre-trained models toolkit based on PaddlePaddle. (400+ models including Image, Text, Audio, Video and Cross-..",69.0,31,True,2022-11-28 08:40:34.942,2.3.1,49.0,paddlehub,,,,['paddle'],1310.0,1304.0,https://pypi.org/project/paddlehub,6455.0,6467.0,,,,,,,,2.0,649.0,2021-12-28 02:55:41.000,6.0,,,,,,,,,,,,,,,,
