,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
81,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2023-07-26 19:21:45.000000,2023-07-07 12:21:54,775,15.0,4418,423.0,422.0,352.0,1675.0,16162,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,168.0,36,True,2023-05-29 15:12:28.000,1.1.4,15.0,fbprophet,conda-forge/prophet,,,,126.0,,https://pypi.org/project/fbprophet,2020-09-05 16:12:50.000,126.0,960474.0,993980.0,https://anaconda.org/conda-forge/prophet,2023-06-15 14:12:13.774,904015.0,,,,,1.0,1838.0,,,,,,,,,,,,,,,,,,
82,torchvision,pytorch/vision,image,,https://github.com/pytorch/vision,https://github.com/pytorch/vision,BSD-3-Clause,2016-11-09 23:11:43.000,2023-07-27 14:03:39.000000,2023-07-27 13:22:09,3562,107.0,6567,392.0,4851.0,735.0,2164.0,14314,"Datasets, Transforms and Models specific to Computer Vision.",544.0,36,True,2023-05-08 20:12:27.000,0.15.2,34.0,torchvision,conda-forge/torchvision,,,['pytorch'],,,https://pypi.org/project/torchvision,,,6094303.0,6122110.0,https://anaconda.org/conda-forge/torchvision,2023-06-22 22:01:34.204,768129.0,,,,,1.0,28090.0,,,,,,,,,,,,,,,,,,
83,flair,flairNLP/flair,nlp,,https://github.com/flairNLP/flair,https://github.com/flairNLP/flair,,2018-06-11 11:04:18.000,2023-07-24 16:23:58.000000,2023-07-10 15:10:29,5540,22.0,1691,204.0,1129.0,60.0,2097.0,12978,A very simple framework for state-of-the-art Natural Language Processing (NLP).,248.0,36,False,2023-03-30 15:49:56.000,0.12.2,23.0,flair,conda-forge/python-flair,,,['pytorch'],2630.0,2630.0,https://pypi.org/project/flair,,,75229.0,75784.0,https://anaconda.org/conda-forge/python-flair,2023-07-23 11:04:16.024,20001.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
84,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2023-07-15 09:42:34.000000,2023-06-14 16:31:42,876,10.0,1110,319.0,266.0,54.0,336.0,11663,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,87.0,36,True,2023-06-14 16:39:02.504,1.17.3,47.0,annoy,conda-forge/python-annoy,,,,3310.0,3052.0,https://pypi.org/project/annoy,2023-06-14 16:39:02.504,258.0,1224304.0,1228584.0,https://anaconda.org/conda-forge/python-annoy,2023-06-16 13:18:50.070,351014.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
85,sentencepiece,google/sentencepiece,nlp,,https://github.com/google/sentencepiece,https://github.com/google/sentencepiece,Apache-2.0,2017-03-07 10:03:48.000,2023-07-01 19:06:44.275000,2023-07-01 02:38:33,883,17.0,971,123.0,254.0,23.0,618.0,7897,Unsupervised text tokenizer for Neural Network-based text generation.,78.0,36,True,2023-05-02 03:20:40.000,0.1.99,25.0,sentencepiece,conda-forge/sentencepiece,,,,35093.0,35093.0,https://pypi.org/project/sentencepiece,,,9432966.0,9448512.0,https://anaconda.org/conda-forge/sentencepiece,2023-07-01 19:06:44.275,541965.0,,,,,1.0,29071.0,,,,,,,,,,,,,,,,,,
86,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2023-07-19 13:03:40.000000,2023-07-11 18:54:30,843,38.0,1247,142.0,483.0,35.0,528.0,6432,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,77.0,36,True,2023-07-08 22:17:53.000,0.11.0,33.0,imbalanced-learn,conda-forge/imbalanced-learn,,,['sklearn'],19128.0,18814.0,https://pypi.org/project/imbalanced-learn,2023-07-08 21:51:38.887,314.0,2793603.0,2805514.0,https://anaconda.org/conda-forge/imbalanced-learn,2023-07-08 22:18:55.284,440741.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
87,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2023-07-26 13:29:12.000000,2023-07-26 13:29:12,1404,18.0,872,218.0,217.0,174.0,232.0,6402,Efficiently computes derivatives of numpy code.,55.0,36,True,2023-06-23 08:37:07.368,1.6.2,29.0,autograd,conda-forge/autograd,,,,6094.0,5789.0,https://pypi.org/project/autograd,2023-06-23 08:37:07.368,305.0,1019075.0,1044884.0,https://anaconda.org/conda-forge/autograd,2023-06-26 15:21:38.267,335525.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
88,MONAI,Project-MONAI/MONAI,medical-data,,https://github.com/Project-MONAI/MONAI,https://github.com/Project-MONAI/MONAI,Apache-2.0,2019-10-11 16:41:38.000,2023-07-27 14:03:07.000000,2023-07-27 14:03:06,2768,112.0,828,91.0,2982.0,276.0,2318.0,4518,AI Toolkit for Healthcare Imaging.,164.0,36,True,2023-06-08 17:16:23.000,1.2.0,16.0,monai,conda-forge/monai,,,['pytorch'],1165.0,1165.0,https://pypi.org/project/monai,,,64841.0,65680.0,https://anaconda.org/conda-forge/monai,2023-06-08 17:03:07.715,15958.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
89,DeepChem,deepchem/deepchem,others,,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,MIT,2015-09-24 23:20:28.000,2023-07-26 18:14:20.000000,2023-07-26 10:20:22,9119,480.0,1502,148.0,1890.0,466.0,1199.0,4487,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",221.0,36,True,2022-12-01 14:00:47.111,2.7.1,654.0,deepchem,conda-forge/deepchem,,,['tensorflow'],238.0,230.0,https://pypi.org/project/deepchem,2023-07-26 12:20:51.000,8.0,16906.0,19393.0,https://anaconda.org/conda-forge/deepchem,2023-06-16 19:18:02.015,101971.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
90,TensorFlow Datasets,tensorflow/datasets,tensorflow-utils,,https://github.com/tensorflow/datasets,https://github.com/tensorflow/datasets,Apache-2.0,2018-09-10 21:27:22.000,2023-07-27 13:49:02.000000,2023-07-27 13:48:54,5964,167.0,1453,111.0,3941.0,644.0,681.0,3952,"TFDS is a collection of datasets ready to use with TensorFlow, Jax, ...",291.0,36,True,2023-04-13 11:23:03.098,4.9.2,35.0,tensorflow-datasets,conda-forge/tensorflow-datasets,,,['tensorflow'],195.0,,https://pypi.org/project/tensorflow-datasets,2023-04-13 11:23:03.098,195.0,1366382.0,1367190.0,https://anaconda.org/conda-forge/tensorflow-datasets,2023-06-16 19:25:46.849,21008.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
91,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2023-07-27 04:40:13.000000,2023-07-25 19:23:46,17591,1092.0,384,49.0,2069.0,437.0,843.0,3946,"Visualize, create, and debug image and video datasets and model predictions.",85.0,36,True,2023-07-14 23:09:03.000,0.21.4,68.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",364.0,364.0,https://pypi.org/project/fiftyone,,,63075.0,63075.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
92,Shapely,shapely/shapely,geospatial-data,,https://github.com/shapely/shapely,https://github.com/shapely/shapely,BSD-3-Clause,2011-12-31 19:43:11.000,2023-07-26 02:49:48.000000,2023-07-22 10:36:27,2202,14.0,525,88.0,733.0,202.0,865.0,3365,Manipulation and analysis of geometric objects.,146.0,36,True,2023-01-30 08:56:47.000,2.0.1,26.0,shapely,conda-forge/shapely,,,,49413.0,49413.0,https://pypi.org/project/shapely,,,12494088.0,12580490.0,https://anaconda.org/conda-forge/shapely,2023-06-16 13:05:34.573,8026158.0,,,,,2.0,2113.0,,,,,,,,,,,,,,,,,,
93,spark-nlp,JohnSnowLabs/spark-nlp,nlp,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44.000,2023-07-23 19:16:29.000000,2023-07-18 19:59:34,8278,111.0,663,96.0,12934.0,39.0,765.0,3339,State of the Art Natural Language Processing.,108.0,36,True,2023-07-18 20:18:38.000,5.0.1,127.0,spark-nlp,,,,['spark'],343.0,322.0,https://pypi.org/project/spark-nlp,2023-07-18 19:39:09.000,21.0,3564252.0,3564252.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
94,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2023-07-21 21:06:34.000000,2023-07-21 21:04:15,1505,21.0,202,29.0,653.0,26.0,550.0,908,Python interface to PROJ (cartographic projections and coordinate transformations library).,64.0,36,True,2023-06-12 13:22:05.000,3.6.0,50.0,pyproj,conda-forge/pyproj,,,,22122.0,22122.0,https://pypi.org/project/pyproj,,,7087965.0,7263896.0,https://anaconda.org/conda-forge/pyproj,2023-06-14 07:22:14.931,6333549.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
95,PaddleOCR,PaddlePaddle/PaddleOCR,ocr,,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Apache-2.0,2020-05-08 10:38:16.000,2023-07-27 08:18:00.000000,2023-07-24 11:56:55,6026,29.0,6382,410.0,2637.0,587.0,7040.0,32055,"Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages..",138.0,35,True,2022-08-24 09:04:27.000,2.6.0,6.0,paddleocr,,,,['paddle'],1608.0,1608.0,https://pypi.org/project/paddleocr,,,54961.0,54961.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
96,EasyOCR,JaidedAI/EasyOCR,ocr,,https://github.com/JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Apache-2.0,2020-03-14 11:46:39.000,2023-07-25 08:19:57.000000,2023-07-04 12:44:09,600,14.0,2680,292.0,225.0,271.0,575.0,18949,"Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic,..",122.0,35,True,2023-05-26 07:25:01.375,1.7.0,31.0,easyocr,,,,,3368.0,3301.0,https://pypi.org/project/easyocr,2022-09-20 02:27:55.579,67.0,108264.0,256831.0,,,,,,,,1.0,5496983.0,,,,,,,,,,,,,,,,,,
97,pyecharts,pyecharts/pyecharts,data-viz,,https://github.com/pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,MIT,2017-06-22 02:50:25.000,2023-06-05 03:56:36.000000,2023-04-10 01:12:31,1618,,2782,381.0,452.0,7.0,1743.0,13746,Python Echarts Plotting Library.,39.0,35,True,2023-04-10 01:18:59.000,2.0.3,71.0,pyecharts,,,https://github.com/pyecharts/pyecharts/blob/master/README.en.md,['jupyter'],3577.0,3338.0,https://pypi.org/project/pyecharts,2021-11-16 06:27:35.000,239.0,59291.0,59291.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
98,imgaug,aleju/imgaug,image,,https://github.com/aleju/imgaug,https://github.com/aleju/imgaug,MIT,2015-07-10 20:31:33.000,2023-07-26 09:00:34.000000,2020-06-01 14:58:26,2913,,2395,232.0,336.0,294.0,222.0,13682,Image augmentation for machine learning experiments.,36.0,35,False,2020-02-06 06:18:40.000,0.4.0,11.0,imgaug,conda-forge/imgaug,,,,16126.0,15726.0,https://pypi.org/project/imgaug,2020-02-05 20:54:22.000,400.0,326710.0,329466.0,https://anaconda.org/conda-forge/imgaug,2023-06-16 16:15:24.882,135092.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
99,ChatterBot,gunthercox/ChatterBot,nlp,,https://github.com/gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,BSD-3-Clause,2014-09-28 14:49:00.000,2023-07-26 03:23:12.000000,2021-06-01 10:43:00,1848,,4325,548.0,708.0,372.0,1265.0,13455,"ChatterBot is a machine learning, conversational dialog engine for creating chat bots.",103.0,35,False,2020-08-22 18:42:43.000,1.0.8,86.0,chatterbot,,,,,5581.0,5229.0,https://pypi.org/project/chatterbot,2020-08-22 18:40:36.000,352.0,29557.0,29557.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
100,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2023-07-24 05:05:55.000000,2023-07-10 02:33:53,3009,34.0,1753,284.0,3496.0,291.0,1667.0,13121,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,35,True,2023-05-10 04:36:56.000,3.0rc1,39.0,nni,,,,,444.0,444.0,https://pypi.org/project/nni,,,15694.0,15694.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
101,AllenNLP,allenai/allennlp,nlp,,https://github.com/allenai/allennlp,https://github.com/allenai/allennlp,Apache-2.0,2017-05-15 15:52:41.000,2023-06-16 16:12:37.768000,2022-11-22 00:42:46,2719,,2176,286.0,3096.0,80.0,2477.0,11544,"An open-source NLP research library, built on PyTorch.",265.0,35,True,2022-10-18 23:32:24.000,2.10.1,59.0,allennlp,conda-forge/allennlp,,,['pytorch'],3667.0,3667.0,https://pypi.org/project/allennlp,,,48874.0,50938.0,https://anaconda.org/conda-forge/allennlp,2023-06-16 16:12:37.768,113556.0,,,,,1.0,61.0,,,,,,,,,,,,,,,,,,
102,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2023-07-26 13:31:47.000000,2023-06-07 16:38:32,1200,3.0,2001,123.0,244.0,948.0,789.0,11389,Multilingual Sentence & Image Embeddings with BERT.,111.0,35,True,2022-06-26 19:52:06.000,2.2.2,32.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],11399.0,11399.0,https://pypi.org/project/sentence-transformers,,,2246097.0,2250007.0,https://anaconda.org/conda-forge/sentence-transformers,2023-06-16 19:21:44.846,132944.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
103,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-07-09 22:51:02.000000,2023-07-07 15:20:50,4343,26.0,1989,290.0,3386.0,49.0,1491.0,10194,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,212.0,35,True,2023-06-06 20:16:41.000,1.7.2,23.0,parlai,,,,['pytorch'],206.0,206.0,https://pypi.org/project/parlai,,,1320.0,1320.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
104,Theano,Theano/Theano,ml-frameworks,,https://github.com/Theano/Theano,https://github.com/Theano/Theano,,2011-08-10 03:48:06.000,2023-07-01 12:19:02.000000,2022-12-20 16:49:55,28132,,2411,548.0,4118.0,586.0,2087.0,9761,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving..",386.0,35,False,,,8.0,theano,conda-forge/theano,,,,14123.0,14123.0,https://pypi.org/project/theano,,,305116.0,333088.0,https://anaconda.org/conda-forge/theano,2023-06-16 13:23:49.668,2349687.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
105,PySyft,OpenMined/PySyft,privacy-ml,,https://github.com/OpenMined/PySyft,https://github.com/OpenMined/PySyft,Apache-2.0,2017-07-18 20:41:16.000,2023-07-27 13:38:16.000000,2023-07-24 12:52:20,23352,2188.0,1887,207.0,4535.0,116.0,3301.0,8877,Perform data science on data that remains in someone elses server.,493.0,35,True,2023-06-23 10:40:49.000,0.8.1,25.0,syft,,,,['pytorch'],,,https://pypi.org/project/syft,,,5087.0,5087.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
106,TextBlob,sloria/TextBlob,nlp,,https://github.com/sloria/TextBlob,https://github.com/sloria/TextBlob,MIT,2013-06-30 18:29:18.000,2023-06-16 13:22:54.304000,2023-03-11 18:17:15,563,,1075,269.0,156.0,101.0,155.0,8636,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation,..",36.0,35,True,2013-09-26 02:29:01.000,0.7.0,7.0,textblob,conda-forge/textblob,,,,31496.0,31496.0,https://pypi.org/project/textblob,,,671476.0,674210.0,https://anaconda.org/conda-forge/textblob,2023-06-16 13:22:54.304,226923.0,,,,,1.0,104.0,,,,,,,,,,,,,,,,,,
107,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2023-07-25 01:45:28.000000,2023-07-16 09:53:06,521,13.0,874,87.0,267.0,78.0,372.0,7655,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",80.0,35,True,2023-06-18 16:44:03.498,2.6.1,21.0,tensorboardX,conda-forge/tensorboardx,,,,33660.0,32694.0,https://pypi.org/project/tensorboardX,2023-06-18 16:44:03.498,966.0,2001986.0,2031967.0,https://anaconda.org/conda-forge/tensorboardx,2023-06-18 18:44:28.706,1079154.0,,,,,2.0,398.0,,,,,,,,,,,,,,,,,,
108,Catboost,catboost/catboost,ml-frameworks,,https://github.com/catboost/catboost,https://github.com/catboost/catboost,Apache-2.0,2017-07-18 05:29:04.000,2023-07-27 13:01:03.000000,2023-07-27 10:41:56,46210,402.0,1088,193.0,346.0,504.0,1594.0,7266,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification,..",1152.0,35,True,2023-05-01 23:11:47.000,1.2,82.0,catboost,conda-forge/catboost,,,,,,https://pypi.org/project/catboost,,,1944320.0,1968528.0,https://anaconda.org/conda-forge/catboost,2023-06-16 16:11:52.269,1354755.0,,,,,2.0,165108.0,,,,,,,,,,,,,,,,,,
109,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2023-07-27 13:23:00.000000,2023-07-25 11:04:17,32032,142.0,1990,392.0,6579.0,2693.0,6369.0,6410,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",244.0,35,True,,,145.0,h2o,,,,,79.0,,https://pypi.org/project/h2o,2023-07-25 14:00:09.000,79.0,328773.0,328773.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
110,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2023-07-25 17:31:34.000000,2023-07-25 17:31:34,2812,68.0,2189,172.0,1060.0,25.0,1374.0,6182,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,189.0,35,True,2023-06-22 11:33:50.000,3.3.0,44.0,OpenNMT-py,,,,['pytorch'],221.0,211.0,https://pypi.org/project/OpenNMT-py,2022-12-19 11:45:01.363,10.0,3646.0,3646.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
111,BentoML,bentoml/BentoML,model-serialisation,,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000,2023-07-27 07:48:32.000000,2023-07-26 09:50:09,2566,172.0,595,66.0,2965.0,151.0,749.0,5344,Build Production-Grade AI Applications.,166.0,35,True,2023-07-24 20:34:20.000,1.1.0,86.0,bentoml,,,,,1126.0,1126.0,https://pypi.org/project/bentoml,,,88987.0,89027.0,,,,,,,,2.0,2082.0,,,,,,,,,,,,,,,,,,
112,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2023-07-25 11:17:09.000000,2023-07-24 02:12:46,2324,73.0,1068,190.0,226.0,271.0,273.0,5208,Distributed Evolutionary Algorithms in Python.,87.0,35,False,2023-07-21 10:51:54.000,1.4.1,23.0,deap,conda-forge/deap,,,,4138.0,3777.0,https://pypi.org/project/deap,2023-07-21 10:51:54.000,361.0,158833.0,168322.0,https://anaconda.org/conda-forge/deap,2023-07-21 14:58:59.700,313169.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
113,MLxtend,rasbt/mlxtend,sklearn-utils,,https://github.com/rasbt/mlxtend,https://github.com/rasbt/mlxtend,BSD-3-Clause,2014-08-14 01:56:16.000,2023-07-14 23:21:47.000000,2023-07-14 23:18:16,1628,27.0,821,117.0,512.0,133.0,335.0,4470,A library of extension and helper modules for Pythons data analysis and machine learning libraries.,99.0,35,True,2023-04-02 19:01:01.792,0.22.0,50.0,mlxtend,conda-forge/mlxtend,,,['sklearn'],10165.0,9994.0,https://pypi.org/project/mlxtend,2022-05-27 02:03:51.000,171.0,757478.0,761403.0,https://anaconda.org/conda-forge/mlxtend,2023-06-16 13:24:16.113,282604.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
114,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50.000,2023-07-27 13:46:08.000000,2023-07-27 09:59:49,20199,391.0,1092,236.0,6877.0,772.0,1176.0,4273,"Fast, distributed, secure AI for Big Data.",179.0,35,True,2023-04-24 02:17:43.000,2.3.0,616.0,bigdl,,,,,50.0,45.0,https://pypi.org/project/bigdl,2023-07-27 13:46:08.000,1.0,7565.0,7565.0,,,,,,,,2.0,,,,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4,2021-04-20 01:33:14,4.0,,,
115,plotnine,has2k1/plotnine,data-viz,,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,MIT,2017-04-24 19:00:44.000,2023-07-24 11:33:29.000000,2023-07-21 09:41:52,1968,32.0,203,68.0,127.0,78.0,491.0,3523,A grammar of graphics for Python.,103.0,35,True,2023-07-21 09:35:29.000,0.12.2,17.0,plotnine,conda-forge/plotnine,,,,5733.0,5487.0,https://pypi.org/project/plotnine,2023-07-21 09:28:59.000,246.0,1652325.0,1660022.0,https://anaconda.org/conda-forge/plotnine,2023-07-23 16:10:21.070,284798.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
116,VisPy,vispy/vispy,data-viz,,https://github.com/vispy/vispy,https://github.com/vispy/vispy,BSD-3-Clause,2013-03-21 18:43:22.000,2023-07-27 06:37:09.000000,2023-07-17 15:51:35,7263,57.0,606,118.0,1126.0,323.0,1093.0,3090,High-performance interactive 2D/3D data visualization library.,187.0,35,True,2023-05-17 15:53:12.000,0.13.0,35.0,vispy,conda-forge/vispy,,,['jupyter'],1315.0,1197.0,https://pypi.org/project/vispy,2023-05-12 18:50:01.292,117.0,66809.0,72824.0,https://anaconda.org/conda-forge/vispy,2023-06-16 13:22:11.969,413982.0,,,,,2.0,,,,vispy,https://www.npmjs.com/package/vispy,2020-03-15 14:39:41.516,1.0,16.0,,,,,,,,,,,
117,Thinc,explosion/thinc,ml-frameworks,,https://github.com/explosion/thinc,https://github.com/explosion/thinc,MIT,2014-10-16 16:34:59.000,2023-07-27 10:01:15.000000,2023-07-24 15:15:17,5242,8.0,263,84.0,753.0,16.0,119.0,2738,"A refreshing functional take on deep learning, compatible with your favorite libraries.",62.0,35,True,2023-05-03 13:38:28.000,8.1.10,71.0,thinc,conda-forge/thinc,,,,33443.0,33443.0,https://pypi.org/project/thinc,,,4310814.0,4343864.0,https://anaconda.org/conda-forge/thinc,2023-06-16 13:25:08.810,2544900.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
118,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2023-07-27 14:19:28.000000,2023-07-27 01:32:14,2168,159.0,587,76.0,2683.0,243.0,633.0,2154,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",212.0,35,True,2023-05-08 20:03:52.000,2.0.2,27.0,torchaudio,,,,['pytorch'],351.0,,https://pypi.org/project/torchaudio,2023-05-08 18:00:01.264,351.0,1028585.0,1028585.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
119,Rasterio,rasterio/rasterio,geospatial-data,,https://github.com/rasterio/rasterio,https://github.com/rasterio/rasterio,,2013-11-04 16:36:27.000,2023-07-26 23:26:27.000000,2023-07-26 20:36:03,3768,45.0,511,148.0,1086.0,115.0,1567.0,1990,Rasterio reads and writes geospatial raster datasets.,148.0,35,False,2023-06-28 17:18:47.000,1.3.8,81.0,rasterio,conda-forge/rasterio,,,,8339.0,8339.0,https://pypi.org/project/rasterio,,,1617767.0,1699595.0,https://anaconda.org/conda-forge/rasterio,2023-06-29 11:08:32.699,2454619.0,,,,,2.0,850.0,,,,,,,,,,,,,,,,,,
120,snakemake,snakemake/snakemake,ml-experiments,,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867,2023-07-27 07:50:12.000000,2023-07-26 06:50:55,4776,57.0,457,21.0,1032.0,853.0,553.0,1860,"This is the development home of the workflow management system Snakemake. For general information, see.",299.0,35,True,2023-07-26 06:53:02.000,7.31.0,278.0,snakemake,bioconda/snakemake,,,,1840.0,1600.0,https://pypi.org/project/snakemake,2023-07-26 06:53:02.000,240.0,83380.0,92047.0,https://anaconda.org/bioconda/snakemake,2023-07-26 11:45:15.850,806066.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
121,TF Addons,tensorflow/addons,tensorflow-utils,,https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000,2023-07-12 13:46:56.000000,2023-07-12 13:46:52,1510,8.0,551,59.0,1870.0,75.0,892.0,1655,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,204.0,35,True,2023-07-11 23:22:52.000,0.21.0,36.0,tensorflow-addons,,,,['tensorflow'],12690.0,12690.0,https://pypi.org/project/tensorflow-addons,,,995452.0,995452.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
122,metrics,Lightning-AI/metrics,distributed-ml,,https://github.com/Lightning-AI/torchmetrics,https://github.com/Lightning-AI/torchmetrics,Apache-2.0,2020-12-22 20:02:42.000,2023-07-27 13:55:36.000000,2023-07-27 06:11:07,1373,129.0,319,26.0,1106.0,48.0,602.0,1578,"Torchmetrics - Machine learning metrics for distributed, scalable PyTorch applications.",205.0,35,True,2023-07-13 11:16:25.000,1.0.1,33.0,metrics,conda-forge/torchmetrics,,,['pytorch'],13502.0,13489.0,https://pypi.org/project/metrics,2018-04-28 10:58:56.000,13.0,10409.0,45404.0,https://anaconda.org/conda-forge/torchmetrics,2023-06-16 19:25:13.634,977255.0,,,,,2.0,2639.0,,,,,,,,Lightning-AI/torchmetrics,,,,,,,,,,
