,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
189,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2024-02-13 11:58:20.000000,2024-02-13 11:57:59,1492.0,4.0,357.0,91.0,737.0,128.0,441.0,3169.0,Quickly and accurately render even the largest data.,55.0,33,True,2023-10-26 15:10:16.000,0.16.0,33.0,datashader,conda-forge/datashader,,,,3675.0,3675.0,https://pypi.org/project/datashader,,,495720.0,512479.0,https://anaconda.org/conda-forge/datashader,2023-10-27 12:10:53.716,770951.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
190,rubrix,recognai/rubrix,nlp,,https://github.com/argilla-io/argilla,https://github.com/argilla-io/argilla,Apache-2.0,2021-04-28 14:37:42.000,2024-03-07 14:22:07.000000,2024-03-07 12:22:11,2889.0,159.0,290.0,24.0,2666.0,180.0,1643.0,2986.0,"Argilla is a collaboration platform for AI engineers and domain experts that require high-quality outputs, full data..",79.0,33,True,2024-02-29 10:31:19.000,1.25.0,100.0,rubrix,conda-forge/rubrix,,,,2284.0,2284.0,https://pypi.org/project/rubrix,2022-10-24 18:22:00.951,,1673.0,2742.0,https://anaconda.org/conda-forge/rubrix,2023-06-16 19:28:09.653,28876.0,,,,,2.0,,argilla-io/argilla,,,,,,,,,,,,,,,,,,
191,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2024-03-07 11:34:46.000000,2024-02-27 19:07:25,2302.0,9.0,624.0,76.0,2855.0,204.0,715.0,2349.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",222.0,33,True,2024-02-22 21:42:46.000,2.2.1,32.0,torchaudio,,,,['pytorch'],586.0,,https://pypi.org/project/torchaudio,2024-02-22 19:20:36.000,586.0,2423881.0,2423881.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
192,mpld3,mpld3/mpld3,data-viz,,https://github.com/mpld3/mpld3,https://github.com/mpld3/mpld3,BSD-3-Clause,2013-12-18 01:48:30.000,2024-01-11 18:01:50.000000,2023-12-23 13:05:00,887.0,10.0,355.0,84.0,168.0,215.0,146.0,2310.0,D3 Renderings of Matplotlib Graphics.,52.0,33,True,2023-12-23 13:04:29.963,0.5.10,19.0,mpld3,conda-forge/mpld3,,,,6050.0,5626.0,https://pypi.org/project/mpld3,2023-12-23 13:03:02.000,415.0,524277.0,529203.0,https://anaconda.org/conda-forge/mpld3,2023-12-23 15:16:22.285,193528.0,,,,,2.0,,,,mpld3,https://www.npmjs.com/package/mpld3,2023-12-23 13:04:29.963,9.0,626.0,,,,,,,,,,,,
193,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2024-02-21 22:30:58.000000,2024-02-19 19:00:58,3685.0,19.0,193.0,50.0,1353.0,125.0,716.0,1952.0,Ahead of Time compiler for numeric kernels.,72.0,33,True,2024-01-07 21:21:39.000,0.15.0,59.0,pythran,conda-forge/pythran,,,,1876.0,1854.0,https://pypi.org/project/pythran,2024-01-07 21:21:39.000,22.0,198483.0,209219.0,https://anaconda.org/conda-forge/pythran,2024-01-08 06:40:29.964,450931.0,,,,,2.0,,,,,,,,,,,,,,,,,,pythran,python-pythran,
194,TF Addons,tensorflow/addons,tensorflow-utils,,https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000,2023-12-13 04:29:28.000000,2023-12-13 04:29:27,1518.0,1.0,612.0,57.0,1880.0,87.0,895.0,1680.0,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,207.0,33,True,2023-11-28 01:45:31.000,0.23.0,38.0,tensorflow-addons,,,,['tensorflow'],14372.0,14147.0,https://pypi.org/project/tensorflow-addons,2023-11-28 01:45:31.000,225.0,923577.0,923577.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
195,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,BSD-3-Clause,2012-08-03 07:43:59.000,2024-03-06 16:08:00.000000,2024-03-05 00:40:56,2968.0,34.0,356.0,55.0,1131.0,314.0,939.0,1332.0,Cartopy - a cartographic python library with matplotlib support.,125.0,33,True,2023-08-05 00:57:41.000,0.22.0,29.0,cartopy,conda-forge/cartopy,,,,5002.0,4529.0,https://pypi.org/project/cartopy,2023-08-05 00:57:41.000,473.0,225580.0,299736.0,https://anaconda.org/conda-forge/cartopy,2023-10-24 18:58:07.197,3411219.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
196,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,,2010-02-06 11:43:08.000,2024-03-07 11:32:11.000000,2024-03-07 04:32:59,13806.0,230.0,401.0,49.0,2041.0,151.0,762.0,655.0,"DIPY is the paragon 3D/4D+ imaging library in Python. Contains generic methods for spatial normalization, signal..",157.0,33,False,2023-12-14 14:48:42.000,1.8.0,27.0,dipy,conda-forge/dipy,,,,1129.0,1016.0,https://pypi.org/project/dipy,2023-12-14 14:48:42.000,113.0,29936.0,40132.0,https://anaconda.org/conda-forge/dipy,2024-02-08 16:36:03.303,428261.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
197,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,12991.0,1565.0,227.0,730.0,584.0,51276.0,The worlds simplest facial recognition api for Python and the command line.,54.0,32,False,2018-04-02 17:18:43.000,1.2.2,2.0,face_recognition,conda-forge/face_recognition,,,['pytorch'],21.0,21.0,https://pypi.org/project/face_recognition,,,83893.0,84377.0,https://anaconda.org/conda-forge/face_recognition,2023-06-16 19:21:40.721,19772.0,,,,,2.0,1227.0,,,,,,,,,,,,,,,,,,,
198,tinygrad,geohot/tinygrad,pytorch-utils,,https://github.com/tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,MIT,2020-10-18 16:23:12.000,2024-03-07 14:13:34.000000,2024-03-07 02:44:49,3730.0,699.0,2503.0,259.0,3053.0,97.0,427.0,22629.0,You like pytorch? You like micrograd? You love tinygrad!.,283.0,32,True,2024-01-09 18:16:07.000,0.8.0,5.0,,,,,['pytorch'],48.0,48.0,,,,,,,,,,,,,1.0,,tinygrad/tinygrad,,,,,,,,,,,,,,,,,,
199,tensor2tensor,tensorflow/tensor2tensor,tensorflow-utils,,https://github.com/tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,Apache-2.0,2017-06-15 16:57:39.000,2023-06-02 18:55:09.000000,2023-04-01 10:19:28,4379.0,,3420.0,467.0,671.0,590.0,672.0,14649.0,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,244.0,32,True,2020-06-17 16:31:34.798,1.15.7,79.0,tensor2tensor,,,,['tensorflow'],1547.0,1457.0,https://pypi.org/project/tensor2tensor,2020-06-17 16:31:34.798,90.0,5698.0,5698.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
200,Lime,marcotcr/lime,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000,2023-10-25 13:56:47.000000,2021-07-29 23:17:25,531.0,,1743.0,263.0,114.0,89.0,535.0,11184.0,Lime: Explaining the predictions of any machine learning classifier.,62.0,32,False,2020-04-03 22:05:03.000,0.2.0.0,18.0,lime,conda-forge/lime,,,,5148.0,5148.0,https://pypi.org/project/lime,,,327122.0,329397.0,https://anaconda.org/conda-forge/lime,2023-06-16 13:18:57.655,198006.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
201,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2023-11-01 06:14:06.000000,2021-11-29 19:55:31,1571.0,,1159.0,337.0,1683.0,523.0,1294.0,11145.0,Turi Create simplifies the development of custom machine learning models.,86.0,32,False,2020-09-30 22:51:40.000,6.4.1,31.0,turicreate,,,,,389.0,368.0,https://pypi.org/project/turicreate,2020-09-30 22:51:40.000,21.0,28080.0,28208.0,,,,,,,,3.0,9640.0,,,,,,,,,,,,,,,,,,,
202,wordcloud,amueller/word_cloud,data-viz,,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000,2024-01-17 08:31:39.000000,2023-12-09 05:39:53,576.0,5.0,2265.0,221.0,245.0,94.0,416.0,9883.0,A little word cloud generator in Python.,72.0,32,True,2023-12-09 13:50:41.000,1.9.3,13.0,wordcloud,conda-forge/wordcloud,,,,21.0,21.0,https://pypi.org/project/wordcloud,,,1469006.0,1479425.0,https://anaconda.org/conda-forge/wordcloud,2023-12-11 13:49:34.986,458471.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
203,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000,2024-03-07 14:11:00.000000,2024-03-07 13:55:02,10409.0,11.0,1867.0,350.0,3422.0,129.0,1133.0,8386.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,336.0,32,True,2023-07-19 14:18:35.000,9.9.0,29.0,vowpalwabbit,conda-forge/vowpalwabbit,,,,,,https://pypi.org/project/vowpalwabbit,,,55126.0,58552.0,https://anaconda.org/conda-forge/vowpalwabbit,2023-10-08 10:19:04.401,140492.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
204,PyTorch3D,facebookresearch/pytorch3d,image,,https://github.com/facebookresearch/pytorch3d,https://github.com/facebookresearch/pytorch3d,,2019-10-25 02:23:45.000,2024-03-05 02:36:12.000000,2024-03-05 02:30:37,1143.0,20.0,1229.0,146.0,160.0,247.0,1236.0,8142.0,PyTorch3D is FAIRs library of reusable components for deep learning with 3D data.,139.0,32,False,2024-02-22 18:30:39.000,0.7.6,17.0,pytorch3d,pytorch3d/pytorch3d,,,['pytorch'],746.0,732.0,https://pypi.org/project/pytorch3d,2022-04-28 15:53:26.000,14.0,5303.0,8993.0,https://anaconda.org/pytorch3d/pytorch3d,2023-10-31 20:03:11.190,191898.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
205,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2024-03-07 02:35:01.000000,2024-03-06 12:05:52,2898.0,5.0,1606.0,87.0,1629.0,307.0,1828.0,8097.0,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",118.0,32,True,2023-10-18 03:54:18.000,2.9.0,19.0,paddleseg,,,,['paddle'],1138.0,1134.0,https://pypi.org/project/paddleseg,2022-11-30 11:24:02.578,4.0,2080.0,2080.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
206,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2023-11-12 14:28:03.000000,2023-11-12 14:28:03,528.0,,870.0,86.0,274.0,78.0,376.0,7768.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",82.0,32,True,2023-07-30 14:05:26.000,2.6.2,24.0,tensorboardX,conda-forge/tensorboardx,,,,41529.0,40521.0,https://pypi.org/project/tensorboardX,2023-08-20 13:38:18.000,1008.0,2570949.0,2596884.0,https://anaconda.org/conda-forge/tensorboardx,2023-08-20 16:29:43.490,1140940.0,,,,,2.0,413.0,,,,,,,,,,,,,,,,,,,
207,stanza,stanfordnlp/stanza,nlp,,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,,2017-09-26 08:00:56.000,2024-03-07 08:06:16.000000,2024-03-01 05:10:21,4343.0,127.0,843.0,141.0,476.0,85.0,772.0,6980.0,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages.",68.0,32,False,2024-03-01 06:47:02.000,1.8.1,22.0,stanza,stanfordnlp/stanza,,,,2520.0,2520.0,https://pypi.org/project/stanza,,,192547.0,192700.0,https://anaconda.org/stanfordnlp/stanza,2023-06-16 19:18:21.932,7347.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
208,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2023-12-05 22:52:30.000000,2023-11-16 08:43:39,1418.0,,858.0,219.0,220.0,159.0,233.0,6713.0,Efficiently computes derivatives of numpy code.,56.0,32,True,2015-03-05 19:30:11.000,1.0,7.0,autograd,conda-forge/autograd,,,,7512.0,7512.0,https://pypi.org/project/autograd,,,1291950.0,1310938.0,https://anaconda.org/conda-forge/autograd,2023-06-26 15:21:38.267,398754.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
209,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2023-12-16 19:25:54.000000,2023-12-16 19:23:13,1208.0,16.0,650.0,65.0,131.0,53.0,434.0,5674.0,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",40.0,32,True,2023-12-16 19:24:49.000,2.4.1,209.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],1305.0,1274.0,https://pypi.org/project/pytorch-metric-learning,2023-12-16 19:14:54.000,31.0,404478.0,404702.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2023-06-16 19:17:36.446,11211.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
210,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2024-03-07 10:50:49.000000,2024-02-28 19:09:22,2154.0,13.0,277.0,44.0,2124.0,332.0,652.0,4654.0,Aim An easy-to-use & supercharged open-source experiment tracker.,61.0,32,True,2024-02-07 09:25:26.000,3.18.1,916.0,aim,conda-forge/aim,,,,483.0,462.0,https://pypi.org/project/aim,2024-03-05 20:09:03.000,21.0,113382.0,114703.0,https://anaconda.org/conda-forge/aim,2023-06-16 19:26:46.894,42300.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
211,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2024-03-05 02:29:38.000000,2024-03-05 02:21:08,1059.0,9.0,460.0,232.0,734.0,174.0,331.0,4469.0,Model interpretability and understanding for PyTorch.,108.0,32,True,2023-12-05 09:21:02.000,0.7.0,9.0,captum,conda-forge/captum,,,['pytorch'],1852.0,1852.0,https://pypi.org/project/captum,,,196606.0,197399.0,https://anaconda.org/conda-forge/captum,2023-06-16 19:28:19.191,21411.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
212,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2024-02-23 23:38:39.000000,2024-02-23 23:38:38,1423.0,31.0,453.0,55.0,768.0,40.0,476.0,3575.0,NeuralProphet: A simple forecasting package.,52.0,32,True,2024-02-23 20:22:47.000,0.8.0,34.0,neuralprophet,,,,['pytorch'],400.0,395.0,https://pypi.org/project/neuralprophet,2024-02-23 20:22:47.000,5.0,93505.0,93505.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
213,filterpy,rlabbe/filterpy,probabilistics,,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000,2024-02-07 10:05:31.000000,2022-08-22 18:21:12,586.0,,576.0,77.0,78.0,63.0,161.0,3047.0,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",43.0,32,False,2021-12-15 15:49:27.374,0.0.13,49.0,filterpy,conda-forge/filterpy,,,,5449.0,5281.0,https://pypi.org/project/filterpy,2021-12-15 15:49:27.374,168.0,2118985.0,2121960.0,https://anaconda.org/conda-forge/filterpy,2023-06-16 13:24:39.196,241025.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
214,hmmlearn,hmmlearn/hmmlearn,probabilistics,,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000,2024-03-02 22:51:20.000000,2024-03-02 15:14:45,474.0,11.0,732.0,119.0,124.0,64.0,370.0,2922.0,"Hidden Markov Models in Python, with scikit-learn like API.",47.0,32,True,2024-03-02 03:05:38.000,0.3.2,13.0,hmmlearn,conda-forge/hmmlearn,,,['sklearn'],2478.0,2331.0,https://pypi.org/project/hmmlearn,2024-03-02 03:05:38.000,147.0,143120.0,148061.0,https://anaconda.org/conda-forge/hmmlearn,2024-03-02 05:37:57.119,207545.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
215,tslearn,tslearn-team/tslearn,time-series-data,,https://github.com/tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,BSD-2-Clause,2017-05-04 13:08:13.000,2024-03-07 13:57:32.000000,2024-02-27 20:07:45,1636.0,6.0,323.0,60.0,187.0,126.0,192.0,2750.0,The machine learning toolkit for time series analysis in Python.,43.0,32,True,2023-12-12 14:39:23.000,0.6.3,100.0,tslearn,conda-forge/tslearn,,,['sklearn'],1218.0,1169.0,https://pypi.org/project/tslearn,2023-12-12 14:39:23.000,49.0,367049.0,395489.0,https://anaconda.org/conda-forge/tslearn,2024-02-04 18:41:01.911,1279828.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
216,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2024-03-05 16:58:25.000000,2024-03-04 07:40:36,2937.0,15.0,687.0,78.0,857.0,257.0,629.0,2587.0,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",125.0,32,True,2023-10-16 21:49:45.000,0.1.24,24.0,pgmpy,,,,,908.0,875.0,https://pypi.org/project/pgmpy,2023-10-16 20:46:07.000,33.0,45364.0,45370.0,,,,,,,,2.0,311.0,,,,,,,,,,,,,,,,,,,
217,explainerdashboard,oegedijk/explainerdashboard,interpretability,,https://github.com/oegedijk/explainerdashboard,https://github.com/oegedijk/explainerdashboard,MIT,2019-10-30 08:26:16.000,2024-02-26 14:51:30.000000,2023-12-18 19:57:13,1353.0,11.0,303.0,22.0,45.0,34.0,200.0,2153.0,Quickly build Explainable AI dashboards that show the inner workings of so-called blackbox machine learning models.,21.0,32,True,2023-12-17 19:42:36.000,0.4.5,90.0,explainerdashboard,conda-forge/explainerdashboard,,,,455.0,445.0,https://pypi.org/project/explainerdashboard,2023-12-17 19:42:36.000,10.0,82469.0,83567.0,https://anaconda.org/conda-forge/explainerdashboard,2023-12-17 21:59:52.942,42844.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
218,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,MIT,2010-07-09 20:41:11.000,2024-03-04 04:39:24.000000,2023-11-17 20:35:45,543.0,,161.0,44.0,77.0,7.0,127.0,1969.0,a python library for doing approximate and phonetic matching of strings.,31.0,32,True,2023-11-17 20:44:09.000,1.0.3,42.0,jellyfish,conda-forge/jellyfish,,,,8727.0,8271.0,https://pypi.org/project/jellyfish,2023-11-17 20:44:09.000,456.0,2643300.0,2660967.0,https://anaconda.org/conda-forge/jellyfish,2023-11-17 23:08:09.681,795034.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
219,pmdarima,alkaline-ml/pmdarima,time-series-data,,https://github.com/alkaline-ml/pmdarima,https://github.com/alkaline-ml/pmdarima,MIT,2017-03-30 14:58:30.000,2024-02-23 02:51:07.000000,2024-02-23 02:45:37,1079.0,2.0,227.0,34.0,251.0,51.0,271.0,1495.0,"A statistical library designed to fill the void in Pythons time series analysis capabilities, including the equivalent..",23.0,32,True,2023-10-23 16:52:00.000,2.0.4,44.0,pmdarima,conda-forge/pmdarima,,,,7553.0,7464.0,https://pypi.org/project/pmdarima,2023-10-23 14:02:41.000,89.0,2494402.0,2519698.0,https://anaconda.org/conda-forge/pmdarima,2023-10-27 13:29:40.913,1037137.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
220,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,https://github.com/tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28.000,2024-02-23 12:54:27.000000,2024-02-23 12:54:19,825.0,8.0,310.0,120.0,777.0,178.0,166.0,1453.0,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.",84.0,32,True,2024-02-08 02:06:46.000,0.8.0,21.0,tensorflow-model-optimization,,,,['tensorflow'],3567.0,3567.0,https://pypi.org/project/tensorflow-model-optimization,,,973232.0,973232.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
221,Satpy,pytroll/satpy,geospatial-data,,https://github.com/pytroll/satpy,https://github.com/pytroll/satpy,GPL-3.0,2016-02-09 20:29:43.000,2024-03-07 12:56:56.000000,2024-03-01 13:56:48,13170.0,351.0,272.0,35.0,1753.0,375.0,623.0,985.0,Python package for earth-observing satellite data processing.,150.0,32,False,2024-02-21 11:28:27.000,0.47.0,62.0,satpy,conda-forge/satpy,,,,122.0,122.0,https://pypi.org/project/satpy,,,51760.0,55832.0,https://anaconda.org/conda-forge/satpy,2024-02-21 15:57:59.122,183248.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
222,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2024-03-07 13:58:50.000000,2024-03-06 00:22:28,11402.0,164.0,237.0,57.0,12051.0,222.0,2170.0,922.0,Cloud-native genomic dataframes and batch computing.,92.0,32,True,2024-02-20 18:12:18.000,0.2.128,148.0,hail,,,,['spark'],143.0,125.0,https://pypi.org/project/hail,2024-02-20 18:12:18.000,18.0,59348.0,59348.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
223,patsy,pydata/patsy,probabilistics,,https://github.com/pydata/patsy,https://github.com/pydata/patsy,BSD-2-Clause,2012-07-10 12:30:06.000,2024-01-05 15:46:09.327000,2024-01-04 18:54:38,558.0,9.0,107.0,32.0,60.0,71.0,79.0,918.0,Describing statistical models in Python using symbolic formulas.,19.0,32,True,2024-01-04 18:58:03.000,0.5.6,13.0,patsy,conda-forge/patsy,,,,92932.0,90175.0,https://pypi.org/project/patsy,2024-01-04 18:55:57.000,2757.0,14021267.0,14346241.0,https://anaconda.org/conda-forge/patsy,2024-01-05 15:46:09.327,9749248.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
224,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCm/tensorflow-upstream,https://github.com/ROCm/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2024-03-07 13:35:09.000000,2024-03-04 12:06:54,164481.0,2992.0,89.0,52.0,2081.0,105.0,284.0,673.0,TensorFlow ROCm port.,4576.0,32,True,2022-12-06 16:42:53.965,2.9.4,100.0,tensorflow-rocm,,,,['tensorflow'],6.0,,https://pypi.org/project/tensorflow-rocm,2024-01-10 14:33:03.000,6.0,8555.0,8555.0,,,,,,,,3.0,21.0,ROCm/tensorflow-upstream,,,,,,,,,,,,,,,,,,
225,spleeter,deezer/spleeter,audio,,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,MIT,2019-09-26 15:40:46.000,2024-01-07 01:32:14.000000,2023-07-13 08:50:20,531.0,,2708.0,385.0,119.0,228.0,561.0,24613.0,Deezer source separation library including pretrained models.,19.0,31,True,2023-07-10 10:07:01.047,2.4.0,37.0,spleeter,conda-forge/spleeter,,,['tensorflow'],670.0,664.0,https://pypi.org/project/spleeter,2022-06-10 13:19:35.000,6.0,13731.0,71814.0,https://anaconda.org/conda-forge/spleeter,2023-06-16 16:18:57.741,79398.0,,,,,2.0,2997565.0,,,,,,,,,,,,,,,,,,,
226,ivy,unifyai/ivy,ml-frameworks,,https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,,2021-01-19 08:37:25.000,2024-03-07 14:28:03.000000,2024-03-07 14:28:02,17896.0,702.0,5856.0,69.0,11571.0,952.0,15777.0,13963.0,The Unified AI Framework.,1465.0,31,False,,,15.0,ivy,,,,,,,https://pypi.org/project/ivy,,,2702.0,2702.0,,,,,,,,3.0,,,,,,,,,-4.0,,,,,,,,,,,
227,PaddleHub,PaddlePaddle/PaddleHub,others,,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,Apache-2.0,2018-12-21 06:00:48.000,2023-10-18 03:42:44.000000,2023-03-28 11:49:55,2665.0,,2090.0,188.0,1005.0,580.0,713.0,12425.0,"Awesome pre-trained models toolkit based on PaddlePaddle. (400+ models including Image, Text, Audio, Video and Cross-..",69.0,31,True,2023-09-20 10:33:08.000,2.4.0,50.0,paddlehub,,,,['paddle'],1550.0,1544.0,https://pypi.org/project/paddlehub,2023-09-20 10:33:08.000,6.0,4561.0,4572.0,,,,,,,,2.0,664.0,,,,,,,,,,,,,,,,,,,
228,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2023-12-23 01:58:33.000000,2023-10-02 22:40:55,1387.0,,1406.0,303.0,889.0,129.0,759.0,9048.0,AutoML library for deep learning.,143.0,31,True,2023-01-28 18:46:30.271,1.1.0,58.0,autokeras,,,,['tensorflow'],653.0,640.0,https://pypi.org/project/autokeras,2023-01-28 18:46:30.271,13.0,15485.0,15719.0,,,,,,,,2.0,17795.0,,,,,,,,,,,,,,,,,,,
