,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url,new_addition
129,yfinance,ranaroussi/yfinance,,financial-data,https://github.com/ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,Apache-2.0,2017-05-21 10:16:15.000000,2021-01-23 15:20:41.000000,2021-01-18 14:16:47.000000,1030,316.0,172.0,4005,247.0,Yahoo! Finance market data downloader (+faster Pandas Datareader).,28.0,29,True,2020-10-05 12:19:44.000000,0.1.55,20.0,yfinance,ranaroussi/yfinance,,,,2836.0,2810.0,https://pypi.org/project/yfinance,2020-10-05 12:19:44.000000,26.0,89059.0,90961.0,https://anaconda.org/ranaroussi/yfinance,2019-12-27 21:30:44.606000,32336.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
130,TinyDB,msiemens/tinydb,,data-containers,https://github.com/msiemens/tinydb,https://github.com/msiemens/tinydb,MIT,2013-07-12 23:31:13.000000,2021-01-23 15:29:31.000000,2021-01-23 15:29:24.000000,366,8.0,240.0,3978,604.0,TinyDB is a lightweight document oriented database optimized for your happiness :).,62.0,29,True,2020-11-14 21:02:31.000000,4.3.0,58.0,tinydb,conda-forge/tinydb,,,,1118.0,,https://pypi.org/project/tinydb,2020-11-14 21:02:29.000000,1118.0,127032.0,128857.0,https://anaconda.org/conda-forge/tinydb,2020-11-14 22:52:17.151000,100386.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
131,kaggle,Kaggle/kaggle-api,,ml-experiments,https://github.com/Kaggle/kaggle-api,https://github.com/Kaggle/kaggle-api,Apache-2.0,2018-01-25 03:02:39.000000,2021-01-21 01:19:19.873000,2020-11-30 21:43:14.000000,770,165.0,108.0,3806,137.0,Official Kaggle API.,35.0,29,True,2020-11-30 13:37:18.000000,1.5.10,47.0,kaggle,conda-forge/kaggle,,,,4959.0,4395.0,https://pypi.org/project/kaggle,2020-11-30 13:37:18.000000,564.0,114983.0,117005.0,https://anaconda.org/conda-forge/kaggle,2021-01-21 01:19:19.873000,40442.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
132,sacred,IDSIA/sacred,,ml-experiments,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000000,2021-01-18 13:36:24.000000,2021-01-12 12:37:55.000000,314,92.0,399.0,3278,1300.0,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",91.0,29,True,2020-12-14 15:21:05.000000,0.8.2,27.0,sacred,,,,,937.0,783.0,https://pypi.org/project/sacred,2020-12-14 15:21:05.000000,154.0,10675.0,10675.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
133,Koalas,databricks/koalas,,data-containers,https://github.com/databricks/koalas,https://github.com/databricks/koalas,Apache-2.0,2019-01-03 21:46:54.000000,2021-01-28 06:00:15.000000,2021-01-28 05:20:38.000000,298,92.0,422.0,2604,1447.0,Koalas: pandas API on Apache Spark.,47.0,29,True,2021-01-22 09:42:01.000000,1.6.0,43.0,koalas,conda-forge/koalas,,,"['spark', 'pandas']",74.0,72.0,https://pypi.org/project/koalas,2021-01-22 09:42:01.000000,2.0,672822.0,676619.0,https://anaconda.org/conda-forge/koalas,2021-01-22 12:57:15.187000,75059.0,,,,,2.0,996.0,,,,,,,,,,,,,,,,,,,,,,
134,dbt,fishtown-analytics/dbt,,data-pipelines,https://github.com/fishtown-analytics/dbt,https://github.com/fishtown-analytics/dbt,Apache-2.0,2016-03-10 02:38:00.000000,2021-01-27 22:16:29.000000,2021-01-27 22:16:13.000000,483,268.0,1439.0,2435,2481.0,dbt (data build tool) enables data analysts and engineers to transform their data using the same practices that..,133.0,29,True,2021-01-27 18:24:45.000000,0.19.0,143.0,dbt,conda-forge/dbt,,,,197.0,179.0,https://pypi.org/project/dbt,2021-01-27 18:03:11.000000,18.0,95456.0,98430.0,https://anaconda.org/conda-forge/dbt,2020-05-14 13:55:32.153000,148745.0,,,,,2.0,,,1.0,,,,,,,dbt,,,,,,,,,,,,,
135,PyQtGraph,pyqtgraph/pyqtgraph,,data-viz,https://github.com/pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,MIT,2013-09-12 07:18:21.000000,2021-01-28 09:59:19.000000,2021-01-27 23:49:04.000000,806,286.0,455.0,2282,2397.0,Fast data visualization and GUI tools for scientific / engineering applications.,180.0,29,True,2020-12-20 02:41:29.000000,pyqtgraph-0.11.1,12.0,pyqtgraph,conda-forge/pyqtgraph,,,,890.0,,https://pypi.org/project/pyqtgraph,2020-12-20 02:43:22.000000,890.0,23592.0,26914.0,https://anaconda.org/conda-forge/pyqtgraph,2020-12-20 05:06:42.442000,159483.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
136,hmmlearn,hmmlearn/hmmlearn,,probabilistics,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000000,2021-01-27 18:18:51.000000,2021-01-27 18:18:03.000000,603,66.0,276.0,2167,350.0,"Hidden Markov Models in Python, with scikit-learn like API.",32.0,29,True,2020-09-12 15:19:20.000000,0.2.4,6.0,hmmlearn,conda-forge/hmmlearn,,,['sklearn'],1071.0,865.0,https://pypi.org/project/hmmlearn,2020-09-12 15:19:20.000000,206.0,99075.0,101357.0,https://anaconda.org/conda-forge/hmmlearn,2021-01-22 00:32:31.425000,59356.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
137,pandas-datareader,pydata/pandas-datareader,,data-loading,https://github.com/pydata/pandas-datareader,https://github.com/pydata/pandas-datareader,BSD-3-Clause,2015-01-15 00:34:19.000000,2021-01-27 10:30:22.000000,2020-12-31 11:58:23.000000,500,74.0,370.0,1832,764.0,Extract data from a wide range of Internet sources into a pandas DataFrame.,77.0,29,True,2020-07-10 10:04:14.000000,0.9.0,21.0,pandas-datareader,conda-forge/pandas-datareader,,,['pandas'],9011.0,7605.0,https://pypi.org/project/pandas-datareader,2020-07-10 10:04:14.000000,1406.0,98087.0,100052.0,https://anaconda.org/conda-forge/pandas-datareader,2019-11-20 10:38:42.074000,88469.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
138,HoloViews,holoviz/holoviews,,data-viz,https://github.com/holoviz/holoviews,https://github.com/holoviz/holoviews,BSD-3-Clause,2014-05-07 16:59:22.000000,2021-01-28 14:23:31.000000,2021-01-28 14:22:57.000000,299,674.0,1816.0,1794,10121.0,"With Holoviews, your data visualizes itself.",101.0,29,True,2021-01-27 18:07:05.000000,1.14.1,60.0,holoviews,conda-forge/holoviews,,,['jupyter'],170.0,,https://pypi.org/project/holoviews,2020-12-27 23:53:28.000000,170.0,67487.0,82071.0,https://anaconda.org/conda-forge/holoviews,2020-12-28 13:23:01.410000,408306.0,,,,,2.0,,,,@pyviz/jupyterlab_pyviz,https://www.npmjs.com/package/@pyviz/jupyterlab_pyviz,2020-05-24 13:49:54.205000,,7293.0,,,,,,,,,,,,,,,
139,Lifelines,CamDavidsonPilon/lifelines,,medical-data,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000000,2021-01-22 15:03:27.000000,2021-01-22 15:02:15.000000,411,189.0,588.0,1538,2084.0,Survival analysis in Python.,90.0,29,True,2021-01-22 15:03:27.000000,0.25.8,153.0,lifelines,conda-forge/lifelines,,,,612.0,486.0,https://pypi.org/project/lifelines,2021-01-22 15:03:27.000000,126.0,90877.0,93116.0,https://anaconda.org/conda-forge/lifelines,2020-12-10 02:47:14.864000,123169.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
140,Geocoder,DenisCarriere/geocoder,,geospatial-data,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000000,2020-12-30 04:09:42.000000,2018-10-12 15:53:05.000000,252,64.0,215.0,1322,1251.0,Python Geocoder.,74.0,29,False,2018-04-04 12:34:51.000000,1.38.1,108.0,geocoder,conda-forge/geocoder,,,,3562.0,2986.0,https://pypi.org/project/geocoder,2018-04-04 12:34:51.000000,576.0,197079.0,198921.0,https://anaconda.org/conda-forge/geocoder,2019-06-27 16:40:50.469000,86619.0,,,,,2.0,,,,,,,,,,,,,,geocoder,,,,,,,,,
141,torchaudio,pytorch/audio,,audio,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000000,2021-01-28 12:41:33.000000,2021-01-27 17:59:03.000000,266,152.0,252.0,1206,676.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",86.0,29,True,2020-12-10 17:02:20.000000,0.7.2,11.0,torchaudio,,,,['pytorch'],1312.0,1303.0,https://pypi.org/project/torchaudio,2020-10-27 16:14:57.000000,9.0,61981.0,61981.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
142,Graphviz,xflr6/graphviz,,data-viz,https://github.com/xflr6/graphviz,https://github.com/xflr6/graphviz,MIT,2014-01-12 17:49:29.000000,2021-01-22 09:02:12.000000,2021-01-18 19:38:58.000000,140,5.0,96.0,906,450.0,Simple Python interface for Graphviz.,16.0,29,True,2020-10-07 09:06:41.000000,0.14.2,47.0,graphviz,,,,,21547.0,17165.0,https://pypi.org/project/graphviz,2020-12-24 16:17:24.000000,4382.0,2053314.0,2053314.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
143,TensorFlow Transform,tensorflow/transform,,tensorflow-utils,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000000,2021-01-28 13:51:14.000000,2021-01-28 13:51:06.000000,165,32.0,115.0,850,576.0,Input pipeline framework.,27.0,29,True,2021-01-27 23:13:00.000000,0.27.0,33.0,tensorflow-transform,,,,['tensorflow'],485.0,401.0,https://pypi.org/project/tensorflow-transform,2020-12-16 21:35:23.000000,84.0,5607334.0,5607334.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
144,snakemake,snakemake/snakemake,,ml-experiments,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867000,2021-01-26 15:17:38.000000,2021-01-24 21:52:24.000000,186,323.0,206.0,830,3953.0,"This is the development home of the workflow management system Snakemake. For general information, see.",195.0,29,True,2021-01-15 13:36:23.000000,5.32.0,159.0,snakemake,bioconda/snakemake,,,,1019.0,731.0,https://pypi.org/project/snakemake,2021-01-15 13:37:08.000000,288.0,7565.0,11865.0,https://anaconda.org/bioconda/snakemake,2021-01-20 23:07:32.614000,270956.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
145,Fiona,Toblerity/Fiona,,geospatial-data,https://github.com/Toblerity/Fiona,https://github.com/Toblerity/Fiona,BSD-3-Clause,2011-12-31 19:47:00.000000,2021-01-27 02:46:08.000000,2020-11-30 07:11:40.000000,165,69.0,546.0,774,1093.0,Fiona reads and writes geographic data files.,65.0,29,True,2020-11-17 18:32:17.000000,1.8.18,96.0,fiona,conda-forge/fiona,,,,6102.0,4914.0,https://pypi.org/project/fiona,2020-11-17 18:32:17.000000,1188.0,408491.0,437151.0,https://anaconda.org/conda-forge/fiona,2020-11-17 20:48:12.542000,1662291.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
146,Bottleneck,pydata/bottleneck,,data-containers,https://github.com/pydata/bottleneck,https://github.com/pydata/bottleneck,BSD-2-Clause,2010-11-27 23:21:22.000000,2021-01-24 18:54:13.000000,2021-01-24 18:39:03.000000,65,23.0,177.0,572,1241.0,Fast NumPy array functions written in C.,21.0,29,True,2020-02-21 06:22:16.000000,1.3.2,21.0,Bottleneck,conda-forge/bottleneck,,,,21382.0,18490.0,https://pypi.org/project/Bottleneck,2020-02-21 06:22:16.000000,2892.0,161301.0,186054.0,https://anaconda.org/conda-forge/bottleneck,2021-01-21 02:48:32.623000,1386222.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
147,pyproj,pyproj4/pyproj,,geospatial-data,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000000,2021-01-08 01:17:08.000000,2021-01-08 01:15:13.000000,147,6.0,375.0,565,1099.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,39.0,29,True,2020-11-05 13:39:29.000000,3.0.0.post1,34.0,pyproj,conda-forge/pyproj,,,,10783.0,8321.0,https://pypi.org/project/pyproj,2020-11-05 14:28:45.000000,2462.0,969045.0,1000063.0,https://anaconda.org/conda-forge/pyproj,2020-11-06 22:55:31.654000,1892146.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
148,NIPYPE,nipy/nipype,,medical-data,https://github.com/nipy/nipype,https://github.com/nipy/nipype,Apache-2.0,2010-07-22 17:06:49.000000,2021-01-11 05:49:22.000000,2020-12-08 17:16:40.000000,439,312.0,873.0,546,14049.0,Workflows and interfaces for neuroimaging packages.,212.0,29,True,2020-09-17 18:44:32.000000,1.5.1,54.0,nipype,conda-forge/nipype,,,,697.0,505.0,https://pypi.org/project/nipype,2020-08-16 18:30:16.000000,192.0,8724.0,15180.0,https://anaconda.org/conda-forge/nipype,2020-11-28 17:44:51.813000,348661.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
149,NiBabel,nipy/nibabel,,medical-data,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000000,2021-01-17 18:44:58.000000,2021-01-17 17:02:03.000000,209,109.0,285.0,385,4939.0,Python package to access a cacophony of neuro-imaging file formats.,89.0,29,True,2020-11-28 22:19:50.000000,3.2.1,32.0,nibabel,conda-forge/nibabel,,,,4837.0,3573.0,https://pypi.org/project/nibabel,2020-11-28 22:18:23.000000,1264.0,40079.0,45335.0,https://anaconda.org/conda-forge/nibabel,2020-11-29 03:40:05.178000,294390.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
150,baselines,openai/baselines,,reinforcement-learning,https://github.com/openai/baselines,https://github.com/openai/baselines,MIT,2017-05-24 01:58:13.000000,2021-01-02 22:20:03.000000,2020-01-31 13:06:18.000000,3836,452.0,423.0,11076,347.0,OpenAI Baselines: high-quality implementations of reinforcement learning algorithms.,114.0,28,True,2018-02-26 17:07:07.000000,0.1.5,6.0,baselines,,,,,319.0,282.0,https://pypi.org/project/baselines,2018-02-26 17:07:07.000000,37.0,26706.0,26706.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
151,Rasa,RasaHQ/rasa,,nlp,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000000,2021-01-28 12:04:47.000000,2021-01-28 11:56:25.000000,3276,597.0,4427.0,10617,,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",457.0,28,True,2021-01-28 12:06:50.000000,2.2.8,179.0,rasa,,,,['tensorflow'],64.0,,https://pypi.org/project/rasa,2021-01-25 15:09:26.000000,64.0,61869.0,61869.0,,,,,,,,2.0,,,-4.0,,,,,,,,,,,,,,,,,,,,
152,PyTorch Geometric,rusty1s/pytorch_geometric,,graph,https://github.com/rusty1s/pytorch_geometric,https://github.com/rusty1s/pytorch_geometric,MIT,2017-10-06 16:03:03.000000,2021-01-28 08:46:29.000000,2021-01-20 07:38:57.000000,1717,688.0,1097.0,10074,4076.0,Geometric Deep Learning Extension Library for PyTorch.,137.0,28,True,2020-12-02 14:57:09.000000,1.6.3,25.0,torch-geometric,,,,['pytorch'],24.0,,https://pypi.org/project/torch-geometric,2020-11-27 07:18:41.000000,24.0,10879.0,10879.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
153,Sonnet,deepmind/sonnet,,ml-frameworks,https://github.com/deepmind/sonnet,https://github.com/deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000000,2020-11-30 02:35:15.000000,2020-10-08 10:01:11.000000,1257,18.0,135.0,8718,545.0,TensorFlow-based neural network library.,48.0,28,True,2020-03-27 10:36:19.000000,2.0.0,27.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],574.0,492.0,https://pypi.org/project/dm-sonnet,2020-03-27 10:36:10.000000,82.0,33823.0,34324.0,https://anaconda.org/conda-forge/sonnet,2020-11-14 18:13:23.843000,7019.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
154,Albumentations,albumentations-team/albumentations,,image,https://github.com/albumentations-team/albumentations,https://github.com/albumentations-team/albumentations,MIT,2018-06-06 03:10:50.000000,2021-01-27 11:17:46.000000,2021-01-27 06:35:32.000000,922,176.0,235.0,7160,616.0,Fast image augmentation library and easy to use wrapper around other libraries. Documentation:..,72.0,28,True,2020-11-29 14:30:07.000000,0.5.2,44.0,albumentations,conda-forge/albumentations,,,['pytorch'],2742.0,2614.0,https://pypi.org/project/albumentations,2020-11-29 14:30:07.000000,128.0,50173.0,50929.0,https://anaconda.org/conda-forge/albumentations,2020-11-29 15:51:47.610000,14364.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
155,Pyro,pyro-ppl/pyro,,probabilistics,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000000,2021-01-28 14:42:52.000000,2021-01-26 16:28:37.000000,785,130.0,680.0,6705,2138.0,Deep universal probabilistic programming with Python and PyTorch.,103.0,28,True,2020-11-17 23:30:42.000000,1.5.1,24.0,pyro-ppl,,,,['pytorch'],402.0,366.0,https://pypi.org/project/pyro-ppl,2020-11-17 23:22:46.000000,36.0,8779.0,8779.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
156,tensorpack,tensorpack/tensorpack,,ml-frameworks,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000000,2021-01-22 08:44:03.000000,2021-01-22 08:43:22.000000,1760,14.0,1297.0,5910,2928.0,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",55.0,28,True,2020-04-24 19:01:06.000000,0.10.1,37.0,tensorpack,,,,['tensorflow'],747.0,671.0,https://pypi.org/project/tensorpack,2021-01-22 08:44:03.000000,76.0,49346.0,49348.0,,,,,,,,3.0,111.0,,,,,,,,,,,,,,,,,,,,,,
157,faust,robinhood/faust,,data-pipelines,https://github.com/robinhood/faust,https://github.com/robinhood/faust,BSD-3-Clause,2017-03-08 18:36:11.000000,2021-01-21 01:53:26.000000,2020-10-09 12:59:42.000000,435,233.0,221.0,5248,4137.0,Python Stream Processing.,91.0,28,True,2020-02-25 22:57:18.000000,1.10.4,46.0,faust,,,,,638.0,610.0,https://pypi.org/project/faust,2020-02-25 22:57:18.000000,28.0,59907.0,59907.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,
158,stanza,stanfordnlp/stanza,,nlp,https://github.com/stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,Apache-2.0,2017-09-26 08:00:56.000000,2021-01-27 23:07:06.000000,2021-01-27 23:00:47.000000,647,60.0,396.0,5137,1846.0,Official Stanford NLP Python Library for Many Human Languages.,32.0,28,True,2020-08-13 06:26:20.000000,1.1.1,10.0,stanza,stanfordnlp/stanza,,,,311.0,307.0,https://pypi.org/project/stanza,2021-01-27 16:31:43.000000,4.0,11709.0,12014.0,https://anaconda.org/stanfordnlp/stanza,2021-01-27 22:24:06.992000,3059.0,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,
159,OpenNMT,OpenNMT/OpenNMT-py,,nlp,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000000,2021-01-28 11:40:17.000000,2021-01-28 11:40:16.000000,1768,90.0,1126.0,4792,2545.0,Open Source Neural Machine Translation in PyTorch.,165.0,28,True,2021-01-27 09:22:31.000000,2.0.1,28.0,OpenNMT-py,,,,['pytorch'],71.0,67.0,https://pypi.org/project/OpenNMT-py,2021-01-27 09:22:31.000000,4.0,3332.0,3332.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
160,csvkit,wireservice/csvkit,,data-loading,https://github.com/wireservice/csvkit,https://github.com/wireservice/csvkit,MIT,2011-04-01 03:00:30.000000,2021-01-25 19:13:27.000000,2020-10-30 01:59:29.000000,535,56.0,743.0,4459,1693.0,"A suite of utilities for converting to and working with CSV, the king of tabular file formats.",91.0,28,True,2020-03-03 03:00:28.000000,1.0.5,33.0,csvkit,conda-forge/csvkit,,,,1516.0,814.0,https://pypi.org/project/csvkit,2020-03-03 03:00:28.000000,702.0,21876.0,22855.0,https://anaconda.org/conda-forge/csvkit,2019-05-28 12:30:50.171000,45064.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
161,Tokenizers,huggingface/tokenizers,,nlp,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20.000000,2021-01-27 07:42:37.000000,2021-01-12 21:47:56.000000,309,80.0,292.0,4196,1427.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,40.0,28,True,2021-01-12 21:50:02.000000,0.10.0,58.0,tokenizers,conda-forge/tokenizers,,,,25.0,25.0,https://pypi.org/project/tokenizers,2021-01-12 21:50:02.000000,0.0,707299.0,710590.0,https://anaconda.org/conda-forge/tokenizers,2020-11-19 06:02:47.112000,19746.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
162,DEAP,deap/deap,,distributed-ml,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000000,2021-01-18 16:32:46.000000,2020-12-25 17:33:18.000000,839,166.0,222.0,4052,2147.0,Distributed Evolutionary Algorithms in Python.,67.0,28,False,2020-01-21 01:18:06.000000,1.3.1,16.0,deap,conda-forge/deap,,,,2058.0,1576.0,https://pypi.org/project/deap,2020-01-21 01:18:06.000000,482.0,70718.0,72714.0,https://anaconda.org/conda-forge/deap,2021-01-13 14:43:13.393000,109794.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
163,sentence-transformers,UKPLab/sentence-transformers,,nlp,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000000,2021-01-27 09:50:47.000000,2021-01-27 09:50:42.000000,754,302.0,353.0,4024,604.0,Sentence Embeddings with BERT & XLNet.,39.0,28,True,2021-01-04 14:04:01.000000,0.4.1,29.0,sentence-transformers,,,,['pytorch'],594.0,594.0,https://pypi.org/project/sentence-transformers,2021-01-04 15:49:09.000000,0.0,189174.0,189174.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
164,Kornia,kornia/kornia,,image,https://github.com/kornia/kornia,https://github.com/kornia/kornia,Apache-2.0,2018-08-22 10:31:37.000000,2021-01-28 14:31:41.000000,2021-01-28 14:31:39.000000,347,103.0,247.0,3542,1492.0,Open Source Differentiable Computer Vision Library for PyTorch.,83.0,28,True,2020-10-20 19:31:49.000000,0.4.1,12.0,kornia,,,,['pytorch'],248.0,248.0,https://pypi.org/project/kornia,2020-10-20 19:31:49.000000,0.0,13104.0,13104.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
165,imutils,jrosebr1/imutils,,image,https://github.com/jrosebr1/imutils,https://github.com/jrosebr1/imutils,MIT,2015-01-11 20:05:39.000000,2021-01-15 17:56:11.000000,2021-01-15 10:46:45.000000,871,127.0,76.0,3491,138.0,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",20.0,28,True,2021-01-15 10:53:17.000000,0.5.4,29.0,imutils,conda-forge/imutils,,,,13012.0,11816.0,https://pypi.org/project/imutils,2021-01-15 10:53:17.000000,1196.0,124810.0,126671.0,https://anaconda.org/conda-forge/imutils,2021-01-15 14:27:25.471000,35363.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
166,Kedro,quantumblacklabs/kedro,,data-pipelines,https://github.com/quantumblacklabs/kedro,https://github.com/quantumblacklabs/kedro,Apache-2.0,2019-04-18 10:29:56.000000,2021-01-28 15:04:58.000000,2021-01-28 14:26:34.000000,385,87.0,343.0,3340,1132.0,"A Python framework for creating reproducible, maintainable and modular data science code.",94.0,28,True,2020-12-17 13:31:56.000000,0.17.0,24.0,kedro,,,,,386.0,370.0,https://pypi.org/project/kedro,2020-12-17 13:31:56.000000,16.0,46466.0,46466.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
167,dyNET,clab/dynet,,ml-frameworks,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000000,2021-01-27 15:43:17.000000,2021-01-27 15:43:03.000000,692,255.0,660.0,3177,3267.0,DyNet: The Dynamic Neural Network Toolkit.,156.0,28,True,2020-10-21 14:31:01.000000,2.1.2,24.0,dyNET,,,,,204.0,166.0,https://pypi.org/project/dyNET,2020-10-21 14:31:01.000000,38.0,4425.0,4457.0,,,,,,,,3.0,1642.0,,,,,,,,,,,,,,,,,,,,,,
168,Blaze,blaze/blaze,,data-containers,https://github.com/blaze/blaze,https://github.com/blaze/blaze,BSD-3-Clause,2012-10-26 14:25:22.000000,2020-02-01 19:33:09.000000,2019-08-15 21:14:59.000000,373,262.0,500.0,2921,7496.0,NumPy and Pandas interface to Big Data.,64.0,28,False,2016-07-19 20:40:03.000000,0.11.0,14.0,blaze,conda-forge/blaze,,,,7928.0,7440.0,https://pypi.org/project/blaze,2016-05-06 21:19:21.000000,488.0,8338.0,12919.0,https://anaconda.org/conda-forge/blaze,2018-07-15 22:16:17.685000,187826.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
169,Dedupe,dedupeio/dedupe,,nlp,https://github.com/dedupeio/dedupe,https://github.com/dedupeio/dedupe,MIT,2012-04-20 14:57:36.000000,2021-01-15 22:45:06.000000,2021-01-15 22:44:19.000000,402,52.0,572.0,2886,2793.0,"A python library for accurate and scalable fuzzy matching, record deduplication and entity-resolution.",55.0,28,True,2020-09-02 00:17:19.000000,2.0.6,157.0,dedupe,,,,,254.0,176.0,https://pypi.org/project/dedupe,2020-09-06 01:50:45.000000,78.0,39410.0,39410.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
170,PyCaret,pycaret/pycaret,,ml-experiments,https://github.com/pycaret/pycaret,https://github.com/pycaret/pycaret,MIT,2019-11-23 18:40:48.000000,2021-01-27 17:16:26.000000,2021-01-27 15:35:23.000000,604,156.0,555.0,2884,1650.0,"An open-source, low-code machine learning library in Python.",46.0,28,True,2020-12-22 22:10:30.000000,2.2.3,68.0,pycaret,,,,,629.0,629.0,https://pypi.org/project/pycaret,2020-12-22 22:10:30.000000,0.0,20343.0,20402.0,,,,,,,,2.0,355.0,,,,,,,,,,,,,,,,,,,,,,
