,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,updated_github_id,new_addition
246,GPflow,GPflow/GPflow,probabilistics,,https://github.com/GPflow/GPflow,https://github.com/GPflow/GPflow,Apache-2.0,2016-01-14 11:29:24.000,2022-02-16 19:16:06.000000,2022-02-15 14:30:39,2274.0,26.0,415,79.0,1039.0,125.0,626.0,1587,Gaussian processes in TensorFlow.,76.0,31,True,2022-01-20 11:46:07.000,2.3.1,33.0,gpflow,conda-forge/gpflow,,,['tensorflow'],355.0,327.0,https://pypi.org/project/gpflow,2022-01-20 11:46:07.000,28.0,8771.0,8996.0,https://anaconda.org/conda-forge/gpflow,2022-02-06 12:16:39.296,10144.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
247,mleap,combust/mleap,data-pipelines,,https://github.com/combust/mleap,https://github.com/combust/mleap,Apache-2.0,2016-08-23 03:51:03.000,2022-02-17 10:29:49.000000,2022-01-27 12:35:32,981.0,32.0,290,74.0,368.0,90.0,351.0,1354,MLeap: Deploy ML Pipelines to Production.,71.0,31,True,2022-01-12 10:21:57.000,0.19.0,9.0,mleap,conda-forge/mleap,,,,201.0,176.0,https://pypi.org/project/mleap,2022-01-12 10:21:57.000,25.0,196697.0,197975.0,https://anaconda.org/conda-forge/mleap,2022-01-12 12:53:12.772,43477.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
248,PyCUDA,inducer/pycuda,gpu-utilities,,https://github.com/inducer/pycuda,https://github.com/inducer/pycuda,MIT,2011-04-06 02:53:31.000,2022-02-16 20:11:45.000000,2022-02-16 16:38:58,1518.0,10.0,246,54.0,117.0,65.0,155.0,1269,"CUDA integration for Python, plus shiny features.",74.0,31,True,2019-08-12 04:15:37.000,2019.1.2,47.0,pycuda,conda-forge/pycuda,,,,1351.0,1161.0,https://pypi.org/project/pycuda,2021-04-03 22:28:54.000,190.0,31970.0,37008.0,https://anaconda.org/conda-forge/pycuda,2021-11-06 22:00:35.210,55418.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
249,tensorly,tensorly/tensorly,others,,https://github.com/tensorly/tensorly,https://github.com/tensorly/tensorly,BSD-2-Clause,2016-10-21 23:14:52.000,2022-02-17 14:13:22.000000,2022-02-16 22:34:35,1378.0,64.0,224,38.0,186.0,45.0,132.0,1183,TensorLy: Tensor Learning in Python.,50.0,31,True,2021-11-08 13:38:03.000,0.7.0,18.0,tensorly,conda-forge/tensorly,,,,253.0,223.0,https://pypi.org/project/tensorly,2021-11-08 13:38:03.000,30.0,5727.0,10291.0,https://anaconda.org/conda-forge/tensorly,2021-12-09 16:07:42.501,205401.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
250,pmdarima,alkaline-ml/pmdarima,time-series-data,,https://github.com/alkaline-ml/pmdarima,https://github.com/alkaline-ml/pmdarima,MIT,2017-03-30 14:58:30.000,2022-02-16 06:01:43.000000,2022-01-04 15:25:50,1046.0,4.0,195,34.0,213.0,24.0,243.0,1124,"A statistical library designed to fill the void in Pythons time series analysis capabilities, including the equivalent..",19.0,31,True,2021-11-05 12:39:58.000,1.8.4,36.0,pmdarima,conda-forge/pmdarima,,,,1799.0,1755.0,https://pypi.org/project/pmdarima,2021-11-05 12:39:58.000,44.0,1015139.0,1017005.0,https://anaconda.org/conda-forge/pmdarima,2021-11-15 19:38:27.612,29857.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
251,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2022-02-17 14:55:45.000000,2022-02-17 14:55:40,12486.0,447.0,130,22.0,935.0,212.0,467.0,1011,"Visualize, create, and debug image and video datasets and model predictions.",25.0,31,True,2022-02-07 18:47:35.000,0.14.4,67.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",82.0,81.0,https://pypi.org/project/fiftyone,2022-02-07 18:47:35.000,1.0,23980.0,23980.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
252,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2022-02-01 17:53:30.000000,2022-01-29 00:36:59,2590.0,40.0,303,57.0,969.0,303.0,764.0,993,Cartopy - a cartographic python library with matplotlib support.,107.0,31,False,2022-01-13 02:45:47.000,0.20.2,25.0,cartopy,conda-forge/cartopy,,,,2448.0,2145.0,https://pypi.org/project/cartopy,2022-01-13 02:48:14.000,303.0,134870.0,162267.0,https://anaconda.org/conda-forge/cartopy,2022-01-19 16:01:54.059,1945209.0,,,,,2.0,,-1.0,,,,,,,,,,,,,,,,,,,
253,metrics,PyTorchLightning/metrics,distributed-ml,,https://github.com/PyTorchLightning/metrics,https://github.com/PyTorchLightning/metrics,Apache-2.0,2020-12-22 20:02:42.000,2022-02-17 14:19:21.000000,2022-02-14 22:32:49,682.0,145.0,151,22.0,468.0,54.0,242.0,688,"Machine learning metrics for distributed, scalable PyTorch applications.",116.0,31,True,2022-02-10 17:04:39.000,0.7.2,15.0,metrics,conda-forge/torchmetrics,,,['pytorch'],1900.0,1886.0,https://pypi.org/project/metrics,2018-04-28 10:58:56.000,14.0,2661.0,28097.0,https://anaconda.org/conda-forge/torchmetrics,2022-02-10 19:09:17.964,279357.0,,,,,2.0,449.0,,,,,,,,,,,,,,,,,,,,
254,snowballstemmer,snowballstem/snowball,nlp,,https://github.com/snowballstem/snowball,https://github.com/snowballstem/snowball,BSD-3-Clause,2013-02-23 07:17:42.000,2022-02-01 21:28:26.000000,2021-12-17 04:08:52,919.0,1.0,149,32.0,106.0,25.0,44.0,542,Snowball compiler and stemming algorithms.,28.0,31,True,2021-11-16 18:38:34.000,2.2.0,10.0,snowballstemmer,conda-forge/snowballstemmer,,,,6731.0,4.0,https://pypi.org/project/snowballstemmer,2021-11-16 18:38:34.000,6727.0,6403552.0,6461167.0,https://anaconda.org/conda-forge/snowballstemmer,2021-11-17 09:59:16.947,3802638.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
255,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,BSD-3-Clause,2010-02-06 11:43:08.000,2022-02-16 18:00:18.000000,2022-02-16 18:00:18,11817.0,80.0,331,50.0,1714.0,123.0,643.0,491,"DIPY is the paragon 3D/4D+ imaging library in Python. Contains generic methods for spatial normalization, signal..",128.0,31,True,2021-05-06 04:40:48.000,1.4.1,23.0,dipy,conda-forge/dipy,,,,577.0,497.0,https://pypi.org/project/dipy,2021-05-06 04:40:48.000,80.0,10031.0,14103.0,https://anaconda.org/conda-forge/dipy,2021-05-06 13:36:55.402,281032.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
256,baselines,openai/baselines,reinforcement-learning,,https://github.com/openai/baselines,https://github.com/openai/baselines,MIT,2017-05-24 01:58:13.000,2021-12-03 07:10:56.000000,2020-01-31 13:06:18,347.0,,4144,579.0,367.0,472.0,430.0,12337,OpenAI Baselines: high-quality implementations of reinforcement learning algorithms.,114.0,30,False,2018-02-26 17:07:07.000,0.1.5,6.0,baselines,,,,,407.0,368.0,https://pypi.org/project/baselines,2018-02-26 17:07:07.000,39.0,1156.0,1156.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
257,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/deepmind/sonnet,https://github.com/deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2022-02-10 00:16:31.000000,2022-02-01 18:28:37,847.0,4.0,1281,437.0,64.0,22.0,147.0,9193,TensorFlow-based neural network library.,53.0,30,True,2020-03-27 10:36:19.000,2.0.0,27.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],824.0,772.0,https://pypi.org/project/dm-sonnet,2020-03-27 10:36:10.000,52.0,19559.0,20034.0,https://anaconda.org/conda-forge/sonnet,2020-11-14 18:13:23.843,12825.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
258,Vaex,vaexio/vaex,data-containers,,https://github.com/vaexio/vaex,https://github.com/vaexio/vaex,MIT,2014-09-27 09:44:42.000,2022-02-17 13:26:48.000000,2022-02-14 12:08:33,3424.0,120.0,534,142.0,833.0,361.0,641.0,6918,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a..",63.0,30,True,2022-02-07 15:14:31.000,4.8.0,58.0,vaex,conda-forge/vaex,,,,16.0,,https://pypi.org/project/vaex,2022-02-07 15:14:31.000,16.0,28809.0,30706.0,https://anaconda.org/conda-forge/vaex,2021-12-30 12:48:14.043,121306.0,,,,,3.0,226.0,,,,,,,,,,,,,,,,,,,,
259,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2022-02-16 15:38:55.000000,2021-05-08 20:05:36,292.0,,1875,276.0,67.0,250.0,426.0,6834,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,15.0,30,True,2021-01-05 01:26:01.000,2.1.6,10.0,imageai,conda-forge/imageai,,,,1058.0,1042.0,https://pypi.org/project/imageai,2021-01-05 01:26:01.000,16.0,8352.0,23954.0,https://anaconda.org/conda-forge/imageai,2021-04-30 19:03:25.297,2376.0,,,,,2.0,711950.0,,,,,,,,,,,,,,,,,,,,
260,PaddleDetection,PaddlePaddle/PaddleDetection,image,,https://github.com/PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14.000,2022-02-17 06:41:25.000000,2022-02-17 06:41:25,1323.0,59.0,1601,154.0,2249.0,923.0,2055.0,6341,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object..",80.0,30,True,2021-12-09 11:11:05.000,2.3.0,6.0,paddledet,,,,['paddle'],9.0,9.0,https://pypi.org/project/paddledet,2021-11-26 08:48:44.000,,305.0,305.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
261,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2022-02-11 13:18:21.000000,2022-02-08 08:46:26,3159.0,49.0,537,118.0,103.0,92.0,726.0,5932,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",61.0,30,True,2022-01-26 21:13:25.000,13.3.0,191.0,ocrmypdf,conda-forge/ocrmypdf,,,,12.0,,https://pypi.org/project/ocrmypdf,2022-01-26 21:13:25.000,12.0,23241.0,23941.0,https://anaconda.org/conda-forge/ocrmypdf,2022-01-26 23:49:36.723,8410.0,,,,,2.0,,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,,,
262,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2022-02-16 16:42:16.000000,2021-12-16 19:43:39,2611.0,2.0,992,214.0,921.0,116.0,503.0,5606,An open source library for deep learning end-to-end dialog systems and chatbots.,67.0,30,True,2021-12-16 19:47:39.000,0.17.2,47.0,deeppavlov,,,,['tensorflow'],253.0,247.0,https://pypi.org/project/deeppavlov,2021-12-16 19:47:39.000,6.0,9340.0,9340.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
263,CleverHans,cleverhans-lab/cleverhans,adversarial,,https://github.com/cleverhans-lab/cleverhans,https://github.com/cleverhans-lab/cleverhans,MIT,2016-09-15 00:28:04.000,2022-01-23 02:08:30.000000,2021-09-23 22:14:27,3201.0,,1304,187.0,780.0,25.0,422.0,5407,"An adversarial example library for constructing attacks, building defenses, and benchmarking both.",128.0,30,True,2021-07-24 08:53:21.000,4.0.0,8.0,cleverhans,conda-forge/cleverhans,,,['tensorflow'],307.0,296.0,https://pypi.org/project/cleverhans,2021-07-24 08:53:21.000,11.0,985.0,1112.0,https://anaconda.org/conda-forge/cleverhans,2021-07-29 12:49:41.903,2556.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
264,pyAudioAnalysis,tyiannak/pyAudioAnalysis,audio,,https://github.com/tyiannak/pyAudioAnalysis,https://github.com/tyiannak/pyAudioAnalysis,Apache-2.0,2014-08-27 12:43:13.000,2022-02-09 19:42:05.000000,2022-02-09 19:41:47,765.0,42.0,1069,206.0,86.0,176.0,117.0,4613,"Python Audio Analysis Library: Feature Extraction, Classification, Segmentation and Applications.",26.0,30,True,2022-02-07 22:36:53.000,0.3.14,23.0,pyAudioAnalysis,,,,,272.0,253.0,https://pypi.org/project/pyAudioAnalysis,2022-02-07 22:36:53.000,19.0,11241.0,11241.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
265,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2022-02-17 14:46:36.000000,2022-02-17 14:46:35,34725.0,356.0,586,143.0,5947.0,707.0,3698.0,4517,cuDF - GPU DataFrame Library.,229.0,30,True,2022-02-02 16:43:03.000,22.02.00,22.0,cudf,,,,,3.0,,https://pypi.org/project/cudf,2020-06-01 20:07:47.000,3.0,1071.0,1071.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
266,pyfolio,quantopian/pyfolio,financial-data,,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000,2021-12-26 17:08:51.000000,2020-07-15 13:46:58,1184.0,,1310,306.0,290.0,134.0,265.0,4261,Portfolio and risk analytics in Python.,56.0,30,False,2019-04-15 15:00:21.000,0.9.2,22.0,pyfolio,conda-forge/pyfolio,,,,400.0,368.0,https://pypi.org/project/pyfolio,2019-04-15 15:00:21.000,32.0,5903.0,6069.0,https://anaconda.org/conda-forge/pyfolio,2020-05-16 14:11:57.267,7991.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
267,NeMo,NVIDIA/NeMo,nlp,,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42.000,2022-02-17 13:35:54.000000,2022-02-17 09:46:14,4203.0,255.0,852,129.0,2518.0,72.0,909.0,3882,NeMo: a toolkit for conversational AI.,129.0,30,True,2022-02-05 06:09:02.000,1.6.2,49.0,nemo-toolkit,,,,['pytorch'],7.0,,https://pypi.org/project/nemo-toolkit,2022-02-05 06:11:26.000,7.0,12642.0,12814.0,,,,,,,,2.0,4994.0,,,,,,,,,,,,,,,,,,,,
268,huey,coleifer/huey,data-pipelines,,https://github.com/coleifer/huey,https://github.com/coleifer/huey,MIT,2011-11-03 16:39:43.000,2022-01-10 17:30:34.000000,2022-01-10 17:30:10,934.0,7.0,329,82.0,159.0,,493.0,3822,a little task queue for python.,66.0,30,True,2021-12-28 18:36:38.000,2.4.3,64.0,huey,conda-forge/huey,,,,1023.0,863.0,https://pypi.org/project/huey,2021-12-28 18:36:38.000,160.0,58884.0,59383.0,https://anaconda.org/conda-forge/huey,2019-10-16 15:34:27.487,22966.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
269,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2022-02-17 02:40:00.000000,2022-02-11 10:31:05,3259.0,53.0,344,79.0,285.0,6.0,333.0,3177,Online machine learning in Python.,72.0,30,True,2022-02-04 15:14:56.000,0.10.0,6.0,river,conda-forge/river,,,,80.0,74.0,https://pypi.org/project/river,2022-02-04 15:29:10.000,6.0,5747.0,6412.0,https://anaconda.org/conda-forge/river,2021-12-09 16:10:41.029,6651.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
270,missingno,ResidentMario/missingno,data-viz,,https://github.com/ResidentMario/missingno,https://github.com/ResidentMario/missingno,MIT,2016-03-27 15:18:50.000,2022-02-17 10:44:31.000000,2021-07-04 16:09:34,180.0,,385,70.0,33.0,13.0,102.0,3069,Missing data visualization module for Python.,17.0,30,True,2021-07-04 16:12:30.000,0.5.0,24.0,missingno,conda-forge/missingno,,,,6383.0,6272.0,https://pypi.org/project/missingno,2021-07-04 16:12:30.000,111.0,841113.0,843732.0,https://anaconda.org/conda-forge/missingno,2020-02-15 10:07:41.253,144060.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
271,plotnine,has2k1/plotnine,data-viz,,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,GPL-2.0,2017-04-24 19:00:44.000,2022-02-14 08:15:52.000000,2022-02-12 20:39:29,1714.0,9.0,155,65.0,97.0,81.0,386.0,2954,A grammar of graphics for Python.,90.0,30,False,2021-03-25 12:57:10.000,0.8.0,11.0,plotnine,conda-forge/plotnine,,,,3158.0,2965.0,https://pypi.org/project/plotnine,2021-03-25 10:49:20.000,193.0,210944.0,213528.0,https://anaconda.org/conda-forge/plotnine,2021-03-25 12:31:04.423,147323.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
272,pomegranate,jmschrei/pomegranate,probabilistics,,https://github.com/jmschrei/pomegranate,https://github.com/jmschrei/pomegranate,MIT,2014-11-24 18:36:58.000,2022-02-07 03:46:26.000000,2022-02-06 20:36:39,931.0,14.0,508,102.0,315.0,59.0,608.0,2834,"Fast, flexible and easy to use probabilistic modelling in Python.",65.0,30,True,2021-11-19 21:46:05.000,0.14.7,67.0,pomegranate,conda-forge/pomegranate,,,,679.0,635.0,https://pypi.org/project/pomegranate,2021-11-19 21:46:05.000,44.0,38712.0,41284.0,https://anaconda.org/conda-forge/pomegranate,2021-11-16 01:22:35.020,79747.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
273,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2022-02-11 11:31:44.000000,2022-02-11 11:31:44,1302.0,5.0,329,89.0,554.0,131.0,355.0,2706,Quickly and accurately render even the largest data.,45.0,30,True,2021-06-09 23:30:20.000,0.13.0,24.0,datashader,conda-forge/datashader,,,,1033.0,959.0,https://pypi.org/project/datashader,2021-06-09 22:59:52.000,74.0,43807.0,48960.0,https://anaconda.org/conda-forge/datashader,2021-06-10 09:04:19.929,262833.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
274,Arctic,man-group/arctic,data-containers,,https://github.com/man-group/arctic,https://github.com/man-group/arctic,LGPL-2.1,2015-05-29 13:37:30.000,2022-02-11 20:25:23.000000,2022-02-10 10:22:22,1110.0,25.0,522,172.0,429.0,96.0,443.0,2605,Arctic is a high performance datastore for numeric data.,75.0,30,True,2022-01-26 14:04:58.000,1.80.4,89.0,arctic,conda-forge/arctic,,,,183.0,149.0,https://pypi.org/project/arctic,2022-01-24 17:37:17.000,34.0,8572.0,9104.0,https://anaconda.org/conda-forge/arctic,2019-12-16 08:57:24.231,17491.0,,,,,3.0,181.0,,,,,,,,,,,,,,,,,,,,
275,Neural Network Libraries,sony/nnabla,ml-frameworks,,https://github.com/sony/nnabla,https://github.com/sony/nnabla,Apache-2.0,2017-06-26 01:07:10.000,2022-02-10 02:36:22.000000,2022-01-26 00:02:46,2971.0,68.0,313,164.0,962.0,32.0,45.0,2518,Neural Network Libraries.,64.0,30,True,2022-01-26 00:19:08.000,1.25.0,62.0,nnabla,,,,,51.0,,https://pypi.org/project/nnabla,2022-01-26 00:05:16.000,51.0,4225.0,4234.0,,,,,,,,3.0,533.0,,,,,,,,,,,,,,,,,,,,
276,Cufflinks,santosjorge/cufflinks,data-viz,,https://github.com/santosjorge/cufflinks,https://github.com/santosjorge/cufflinks,MIT,2014-11-19 20:59:33.000,2022-02-11 16:25:24.000000,2021-02-25 05:05:09,452.0,,585,105.0,73.0,92.0,123.0,2504,Productivity Tools for Plotly + Pandas.,38.0,30,True,2020-03-01 17:42:01.000,0.17.3,28.0,cufflinks,,,,['pandas'],5384.0,5226.0,https://pypi.org/project/cufflinks,2021-12-15 15:49:58.297,158.0,289206.0,289206.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
277,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2022-02-17 07:27:50.000000,2022-02-16 20:00:09,2665.0,264.0,458,47.0,669.0,120.0,667.0,2430,Model Serving on PyTorch.,95.0,30,True,2021-12-29 21:45:21.000,0.5.2,13.0,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],8.0,,https://pypi.org/project/torchserve,2021-12-29 21:04:22.000,8.0,12705.0,48773.0,https://anaconda.org/pytorch/torchserve,2021-12-29 21:04:49.234,18865.0,https://hub.docker.com/r/pytorch/torchserve,2021-12-29 21:11:42.894442,11.0,984725.0,2.0,958.0,,,,,,,,,,,,,,,,,,,,
278,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2022-01-04 14:27:58.000000,2021-09-07 19:15:32,209.0,,287,67.0,52.0,13.0,93.0,2282,A Python Perceptual Image Hashing Module.,20.0,30,True,2021-07-15 12:35:01.000,4.2.1,18.0,ImageHash,conda-forge/imagehash,,,,4594.0,4279.0,https://pypi.org/project/ImageHash,2021-07-15 12:35:01.000,315.0,1364116.0,1366758.0,https://anaconda.org/conda-forge/imagehash,2021-07-15 15:00:27.543,166497.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
279,tslearn,tslearn-team/tslearn,time-series-data,,https://github.com/tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,BSD-2-Clause,2017-05-04 13:08:13.000,2022-02-09 16:42:55.000000,2021-12-06 15:56:44,1581.0,5.0,256,56.0,128.0,74.0,179.0,2013,A machine learning toolkit dedicated to time-series data.,36.0,30,True,2021-08-16 07:09:52.000,0.5.2,94.0,tslearn,conda-forge/tslearn,,,['sklearn'],426.0,407.0,https://pypi.org/project/tslearn,2021-08-16 07:29:50.000,19.0,98858.0,104108.0,https://anaconda.org/conda-forge/tslearn,2022-01-15 08:48:51.564,246782.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
280,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2022-02-14 22:34:58.000000,2022-02-14 22:08:59,378.0,36.0,357,61.0,143.0,123.0,120.0,1878,Header-only C++/python library for fast approximate nearest neighbors.,56.0,30,True,2022-02-14 22:34:58.000,0.6.2,9.0,hnswlib,conda-forge/hnswlib,,,,214.0,194.0,https://pypi.org/project/hnswlib,2022-02-14 22:34:58.000,20.0,68161.0,70673.0,https://anaconda.org/conda-forge/hnswlib,2021-02-04 20:34:56.456,35181.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
281,TextAttack,QData/TextAttack,adversarial,,https://github.com/QData/TextAttack,https://github.com/QData/TextAttack,MIT,2019-10-15 00:51:44.000,2022-02-16 19:18:46.000000,2022-02-16 19:18:45,2404.0,16.0,219,30.0,428.0,39.0,152.0,1845,"TextAttack is a Python framework for adversarial attacks, data augmentation, and model training in NLP..",46.0,30,True,2021-11-10 01:36:28.000,0.3.4,42.0,textattack,conda-forge/textattack,,,,67.0,64.0,https://pypi.org/project/textattack,2021-11-10 01:36:28.000,3.0,12621.0,12770.0,https://anaconda.org/conda-forge/textattack,2021-06-29 21:16:15.345,2544.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
282,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2022-02-15 17:40:57.000000,2022-02-15 17:40:51,685.0,48.0,133,35.0,190.0,35.0,99.0,1729,JAX-based neural network library.,57.0,30,True,2022-02-14 13:30:31.000,0.0.6,8.0,dm-haiku,conda-forge/dm-haiku,,,,363.0,333.0,https://pypi.org/project/dm-haiku,2022-02-14 13:30:31.000,30.0,84048.0,84215.0,https://anaconda.org/conda-forge/dm-haiku,2022-02-14 15:16:38.407,2013.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
283,TFX,tensorflow/tfx,data-pipelines,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2022-02-17 09:35:08.000000,2022-02-17 03:44:36,4097.0,121.0,525,91.0,3955.0,249.0,490.0,1699,TFX is an end-to-end platform for deploying production ML pipelines.,128.0,30,True,2022-02-08 22:39:24.000,1.6.1,72.0,tfx,,,,['tensorflow'],7.0,,https://pypi.org/project/tfx,2022-02-08 22:39:24.000,7.0,289829.0,289829.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
284,datasketch,ekzhu/datasketch,data-containers,,https://github.com/ekzhu/datasketch,https://github.com/ekzhu/datasketch,MIT,2015-03-20 01:21:46.000,2022-02-04 09:05:43.000000,2022-02-04 08:52:34,205.0,10.0,234,51.0,48.0,29.0,100.0,1661,"MinHash, LSH, LSH Forest, Weighted MinHash, HyperLogLog, HyperLogLog++, LSH Ensemble.",21.0,30,True,2022-02-04 09:05:43.000,1.5.7,79.0,datasketch,,,,,401.0,347.0,https://pypi.org/project/datasketch,2022-02-04 09:04:49.000,54.0,433964.0,433964.0,,,,,,,,3.0,19.0,,,,,,,,,,,,,,,,,,,,
285,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,BSD-2-Clause,2010-07-09 20:41:11.000,2022-01-09 18:22:30.772000,2022-01-07 20:13:06,422.0,8.0,148,42.0,51.0,9.0,99.0,1615,a python library for doing approximate and phonetic matching of strings.,25.0,30,True,2022-01-07 20:20:43.000,0.9.0,32.0,jellyfish,conda-forge/jellyfish,,,,3657.0,3259.0,https://pypi.org/project/jellyfish,2022-01-07 20:20:43.000,398.0,1873343.0,1875997.0,https://anaconda.org/conda-forge/jellyfish,2022-01-09 18:22:30.772,172560.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
286,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2022-02-17 02:14:39.000000,2022-02-15 21:55:09,591.0,40.0,150,36.0,663.0,59.0,213.0,1615,PyTorch extensions for high performance and large scale training.,55.0,30,True,2022-01-14 20:24:58.000,0.4.5,27.0,fairscale,conda-forge/fairscale,,,['pytorch'],186.0,173.0,https://pypi.org/project/fairscale,2022-01-14 20:24:56.000,13.0,59742.0,61415.0,https://anaconda.org/conda-forge/fairscale,2022-02-05 10:19:33.275,5020.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
