,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
213,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2023-10-05 01:18:24.000000,2023-10-05 01:03:34,1366.0,27.0,427.0,52.0,710.0,44.0,446.0,3263.0,NeuralProphet: A simple forecasting package.,45.0,32,True,2023-06-14 22:41:07.000,0.6.2,27.0,neuralprophet,,,,['pytorch'],307.0,304.0,https://pypi.org/project/neuralprophet,2023-09-19 18:17:10.000,3.0,108836.0,108836.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
214,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2023-10-04 01:10:09.000000,2023-09-20 00:35:48,3821.0,20.0,504.0,57.0,867.0,320.0,959.0,3224.0,A highly efficient implementation of Gaussian Processes in PyTorch.,125.0,32,True,2023-06-02 22:04:02.000,1.11,38.0,gpytorch,conda-forge/gpytorch,,,['pytorch'],1635.0,1568.0,https://pypi.org/project/gpytorch,2023-06-02 22:13:00.914,67.0,247887.0,250920.0,https://anaconda.org/conda-forge/gpytorch,2023-08-11 22:34:06.614,124370.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
215,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2023-10-03 05:07:41.000000,2023-09-22 16:44:58,1270.0,25.0,265.0,54.0,211.0,51.0,400.0,2794.0,STUMPY is a powerful and scalable Python library for modern time series analysis.,33.0,32,True,2023-08-21 11:33:22.000,1.12.0,28.0,stumpy,conda-forge/stumpy,,,,550.0,535.0,https://pypi.org/project/stumpy,2023-08-21 11:33:22.000,15.0,227189.0,250578.0,https://anaconda.org/conda-forge/stumpy,2023-08-21 11:50:40.587,935569.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
216,Keras Tuner,keras-team/keras-tuner,hyperopt,,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,Apache-2.0,2019-06-06 22:38:21.000,2023-10-02 21:24:08.000000,2023-10-02 21:01:36,1059.0,25.0,381.0,65.0,464.0,200.0,264.0,2776.0,A Hyperparameter Tuning Library for Keras.,58.0,32,True,2023-10-02 21:24:08.000,1.4.4,32.0,keras-tuner,conda-forge/keras-tuner,,,['tensorflow'],2780.0,2722.0,https://pypi.org/project/keras-tuner,2023-10-02 21:24:08.000,58.0,196941.0,197886.0,https://anaconda.org/conda-forge/keras-tuner,2023-06-15 21:56:32.772,24590.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
217,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/google-deepmind/dm-haiku,https://github.com/google-deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2023-09-22 14:44:28.000000,2023-09-15 20:57:01,948.0,38.0,216.0,40.0,501.0,106.0,169.0,2613.0,JAX-based neural network library.,79.0,32,True,2023-07-14 15:43:01.201,0.0.10,13.0,dm-haiku,conda-forge/dm-haiku,,,,1558.0,1491.0,https://pypi.org/project/dm-haiku,2023-07-14 15:43:01.201,67.0,281671.0,282077.0,https://anaconda.org/conda-forge/dm-haiku,2023-07-14 16:46:49.056,13003.0,,,,,3.0,,,,,,,,,google-deepmind/dm-haiku,,,,,,,,,,,
218,TF-Agents,tensorflow/agents,reinforcement-learning,,https://github.com/tensorflow/agents,https://github.com/tensorflow/agents,Apache-2.0,2018-11-17 00:29:12.000,2023-10-03 11:40:04.000000,2023-10-02 17:37:10,2236.0,11.0,688.0,81.0,196.0,184.0,459.0,2603.0,"TF-Agents: A reliable, scalable and easy to use TensorFlow library for Contextual Bandits and Reinforcement Learning.",142.0,32,True,2023-10-03 11:38:48.000,0.18.0,49.0,tf-agents,,,,['tensorflow'],1301.0,1296.0,https://pypi.org/project/tf-agents,2023-10-03 11:38:48.000,5.0,29312.0,29312.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
219,TFX,tensorflow/tfx,tensorflow-utils,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2023-10-05 12:16:13.000000,2023-10-04 19:18:06,5349.0,206.0,666.0,89.0,5472.0,93.0,832.0,2003.0,TFX is an end-to-end platform for deploying production ML pipelines.,178.0,32,True,2023-09-06 18:31:57.000,1.14.0,95.0,tfx,,,,['tensorflow'],14.0,,https://pypi.org/project/tfx,2023-09-06 22:01:30.000,14.0,44566.0,44566.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
220,ArcGIS API,Esri/arcgis-python-api,geospatial-data,,https://github.com/Esri/arcgis-python-api,https://github.com/Esri/arcgis-python-api,Apache-2.0,2016-03-16 01:09:14.000,2023-10-04 20:53:08.000000,2023-10-04 15:18:43,4105.0,155.0,1075.0,155.0,1066.0,45.0,589.0,1677.0,Documentation and samples for ArcGIS API for Python.,89.0,32,True,2023-10-03 15:37:18.000,2.2.0,38.0,arcgis,,esridocker/arcgis-api-python-notebook,,,34.0,2.0,https://pypi.org/project/arcgis,2023-09-25 09:48:09.000,32.0,75619.0,75875.0,,,,https://hub.docker.com/r/esridocker/arcgis-api-python-notebook,2022-06-17 15:56:10.986929,40.0,13445.0,3.0,9282.0,,,,,,,,,,,,,,,,,,,
221,Geocoder,DenisCarriere/geocoder,geospatial-data,,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000,2023-09-26 00:06:37.000000,2018-10-12 15:53:05,1251.0,,275.0,52.0,154.0,82.0,218.0,1551.0,Python Geocoder.,73.0,32,False,2016-09-05 17:57:51.000,1.17.3,18.0,geocoder,conda-forge/geocoder,,,,7783.0,7783.0,https://pypi.org/project/geocoder,,,430040.0,431689.0,https://anaconda.org/conda-forge/geocoder,2023-06-16 13:21:27.128,131921.0,,,,,3.0,,,,,,,,,,,,,,,,,,geocoder,,
222,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,https://github.com/tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28.000,2023-09-14 23:00:07.000000,2023-09-14 23:00:02,815.0,7.0,320.0,122.0,765.0,205.0,163.0,1434.0,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.",83.0,32,True,2023-05-26 02:36:01.000,0.7.5,30.0,tensorflow-model-optimization,,,,['tensorflow'],3223.0,3193.0,https://pypi.org/project/tensorflow-model-optimization,2023-05-26 02:35:42.850,30.0,471685.0,471685.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
223,pmdarima,alkaline-ml/pmdarima,time-series-data,,https://github.com/alkaline-ml/pmdarima,https://github.com/alkaline-ml/pmdarima,MIT,2017-03-30 14:58:30.000,2023-08-07 13:28:03.000000,2023-07-03 18:08:53,1073.0,,227.0,35.0,244.0,50.0,268.0,1426.0,"A statistical library designed to fill the void in Pythons time series analysis capabilities, including the equivalent..",22.0,32,True,2023-03-15 20:50:50.683,2.0.3,43.0,pmdarima,conda-forge/pmdarima,,,,6359.0,6278.0,https://pypi.org/project/pmdarima,2023-03-15 20:50:50.683,81.0,1565335.0,1593091.0,https://anaconda.org/conda-forge/pmdarima,2023-06-16 19:23:20.782,999231.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
224,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2023-10-04 05:30:50.000000,2023-10-04 05:07:58,1512.0,17.0,143.0,42.0,131.0,7.0,636.0,1143.0,A Python data analysis library that is optimized for humans instead of machines.,51.0,32,True,,,7.0,agate,conda-forge/agate,,,,2170.0,2170.0,https://pypi.org/project/agate,,,3824666.0,3829734.0,https://anaconda.org/conda-forge/agate,2023-09-07 13:33:50.830,146986.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
225,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000,2023-09-22 11:51:56.000000,2023-09-22 11:51:54,914.0,13.0,214.0,60.0,98.0,45.0,172.0,968.0,Input pipeline framework.,27.0,32,True,2023-08-11 23:14:04.000,1.14.0,56.0,tensorflow-transform,,,,['tensorflow'],1545.0,1489.0,https://pypi.org/project/tensorflow-transform,2023-08-11 23:14:04.000,56.0,782823.0,782823.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
226,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2023-10-05 14:22:37.000000,2023-10-05 13:05:14,158691.0,4050.0,79.0,51.0,1911.0,94.0,279.0,659.0,TensorFlow ROCm port.,4484.0,32,True,2022-12-06 16:42:53.965,2.9.4,97.0,tensorflow-rocm,,,,['tensorflow'],5.0,,https://pypi.org/project/tensorflow-rocm,2023-10-04 19:01:50.000,5.0,3140.0,3140.0,,,,,,,,3.0,21.0,,,,,,,,,,,,,,,,,,,
227,spleeter,deezer/spleeter,audio,,https://github.com/deezer/spleeter,https://github.com/deezer/spleeter,MIT,2019-09-26 15:40:46.000,2023-08-30 18:40:54.000000,2023-07-13 08:50:20,531.0,1.0,2579.0,376.0,116.0,213.0,556.0,23562.0,Deezer source separation library including pretrained models.,19.0,31,True,2023-07-10 10:07:01.047,2.4.0,37.0,spleeter,conda-forge/spleeter,,,['tensorflow'],590.0,584.0,https://pypi.org/project/spleeter,2022-06-10 13:19:35.000,6.0,16025.0,73323.0,https://anaconda.org/conda-forge/spleeter,2023-06-16 16:18:57.741,78382.0,,,,,2.0,2670310.0,,,,,,,,,,,,,,,,,,,
228,tinygrad,geohot/tinygrad,pytorch-utils,,https://github.com/tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,MIT,2020-10-18 16:23:12.000,2023-10-05 15:32:38.000000,2023-10-05 14:22:05,2563.0,482.0,2045.0,248.0,1561.0,62.0,315.0,19629.0,You like pytorch? You like micrograd? You love tinygrad!.,219.0,31,True,2023-08-27 16:40:37.000,0.7.0,4.0,,,,,['pytorch'],27.0,27.0,,,,,,,,,,,,,1.0,,,,,,,,,tinygrad/tinygrad,,,,,,,,,,,
229,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2023-10-04 00:17:49.000000,2023-07-11 13:03:36,1421.0,1.0,3721.0,768.0,1132.0,373.0,588.0,18681.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,31,True,2022-08-01 18:23:00.243,2.1.4,67.0,magenta,,,,['tensorflow'],508.0,470.0,https://pypi.org/project/magenta,2018-07-31 15:38:15.000,38.0,2557.0,2557.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
230,Qlib,microsoft/qlib,financial-data,,https://github.com/microsoft/qlib,https://github.com/microsoft/qlib,MIT,2020-08-14 06:46:00.000,2023-10-05 02:19:58.000000,2023-09-15 09:18:04,1952.0,16.0,2136.0,267.0,872.0,226.0,573.0,12536.0,"Qlib is an AI-oriented quantitative investment platform that aims to realize the potential, empower research, and..",120.0,31,True,2023-07-18 11:35:09.110,0.9.3,32.0,pyqlib,,,,['pytorch'],17.0,16.0,https://pypi.org/project/pyqlib,2022-06-15 06:55:10.000,1.0,1809.0,1819.0,,,,,,,,1.0,372.0,,,,,,,,,,,,,,,,,,,
231,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2023-10-02 22:40:56.000000,2023-10-02 22:40:55,1387.0,2.0,1406.0,304.0,889.0,129.0,758.0,8934.0,AutoML library for deep learning.,143.0,31,True,2023-01-28 18:46:30.271,1.1.0,58.0,autokeras,,,,['tensorflow'],584.0,573.0,https://pypi.org/project/autokeras,2022-04-30 05:46:13.000,11.0,12482.0,12711.0,,,,,,,,2.0,16266.0,,,,,,,,,,,,,,,,,,,
232,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2023-09-25 14:18:43.000000,2023-04-18 11:08:13,2759.0,,1239.0,214.0,704.0,169.0,826.0,7155.0,Automated Machine Learning with scikit-learn.,88.0,31,True,2023-02-13 12:35:21.000,0.15.0,42.0,auto-sklearn,conda-forge/auto-sklearn,,,['sklearn'],532.0,493.0,https://pypi.org/project/auto-sklearn,2022-09-20 10:32:07.471,39.0,24878.0,25522.0,https://anaconda.org/conda-forge/auto-sklearn,2023-06-16 19:25:30.278,19323.0,,,,,2.0,50.0,,,,,,,,,,,,,,,,,,,
233,Darts,unit8co/darts,time-series-data,,https://github.com/unit8co/darts,https://github.com/unit8co/darts,Apache-2.0,2018-09-13 15:17:28.000,2023-10-05 14:28:04.000000,2023-09-16 17:34:06,1087.0,55.0,713.0,57.0,848.0,241.0,930.0,6490.0,A python library for user-friendly forecasting and anomaly detection on time series.,103.0,31,True,2023-09-16 18:00:33.000,0.26.0,37.0,u8darts,conda-forge/u8darts-all,unit8/darts,,,383.0,378.0,https://pypi.org/project/u8darts,2023-09-16 18:00:33.000,5.0,12995.0,14329.0,https://anaconda.org/conda-forge/u8darts-all,2023-09-16 21:13:02.960,35857.0,https://hub.docker.com/r/unit8/darts,2023-09-16 17:47:31.409750,,408.0,2.0,,,,,,,,,,,,,,,,,,,,
234,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2023-10-03 10:40:48.000000,2023-08-17 07:21:00,2693.0,4.0,1123.0,210.0,1032.0,19.0,611.0,6361.0,An open source library for deep learning end-to-end dialog systems and chatbots.,76.0,31,True,2023-08-17 08:55:26.000,1.3.0,60.0,deeppavlov,,,,['tensorflow'],365.0,359.0,https://pypi.org/project/deeppavlov,2023-08-17 08:55:26.000,6.0,7945.0,7945.0,,,,,,,,2.0,,,,,,,,,deeppavlov/DeepPavlov,,,,,,,,,,,
235,DoWhy,py-why/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2023-10-05 04:37:29.000000,2023-09-27 18:29:51,914.0,44.0,863.0,137.0,593.0,119.0,288.0,6198.0,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,81.0,31,True,2023-09-05 05:01:49.000,0.10.1,13.0,dowhy,conda-forge/dowhy,,,,298.0,291.0,https://pypi.org/project/dowhy,2023-09-05 05:01:49.000,7.0,38613.0,39029.0,https://anaconda.org/conda-forge/dowhy,2023-06-16 19:19:18.359,17059.0,,,,,1.0,33.0,,,,,,,,,,,,,,,,,,,
236,pyfolio,quantopian/pyfolio,financial-data,,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000,2023-06-16 16:07:59.111000,2020-07-15 13:46:58,1184.0,,1594.0,307.0,292.0,152.0,265.0,5162.0,Portfolio and risk analytics in Python.,59.0,31,False,2019-04-15 15:00:21.000,0.9.2,22.0,pyfolio,conda-forge/pyfolio,,,,909.0,875.0,https://pypi.org/project/pyfolio,2019-04-15 15:00:21.000,34.0,8773.0,8955.0,https://anaconda.org/conda-forge/pyfolio,2023-06-16 16:07:59.111,12431.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
237,VisualDL,PaddlePaddle/VisualDL,ml-experiments,,https://github.com/PaddlePaddle/VisualDL,https://github.com/PaddlePaddle/VisualDL,Apache-2.0,2017-12-20 12:34:31.000,2023-09-20 11:21:28.000000,2023-09-20 11:21:28,918.0,1.0,634.0,149.0,789.0,141.0,355.0,4653.0,Deep Learning Visualization Toolkit.,33.0,31,True,2023-06-05 07:21:00.910,2.5.3,43.0,visualdl,,,,['paddle'],2371.0,2331.0,https://pypi.org/project/visualdl,2023-06-05 07:21:00.910,40.0,124198.0,124206.0,,,,,,,,2.0,325.0,,,,,,,,,,,,,,,,,,,
238,causalml,uber/causalml,others,,https://github.com/uber/causalml,https://github.com/uber/causalml,Apache-2.0,2019-07-09 02:08:58.000,2023-10-03 22:31:45.000000,2023-10-03 22:31:29,559.0,46.0,691.0,78.0,293.0,87.0,267.0,4272.0,Uplift modeling and causal inference with machine learning algorithms.,56.0,31,True,2023-08-28 06:52:12.000,0.14.1,22.0,causalml,,,,,166.0,165.0,https://pypi.org/project/causalml,2023-08-28 06:52:12.000,1.0,311633.0,311633.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
239,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2023-10-02 20:41:19.114000,2023-10-02 19:31:25,757.0,34.0,350.0,72.0,269.0,51.0,492.0,4271.0,Visualizer for pandas data structures.,30.0,31,True,2023-10-02 20:11:29.000,3.7.0,175.0,dtale,conda-forge/dtale,,,"['pandas', 'jupyter']",896.0,875.0,https://pypi.org/project/dtale,2023-10-02 19:47:12.000,21.0,100406.0,106481.0,https://anaconda.org/conda-forge/dtale,2023-10-02 20:41:19.114,249090.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
240,GluonTS,awslabs/gluon-ts,time-series-data,,https://github.com/awslabs/gluonts,https://github.com/awslabs/gluonts,Apache-2.0,2019-05-15 17:17:29.000,2023-09-27 12:05:23.000000,2023-09-27 12:05:23,1411.0,47.0,732.0,74.0,1721.0,266.0,612.0,3810.0,Probabilistic time series modeling in Python.,109.0,31,True,2023-09-18 08:39:44.000,0.13.5,94.0,gluonts,anaconda/gluonts,,,['mxnet'],12.0,,https://pypi.org/project/gluonts,2023-09-18 08:39:44.000,12.0,128738.0,128760.0,https://anaconda.org/anaconda/gluonts,2023-06-23 14:26:58.411,551.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
241,nevergrad,facebookresearch/nevergrad,hyperopt,,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,MIT,2018-11-21 00:33:17.000,2023-10-04 13:36:49.000000,2023-10-04 13:29:21,1069.0,19.0,342.0,60.0,1319.0,119.0,171.0,3600.0,A Python toolbox for performing gradient-free optimization.,50.0,31,True,2023-10-02 18:43:02.000,0.14.0,44.0,nevergrad,conda-forge/nevergrad,,,,570.0,543.0,https://pypi.org/project/nevergrad,2023-10-02 18:43:02.000,27.0,84841.0,85871.0,https://anaconda.org/conda-forge/nevergrad,2023-09-21 13:51:23.949,42245.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
242,gpustat,wookayin/gpustat,gpu-utilities,,https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat,MIT,2016-04-24 10:46:43.000,2023-09-06 04:23:58.000000,2023-08-22 21:52:11,238.0,3.0,262.0,46.0,49.0,29.0,87.0,3563.0,A simple command-line utility for querying and monitoring GPU status.,17.0,31,True,2023-08-22 19:40:33.000,1.1.1,15.0,gpustat,conda-forge/gpustat,,,,4194.0,4065.0,https://pypi.org/project/gpustat,2023-08-22 19:39:06.000,129.0,1142385.0,1149884.0,https://anaconda.org/conda-forge/gpustat,2023-08-23 10:35:25.821,262498.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
243,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2023-10-05 11:57:34.000000,2023-02-05 22:03:50,437.0,,494.0,63.0,205.0,160.0,147.0,3499.0,Header-only C++/python library for fast approximate nearest neighbors.,65.0,31,True,2023-02-07 20:10:08.000,0.7.0,8.0,hnswlib,conda-forge/hnswlib,,,,4997.0,4997.0,https://pypi.org/project/hnswlib,,,721635.0,724933.0,https://anaconda.org/conda-forge/hnswlib,2023-09-27 14:20:16.958,112154.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
244,bqplot,bqplot/bqplot,data-viz,,https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2023-10-04 07:40:23.000000,2023-10-04 07:40:23,3656.0,15.0,474.0,102.0,1038.0,245.0,368.0,3474.0,Plotting library for IPython/Jupyter notebooks.,64.0,31,True,2023-08-04 08:42:57.918,0.5.42,109.0,bqplot,conda-forge/bqplot,,,['jupyter'],170.0,49.0,https://pypi.org/project/bqplot,2023-07-17 16:10:40.597,105.0,147390.0,182959.0,https://anaconda.org/conda-forge/bqplot,2023-07-12 07:26:23.351,1221600.0,,,,,2.0,,,bqplot,https://www.npmjs.com/package/bqplot,2023-08-04 08:42:57.918,16.0,5774.0,,,,,,,,,,,,,
245,pomegranate,jmschrei/pomegranate,probabilistics,,https://github.com/jmschrei/pomegranate,https://github.com/jmschrei/pomegranate,MIT,2014-11-24 18:36:58.000,2023-09-25 16:33:45.000000,2023-08-26 23:30:34,979.0,10.0,570.0,101.0,331.0,29.0,709.0,3175.0,"Fast, flexible and easy to use probabilistic modelling in Python.",71.0,31,True,2023-09-17 19:03:32.000,0.14.9,73.0,pomegranate,conda-forge/pomegranate,,,,1045.0,988.0,https://pypi.org/project/pomegranate,2023-09-17 19:03:32.000,57.0,28109.0,31434.0,https://anaconda.org/conda-forge/pomegranate,2023-09-07 11:32:40.942,136352.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
246,NMSLIB,nmslib/nmslib,nn-search,,https://github.com/nmslib/nmslib,https://github.com/nmslib/nmslib,Apache-2.0,2013-07-10 11:06:06.000,2023-09-26 10:22:21.295000,2022-05-31 03:18:45,1556.0,,425.0,92.0,121.0,71.0,348.0,3145.0,Non-Metric Space Library (NMSLIB): An efficient similarity search library and a toolkit for evaluation of k-NN methods..,47.0,31,False,2021-02-03 16:40:09.000,2.1.1,32.0,nmslib,conda-forge/nmslib,,,,999.0,942.0,https://pypi.org/project/nmslib,2021-02-03 00:02:08.000,57.0,255952.0,258702.0,https://anaconda.org/conda-forge/nmslib,2023-09-26 10:22:21.295,99010.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
247,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2023-10-03 17:59:25.000000,2023-10-02 19:16:58,1201.0,35.0,204.0,30.0,360.0,100.0,131.0,3016.0,Lightning fast forecasting with statistical and econometric models.,30.0,31,True,2023-08-23 19:27:53.000,1.6.0,27.0,statsforecast,conda-forge/statsforecast,,,,515.0,494.0,https://pypi.org/project/statsforecast,2023-08-23 19:27:53.000,21.0,375978.0,378654.0,https://anaconda.org/conda-forge/statsforecast,2023-08-25 15:46:41.512,50857.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
248,filterpy,rlabbe/filterpy,probabilistics,,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000,2023-06-16 13:24:39.196000,2022-08-22 18:21:12,586.0,,559.0,77.0,72.0,59.0,161.0,2889.0,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",43.0,31,False,2021-12-15 15:49:27.374,0.0.13,49.0,filterpy,conda-forge/filterpy,,,,4222.0,4058.0,https://pypi.org/project/filterpy,2018-10-10 22:38:24.000,164.0,1996548.0,1999659.0,https://anaconda.org/conda-forge/filterpy,2023-06-16 13:24:39.196,236455.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
249,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2023-08-05 13:29:17.000000,2023-08-05 13:28:57,327.0,8.0,320.0,65.0,69.0,9.0,116.0,2843.0,A Python Perceptual Image Hashing Module.,25.0,31,True,2022-09-28 08:48:24.658,4.3.1,20.0,ImageHash,conda-forge/imagehash,,,,11022.0,10647.0,https://pypi.org/project/ImageHash,2022-09-28 08:48:24.658,375.0,1429115.0,1433188.0,https://anaconda.org/conda-forge/imagehash,2023-06-16 13:23:10.041,338073.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
250,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2023-10-05 03:49:30.000000,2023-04-20 03:41:53,699.0,,240.0,40.0,790.0,68.0,281.0,2585.0,PyTorch extensions for high performance and large scale training.,72.0,31,True,2022-12-11 18:09:31.906,0.4.13,35.0,fairscale,conda-forge/fairscale,,,['pytorch'],3159.0,3101.0,https://pypi.org/project/fairscale,2022-12-11 18:09:31.906,58.0,530274.0,537186.0,https://anaconda.org/conda-forge/fairscale,2023-06-16 19:27:50.549,158991.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
251,lightly,lightly-ai/lightly,image,,https://github.com/lightly-ai/lightly,https://github.com/lightly-ai/lightly,MIT,2020-10-13 13:02:56.000,2023-10-05 15:16:07.000000,2023-10-05 15:16:05,1112.0,57.0,215.0,25.0,947.0,91.0,378.0,2520.0,A python library for self-supervised learning on images.,33.0,31,True,2023-10-04 07:51:48.000,1.4.21,108.0,lightly,,,,['pytorch'],177.0,172.0,https://pypi.org/project/lightly,2023-10-04 07:52:44.000,5.0,25910.0,25910.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
252,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2023-09-21 12:18:51.000000,2023-09-21 12:18:51,2901.0,23.0,675.0,79.0,837.0,250.0,608.0,2477.0,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",119.0,31,True,2023-06-30 15:03:26.000,0.1.23,22.0,pgmpy,,,,,761.0,731.0,https://pypi.org/project/pgmpy,2022-06-30 09:26:19.000,30.0,49302.0,49309.0,,,,,,,,2.0,289.0,,,,,,,,,,,,,,,,,,,
