,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
94,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2023-09-25 06:50:45.000000,2023-09-25 06:50:43,643.0,43.0,312.0,67.0,99.0,30.0,123.0,7262.0,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others).",23.0,36,True,2023-04-19 04:13:12.000,0.6.1,12.0,einops,conda-forge/einops,,,,17535.0,17535.0,https://pypi.org/project/einops,4458554.0,4461587.0,https://anaconda.org/conda-forge/einops,2023-06-16 16:16:58.561,145630.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
95,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2023-09-01 08:25:15.000000,2023-08-02 10:57:30,1413.0,17.0,872.0,214.0,220.0,174.0,232.0,6471.0,Efficiently computes derivatives of numpy code.,55.0,36,True,2023-06-23 08:37:07.368,1.6.2,29.0,autograd,conda-forge/autograd,,,,6499.0,6182.0,https://pypi.org/project/autograd,1201428.0,1224961.0,https://anaconda.org/conda-forge/autograd,2023-06-26 15:21:38.267,353009.0,,,,,1.0,,2023-06-23 08:37:07.368,317.0,,,,,,,,,,,,,,,,,,
96,UMAP,lmcinnes/umap,data-viz,,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17.000,2023-09-26 14:07:56.000000,2023-09-26 14:07:56,1744.0,45.0,745.0,126.0,260.0,422.0,327.0,6469.0,Uniform Manifold Approximation and Projection.,124.0,36,True,2023-09-15 15:27:59.000,0.5.4,38.0,umap-learn,conda-forge/umap-learn,,,,11035.0,10540.0,https://pypi.org/project/umap-learn,914577.0,970354.0,https://anaconda.org/conda-forge/umap-learn,2023-09-16 02:25:50.473,2175321.0,,,,,2.0,,2023-09-15 15:27:59.000,495.0,,,,,,,,,,,,,,,,,,
97,MONAI,Project-MONAI/MONAI,medical-data,,https://github.com/Project-MONAI/MONAI,https://github.com/Project-MONAI/MONAI,Apache-2.0,2019-10-11 16:41:38.000,2023-09-28 13:33:05.000000,2023-09-28 08:11:23,2852.0,121.0,871.0,94.0,3079.0,318.0,2407.0,4695.0,AI Toolkit for Healthcare Imaging.,171.0,36,True,2023-06-08 17:16:23.000,1.2.0,73.0,monai,conda-forge/monai,,,['pytorch'],1390.0,1347.0,https://pypi.org/project/monai,88210.0,89060.0,https://anaconda.org/conda-forge/monai,2023-06-08 17:03:07.715,17859.0,,,,,1.0,,2023-09-26 19:59:31.000,43.0,,,,,,,,,,,,,,,,,,
98,DeepChem,deepchem/deepchem,others,,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,MIT,2015-09-24 23:20:28.000,2023-09-28 14:37:04.000000,2023-09-27 07:06:43,9356.0,327.0,1502.0,147.0,1953.0,466.0,1207.0,4610.0,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",226.0,36,True,2022-12-01 14:00:47.111,2.7.1,693.0,deepchem,conda-forge/deepchem,,,['tensorflow'],272.0,261.0,https://pypi.org/project/deepchem,13392.0,15790.0,https://anaconda.org/conda-forge/deepchem,2023-06-16 19:18:02.015,103136.0,,,,,1.0,,2023-09-27 07:11:38.000,11.0,,,,,,,,,,,,,,,,,,
99,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50.000,2023-09-28 14:01:04.000000,2023-09-28 06:04:52,20475.0,442.0,1123.0,237.0,7202.0,799.0,1255.0,4401.0,Accelerating LLM with low-bit (INT3 / INT4 / NF4 / INT5 / INT8) optimizations using bigdl-llm.,182.0,36,True,2023-04-24 02:17:43.000,2.3.0,672.0,bigdl,,,,,50.0,45.0,https://pypi.org/project/bigdl,4020.0,4020.0,,,,,,,,2.0,,2023-09-28 13:56:13.000,1.0,,,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4,2021-04-20 01:33:14,4.0,,,
100,geopy,geopy/geopy,geospatial-data,,https://github.com/geopy/geopy,https://github.com/geopy/geopy,MIT,2010-03-04 22:05:28.000,2023-08-27 20:08:56.023000,2023-08-27 17:01:46,1130.0,22.0,627.0,90.0,265.0,31.0,251.0,4075.0,Geocoding library for Python.,133.0,36,True,2023-08-27 18:59:34.000,2.4.0,60.0,geopy,conda-forge/geopy,,,,4017.0,,https://pypi.org/project/geopy,4187124.0,4217173.0,https://anaconda.org/conda-forge/geopy,2023-08-27 20:08:56.023,1171912.0,,,,,2.0,2.0,2023-08-27 18:57:29.000,4017.0,,,,,,,,,,,,,,,,,,
101,spark-nlp,JohnSnowLabs/spark-nlp,nlp,,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44.000,2023-09-28 13:14:52.000000,2023-09-28 11:56:13,8339.0,89.0,666.0,99.0,13018.0,39.0,783.0,3437.0,State of the Art Natural Language Processing.,108.0,36,True,2023-09-26 07:46:57.000,5.1.2,131.0,spark-nlp,,,,['spark'],371.0,342.0,https://pypi.org/project/spark-nlp,3334334.0,3334334.0,,,,,,,,1.0,,2023-09-25 17:20:52.000,29.0,,,,,,,,,,,,,,,,,,
102,Shapely,shapely/shapely,geospatial-data,,https://github.com/shapely/shapely,https://github.com/shapely/shapely,BSD-3-Clause,2011-12-31 19:43:11.000,2023-09-27 01:56:49.000000,2023-09-27 01:36:00,2210.0,13.0,539.0,90.0,749.0,226.0,870.0,3432.0,Manipulation and analysis of geometric objects.,146.0,36,True,2023-02-02 20:56:27.127,1.8.5,120.0,shapely,conda-forge/shapely,,,,53686.0,52792.0,https://pypi.org/project/shapely,14064996.0,14291379.0,https://anaconda.org/conda-forge/shapely,2023-09-25 04:37:12.560,8372142.0,,,,,2.0,2517.0,2023-02-02 20:56:31.341,894.0,,,,,,,,,,,,,,,,,,
103,Thinc,explosion/thinc,ml-frameworks,,https://github.com/explosion/thinc,https://github.com/explosion/thinc,MIT,2014-10-16 16:34:59.000,2023-09-25 06:51:17.362000,2023-09-22 08:02:58,5262.0,23.0,281.0,83.0,764.0,19.0,123.0,2755.0,"A refreshing functional take on deep learning, compatible with your favorite libraries.",62.0,36,True,2023-09-22 09:35:25.000,8.2.1,229.0,thinc,conda-forge/thinc,,,,37851.0,37215.0,https://pypi.org/project/thinc,5344341.0,5409689.0,https://anaconda.org/conda-forge/thinc,2023-09-25 06:51:17.362,2613953.0,,,,,2.0,,2023-09-22 09:19:43.000,636.0,,,,,,,,,,,,,,,,,,
104,Rasterio,rasterio/rasterio,geospatial-data,,https://github.com/rasterio/rasterio,https://github.com/rasterio/rasterio,BSD-3-Clause,2013-11-04 16:36:27.000,2023-09-23 12:57:19.199000,2023-09-01 17:50:42,3773.0,9.0,522.0,148.0,1098.0,141.0,1575.0,2023.0,Rasterio reads and writes geospatial raster datasets.,149.0,36,True,2023-06-28 17:18:47.000,1.3.8,150.0,rasterio,conda-forge/rasterio,,,,9864.0,8875.0,https://pypi.org/project/rasterio,1947463.0,2028719.0,https://anaconda.org/conda-forge/rasterio,2023-09-23 12:57:19.199,2599936.0,,,,,2.0,853.0,2023-06-28 16:47:03.167,989.0,,,,,,,,,,,,,,,,,,
105,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2023-09-25 19:05:33.000000,2023-09-21 02:33:47,1524.0,22.0,206.0,31.0,665.0,25.0,558.0,922.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,64.0,36,True,2023-09-21 02:07:12.000,3.6.1,61.0,pyproj,conda-forge/pyproj,,,,25448.0,23498.0,https://pypi.org/project/pyproj,7519812.0,7695548.0,https://anaconda.org/conda-forge/pyproj,2023-09-25 07:36:02.608,6677998.0,,,,,2.0,,2023-09-21 02:07:12.000,1950.0,,,,,,,,,,,,,,,,,,
106,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2023-09-22 16:38:50.000000,2023-09-20 01:56:04,779.0,6.0,4434.0,427.0,428.0,378.0,1678.0,16917.0,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,171.0,35,True,2023-05-29 15:12:28.000,1.1.4,15.0,fbprophet,conda-forge/prophet,,,,142.0,15.0,https://pypi.org/project/fbprophet,949537.0,987190.0,https://anaconda.org/conda-forge/prophet,2023-06-15 14:12:13.774,1091188.0,,,,,1.0,2031.0,2020-09-05 16:12:50.000,127.0,,,,,,,,,,,,,,,,,,
107,imgaug,aleju/imgaug,image,,https://github.com/aleju/imgaug,https://github.com/aleju/imgaug,MIT,2015-07-10 20:31:33.000,2023-07-26 09:00:34.000000,2020-06-01 14:58:26,2913.0,,2354.0,232.0,336.0,281.0,223.0,13797.0,Image augmentation for machine learning experiments.,36.0,35,False,2020-02-06 06:18:40.000,0.4.0,3.0,imgaug,conda-forge/imgaug,,,,16453.0,16453.0,https://pypi.org/project/imgaug,313195.0,315953.0,https://anaconda.org/conda-forge/imgaug,2023-06-16 16:15:24.882,140707.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
108,ChatterBot,gunthercox/ChatterBot,nlp,,https://github.com/gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,BSD-3-Clause,2014-09-28 14:49:00.000,2023-09-05 15:57:26.000000,2021-06-01 10:43:00,1848.0,,4225.0,548.0,709.0,339.0,1266.0,13584.0,"ChatterBot is a machine learning, conversational dialog engine for creating chat bots.",103.0,35,False,2020-08-22 18:42:43.000,1.0.8,86.0,chatterbot,,,,,5343.0,5343.0,https://pypi.org/project/chatterbot,30743.0,30743.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
109,ivy,unifyai/ivy,ml-frameworks,,https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,Apache-2.0,2021-01-19 08:37:25.000,2023-09-28 14:55:09.000000,2023-09-28 14:55:09,16458.0,1851.0,5684.0,68.0,10548.0,4401.0,12629.0,13472.0,The Unified AI Framework.,1368.0,35,True,2023-09-04 10:22:03.000,0.0.3.0,102.0,ivy,,,,,9.0,,https://pypi.org/project/ivy,1067.0,1067.0,,,,,,,,2.0,,2023-09-04 10:23:38.000,9.0,,,,,,,,,,,,,,,,,,
110,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2023-09-14 12:22:00.000000,2023-08-07 02:39:54,3011.0,4.0,1817.0,285.0,3498.0,323.0,1674.0,13284.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,35,True,2023-05-16 23:50:39.741,2.10.1,55.0,nni,,,,,509.0,474.0,https://pypi.org/project/nni,21313.0,21313.0,,,,,,,,1.0,,2023-09-14 12:22:00.000,35.0,,,,,,,,,,,,,,,,,,
111,sentence-transformers,UKPLab/sentence-transformers,nlp,,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000,2023-09-26 22:11:05.000000,2023-09-20 06:17:29,1209.0,9.0,2114.0,124.0,260.0,1029.0,796.0,11990.0,Multilingual Sentence & Image Embeddings with BERT.,115.0,35,True,2022-06-26 19:52:06.000,2.2.2,43.0,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],16477.0,16054.0,https://pypi.org/project/sentence-transformers,2891347.0,2895769.0,https://anaconda.org/conda-forge/sentence-transformers,2023-06-16 19:21:44.846,159213.0,,,,,1.0,,2022-06-26 19:50:11.000,423.0,,,,,,,,,,,,,,,,,,
112,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2023-09-25 04:57:08.085000,2023-08-20 17:38:53,890.0,5.0,1110.0,318.0,266.0,54.0,341.0,11948.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,88.0,35,True,2023-06-14 16:39:02.504,1.17.3,47.0,annoy,conda-forge/python-annoy,,,,3447.0,3181.0,https://pypi.org/project/annoy,1028981.0,1038978.0,https://anaconda.org/conda-forge/python-annoy,2023-09-25 04:57:08.085,359904.0,,,,,2.0,,2023-06-14 16:39:02.504,266.0,,,,,,,,,,,,,,,,,,
113,glfw,glfw/glfw,image,,https://github.com/glfw/glfw,https://github.com/glfw/glfw,Zlib,2013-04-18 15:24:53.000,2023-09-26 19:07:21.000000,2023-06-01 18:12:56,4638.0,,4515.0,392.0,648.0,601.0,1237.0,11171.0,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input.",188.0,35,False,2023-06-30 18:36:01.101,2.6.2,54.0,glfw,conda-forge/glfw,,,,203.0,16.0,https://pypi.org/project/glfw,209311.0,245488.0,https://anaconda.org/conda-forge/glfw,2023-06-16 16:13:39.833,155203.0,,,,,2.0,3402400.0,2023-06-30 18:36:01.101,187.0,,,,,,,,,,,,,,,,,,
114,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-09-22 00:08:54.000000,2023-09-13 23:07:38,4352.0,10.0,2002.0,290.0,3397.0,47.0,1493.0,10301.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,213.0,35,True,2023-06-06 20:16:41.000,1.7.2,23.0,parlai,,,,['pytorch'],214.0,214.0,https://pypi.org/project/parlai,1302.0,1302.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
115,PySyft,OpenMined/PySyft,privacy-ml,,https://github.com/OpenMined/PySyft,https://github.com/OpenMined/PySyft,Apache-2.0,2017-07-18 20:41:16.000,2023-09-28 12:18:02.000000,2023-09-25 13:27:49,24228.0,1347.0,1936.0,202.0,4677.0,167.0,3303.0,8943.0,Perform data science on data that remains in someone elses server.,501.0,35,True,2023-08-30 03:17:27.000,syftcli-v0.1.7,191.0,syft,,,,['pytorch'],5.0,,https://pypi.org/project/syft,4698.0,4701.0,,,,,,,,1.0,149.0,2023-09-25 08:46:55.000,5.0,,,,,,,,,,,,,,,,,,
116,TextBlob,sloria/TextBlob,nlp,,https://github.com/sloria/TextBlob,https://github.com/sloria/TextBlob,MIT,2013-06-30 18:29:18.000,2023-06-16 13:22:54.304000,2023-03-11 18:17:15,563.0,,1123.0,268.0,156.0,113.0,155.0,8693.0,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation,..",36.0,35,True,2021-10-22 03:18:24.000,0.17.1,59.0,textblob,conda-forge/textblob,,,,34165.0,32741.0,https://pypi.org/project/textblob,571270.0,574031.0,https://anaconda.org/conda-forge/textblob,2023-06-16 13:22:54.304,234736.0,,,,,1.0,113.0,2021-10-22 03:18:24.000,1424.0,,,,,,,,,,,,,,,,,,
117,Datasette,simonw/datasette,others,,https://github.com/simonw/datasette,https://github.com/simonw/datasette,Apache-2.0,2017-10-23 00:39:03.000,2023-09-27 17:06:18.945000,2023-09-21 22:27:27,2460.0,78.0,591.0,102.0,431.0,542.0,1155.0,8300.0,An open source multi-tool for exploring and publishing data.,74.0,35,True,2023-09-21 19:49:39.000,0.64.4,139.0,datasette,conda-forge/datasette,,,,1279.0,1079.0,https://pypi.org/project/datasette,28907.0,29793.0,https://anaconda.org/conda-forge/datasette,2023-09-27 17:06:18.945,25679.0,,,,,1.0,57.0,2023-09-21 22:22:40.000,200.0,,,,,,,,,datasette,,,,,,,,,
118,sentencepiece,google/sentencepiece,nlp,,https://github.com/google/sentencepiece,https://github.com/google/sentencepiece,Apache-2.0,2017-03-07 10:03:48.000,2023-09-18 19:48:31.000000,2023-08-05 09:01:02,884.0,2.0,1024.0,124.0,256.0,28.0,630.0,8260.0,Unsupervised text tokenizer for Neural Network-based text generation.,78.0,35,True,2023-05-02 04:26:07.683,0.1.99,34.0,sentencepiece,conda-forge/sentencepiece,,,,42674.0,41914.0,https://pypi.org/project/sentencepiece,10355434.0,10372123.0,https://anaconda.org/conda-forge/sentencepiece,2023-09-11 00:57:05.920,615067.0,,,,,1.0,30753.0,2023-05-02 04:26:07.683,760.0,,,,,,,,,,,,,,,,,,
119,NeMo,NVIDIA/NeMo,nlp,,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42.000,2023-09-28 09:53:03.000000,2023-09-28 01:00:26,5826.0,228.0,1727.0,171.0,5236.0,31.0,1735.0,7980.0,NeMo: a toolkit for conversational AI.,249.0,35,True,2023-08-04 19:50:15.000,1.20.0,44.0,nemo-toolkit,,,,['pytorch'],15.0,15.0,https://pypi.org/project/nemo-toolkit,43948.0,45493.0,,,,,,,,1.0,74179.0,,,,,,,,,,,,,,,,,,,,
120,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2023-09-03 09:40:51.000000,2023-09-03 09:26:33,526.0,10.0,870.0,86.0,273.0,78.0,376.0,7694.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",81.0,35,True,2023-07-30 14:05:26.000,2.6.2,24.0,tensorboardX,conda-forge/tensorboardx,,,,35678.0,34699.0,https://pypi.org/project/tensorboardX,2262664.0,2291701.0,https://anaconda.org/conda-forge/tensorboardx,2023-08-20 16:29:43.490,1103230.0,,,,,2.0,398.0,2023-08-20 13:38:18.000,979.0,,,,,,,,,,,,,,,,,,
121,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2023-09-28 10:37:00.000000,2023-09-27 15:42:28,32136.0,129.0,1991.0,388.0,6630.0,2708.0,6421.0,6489.0,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",245.0,35,True,,,146.0,h2o,,,,,96.0,15.0,https://pypi.org/project/h2o,370198.0,370198.0,,,,,,,,2.0,,2023-08-22 18:34:10.000,81.0,,,,,,,,,,,,,,,,,,
122,BentoML,bentoml/BentoML,model-serialisation,,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000,2023-09-28 02:20:00.000000,2023-09-27 09:30:32,2647.0,127.0,632.0,71.0,3066.0,175.0,763.0,5702.0,Build Production-Grade AI Applications.,178.0,35,True,2023-09-08 05:23:14.000,1.1.6,115.0,bentoml,,,,,1301.0,1290.0,https://pypi.org/project/bentoml,76055.0,76094.0,,,,,,,,2.0,2110.0,2023-09-08 05:18:43.000,11.0,,,,,,,,,,,,,,,,,,
123,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2023-09-25 01:16:08.711000,2023-07-28 00:16:45,2332.0,74.0,1068.0,192.0,229.0,271.0,275.0,5289.0,Distributed Evolutionary Algorithms in Python.,87.0,35,False,2023-07-21 10:51:54.000,1.4.1,23.0,deap,conda-forge/deap,,,,4308.0,3943.0,https://pypi.org/project/deap,203894.0,213361.0,https://anaconda.org/conda-forge/deap,2023-09-25 01:16:08.711,331378.0,,,,,2.0,,2023-07-21 10:51:54.000,365.0,,,,,,,,,,,,,,,,,,
124,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2023-09-28 00:14:15.000000,2023-09-27 22:07:31,1623.0,32.0,602.0,60.0,1767.0,157.0,1159.0,4339.0,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,277.0,35,True,2023-05-01 08:27:00.908,0.4.12,1395.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],2443.0,2401.0,https://pypi.org/project/pytorch-ignite,219902.0,222415.0,https://anaconda.org/pytorch/ignite,2023-06-16 16:08:55.791,158376.0,,,,,2.0,,2023-09-28 00:14:15.000,42.0,,,,,,,,,,,,,,,,,,
125,plotnine,has2k1/plotnine,data-viz,,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,MIT,2017-04-24 19:00:44.000,2023-09-06 07:55:12.000000,2023-08-08 07:57:53,1994.0,27.0,203.0,68.0,128.0,78.0,507.0,3577.0,A Grammar of Graphics for Python.,103.0,35,True,2023-09-01 18:57:17.000,0.12.3,19.0,plotnine,conda-forge/plotnine,,,,6089.0,5836.0,https://pypi.org/project/plotnine,1270624.0,1278521.0,https://anaconda.org/conda-forge/plotnine,2023-09-01 19:46:10.034,308014.0,,,,,2.0,,2023-09-01 18:37:41.000,253.0,,,,,,,,,,,,,,,,,,
126,tensorflow-hub,tensorflow/hub,tensorflow-utils,,https://github.com/tensorflow/hub,https://github.com/tensorflow/hub,Apache-2.0,2018-03-12 07:55:42.000,2023-08-09 12:05:47.000000,2023-08-09 12:05:45,1163.0,16.0,1715.0,149.0,209.0,2.0,678.0,3395.0,A library for transfer learning by reusing parts of TensorFlow models.,106.0,35,True,2023-07-13 14:35:04.000,0.14.0,17.0,tensorflow-hub,conda-forge/tensorflow-hub,,,['tensorflow'],329.0,,https://pypi.org/project/tensorflow-hub,2378141.0,2380546.0,https://anaconda.org/conda-forge/tensorflow-hub,2023-07-13 16:39:43.723,89012.0,,,,,1.0,,2023-07-13 13:55:03.605,329.0,,,,,,,,,,,,,,,,,,
127,VisPy,vispy/vispy,data-viz,,https://github.com/vispy/vispy,https://github.com/vispy/vispy,BSD-3-Clause,2013-03-21 18:43:22.000,2023-09-28 08:33:22.000000,2023-09-25 13:33:15,7286.0,36.0,606.0,117.0,1135.0,323.0,1097.0,3118.0,High-performance interactive 2D/3D data visualization library.,188.0,35,True,2023-09-08 03:05:47.000,0.14.0,36.0,vispy,conda-forge/vispy,,,['jupyter'],1394.0,1263.0,https://pypi.org/project/vispy,77831.0,89750.0,https://anaconda.org/conda-forge/vispy,2023-09-08 12:28:28.391,428381.0,,,,,2.0,,2023-09-08 03:05:35.000,130.0,,,vispy,https://www.npmjs.com/package/vispy,2020-03-15 14:39:41.516,1.0,20.0,,,,,,,,,,,
128,HoloViews,holoviz/holoviews,data-viz,,https://github.com/holoviz/holoviews,https://github.com/holoviz/holoviews,BSD-3-Clause,2014-05-07 16:59:22.000,2023-09-28 11:08:08.000000,2023-09-26 16:01:25,10606.0,78.0,377.0,61.0,2813.0,1019.0,2081.0,2498.0,"With Holoviews, your data visualizes itself.",137.0,35,True,2023-08-17 07:08:33.000,1.17.1,139.0,holoviews,conda-forge/holoviews,,,['jupyter'],252.0,,https://pypi.org/project/holoviews,296978.0,333331.0,https://anaconda.org/conda-forge/holoviews,2023-08-17 07:12:54.422,1393458.0,,,,,2.0,,2023-09-25 14:07:37.000,250.0,,,@pyviz/jupyterlab_pyviz,https://www.npmjs.com/package/@pyviz/jupyterlab_pyviz,2023-08-16 17:21:06.628,2.0,624.0,,,,,,,,,,,
129,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2023-09-28 11:34:22.000000,2023-09-26 21:47:42,2246.0,117.0,599.0,78.0,2772.0,193.0,687.0,2211.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",217.0,35,True,2023-05-08 20:03:52.000,2.0.2,27.0,torchaudio,,,,['pytorch'],402.0,,https://pypi.org/project/torchaudio,1638933.0,1638933.0,,,,,,,,1.0,,2023-05-08 18:00:01.264,402.0,,,,,,,,,,,,,,,,,,
130,snakemake,snakemake/snakemake,ml-experiments,,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867,2023-09-28 11:08:12.000000,2023-09-28 11:06:47,4823.0,58.0,463.0,21.0,1070.0,852.0,565.0,1933.0,"This is the development home of the workflow management system Snakemake. For general information, see.",307.0,35,True,2023-09-18 14:47:18.000,7.32.4,284.0,snakemake,bioconda/snakemake,,,,1911.0,1663.0,https://pypi.org/project/snakemake,106875.0,116018.0,https://anaconda.org/bioconda/snakemake,2023-09-19 07:41:36.083,868600.0,,,,,2.0,,2023-09-18 14:47:18.000,248.0,,,,,,,,,,,,,,,,,,
131,TF Addons,tensorflow/addons,tensorflow-utils,,https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000,2023-09-19 05:29:05.000000,2023-09-12 20:39:48,1511.0,7.0,590.0,58.0,1872.0,251.0,893.0,1666.0,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,205.0,35,True,2023-07-12 00:08:03.536,0.21.0,36.0,tensorflow-addons,,,,['tensorflow'],13331.0,13117.0,https://pypi.org/project/tensorflow-addons,838038.0,838038.0,,,,,,,,1.0,,2023-07-12 00:08:03.536,214.0,,,,,,,,,,,,,,,,,,
132,metrics,Lightning-AI/metrics,distributed-ml,,https://github.com/Lightning-AI/torchmetrics,https://github.com/Lightning-AI/torchmetrics,Apache-2.0,2020-12-22 20:02:42.000,2023-09-28 12:08:35.000000,2023-09-28 11:34:34,1497.0,168.0,326.0,28.0,1222.0,49.0,650.0,1644.0,"Torchmetrics - Machine learning metrics for distributed, scalable PyTorch applications.",213.0,35,True,2023-09-22 13:17:42.000,1.2.0,39.0,metrics,conda-forge/torchmetrics,,,['pytorch'],15389.0,15376.0,https://pypi.org/project/metrics,7186.0,43447.0,https://anaconda.org/conda-forge/torchmetrics,2023-09-25 21:19:09.764,1083969.0,,,,,2.0,3897.0,2018-04-28 10:58:56.000,13.0,,,,,,,,Lightning-AI/torchmetrics,,,,,,,,,,
133,Graphviz,xflr6/graphviz,data-viz,,https://github.com/xflr6/graphviz,https://github.com/xflr6/graphviz,MIT,2014-01-12 17:49:29.000,2023-07-22 10:06:58.000000,2023-07-22 10:06:51,1199.0,15.0,198.0,33.0,41.0,9.0,154.0,1456.0,Simple Python interface for Graphviz.,19.0,35,True,2022-07-23 11:35:06.076,0.20.1,56.0,graphviz,anaconda/python-graphviz,,,,56971.0,53615.0,https://pypi.org/project/graphviz,8197913.0,8198438.0,https://anaconda.org/anaconda/python-graphviz,2023-06-16 13:23:51.228,40499.0,,,,,2.0,,2022-07-23 11:35:06.076,3356.0,,,,,,,,,,,,,,,,,,
