,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
213,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2022-09-28 20:24:53.000000,2022-08-02 12:38:27,400.0,7.0,2063,285.0,108.0,234.0,284.0,6530,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",47.0,31,True,2017-12-05 14:05:14.000,3.8.1,52.0,SpeechRecognition,conda-forge/speechrecognition,,,418511.0,695.0,,https://pypi.org/project/SpeechRecognition,2017-12-05 13:58:29.000,695.0,416510.0,https://anaconda.org/conda-forge/speechrecognition,2021-12-13 09:59:53.408,148102.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
214,Pydub,jiaaro/pydub,audio,,https://github.com/jiaaro/pydub,https://github.com/jiaaro/pydub,MIT,2011-05-02 18:42:38.000,2022-10-15 23:45:34.000000,2022-10-15 23:45:34,745.0,2.0,862,126.0,194.0,267.0,261.0,6441,Manipulate audio with a simple and easy high level interface.,94.0,31,True,2021-03-10 02:10:41.000,0.25.1,68.0,pydub,conda-forge/pydub,,,2354262.0,15581.0,14680.0,https://pypi.org/project/pydub,2021-03-10 02:09:53.000,901.0,2353573.0,https://anaconda.org/conda-forge/pydub,2021-03-13 05:16:50.142,31699.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
215,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2022-10-17 03:55:48.000000,2022-10-17 03:55:48,476.0,29.0,253,57.0,70.0,35.0,89.0,5774,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others).",22.0,31,True,2022-10-03 06:41:06.828,0.5.0,8.0,einops,conda-forge/einops,,,1727604.0,265.0,,https://pypi.org/project/einops,2022-03-04 09:32:08.000,265.0,1726471.0,https://anaconda.org/conda-forge/einops,2022-03-04 10:57:10.315,41929.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
216,scikit-surprise,NicolasHug/Surprise,recommender-systems,,https://github.com/NicolasHug/Surprise,https://github.com/NicolasHug/Surprise,BSD-3-Clause,2016-10-23 14:59:38.000,2022-09-27 12:42:09.000000,2022-09-23 17:14:54,649.0,26.0,947,149.0,87.0,66.0,301.0,5557,A Python scikit for building and analyzing recommender systems.,43.0,31,True,2022-08-29 13:47:49.377,1.1.2,11.0,scikit-surprise,conda-forge/scikit-surprise,,,113437.0,49.0,,https://pypi.org/project/scikit-surprise,2020-07-19 14:50:48.000,49.0,108880.0,https://anaconda.org/conda-forge/scikit-surprise,2022-09-23 18:14:00.462,259798.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
217,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2022-10-20 15:18:03.000000,2022-10-20 13:20:21,35755.0,393.0,654,134.0,7044.0,697.0,4254.0,5085,cuDF - GPU DataFrame Library.,252.0,31,True,2022-10-12 15:28:51.000,22.10.00,28.0,cudf,,,,1819.0,6.0,,https://pypi.org/project/cudf,2020-06-01 20:07:47.000,6.0,1819.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
218,AutoGluon,awslabs/autogluon,hyperopt,,https://github.com/awslabs/autogluon,https://github.com/awslabs/autogluon,Apache-2.0,2019-07-29 18:51:24.000,2022-10-20 10:03:47.000000,2022-10-20 07:37:25,1171.0,138.0,650,92.0,1297.0,187.0,593.0,4932,"AutoGluon: AutoML for Image, Text, and Tabular Data.",91.0,31,True,2022-07-29 00:09:02.895,0.5.2,947.0,autogluon,,['mxnet'],,33220.0,178.0,173.0,https://pypi.org/project/autogluon,2022-07-07 09:05:12.000,5.0,33220.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
219,imutils,PyImageSearch/imutils,image,,https://github.com/PyImageSearch/imutils,https://github.com/PyImageSearch/imutils,MIT,2015-01-11 20:05:39.000,2022-10-13 22:02:44.000000,2022-01-27 13:24:16,139.0,,998,151.0,109.0,149.0,78.0,4216,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",21.0,31,True,2021-01-15 10:53:17.000,0.5.4,29.0,imutils,conda-forge/imutils,,,378628.0,29119.0,28338.0,https://pypi.org/project/imutils,2021-01-15 10:53:17.000,781.0,375975.0,https://anaconda.org/conda-forge/imutils,2022-08-26 04:12:42.305,106157.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
220,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,BSD-3-Clause,2014-12-17 18:16:59.000,2022-10-19 22:26:15.000000,2022-10-19 22:26:14,28326.0,178.0,1434,179.0,1832.0,46.0,1426.0,4107,mlpack: a scalable C++ machine learning library --.,293.0,31,True,2020-10-28 18:28:47.000,3.4.2,40.0,mlpack,conda-forge/mlpack,,,5299.0,1.0,,https://pypi.org/project/mlpack,2020-10-28 18:28:47.000,1.0,3025.0,https://anaconda.org/conda-forge/mlpack,2021-11-09 18:05:21.719,116005.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
221,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2022-10-20 14:22:57.000000,2022-10-18 20:55:15,3460.0,83.0,410,79.0,390.0,1.0,382.0,3754,Online machine learning in Python.,85.0,31,True,2022-09-20 01:21:25.945,0.13.0,11.0,river,conda-forge/river,,,12624.0,188.0,174.0,https://pypi.org/project/river,2022-06-06 21:29:21.000,14.0,11759.0,https://anaconda.org/conda-forge/river,2022-10-04 17:42:01.005,15575.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
222,bqplot,bqplot/bqplot,data-viz,,https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-10-10 15:56:59.000000,2022-09-29 15:04:10,3545.0,17.0,468,106.0,958.0,240.0,361.0,3364,Plotting library for IPython/Jupyter notebooks.,59.0,31,True,2022-09-02 15:04:31.743,0.12.36,102.0,bqplot,conda-forge/bqplot,['jupyter'],,114593.0,143.0,35.0,https://pypi.org/project/bqplot,2022-02-11 15:27:16.000,97.0,94666.0,https://anaconda.org/conda-forge/bqplot,2022-09-02 17:23:26.370,1054226.0,2.0,,,,bqplot,https://www.npmjs.com/package/bqplot,2022-09-02 10:57:18.327,11.0,6236.0,,,,,,,,,,,,,,,,,
223,gpustat,wookayin/gpustat,gpu-utilities,,https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat,MIT,2016-04-24 10:46:43.000,2022-10-17 21:45:53.000000,2022-10-16 19:15:57,199.0,19.0,251,43.0,45.0,23.0,75.0,3075,A simple command-line utility for querying and monitoring GPU status.,16.0,31,True,2022-09-04 23:51:40.000,1.0.0,13.0,gpustat,conda-forge/gpustat,,,779882.0,2395.0,2280.0,https://pypi.org/project/gpustat,2022-07-05 04:37:11.000,115.0,776515.0,https://anaconda.org/conda-forge/gpustat,2022-10-11 21:06:30.582,144815.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
224,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2022-10-20 12:46:01.000000,2022-10-19 21:16:05,981.0,33.0,459,109.0,632.0,223.0,795.0,2908,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",138.0,31,True,2022-09-19 18:13:45.000,6.0,38.0,coremltools,conda-forge/coremltools,,4518.0,212536.0,1235.0,1086.0,https://pypi.org/project/coremltools,2022-06-07 17:38:09.000,149.0,210864.0,https://anaconda.org/conda-forge/coremltools,2021-10-15 05:58:32.248,38366.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
225,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2022-10-20 15:30:16.000000,2022-10-20 13:09:11,1902.0,146.0,170,35.0,1565.0,179.0,540.0,2812,Aim easy-to-use and performant open-source ML experiment tracker.,44.0,31,True,2022-10-07 17:08:00.000,3.14.1,404.0,aim,conda-forge/aim,,,29270.0,123.0,118.0,https://pypi.org/project/aim,2022-07-07 00:13:43.000,5.0,28091.0,https://anaconda.org/conda-forge/aim,2021-10-15 14:36:27.336,17692.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
226,hmmlearn,hmmlearn/hmmlearn,probabilistics,,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000,2022-10-20 12:54:40.000000,2022-09-27 19:26:20,428.0,7.0,702,114.0,97.0,57.0,339.0,2625,"Hidden Markov Models in Python, with scikit-learn like API.",41.0,31,True,2022-09-26 20:05:34.581,0.2.8,11.0,hmmlearn,conda-forge/hmmlearn,['sklearn'],,111848.0,1545.0,1417.0,https://pypi.org/project/hmmlearn,2022-02-10 14:13:50.000,128.0,108832.0,https://anaconda.org/conda-forge/hmmlearn,2022-09-27 00:21:03.567,141777.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
227,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2022-10-20 08:31:10.000000,2022-10-20 01:15:46,1084.0,188.0,340,48.0,391.0,92.0,243.0,2588,NeuralProphet: A simple forecasting package.,31.0,31,True,2022-10-14 21:59:05.509,0.4.1,13.0,neuralprophet,,['pytorch'],,87685.0,131.0,131.0,https://pypi.org/project/neuralprophet,2022-03-22 02:55:21.000,,87685.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
228,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2022-10-18 04:14:43.000000,2022-10-14 11:06:40,1126.0,13.0,233,50.0,146.0,44.0,304.0,2387,STUMPY is a powerful and scalable Python library for modern time series analysis.,31.0,31,True,2022-03-31 21:23:48.000,1.11.1,27.0,stumpy,conda-forge/stumpy,,,259364.0,279.0,275.0,https://pypi.org/project/stumpy,2022-03-31 21:23:48.000,4.0,257529.0,https://anaconda.org/conda-forge/stumpy,2022-03-31 21:30:16.208,75235.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
229,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2022-09-23 08:56:59.000000,2022-09-16 14:29:19,959.0,10.0,423,56.0,122.0,299.0,160.0,2281,A high performance implementation of HDBSCAN clustering.,80.0,31,True,2022-02-08 17:15:41.000,0.8.28.wheels,44.0,hdbscan,conda-forge/hdbscan,['sklearn'],,448753.0,1758.0,1593.0,https://pypi.org/project/hdbscan,2022-02-08 15:45:27.000,165.0,431811.0,https://anaconda.org/conda-forge/hdbscan,2022-02-11 21:21:32.499,1270658.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
230,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,BSD-2-Clause,2010-07-09 20:41:11.000,2022-10-11 20:52:10.000000,2022-10-11 20:52:02,440.0,16.0,148,43.0,57.0,11.0,101.0,1732,a python library for doing approximate and phonetic matching of strings.,27.0,31,True,2022-01-07 20:20:43.000,0.9.0,32.0,jellyfish,conda-forge/jellyfish,,,2547022.0,4764.0,4366.0,https://pypi.org/project/jellyfish,2022-01-07 20:20:43.000,398.0,2542160.0,https://anaconda.org/conda-forge/jellyfish,2022-04-08 08:13:55.565,354954.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
231,GPflow,GPflow/GPflow,probabilistics,,https://github.com/GPflow/GPflow,https://github.com/GPflow/GPflow,Apache-2.0,2016-01-14 11:29:24.000,2022-10-19 11:34:04.000000,2022-10-17 12:38:58,2407.0,26.0,430,76.0,1198.0,133.0,666.0,1668,Gaussian processes in TensorFlow.,79.0,31,True,2022-10-13 10:04:00.527,2.6.3,41.0,gpflow,conda-forge/gpflow,['tensorflow'],,31105.0,439.0,410.0,https://pypi.org/project/gpflow,2022-05-10 10:46:33.000,29.0,30796.0,https://anaconda.org/conda-forge/gpflow,2022-05-24 14:05:38.796,16421.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
232,pyLDAvis,bmabey/pyLDAvis,interpretability,,https://github.com/bmabey/pyLDAvis,https://github.com/bmabey/pyLDAvis,BSD-3-Clause,2015-04-09 22:48:03.000,2022-09-30 20:19:46.000000,2021-03-24 13:03:31,240.0,,333,57.0,67.0,94.0,78.0,1650,Python library for interactive topic model visualization. Port of the R LDAvis package.,32.0,31,False,2021-03-24 13:05:21.000,3.3.1,24.0,pyldavis,conda-forge/pyldavis,['jupyter'],,844892.0,4186.0,4042.0,https://pypi.org/project/pyldavis,2021-03-24 12:57:08.000,144.0,843919.0,https://anaconda.org/conda-forge/pyldavis,2021-03-24 15:17:07.309,50600.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
233,TF Recommenders,tensorflow/recommenders,recommender-systems,,https://github.com/tensorflow/recommenders,https://github.com/tensorflow/recommenders,Apache-2.0,2020-06-26 21:38:01.000,2022-10-19 13:40:16.000000,2022-10-07 18:33:48,333.0,18.0,213,48.0,269.0,166.0,150.0,1457,TensorFlow Recommenders is a library for building recommender system models using TensorFlow.,39.0,31,True,2022-09-29 22:06:02.468,0.7.2,15.0,tensorflow-recommenders,,['tensorflow'],,647140.0,149.0,148.0,https://pypi.org/project/tensorflow-recommenders,2021-08-23 23:29:59.000,1.0,647140.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
234,ArcGIS API,Esri/arcgis-python-api,geospatial-data,,https://github.com/Esri/arcgis-python-api,https://github.com/Esri/arcgis-python-api,Apache-2.0,2016-03-16 01:09:14.000,2022-10-20 11:42:22.000000,2022-08-17 17:30:57,3566.0,14.0,930,151.0,873.0,54.0,462.0,1434,Documentation and samples for ArcGIS API for Python.,81.0,31,True,2022-06-01 17:24:30.000,2.0.1,33.0,arcgis,,,5901.0,63438.0,26.0,,https://pypi.org/project/arcgis,2022-06-02 11:54:17.000,26.0,63265.0,,,,3.0,,,,,,,,,esridocker/arcgis-api-python-notebook,https://hub.docker.com/r/esridocker/arcgis-api-python-notebook,2022-06-17 15:56:10.986929,36.0,7361.0,,,,,,,,,,,,
235,PyCUDA,inducer/pycuda,gpu-utilities,,https://github.com/inducer/pycuda,https://github.com/inducer/pycuda,MIT,2011-04-06 02:53:31.000,2022-10-17 18:31:23.000000,2022-10-17 18:31:23,1564.0,39.0,259,54.0,125.0,74.0,166.0,1390,"CUDA integration for Python, plus shiny features.",78.0,31,True,2022-06-24 23:18:35.000,2022.1,48.0,pycuda,conda-forge/pycuda,,,41767.0,1746.0,1546.0,https://pypi.org/project/pycuda,2022-06-24 23:18:00.000,200.0,35341.0,https://anaconda.org/conda-forge/pycuda,2022-09-11 18:57:17.611,122100.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
236,tensorly,tensorly/tensorly,others,,https://github.com/tensorly/tensorly,https://github.com/tensorly/tensorly,BSD-2-Clause,2016-10-21 23:14:52.000,2022-10-06 16:06:27.000000,2022-10-06 16:06:27,1627.0,55.0,247,44.0,221.0,55.0,156.0,1310,TensorLy: Tensor Learning in Python.,56.0,31,True,2021-11-08 13:38:03.000,0.7.0,18.0,tensorly,conda-forge/tensorly,,,13982.0,332.0,302.0,https://pypi.org/project/tensorly,2021-11-08 13:38:03.000,30.0,7960.0,https://anaconda.org/conda-forge/tensorly,2021-12-09 16:07:42.501,319188.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
237,emcee,dfm/emcee,probabilistics,,https://github.com/dfm/emcee,https://github.com/dfm/emcee,MIT,2011-11-07 16:17:08.000,2022-10-14 14:25:58.000000,2022-10-12 15:39:56,899.0,5.0,423,87.0,176.0,43.0,228.0,1256,The Python ensemble sampling toolkit for affine-invariant MCMC.,65.0,31,True,2022-09-27 23:55:58.897,3.1.3,21.0,emcee,conda-forge/emcee,,,119421.0,1842.0,1533.0,https://pypi.org/project/emcee,2022-05-10 15:29:37.000,309.0,116231.0,https://anaconda.org/conda-forge/emcee,2022-09-28 01:53:26.212,245703.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
238,Model Analysis,tensorflow/model-analysis,interpretability,,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis,Apache-2.0,2018-03-23 19:08:49.000,2022-10-14 21:14:25.000000,2022-10-14 21:14:25,1222.0,45.0,256,71.0,96.0,28.0,49.0,1174,Model analysis tools for TensorFlow.,50.0,31,True,2022-10-07 18:51:57.000,0.41.1,52.0,tensorflow-model-analysis,,"['tensorflow', 'jupyter']",,836646.0,21.0,,https://pypi.org/project/tensorflow-model-analysis,2022-05-16 03:38:20.000,21.0,836646.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
239,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2022-10-17 07:58:04.000000,2022-10-17 07:53:20,10962.0,73.0,175,17.0,207.0,55.0,176.0,1039,Huggingface Transformers + Adapters =.,1429.0,31,True,2022-09-15 09:39:42.000,adapters3.1.0,16.0,adapter-transformers,,['huggingface'],,39255.0,98.0,93.0,https://pypi.org/project/adapter-transformers,2022-05-18 08:45:47.000,5.0,39255.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
240,TensorFlow Text,tensorflow/text,nlp,,https://github.com/tensorflow/text,https://github.com/tensorflow/text,Apache-2.0,2019-05-29 22:10:03.000,2022-10-20 05:26:21.000000,2022-10-20 05:26:16,746.0,38.0,245,39.0,845.0,95.0,148.0,996,Making text a first-class citizen in TensorFlow.,96.0,31,True,2022-09-08 08:15:31.000,2.10.0,57.0,tensorflow-text,,['tensorflow'],,2209503.0,2426.0,2343.0,https://pypi.org/project/tensorflow-text,2022-05-18 00:00:29.000,83.0,2209503.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
241,patsy,pydata/patsy,probabilistics,,https://github.com/pydata/patsy,https://github.com/pydata/patsy,BSD-2-Clause,2012-07-10 12:30:06.000,2022-10-09 22:58:02.769000,2022-10-09 20:27:52,544.0,5.0,101,29.0,53.0,68.0,71.0,859,Describing statistical models in Python using symbolic formulas.,17.0,31,True,2022-10-09 20:34:35.000,0.5.3,10.0,patsy,conda-forge/patsy,,,8124286.0,60966.0,58300.0,https://pypi.org/project/patsy,2021-09-26 05:26:37.000,2666.0,8042914.0,https://anaconda.org/conda-forge/patsy,2022-10-09 22:58:02.769,6021574.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
242,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Apache-2.0,2020-12-22 10:20:28.000,2022-10-20 15:38:46.000000,2022-10-20 14:15:51,762.0,90.0,136,42.0,718.0,86.0,243.0,564,All the open source things related to the Hugging Face Hub.,75.0,31,True,2022-10-11 07:48:36.000,0.10.1,48.0,huggingface_hub,conda-forge/huggingface_hub,,,6583823.0,87.0,,https://pypi.org/project/huggingface_hub,2022-06-21 15:21:13.000,87.0,6561468.0,https://anaconda.org/conda-forge/huggingface_hub,2022-10-11 17:15:42.631,447109.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
243,CNTK,microsoft/CNTK,ml-frameworks,,https://github.com/microsoft/CNTK,https://github.com/microsoft/CNTK,MIT,2015-11-26 09:52:06.000,2022-09-30 05:08:36.000000,2022-09-23 14:06:50,16117.0,1.0,4377,1278.0,557.0,838.0,2534.0,17240,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit.",272.0,30,True,2019-04-26 14:13:32.000,2.7,32.0,cntk,,,13993.0,974.0,18.0,,https://pypi.org/project/cntk,2020-12-09 22:21:57.000,18.0,802.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
244,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2022-10-04 14:36:53.069000,2022-10-04 06:28:36,3349.0,82.0,622,128.0,126.0,90.0,810.0,7527,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",74.0,30,True,2022-10-04 08:54:12.510,14.0.1,206.0,ocrmypdf,conda-forge/ocrmypdf,,,30214.0,13.0,,https://pypi.org/project/ocrmypdf,2022-07-04 02:37:37.000,13.0,28776.0,https://anaconda.org/conda-forge/ocrmypdf,2022-10-04 14:36:53.069,28775.0,2.0,,,,,,,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,,
245,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2022-10-18 20:39:59.000000,2021-05-08 20:05:36,292.0,,1945,282.0,73.0,263.0,432.0,7291,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,15.0,30,False,2021-01-05 01:26:01.000,2.1.6,10.0,imageai,conda-forge/imageai,,788589.0,24202.0,1199.0,1183.0,https://pypi.org/project/imageai,2021-01-05 01:26:01.000,16.0,9449.0,https://anaconda.org/conda-forge/imageai,2021-04-30 19:03:25.297,4070.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
246,FinRL,AI4Finance-Foundation/FinRL,reinforcement-learning,,https://github.com/AI4Finance-Foundation/FinRL,https://github.com/AI4Finance-Foundation/FinRL,MIT,2020-07-26 13:18:16.000,2022-10-18 13:21:52.000000,2022-10-18 13:21:52,2523.0,72.0,1446,160.0,238.0,72.0,388.0,6200,FinRL: Financial Reinforcement Learning.,79.0,30,True,2022-07-25 13:29:00.262,0.3.5,7.0,finrl,,,,365.0,17.0,17.0,https://pypi.org/project/finrl,2022-01-08 13:58:14.000,,365.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
247,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deeppavlov/DeepPavlov,https://github.com/deeppavlov/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2022-10-19 08:30:39.000000,2022-09-16 15:26:12,2617.0,2.0,1055,209.0,971.0,54.0,565.0,5885,An open source library for deep learning end-to-end dialog systems and chatbots.,67.0,30,True,2022-09-20 02:50:09.493,0.17.6,53.0,deeppavlov,,['tensorflow'],,9776.0,301.0,295.0,https://pypi.org/project/deeppavlov,2022-05-31 12:04:38.000,6.0,9776.0,,,,2.0,,,,,,,,,,,,,,,,,,deeppavlov/DeepPavlov,,,,,,,
248,CleverHans,cleverhans-lab/cleverhans,adversarial,,https://github.com/cleverhans-lab/cleverhans,https://github.com/cleverhans-lab/cleverhans,MIT,2016-09-15 00:28:04.000,2022-10-10 00:55:34.000000,2021-09-23 22:14:27,3201.0,,1374,190.0,781.0,36.0,422.0,5628,"An adversarial example library for constructing attacks, building defenses, and benchmarking both.",129.0,30,False,2021-07-24 08:53:21.000,4.0.0,8.0,cleverhans,conda-forge/cleverhans,['tensorflow'],,1445.0,373.0,362.0,https://pypi.org/project/cleverhans,2021-07-24 08:53:21.000,11.0,1287.0,https://anaconda.org/conda-forge/cleverhans,2021-07-29 12:49:41.903,4431.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
249,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2022-10-09 15:08:43.768000,2022-10-07 04:54:11,5355.0,76.0,528,107.0,1326.0,96.0,476.0,4899,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",72.0,30,True,2022-10-08 20:00:35.346,1.7.1,89.0,perspective-python,conda-forge/perspective,['jupyter'],,10443.0,13.0,4.0,https://pypi.org/project/perspective-python,2022-06-06 20:23:28.000,9.0,3154.0,https://anaconda.org/conda-forge/perspective,2022-10-09 15:08:43.768,174811.0,2.0,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2022-10-07 04:54:41.692,,1046.0,,,,,,,,,,,,,,,,,
250,Darts,unit8co/darts,time-series-data,,https://github.com/unit8co/darts,https://github.com/unit8co/darts,Apache-2.0,2018-09-13 15:17:28.000,2022-10-20 13:49:27.000000,2022-10-13 11:44:11,863.0,57.0,526,39.0,610.0,199.0,502.0,4805,A python library for easy manipulation and forecasting of time series.,67.0,30,True,2022-10-04 20:50:07.974,0.22.0,32.0,u8darts,conda-forge/u8darts-all,,,8685.0,114.0,111.0,https://pypi.org/project/u8darts,2022-06-22 08:12:22.000,3.0,7611.0,https://anaconda.org/conda-forge/u8darts-all,2022-10-05 11:37:19.911,16016.0,2.0,,,,,,,,,unit8/darts,https://hub.docker.com/r/unit8/darts,2022-10-04 21:57:32.356390,,361.0,,,,,,,,,,,,
251,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2022-10-19 09:07:42.000000,2022-10-19 09:07:42,1019.0,22.0,322,79.0,458.0,51.0,406.0,4764,A scikit-learn compatible neural network library that wraps PyTorch.,52.0,30,True,2022-10-07 09:48:21.000,0.12.0,15.0,skorch,conda-forge/skorch,"['pytorch', 'sklearn']",,46596.0,625.0,584.0,https://pypi.org/project/skorch,2021-10-31 15:48:51.000,41.0,33485.0,https://anaconda.org/conda-forge/skorch,2021-11-30 10:48:50.965,642472.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
252,deepface,serengil/deepface,image,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28.000,2022-10-10 06:00:53.000000,2022-10-10 06:00:53,846.0,17.0,1025,92.0,45.0,4.0,528.0,4757,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",27.0,30,True,2022-05-10 19:13:23.000,0.0.75,74.0,deepface,,,,30910.0,835.0,832.0,https://pypi.org/project/deepface,2022-05-10 19:13:23.000,3.0,30910.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
