,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
161,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2024-03-21 07:28:22.000000,2024-03-20 16:19:41,2913.0,141.0,284.0,68.0,1640.0,33.0,598.0,2244.0,Adaptive Experimentation Platform.,166.0,34,True,2024-03-01 16:10:42.000,0.3.7,39.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],675.0,675.0,https://pypi.org/project/ax-platform,158179.0,158716.0,https://anaconda.org/conda-forge/ax-platform,2024-03-02 16:28:38.668,17748.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
162,snakemake,snakemake/snakemake,ml-experiments,,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2015-10-17 15:43:54.867,2024-03-21 13:23:20.000000,2024-03-19 09:57:38,5112.0,140.0,504.0,20.0,1217.0,1001.0,619.0,2076.0,"This is the development home of the workflow management system Snakemake. For general information, see.",319.0,34,True,2024-03-19 09:58:51.000,8.9.0,321.0,snakemake,bioconda/snakemake,,,,2178.0,1909.0,https://pypi.org/project/snakemake,163215.0,173079.0,https://anaconda.org/bioconda/snakemake,2024-03-19 11:17:42.759,996346.0,,,,,2.0,,2024-03-19 09:58:51.000,269.0,,,,,,,,,,,,,,,,,,
163,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2024-03-21 10:19:32.000000,2024-03-20 08:22:58,993.0,73.0,337.0,54.0,1134.0,227.0,386.0,2056.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,101.0,34,True,2024-02-18 02:19:37.000,1.17.1,51.0,optimum,conda-forge/optimum,,,,1887.0,1887.0,https://pypi.org/project/optimum,1061953.0,1062466.0,https://anaconda.org/conda-forge/optimum,2024-02-18 04:42:34.186,11812.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
164,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,BSD-3-Clause,2012-08-03 07:43:59.000,2024-03-21 04:25:22.000000,2024-03-17 09:58:07,3000.0,60.0,356.0,55.0,1144.0,314.0,943.0,1339.0,Cartopy - a cartographic python library with matplotlib support.,125.0,34,True,2023-08-05 00:46:57.000,0.22.0,24.0,cartopy,conda-forge/cartopy,,,,4594.0,4594.0,https://pypi.org/project/cartopy,242058.0,316508.0,https://anaconda.org/conda-forge/cartopy,2023-10-24 18:58:07.197,3424728.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
165,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2024-02-23 21:54:31.000000,2024-02-23 21:54:27,1531.0,7.0,153.0,41.0,132.0,8.0,640.0,1159.0,A Python data analysis library that is optimized for humans instead of machines.,52.0,34,True,2023-12-21 20:05:21.000,1.9.1,32.0,agate,conda-forge/agate,,,,3060.0,2911.0,https://pypi.org/project/agate,6140341.0,6145226.0,https://anaconda.org/conda-forge/agate,2023-12-21 21:50:42.816,166121.0,,,,,2.0,,2023-12-21 20:05:21.000,149.0,,,,,,,,,,,,,,,,,,
166,Nilearn,nilearn/nilearn,medical-data,,https://github.com/nilearn/nilearn,https://github.com/nilearn/nilearn,,2011-01-09 19:02:23.000,2024-03-21 14:18:42.000000,2024-03-21 12:58:33,10249.0,86.0,542.0,71.0,2353.0,243.0,1738.0,1095.0,Machine learning for NeuroImaging in Python.,234.0,34,False,2024-01-29 09:22:59.000,0.10.3,23.0,nilearn,conda-forge/nilearn,,,['sklearn'],2970.0,2970.0,https://pypi.org/project/nilearn,65367.0,71905.0,https://anaconda.org/conda-forge/nilearn,2024-01-29 13:01:39.700,261381.0,,,,,2.0,159.0,,,,,,,,,,,,,,,,,,,,
167,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,,2010-07-22 16:28:30.000,2024-03-12 01:11:40.000000,2024-03-12 01:11:39,5804.0,44.0,249.0,37.0,797.0,100.0,399.0,616.0,Python package to access a cacophony of neuro-imaging file formats.,102.0,34,False,2024-02-27 04:17:30.000,5.2.1,40.0,nibabel,conda-forge/nibabel,,,,17744.0,17744.0,https://pypi.org/project/nibabel,484842.0,500052.0,https://anaconda.org/conda-forge/nibabel,2024-02-27 14:41:50.570,684480.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
168,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2024-03-21 10:07:23.000000,2024-03-21 10:07:22,3031.0,108.0,4154.0,376.0,3718.0,356.0,1177.0,37218.0,"Making large AI models cheaper, faster and more accessible.",170.0,33,True,2024-03-07 15:38:25.000,0.3.6,36.0,,,,,,302.0,302.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
169,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2024-03-11 08:31:49.000000,2024-03-11 08:27:00,1505.0,9.0,6860.0,381.0,652.0,393.0,3046.0,28350.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",266.0,33,True,2021-11-15 22:08:26.000,0.6,10.0,detectron2,conda-forge/detectron2,,,['pytorch'],1663.0,1663.0,https://pypi.org/project/detectron2,,5125.0,https://anaconda.org/conda-forge/detectron2,2024-01-18 08:57:46.349,225534.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
170,fastText,facebookresearch/fastText,nlp,,https://github.com/facebookresearch/fastText,https://github.com/facebookresearch/fastText,MIT,2016-07-16 13:38:42.000,2024-03-15 00:04:23.000000,2024-03-13 15:16:33,391.0,3.0,4735.0,844.0,268.0,550.0,611.0,25506.0,Library for fast text representation and classification.,68.0,33,True,2020-04-28 09:54:50.000,0.9.2,36.0,fasttext,conda-forge/fasttext,,,,253.0,21.0,https://pypi.org/project/fasttext,1076091.0,1077882.0,https://anaconda.org/conda-forge/fasttext,2023-09-26 23:15:16.887,75226.0,,,,,2.0,,2020-04-28 09:54:50.000,232.0,,,,,,,,,,,,,,,,,,
171,MindsDB,mindsdb/mindsdb,ml-frameworks,,https://github.com/mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,,2018-08-02 17:56:45.000,2024-03-21 13:54:50.000000,2024-03-21 12:31:46,17579.0,960.0,2621.0,376.0,4792.0,372.0,3353.0,20241.0,The platform for customizing AI from enterprise data.,822.0,33,False,2024-03-20 16:17:06.000,24.3.4.0,100.0,mindsdb,,,,['pytorch'],,,https://pypi.org/project/mindsdb,14553.0,14553.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
172,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000000,2020-10-14 16:36:49,6226.0,,4627.0,1005.0,1869.0,357.0,658.0,16985.0,"Zipline, a Pythonic Algorithmic Trading Library.",160.0,33,False,2020-10-05 15:46:20.429,1.4.1,30.0,zipline,conda-forge/zipline,,,,1071.0,985.0,https://pypi.org/project/zipline,2645.0,2823.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,7479.0,,,,,1.0,,2020-10-05 15:46:20.429,86.0,,,,,,,,,,,,,,,,,,
173,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2024-03-07 11:44:47.000000,2023-10-26 05:31:53,3012.0,,1800.0,285.0,3504.0,373.0,1677.0,13660.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,33,True,2023-09-14 12:12:06.000,3.0,55.0,nni,,,,,631.0,593.0,https://pypi.org/project/nni,15575.0,15575.0,,,,,,,,1.0,,2023-09-14 12:22:00.000,38.0,,,,,,,,,,,,,,,,,,
174,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2024-01-02 11:17:53.000000,2024-01-02 11:17:47,862.0,3.0,1363.0,419.0,85.0,32.0,159.0,9685.0,TensorFlow-based neural network library.,58.0,33,True,2024-01-02 11:15:06.000,2.0.2,29.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1306.0,1253.0,https://pypi.org/project/dm-sonnet,24359.0,24879.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,27084.0,,,,,2.0,,2024-01-02 11:15:06.000,53.0,google-deepmind/sonnet,,,,,,,,,,,,,,,,,
175,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2024-02-26 15:57:08.680000,2024-02-23 19:03:07,2440.0,6.0,1539.0,289.0,430.0,284.0,637.0,9463.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,118.0,33,False,2024-02-23 19:06:10.000,0.12.2,63.0,tpot,conda-forge/tpot,,,['sklearn'],2717.0,2655.0,https://pypi.org/project/tpot,41762.0,47217.0,https://anaconda.org/conda-forge/tpot,2024-02-26 15:57:08.680,245519.0,,,,,1.0,,2024-02-23 19:06:10.000,62.0,,,,,,,,,,,,,,,,,,
176,fuzzywuzzy,seatgeek/fuzzywuzzy,nlp,,https://github.com/seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,GPL-2.0,2011-07-08 19:32:34.000,2023-06-16 13:22:53.603000,2021-09-09 20:54:41,384.0,,870.0,260.0,148.0,83.0,103.0,9090.0,Fuzzy String Matching in Python.,70.0,33,False,2020-02-13 22:14:12.000,0.18.0,23.0,fuzzywuzzy,conda-forge/fuzzywuzzy,,,,23248.0,23248.0,https://pypi.org/project/fuzzywuzzy,6729213.0,6734913.0,https://anaconda.org/conda-forge/fuzzywuzzy,2023-06-16 13:22:53.603,524445.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
177,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2024-03-20 22:02:13.000000,2024-03-20 22:02:12,1391.0,4.0,1399.0,302.0,894.0,133.0,759.0,9055.0,AutoML library for deep learning.,143.0,33,True,2024-03-20 21:40:33.000,2.0.0,59.0,autokeras,,,,['tensorflow'],663.0,650.0,https://pypi.org/project/autokeras,17275.0,17510.0,,,,,,,,1.0,17890.0,2024-03-20 21:40:33.000,13.0,,,,,,,,,,,,,,,,,,
178,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2024-03-19 06:35:41.000000,2024-03-08 03:19:52,2899.0,5.0,1618.0,87.0,1633.0,307.0,1829.0,8152.0,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",119.0,33,True,2023-10-18 03:54:18.000,2.9.0,19.0,paddleseg,,,,['paddle'],1148.0,1144.0,https://pypi.org/project/paddleseg,2785.0,2785.0,,,,,,,,2.0,,2022-11-30 11:24:02.578,4.0,,,,,,,,,,,,,,,,,,
179,Metaflow,Netflix/metaflow,ml-experiments,,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25.000,2024-03-20 11:41:54.000000,2024-03-20 11:41:53,873.0,59.0,699.0,279.0,1154.0,302.0,365.0,7477.0,"Build and manage real-life ML, AI, and data science projects with ease!.",83.0,33,True,2024-03-14 18:36:33.000,2.11.5,112.0,metaflow,conda-forge/metaflow,,,,638.0,610.0,https://pypi.org/project/metaflow,217098.0,220773.0,https://anaconda.org/conda-forge/metaflow,2024-03-15 15:30:47.142,161712.0,,,,,2.0,,2024-03-14 18:36:33.000,28.0,,,,,,,,,,,,,,,,,,
180,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2024-03-21 14:25:13.000000,2024-03-21 13:43:20,38499.0,487.0,813.0,147.0,9329.0,1064.0,5040.0,7144.0,cuDF - GPU DataFrame Library.,274.0,33,True,2024-02-27 15:12:35.000,24.02.02,47.0,cudf,,,,,63.0,52.0,https://pypi.org/project/cudf,2754.0,2754.0,,,,,,,,2.0,,2020-06-01 20:07:47.000,11.0,,,,,,,,,,,,,,,,,,
181,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2024-03-19 18:34:21.000000,2024-03-19 18:34:20,1349.0,34.0,858.0,158.0,1692.0,169.0,824.0,6990.0,An open source python library for automated feature engineering.,72.0,33,True,2024-02-26 17:29:32.000,1.30.0,105.0,featuretools,conda-forge/featuretools,,,,1640.0,1562.0,https://pypi.org/project/featuretools,55144.0,59078.0,https://anaconda.org/conda-forge/featuretools,2024-02-27 14:54:50.393,177068.0,,,,,1.0,,2024-02-26 17:29:32.000,78.0,,,,,,,,,,,,,,,,,,
182,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2023-12-05 22:52:30.000000,2023-11-16 08:43:39,1418.0,,872.0,219.0,220.0,174.0,233.0,6739.0,Efficiently computes derivatives of numpy code.,56.0,33,True,2023-06-23 08:37:07.368,1.6.2,29.0,autograd,conda-forge/autograd,,,,7942.0,7615.0,https://pypi.org/project/autograd,1285467.0,1304611.0,https://anaconda.org/conda-forge/autograd,2023-06-26 15:21:38.267,402041.0,,,,,2.0,,2023-06-23 08:37:07.368,327.0,,,,,,,,,,,,,,,,,,
183,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2024-03-18 15:56:58.000000,2024-03-16 08:56:38,3022.0,122.0,708.0,140.0,99.0,91.0,327.0,5960.0,Fit interpretable models. Explain blackbox machine learning.,42.0,33,True,2024-03-18 15:53:29.000,0.6.0,48.0,interpret,,,,['jupyter'],673.0,641.0,https://pypi.org/project/interpret,86615.0,86615.0,,,,,,,,1.0,,2024-03-16 10:19:37.000,32.0,,,,,,,,,,,,,,,,,,
184,Chainer,chainer/chainer,ml-frameworks,,https://github.com/chainer/chainer,https://github.com/chainer/chainer,MIT,2015-06-05 05:50:37.000,2023-08-28 17:18:20.000000,2022-10-17 02:18:00,30611.0,,1397.0,290.0,6588.0,12.0,2030.0,5856.0,A flexible framework of neural networks for deep learning.,324.0,33,False,2022-06-29 08:19:03.000,7.8.1.post1,111.0,chainer,conda-forge/chainer,,,,3605.0,3201.0,https://pypi.org/project/chainer,17712.0,18052.0,https://anaconda.org/conda-forge/chainer,2023-06-16 19:17:58.452,16693.0,,,,,2.0,,2022-01-05 05:33:36.000,404.0,,,,,,,,,,,,,,,,,,
185,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2024-03-08 17:29:10.000000,2023-12-16 19:23:13,1208.0,,650.0,65.0,132.0,53.0,434.0,5694.0,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",40.0,33,True,2023-12-16 19:24:49.000,2.4.1,209.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],1345.0,1314.0,https://pypi.org/project/pytorch-metric-learning,476587.0,476811.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2023-06-16 19:17:36.446,11237.0,,,,,1.0,,2023-12-16 19:14:54.000,31.0,,,,,,,,,,,,,,,,,,
186,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2024-02-02 08:20:24.000000,2023-07-28 00:16:45,2332.0,,1102.0,189.0,234.0,270.0,281.0,5509.0,Distributed Evolutionary Algorithms in Python.,87.0,33,False,2023-07-21 10:51:54.000,1.4.1,27.0,deap,conda-forge/deap,,,,4909.0,4535.0,https://pypi.org/project/deap,190405.0,199177.0,https://anaconda.org/conda-forge/deap,2023-09-25 01:16:08.711,359654.0,,,,,2.0,,2023-07-21 10:51:54.000,374.0,,,,,,,,,,,,,,,,,,
187,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2024-03-21 05:14:49.000000,2024-03-21 05:10:11,1070.0,19.0,461.0,234.0,745.0,191.0,333.0,4491.0,Model interpretability and understanding for PyTorch.,110.0,33,True,2023-12-05 09:21:02.000,0.7.0,10.0,captum,conda-forge/captum,,,['pytorch'],1960.0,1897.0,https://pypi.org/project/captum,216923.0,217727.0,https://anaconda.org/conda-forge/captum,2023-06-16 19:28:19.191,21719.0,,,,,1.0,,2023-12-05 08:32:04.000,63.0,,,,,,,,,,,,,,,,,,
188,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2024-03-04 07:54:57.000000,2023-12-03 03:47:34,490.0,,595.0,66.0,215.0,191.0,154.0,3930.0,Header-only C++/python library for fast approximate nearest neighbors.,72.0,33,True,2023-12-03 04:16:17.000,0.8.0,11.0,hnswlib,conda-forge/hnswlib,,,,6205.0,6139.0,https://pypi.org/project/hnswlib,824576.0,827997.0,https://anaconda.org/conda-forge/hnswlib,2023-09-27 14:20:16.958,133423.0,,,,,2.0,,2023-12-03 04:16:17.000,66.0,,,,,,,,,,,,,,,,,,
189,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2024-03-20 17:26:25.000000,2024-03-08 17:56:57,1272.0,30.0,233.0,36.0,427.0,85.0,207.0,3459.0,Lightning fast forecasting with statistical and econometric models.,38.0,33,True,2024-02-05 21:45:31.000,1.7.3,31.0,statsforecast,conda-forge/statsforecast,,,,778.0,752.0,https://pypi.org/project/statsforecast,576318.0,578824.0,https://anaconda.org/conda-forge/statsforecast,2024-02-06 03:02:36.606,60150.0,,,,,1.0,,2024-02-05 21:45:31.000,26.0,,,,,,,,,,,,,,,,,,
190,rubrix,recognai/rubrix,nlp,,https://github.com/argilla-io/argilla,https://github.com/argilla-io/argilla,Apache-2.0,2021-04-28 14:37:42.000,2024-03-21 12:01:44.000000,2024-03-21 12:01:43,2905.0,128.0,297.0,24.0,2689.0,181.0,1654.0,3028.0,"Argilla is a collaboration platform for AI engineers and domain experts that require high-quality outputs, full data..",82.0,33,True,2024-02-29 10:31:19.000,1.25.0,100.0,rubrix,conda-forge/rubrix,,,,2319.0,2319.0,https://pypi.org/project/rubrix,1268.0,2338.0,https://anaconda.org/conda-forge/rubrix,2023-06-16 19:28:09.653,28899.0,,,,,2.0,,2022-10-24 18:22:00.951,,argilla-io/argilla,,,,,,,,,,,,,,,,,
191,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2024-02-21 22:30:58.000000,2024-02-19 19:00:58,3685.0,15.0,193.0,50.0,1353.0,129.0,716.0,1954.0,Ahead of Time compiler for numeric kernels.,72.0,33,True,2024-01-07 21:21:39.000,0.15.0,59.0,pythran,conda-forge/pythran,,,,1931.0,1909.0,https://pypi.org/project/pythran,215920.0,226705.0,https://anaconda.org/conda-forge/pythran,2024-01-08 06:40:29.964,452982.0,,,,,2.0,,2024-01-07 21:21:39.000,22.0,,,,,,,,,,,,,,,,pythran,python-pythran,
192,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-03-08 13:48:08.000000,2024-03-01 15:29:40,1173.0,8.0,364.0,66.0,599.0,268.0,348.0,1448.0,A Jupyter - Leaflet.js bridge.,88.0,33,True,2024-01-23 17:57:40.189,0.18.2,81.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],7943.0,7769.0,https://pypi.org/project/ipyleaflet,141698.0,177577.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1107658.0,,,,,2.0,,2024-01-23 17:54:03.000,168.0,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2024-01-23 17:57:40.189,6.0,11800.0,,,,,,,,,,,,
193,Satpy,pytroll/satpy,geospatial-data,,https://github.com/pytroll/satpy,https://github.com/pytroll/satpy,GPL-3.0,2016-02-09 20:29:43.000,2024-03-20 12:01:21.000000,2024-03-19 20:59:54,13236.0,229.0,279.0,35.0,1758.0,463.0,625.0,993.0,Python package for earth-observing satellite data processing.,152.0,33,False,2024-02-21 11:29:00.000,0.47.0,93.0,satpy,conda-forge/satpy,,,,140.0,122.0,https://pypi.org/project/satpy,62704.0,66791.0,https://anaconda.org/conda-forge/satpy,2024-02-21 15:57:59.122,183944.0,,,,,2.0,,2024-02-21 11:29:00.000,18.0,,,,,,,,,,,,,,,,,,
194,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,,2010-02-06 11:43:08.000,2024-03-21 13:14:39.000000,2024-03-21 04:58:46,13870.0,207.0,419.0,50.0,2062.0,151.0,768.0,660.0,"DIPY is the paragon 3D/4D+ imaging library in Python. Contains generic methods for spatial normalization, signal..",158.0,33,False,2024-03-08 22:14:36.000,1.9.0,28.0,dipy,conda-forge/dipy,,,,1137.0,1024.0,https://pypi.org/project/dipy,33598.0,43827.0,https://anaconda.org/conda-forge/dipy,2024-03-10 04:37:57.447,429632.0,,,,,2.0,,2024-03-08 22:14:36.000,113.0,,,,,,,,,,,,,,,,,,
195,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2024-02-24 12:51:59.000000,2022-06-10 09:12:18,238.0,,13012.0,1565.0,227.0,731.0,584.0,51396.0,The worlds simplest facial recognition api for Python and the command line.,54.0,32,False,2018-04-02 17:18:43.000,1.2.2,2.0,face_recognition,conda-forge/face_recognition,,,['pytorch'],21.0,21.0,https://pypi.org/project/face_recognition,115220.0,115706.0,https://anaconda.org/conda-forge/face_recognition,2023-06-16 19:21:40.721,19847.0,,,,,2.0,1227.0,,,,,,,,,,,,,,,,,,,,
196,Coqui TTS,coqui-ai/TTS,audio,,https://github.com/coqui-ai/TTS,https://github.com/coqui-ai/TTS,MPL-2.0,2020-05-20 15:45:28.000,2024-03-15 22:01:37.000000,2024-02-10 14:20:58,4668.0,2.0,3179.0,251.0,718.0,68.0,946.0,28040.0,"- a deep learning toolkit for Text-to-Speech, battle-tested in research and production.",164.0,32,True,2023-12-12 15:27:06.000,0.22.0,98.0,tts,conda-forge/tts,,,"['pytorch', 'tensorflow']",26.0,,https://pypi.org/project/tts,100812.0,157702.0,https://anaconda.org/conda-forge/tts,2023-06-16 19:27:41.222,10496.0,,,,,2.0,2035074.0,2023-12-12 15:27:06.000,26.0,,,,,,,,,,,,,,,,,,
197,tinygrad,geohot/tinygrad,pytorch-utils,,https://github.com/tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,MIT,2020-10-18 16:23:12.000,2024-03-21 14:37:48.000000,2024-03-21 12:21:55,3885.0,690.0,2533.0,263.0,3233.0,94.0,458.0,23036.0,You like pytorch? You like micrograd? You love tinygrad!.,290.0,32,True,2024-01-09 18:16:07.000,0.8.0,5.0,,,,,['pytorch'],51.0,51.0,,,,,,,,,,,1.0,,,,tinygrad/tinygrad,,,,,,,,,,,,,,,,,
198,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2024-01-23 01:48:22.000000,2023-07-11 13:03:36,1421.0,,3629.0,755.0,1134.0,361.0,588.0,18891.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,32,True,2022-08-01 18:18:44.000,2.1.4,48.0,magenta,,,,['tensorflow'],499.0,499.0,https://pypi.org/project/magenta,3623.0,3623.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
199,tensor2tensor,tensorflow/tensor2tensor,tensorflow-utils,,https://github.com/tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,Apache-2.0,2017-06-15 16:57:39.000,2023-06-02 18:55:09.000000,2023-04-01 10:19:28,4379.0,,3420.0,466.0,671.0,590.0,672.0,14720.0,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,244.0,32,True,2020-06-17 16:31:34.798,1.15.7,79.0,tensor2tensor,,,,['tensorflow'],1551.0,1461.0,https://pypi.org/project/tensor2tensor,6137.0,6137.0,,,,,,,,2.0,,2020-06-17 16:31:34.798,90.0,,,,,,,,,,,,,,,,,,
200,Lime,marcotcr/lime,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000,2023-10-25 13:56:47.000000,2021-07-29 23:17:25,531.0,,1760.0,263.0,114.0,96.0,535.0,11216.0,Lime: Explaining the predictions of any machine learning classifier.,62.0,32,False,2020-04-03 22:05:03.000,0.2.0.0,39.0,lime,conda-forge/lime,,,,5406.0,5226.0,https://pypi.org/project/lime,332442.0,334724.0,https://anaconda.org/conda-forge/lime,2023-06-16 13:18:57.655,198610.0,,,,,1.0,,2020-06-26 21:38:15.000,180.0,,,,,,,,,,,,,,,,,,
201,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2023-11-01 06:14:06.000000,2021-11-29 19:55:31,1571.0,,1126.0,337.0,1683.0,502.0,1294.0,11148.0,Turi Create simplifies the development of custom machine learning models.,86.0,32,False,2020-09-30 22:44:07.000,6.4.1,30.0,turicreate,,,,,368.0,368.0,https://pypi.org/project/turicreate,23889.0,24017.0,,,,,,,,3.0,9659.0,,,,,,,,,,,,,,,,,,,,
