,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
101,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2022-06-18 04:32:30.000000,2022-05-16 18:51:43,771.0,4.0,1200,149.0,414.0,61.0,461.0,6002,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,63.0,35,True,2022-05-16 18:50:00.000,0.9.1,30.0,imbalanced-learn,conda-forge/imbalanced-learn,['sklearn'],,3051707.0,12277.0,12011.0,https://pypi.org/project/imbalanced-learn,2022-05-16 18:50:00.000,266.0,3047416.0,https://anaconda.org/conda-forge/imbalanced-learn,2022-05-16 19:16:17.050,248935.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
102,UMAP,lmcinnes/umap,data-viz,,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17.000,2022-08-08 16:03:03.000000,2022-08-08 16:03:03,1592.0,11.0,639,126.0,218.0,333.0,300.0,5726,Uniform Manifold Approximation and Projection.,102.0,35,True,2022-04-13 21:20:36.000,0.5.3,37.0,umap-learn,conda-forge/umap-learn,,,697817.0,6233.0,5915.0,https://pypi.org/project/umap-learn,2022-04-13 21:20:36.000,318.0,673390.0,https://anaconda.org/conda-forge/umap-learn,2022-04-14 03:58:56.571,1270228.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,sktime,alan-turing-institute/sktime,time-series-data,,https://github.com/alan-turing-institute/sktime,https://github.com/alan-turing-institute/sktime,BSD-3-Clause,2018-11-06 15:08:24.000,2022-08-11 09:31:39.000000,2022-08-11 00:01:48,2883.0,307.0,901,109.0,1785.0,502.0,853.0,5610,A unified framework for machine learning with time series.,190.0,35,True,2022-08-11 01:18:01.933,0.13.1,28.0,sktime,conda-forge/sktime-all-extras,['sklearn'],76.0,258443.0,569.0,543.0,https://pypi.org/project/sktime,2022-06-29 00:58:26.000,26.0,257672.0,https://anaconda.org/conda-forge/sktime-all-extras,2022-07-12 10:48:35.377,10012.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,geopy,geopy/geopy,geospatial-data,,https://github.com/geopy/geopy,https://github.com/geopy/geopy,MIT,2010-03-04 22:05:28.000,2022-08-07 09:29:04.000000,2022-08-07 09:28:49,1090.0,18.0,591,96.0,252.0,37.0,238.0,3699,Geocoding library for Python.,128.0,35,True,2021-07-11 12:18:10.000,2.2.0,58.0,geopy,conda-forge/geopy,,,5459175.0,44825.0,40919.0,https://pypi.org/project/geopy,2021-07-11 12:15:26.000,3906.0,5449167.0,https://anaconda.org/conda-forge/geopy,2021-07-12 18:34:05.605,770691.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,TensorFlow Datasets,tensorflow/datasets,tensorflow-utils,,https://github.com/tensorflow/datasets,https://github.com/tensorflow/datasets,Apache-2.0,2018-09-10 21:27:22.000,2022-08-11 15:10:40.000000,2022-08-03 20:06:09,4947.0,157.0,1289,105.0,3062.0,593.0,622.0,3351,"TFDS is a collection of datasets ready to use with TensorFlow, Jax, ...",262.0,35,True,2022-06-02 09:21:23.000,4.6.0,27.0,tensorflow-datasets,conda-forge/tensorflow-datasets,['tensorflow'],,1158217.0,166.0,,https://pypi.org/project/tensorflow-datasets,2022-06-02 09:17:35.000,166.0,1157794.0,https://anaconda.org/conda-forge/tensorflow-datasets,2021-08-17 15:33:14.368,6354.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106,AzureML SDK,Azure/MachineLearningNotebooks,ml-experiments,,https://github.com/Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,MIT,2018-08-17 17:29:14.000,2022-08-10 18:36:05.000000,2022-08-10 18:36:05,1223.0,26.0,2203,2052.0,488.0,306.0,1031.0,3350,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft.,60.0,35,True,2022-06-27 17:00:30.000,1.43.0,91.0,azureml-sdk,,,461.0,1323164.0,46.0,,https://pypi.org/project/azureml-sdk,2022-06-27 17:00:30.000,46.0,1323154.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Graphviz,xflr6/graphviz,data-viz,,https://github.com/xflr6/graphviz,https://github.com/xflr6/graphviz,MIT,2014-01-12 17:49:29.000,2022-08-10 07:32:49.546000,2022-07-27 21:04:14,1173.0,11.0,182,29.0,37.0,8.0,133.0,1245,Simple Python interface for Graphviz.,19.0,35,True,2022-07-23 11:35:06.076,0.20.1,56.0,graphviz,anaconda/python-graphviz,,,10088063.0,36826.0,33787.0,https://pypi.org/project/graphviz,2022-04-16 15:32:15.000,3039.0,10087633.0,https://anaconda.org/anaconda/python-graphviz,2022-08-10 07:32:49.546,27529.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Nilearn,nilearn/nilearn,medical-data,,https://github.com/nilearn/nilearn,https://github.com/nilearn/nilearn,BSD-3-Clause,2011-01-09 19:02:23.000,2022-08-11 11:05:32.000000,2022-08-09 13:43:19,9650.0,52.0,459,79.0,1727.0,280.0,1370.0,878,Machine learning for NeuroImaging in Python.,190.0,35,True,2022-04-13 13:12:02.000,0.9.1,40.0,nilearn,conda-forge/nilearn,['sklearn'],62.0,37677.0,1916.0,1678.0,https://pypi.org/project/nilearn,2022-04-13 13:08:52.000,238.0,35386.0,https://anaconda.org/conda-forge/nilearn,2022-04-13 18:14:56.456,171587.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
109,pyproj,pyproj4/pyproj,geospatial-data,,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000,2022-08-07 04:03:28.000000,2022-08-07 04:01:21,1355.0,32.0,180,29.0,546.0,14.0,490.0,777,Python interface to PROJ (cartographic projections and coordinate transformations library).,51.0,35,True,2022-04-22 02:02:50.000,3.3.1,45.0,pyproj,conda-forge/pyproj,,,4894854.0,17024.0,15350.0,https://pypi.org/project/pyproj,2022-04-22 02:02:50.000,1674.0,4845623.0,https://anaconda.org/conda-forge/pyproj,2022-06-17 07:26:21.099,3938489.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,fastText,facebookresearch/fastText,nlp,,https://github.com/facebookresearch/fastText,https://github.com/facebookresearch/fastText,MIT,2016-07-16 13:38:42.000,2022-08-09 22:59:21.000000,2022-03-04 15:19:01,381.0,,4392,854.0,245.0,470.0,606.0,23818,Library for fast text representation and classification.,59.0,34,True,2020-04-28 09:54:50.000,0.9.2,35.0,fasttext,conda-forge/fasttext,,,731501.0,3357.0,3181.0,https://pypi.org/project/fasttext,2020-04-28 09:54:50.000,176.0,730891.0,https://anaconda.org/conda-forge/fasttext,2022-04-16 18:03:36.665,35390.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2022-08-11 03:06:49.000000,2022-08-11 03:03:36,5810.0,305.0,2240,266.0,120.0,23.0,803.0,19603,"Visualizer for neural network, deep learning, and machine learning models.",2.0,34,True,2022-08-11 03:05:06.000,6.0.0,482.0,netron,,"['pytorch', 'tensorflow']",48950.0,63925.0,75.0,8.0,https://pypi.org/project/netron,2022-07-04 01:03:15.000,67.0,14975.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Recommenders,microsoft/recommenders,recommender-systems,,https://github.com/microsoft/recommenders,https://github.com/microsoft/recommenders,MIT,2018-09-19 10:06:07.000,2022-08-11 07:39:01.000000,2022-07-20 02:31:54,8085.0,264.0,2419,263.0,1101.0,145.0,568.0,13790,Best Practices on Recommendation Systems.,119.0,34,True,2022-07-20 05:58:55.000,1.1.1,12.0,recommenders,,,223.0,49448.0,35.0,33.0,https://pypi.org/project/recommenders,2022-04-01 08:49:49.000,2.0,49444.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
113,pyecharts,pyecharts/pyecharts,data-viz,,https://github.com/pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,MIT,2017-06-22 02:50:25.000,2022-06-20 01:10:59.000000,2022-04-25 06:07:07,1523.0,,2700,380.0,437.0,20.0,1586.0,12621,Python Echarts Plotting Library.,30.0,34,True,2021-11-16 06:27:35.000,1.9.1,67.0,pyecharts,,['jupyter'],,45702.0,2637.0,2417.0,https://pypi.org/project/pyecharts,2021-11-16 06:27:35.000,220.0,45702.0,,,,2.0,https://github.com/pyecharts/pyecharts/blob/master/README.en.md,,,,,,,,,,,,,,,,,,,,,,,,,
114,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2022-08-08 09:32:36.000000,2022-08-08 09:31:20,842.0,6.0,1044,327.0,250.0,41.0,312.0,10101,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,82.0,34,True,2022-08-08 09:35:43.528,1.17.1,44.0,annoy,conda-forge/python-annoy,,,1515515.0,2442.0,2204.0,https://pypi.org/project/annoy,2020-09-18 16:07:59.000,238.0,1511924.0,https://anaconda.org/conda-forge/python-annoy,2022-04-23 18:38:16.066,255015.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
115,TextBlob,sloria/TextBlob,nlp,,https://github.com/sloria/TextBlob,https://github.com/sloria/TextBlob,MIT,2013-06-30 18:29:18.000,2021-12-15 14:34:36.304000,2021-10-22 03:17:05,562.0,,1057,270.0,155.0,101.0,155.0,8240,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation,..",35.0,34,True,2021-10-22 03:18:24.000,0.17.1,59.0,textblob,conda-forge/textblob,,100.0,983242.0,23476.0,22108.0,https://pypi.org/project/textblob,2021-12-15 14:34:36.304,1368.0,980863.0,https://anaconda.org/conda-forge/textblob,2019-02-24 23:32:55.233,171351.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
116,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2022-06-22 05:15:36.000000,2022-06-08 14:21:58,491.0,7.0,866,85.0,237.0,71.0,368.0,7402,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",72.0,34,True,2022-06-05 11:53:54.000,2.5.1,18.0,tensorboardX,conda-forge/tensorboardx,,349.0,1142141.0,22007.0,21119.0,https://pypi.org/project/tensorboardX,2022-06-05 11:53:54.000,888.0,1128254.0,https://anaconda.org/conda-forge/tensorboardx,2022-06-07 21:45:23.917,763512.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2022-06-29 14:53:21.163000,2022-06-15 10:28:52,1381.0,4.0,830,216.0,209.0,165.0,225.0,5925,Efficiently computes derivatives of numpy code.,52.0,34,True,2017-08-24 17:00:41.000,1.1.13,25.0,autograd,conda-forge/autograd,,,1170452.0,4045.0,3759.0,https://pypi.org/project/autograd,2022-04-08 08:55:43.000,286.0,1167314.0,https://anaconda.org/conda-forge/autograd,2022-06-29 14:53:21.163,225960.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
118,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2022-08-11 10:11:01.000000,2022-08-10 18:18:28,31113.0,256.0,1924,397.0,6217.0,66.0,,5922,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",228.0,34,True,,,134.0,h2o,,,,547104.0,76.0,,https://pypi.org/project/h2o,2022-05-26 16:44:13.000,76.0,547104.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
119,folium,python-visualization/folium,geospatial-data,,https://github.com/python-visualization/folium,https://github.com/python-visualization/folium,MIT,2013-05-09 04:21:35.000,2022-05-19 13:05:50.000000,2022-05-06 07:27:35,1528.0,,2091,172.0,673.0,225.0,726.0,5848,Python Data. Leaflet.js Maps.,129.0,34,True,2021-11-19 21:01:43.000,0.12.1.post1,26.0,folium,conda-forge/folium,,,917546.0,18116.0,17454.0,https://pypi.org/project/folium,2021-11-19 21:08:10.000,662.0,904518.0,https://anaconda.org/conda-forge/folium,2021-12-03 19:47:05.533,1003188.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Chainer,chainer/chainer,ml-frameworks,,https://github.com/chainer/chainer,https://github.com/chainer/chainer,MIT,2015-06-05 05:50:37.000,2022-08-04 01:03:33.000000,2022-06-29 08:16:52,30606.0,2.0,1378,289.0,6584.0,10.0,2030.0,5704,A flexible framework of neural networks for deep learning.,319.0,34,True,2022-06-29 08:19:03.000,7.8.1.post1,111.0,chainer,conda-forge/chainer,,,20190.0,3107.0,2706.0,https://pypi.org/project/chainer,2022-01-05 05:33:36.000,401.0,19884.0,https://anaconda.org/conda-forge/chainer,2022-01-21 17:09:00.786,9192.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
121,librosa,librosa/librosa,audio,,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000,2022-08-11 11:51:23.000000,2022-08-07 14:51:37,3177.0,32.0,820,133.0,543.0,48.0,961.0,5334,Python library for audio and music analysis.,106.0,34,True,2022-06-27 11:26:04.000,0.9.2,35.0,librosa,conda-forge/librosa,,,1229342.0,1237.0,,https://pypi.org/project/librosa,2022-06-27 11:26:04.000,1237.0,1222489.0,https://anaconda.org/conda-forge/librosa,2022-06-27 13:25:19.354,500310.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,GluonCV,dmlc/gluon-cv,image,,https://github.com/dmlc/gluon-cv,https://github.com/dmlc/gluon-cv,Apache-2.0,2018-02-26 01:33:21.000,2022-07-22 11:16:09.000000,2022-07-02 03:22:12,898.0,3.0,1172,153.0,947.0,60.0,764.0,5280,Gluon CV Toolkit.,116.0,34,True,2022-03-07 23:40:19.000,0.10.5,1471.0,gluoncv,,['mxnet'],,595290.0,894.0,835.0,https://pypi.org/project/gluoncv,2022-07-07 09:00:54.000,59.0,595290.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
123,speechbrain,speechbrain/speechbrain,audio,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45.000,2022-08-11 14:41:01.000000,2022-07-29 14:43:20,6675.0,391.0,844,111.0,754.0,184.0,545.0,4438,A PyTorch-based Speech Toolkit.,171.0,34,True,2022-06-26 20:19:45.000,0.5.12,11.0,speechbrain,,['pytorch'],,13599.0,233.0,230.0,https://pypi.org/project/speechbrain,2022-06-26 20:20:46.000,3.0,13599.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
124,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/BigDL,https://github.com/intel-analytics/BigDL,Apache-2.0,2016-08-29 07:59:50.000,2022-08-11 14:30:56.000000,2022-08-11 09:30:03,17592.0,549.0,1029,245.0,3980.0,550.0,970.0,3995,Building Large-Scale AI Applications for Distributed Big Data.,163.0,34,True,2022-03-09 07:47:13.000,2.0.0,307.0,bigdl,,,,7113.0,43.0,38.0,https://pypi.org/project/bigdl,2022-07-07 01:48:22.000,1.0,7113.0,,,,2.0,,,,,,,,,,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4,2021-04-20 01:33:14,4.0,,,,
125,DeepChem,deepchem/deepchem,others,,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,MIT,2015-09-24 23:20:28.000,2022-08-11 14:13:34.000000,2022-08-10 05:32:33,7860.0,255.0,1358,152.0,1593.0,486.0,1014.0,3772,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",200.0,34,True,2022-01-18 21:35:03.000,2.6.1,456.0,deepchem,conda-forge/deepchem,['tensorflow'],,11415.0,121.0,115.0,https://pypi.org/project/deepchem,2022-07-06 16:36:45.000,6.0,10687.0,https://anaconda.org/conda-forge/deepchem,2022-01-19 16:40:21.191,21859.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
126,MONAI,Project-MONAI/MONAI,medical-data,,https://github.com/Project-MONAI/MONAI,https://github.com/Project-MONAI/MONAI,Apache-2.0,2019-10-11 16:41:38.000,2022-08-11 14:22:02.000000,2022-08-11 14:16:24,2087.0,194.0,642,85.0,2252.0,235.0,1633.0,3258,AI Toolkit for Healthcare Imaging.,109.0,34,True,2022-07-25 18:28:21.000,0.9.1,50.0,monai,conda-forge/monai,['pytorch'],,47838.0,455.0,435.0,https://pypi.org/project/monai,2022-07-05 15:10:17.000,20.0,47444.0,https://anaconda.org/conda-forge/monai,2022-07-25 17:28:03.805,3152.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
127,tensorflow-hub,tensorflow/hub,tensorflow-utils,,https://github.com/tensorflow/hub,https://github.com/tensorflow/hub,Apache-2.0,2018-03-12 07:55:42.000,2022-08-09 20:34:36.000000,2022-08-09 20:34:33,1080.0,24.0,1632,140.0,203.0,20.0,630.0,3164,A library for transfer learning by reusing parts of TensorFlow models.,91.0,34,True,2021-04-14 13:17:26.000,0.12.0,15.0,tensorflow-hub,conda-forge/tensorflow-hub,['tensorflow'],,3262064.0,13076.0,12792.0,https://pypi.org/project/tensorflow-hub,2021-04-14 12:54:13.000,284.0,3260739.0,https://anaconda.org/conda-forge/tensorflow-hub,2021-04-18 18:01:14.779,66296.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
128,torchtext,pytorch/text,nlp,,https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000,2022-08-11 11:35:14.000000,2022-08-08 16:16:31,1151.0,91.0,737,265.0,1202.0,293.0,447.0,3067,Data loaders and abstractions for text and NLP.,134.0,34,True,2022-08-05 22:18:59.000,0.13.1,22.0,torchtext,,['pytorch'],,268904.0,443.0,,https://pypi.org/project/torchtext,2022-06-28 16:32:54.000,443.0,268904.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
129,opencv-python,opencv/opencv-python,image,,https://github.com/opencv/opencv-python,https://github.com/opencv/opencv-python,MIT,2016-04-08 13:36:40.000,2022-08-11 09:36:58.000000,2022-08-05 15:43:33,863.0,16.0,584,79.0,136.0,51.0,520.0,2914,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-..",39.0,34,True,2022-06-07 10:10:16.000,66,65.0,opencv-python,,,,5517725.0,9357.0,,https://pypi.org/project/opencv-python,2022-06-08 08:04:54.000,9357.0,5517725.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
130,HoloViews,holoviz/holoviews,data-viz,,https://github.com/holoviz/holoviews,https://github.com/holoviz/holoviews,BSD-3-Clause,2014-05-07 16:59:22.000,2022-08-11 08:50:10.000000,2022-08-09 09:37:46,10356.0,38.0,358,59.0,2544.0,886.0,1941.0,2241,"With Holoviews, your data visualizes itself.",122.0,34,True,2022-07-11 12:41:38.000,1.15.0,97.0,holoviews,conda-forge/holoviews,['jupyter'],,422952.0,218.0,,https://pypi.org/project/holoviews,2022-07-07 12:15:33.000,218.0,411111.0,https://anaconda.org/conda-forge/holoviews,2022-07-07 21:07:13.582,826200.0,2.0,,,,@pyviz/jupyterlab_pyviz,https://www.npmjs.com/package/@pyviz/jupyterlab_pyviz,2020-05-24 13:49:54.205,,825.0,,,,,,,,,,,,,,,,,,
131,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,https://github.com/scikit-learn-contrib/category_encoders,https://github.com/scikit-learn-contrib/category_encoders,BSD-3-Clause,2015-11-29 19:32:37.000,2022-08-10 16:15:54.000000,2022-06-02 14:42:09,794.0,23.0,357,39.0,115.0,64.0,186.0,2014,A library of sklearn compatible categorical variable encoders.,52.0,34,True,2022-06-02 14:46:25.000,2.5.0,26.0,category_encoders,conda-forge/category_encoders,['sklearn'],,960101.0,3879.0,3764.0,https://pypi.org/project/category_encoders,2022-06-02 14:46:25.000,115.0,957698.0,https://anaconda.org/conda-forge/category_encoders,2022-06-02 22:08:38.573,175423.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
132,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2022-08-11 13:34:26.000000,2022-08-10 23:28:26,1587.0,150.0,469,69.0,1974.0,170.0,505.0,1805,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",170.0,34,True,2022-08-05 21:15:34.000,0.12.1,22.0,torchaudio,,['pytorch'],,742167.0,161.0,,https://pypi.org/project/torchaudio,2022-06-28 16:31:54.000,161.0,742167.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
133,PyVista,pyvista/pyvista,data-viz,,https://github.com/pyvista/pyvista,https://github.com/pyvista/pyvista,MIT,2017-05-31 18:01:42.000,2022-08-11 09:47:41.000000,2022-08-10 10:12:35,2936.0,238.0,276,30.0,1639.0,283.0,648.0,1398,3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK).,103.0,34,True,2022-08-01 19:01:23.000,0.36.1,63.0,pyvista,conda-forge/pyvista,['jupyter'],654.0,55080.0,992.0,880.0,https://pypi.org/project/pyvista,2022-06-30 03:26:21.000,112.0,49819.0,https://anaconda.org/conda-forge/pyvista,2022-08-01 19:06:21.044,204779.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-08-11 12:09:16.000000,2022-08-10 17:58:38,1122.0,54.0,343,62.0,536.0,209.0,312.0,1287,A Jupyter - Leaflet.js bridge.,80.0,34,True,2022-07-25 09:22:27.000,0.17.0,74.0,ipyleaflet,conda-forge/ipyleaflet,['jupyter'],,164969.0,2639.0,2522.0,https://pypi.org/project/ipyleaflet,2022-07-07 04:26:05.000,114.0,104353.0,https://anaconda.org/conda-forge/ipyleaflet,2022-07-07 10:08:41.198,865905.0,2.0,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2022-07-07 04:20:21.542,3.0,49071.0,,,,,,,,,,,,,,,,,,
135,arviz,arviz-devs/arviz,interpretability,,https://github.com/arviz-devs/arviz,https://github.com/arviz-devs/arviz,Apache-2.0,2015-07-29 11:51:10.000,2022-08-11 07:45:06.000000,2022-08-10 11:29:53,1407.0,25.0,288,43.0,1335.0,159.0,596.0,1252,Exploratory analysis of Bayesian models with Python.,128.0,34,True,2022-05-13 16:49:58.000,0.12.1,27.0,arviz,conda-forge/arviz,,113.0,737927.0,2733.0,2629.0,https://pypi.org/project/arviz,2022-05-13 16:49:58.000,104.0,717469.0,https://anaconda.org/conda-forge/arviz,2022-07-13 00:49:21.932,797817.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2022-08-11 11:15:21.000000,2022-08-11 01:23:12,1776.0,29.0,197,29.0,196.0,19.0,361.0,1195,The ctypes-based simple ImageMagick binding for Python.,100.0,34,True,2022-08-04 00:57:23.000,0.6.9,52.0,wand,conda-forge/wand,,8029.0,412274.0,12812.0,12119.0,https://pypi.org/project/wand,2021-08-17 02:13:00.000,693.0,411701.0,https://anaconda.org/conda-forge/wand,2022-05-18 03:24:18.727,14240.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
137,NIPYPE,nipy/nipype,medical-data,,https://github.com/nipy/nipype,https://github.com/nipy/nipype,Apache-2.0,2010-07-22 17:06:49.000,2022-08-01 17:45:41.000000,2022-07-23 02:03:44,14584.0,42.0,491,51.0,2215.0,383.0,918.0,642,Workflows and interfaces for neuroimaging packages.,237.0,34,True,2022-07-14 15:35:17.000,1.8.3,61.0,nipype,conda-forge/nipype,,,78953.0,1164.0,1007.0,https://pypi.org/project/nipype,2022-06-06 17:40:21.000,157.0,72225.0,https://anaconda.org/conda-forge/nipype,2022-07-14 16:27:14.100,491186.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
138,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000,2022-08-09 20:06:53.000000,2022-08-09 20:06:53,5183.0,47.0,236,39.0,687.0,141.0,325.0,490,Python package to access a cacophony of neuro-imaging file formats.,94.0,34,True,2022-06-18 17:11:31.000,4.0.1,36.0,nibabel,conda-forge/nibabel,,,217243.0,8786.0,7784.0,https://pypi.org/project/nibabel,2022-06-18 17:11:31.000,1002.0,211072.0,https://anaconda.org/conda-forge/nibabel,2022-06-18 21:54:55.369,462881.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2022-08-10 03:56:40.000000,2022-08-05 04:48:59,1385.0,33.0,5914,341.0,503.0,260.0,2856.0,21881,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",212.0,33,True,2021-11-15 22:08:26.000,0.6,10.0,detectron2,conda-forge/detectron2,['pytorch'],,2765.0,701.0,698.0,https://pypi.org/project/detectron2,2020-02-06 00:35:57.000,3.0,,https://anaconda.org/conda-forge/detectron2,2022-04-25 07:03:51.961,74669.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2022-08-08 16:41:11.000000,2022-08-08 16:41:04,1412.0,4.0,3633,781.0,1119.0,347.0,581.0,17804,Magenta: Music and Art Generation with Machine Intelligence.,153.0,33,True,2022-08-01 18:23:00.243,2.1.4,67.0,magenta,,['tensorflow'],,5194.0,414.0,376.0,https://pypi.org/project/magenta,2020-11-12 19:17:18.000,38.0,5194.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
