,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
153,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2022-10-06 11:16:39.000000,2022-10-06 04:34:32,2922.0,209.0,1005,181.0,1720.0,228.0,651.0,8533,Data-centric declarative deep learning framework.,126.0,33,True,2022-10-04 18:53:20.000,0.6.1,30.0,ludwig,,['tensorflow'],,1535.0,144.0,135.0,https://pypi.org/project/ludwig,2022-06-25 19:51:00.000,9.0,1535.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
154,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23.000,2022-10-06 14:50:43.000000,2021-11-19 11:13:47,5439.0,,2511,238.0,1220.0,691.0,3368.0,8318,Open-source simulator for autonomous driving research.,138.0,33,True,2021-11-17 08:28:27.000,0.9.13,24.0,carla,,,,19941.0,261.0,258.0,https://pypi.org/project/carla,2021-11-17 08:28:27.000,3.0,19941.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
155,Datasette,simonw/datasette,others,,https://github.com/simonw/datasette,https://github.com/simonw/datasette,Apache-2.0,2017-10-23 00:39:03.000,2022-10-05 04:32:43.000000,2022-10-05 04:32:29,2095.0,72.0,449,99.0,339.0,411.0,1011.0,6524,An open source multi-tool for exploring and publishing data.,69.0,33,True,2022-08-14 17:43:05.000,0.62,121.0,datasette,conda-forge/datasette,,39.0,227481.0,925.0,760.0,https://pypi.org/project/datasette,2022-05-02 21:44:57.000,165.0,226857.0,https://anaconda.org/conda-forge/datasette,2022-08-16 14:22:04.318,11247.0,2.0,,,,,,,,,,,,,,,datasette,,,,,,,,,,
156,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2022-10-06 15:07:36.000000,2022-10-05 20:55:19,1139.0,73.0,833,158.0,1444.0,166.0,705.0,6351,An open source python library for automated feature engineering.,68.0,33,True,2022-09-01 18:38:00.772,1.14.0,100.0,featuretools,conda-forge/featuretools,,,129547.0,64.0,,https://pypi.org/project/featuretools,2022-07-05 20:18:31.000,64.0,127121.0,https://anaconda.org/conda-forge/featuretools,2022-09-01 19:42:11.935,111608.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2022-10-06 15:06:51.000000,2022-10-05 17:39:11,31318.0,297.0,1924,395.0,6289.0,63.0,,6005,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",231.0,33,True,,,136.0,h2o,,,,429522.0,76.0,,https://pypi.org/project/h2o,2022-05-26 16:44:13.000,76.0,429522.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
158,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2022-10-03 07:57:46.067000,2022-09-29 07:04:22,1382.0,1.0,834,216.0,209.0,168.0,226.0,5992,Efficiently computes derivatives of numpy code.,52.0,33,True,2017-08-24 17:00:41.000,1.1.13,26.0,autograd,conda-forge/autograd,,,1124009.0,4248.0,3962.0,https://pypi.org/project/autograd,2022-04-08 08:55:43.000,286.0,1120819.0,https://anaconda.org/conda-forge/autograd,2022-10-03 07:57:46.067,236120.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
159,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2022-10-06 14:01:45.000000,2022-09-16 16:12:48,2605.0,16.0,2128,167.0,884.0,117.0,1237.0,5727,Open Source Neural Machine Translation in PyTorch.,177.0,33,True,2022-09-19 23:04:01.602,2.3.0,33.0,OpenNMT-py,,['pytorch'],,3313.0,162.0,153.0,https://pypi.org/project/OpenNMT-py,2021-09-14 08:49:23.000,9.0,3313.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
160,NeMo,NVIDIA/NeMo,nlp,,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42.000,2022-10-06 14:41:31.000000,2022-10-06 14:36:48,4717.0,218.0,1192,133.0,3477.0,125.0,1227.0,4842,NeMo: a toolkit for conversational AI.,179.0,33,True,2022-09-08 17:06:04.000,1.11.0,58.0,nemo-toolkit,,['pytorch'],21439.0,14673.0,7.0,,https://pypi.org/project/nemo-toolkit,2022-07-01 21:27:29.000,7.0,14094.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
161,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2022-08-20 10:30:18.000000,2022-08-08 11:09:11,2218.0,18.0,1002,198.0,199.0,244.0,263.0,4831,Distributed Evolutionary Algorithms in Python.,79.0,33,False,2022-08-07 17:23:02.100,1.3.2,21.0,deap,conda-forge/deap,,,186652.0,3265.0,2923.0,https://pypi.org/project/deap,2020-01-21 01:18:06.000,342.0,183867.0,https://anaconda.org/conda-forge/deap,2022-08-08 17:58:14.179,211676.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
162,Tesseract,madmaze/pytesseract,ocr,,https://github.com/madmaze/pytesseract,https://github.com/madmaze/pytesseract,Apache-2.0,2010-10-27 23:02:49.000,2022-09-29 22:04:47.000000,2022-09-29 22:04:43,499.0,14.0,615,105.0,139.0,18.0,298.0,4444,Python-tesseract is an optical character recognition (OCR) tool for python.,43.0,33,True,2022-08-16 19:20:38.334,0.3.10,27.0,pytesseract,conda-forge/pytesseract,,,677993.0,956.0,,https://pypi.org/project/pytesseract,2022-02-19 22:04:23.000,956.0,664453.0,https://anaconda.org/conda-forge/pytesseract,2022-03-15 01:11:17.076,528068.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
163,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2022-10-05 11:57:33.000000,2022-10-03 13:18:53,1471.0,76.0,554,59.0,1602.0,148.0,987.0,4062,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,178.0,33,True,2022-09-05 11:19:00.968,0.4.10,1048.0,pytorch-ignite,pytorch/ignite,['pytorch'],,87796.0,83.0,,https://pypi.org/project/pytorch-ignite,2022-07-07 00:20:43.000,83.0,85731.0,https://anaconda.org/pytorch/ignite,2022-09-05 11:20:52.451,107414.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
164,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2022-10-03 17:22:49.000000,2022-10-03 17:22:24,1819.0,105.0,488,76.0,151.0,281.0,356.0,3649,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",53.0,33,True,2022-09-30 04:25:07.906,1.7.1,95.0,clearml,,,530.0,77391.0,327.0,319.0,https://pypi.org/project/clearml,2022-07-04 09:06:41.000,8.0,76625.0,,,,2.0,,,,,,,,allegroai/trains,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30126.0,,,,,,,,,,,,,
165,opencv-python,opencv/opencv-python,image,,https://github.com/opencv/opencv-python,https://github.com/opencv/opencv-python,MIT,2016-04-08 13:36:40.000,2022-09-26 18:39:49.000000,2022-08-29 12:00:15,868.0,8.0,591,80.0,149.0,53.0,532.0,3010,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-..",40.0,33,True,2022-06-07 10:10:16.000,66,65.0,opencv-python,,,,6556559.0,9357.0,,https://pypi.org/project/opencv-python,2022-06-08 08:04:54.000,9357.0,6556559.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
166,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2022-10-03 20:21:08.000000,2022-10-03 20:19:28,3700.0,61.0,441,52.0,797.0,309.0,868.0,2878,A highly efficient and modular implementation of Gaussian Processes in PyTorch.,107.0,33,True,2022-08-30 14:19:01.570,1.9.0,35.0,gpytorch,conda-forge/gpytorch,['pytorch'],,217587.0,775.0,734.0,https://pypi.org/project/gpytorch,2022-06-27 20:59:21.000,41.0,215862.0,https://anaconda.org/conda-forge/gpytorch,2022-09-08 15:38:42.972,53491.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
167,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2022-10-05 10:10:00.000000,2022-09-26 14:28:49,1369.0,17.0,357,92.0,610.0,124.0,391.0,2853,Quickly and accurately render even the largest data.,51.0,33,True,2022-08-10 16:21:44.000,0.14.2,31.0,datashader,conda-forge/datashader,,,67743.0,1522.0,1426.0,https://pypi.org/project/datashader,2022-06-21 10:16:29.000,96.0,60966.0,https://anaconda.org/conda-forge/datashader,2022-08-10 15:56:58.260,399855.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
168,Keras Tuner,keras-team/keras-tuner,hyperopt,,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,Apache-2.0,2019-06-06 22:38:21.000,2022-09-20 22:42:03.000000,2022-09-20 22:42:02,918.0,22.0,341,64.0,314.0,178.0,230.0,2611,Hyperparameter tuning for Keras and more.,50.0,33,True,2022-07-16 04:43:09.328,1.1.3,16.0,keras-tuner,conda-forge/keras-tuner,['tensorflow'],,600988.0,1704.0,1658.0,https://pypi.org/project/keras-tuner,2022-03-25 05:50:34.000,46.0,600676.0,https://anaconda.org/conda-forge/keras-tuner,2022-01-12 03:27:55.158,9695.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
169,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2022-10-06 03:42:41.000000,2022-09-28 19:06:34,1300.0,90.0,279,51.0,1008.0,67.0,254.0,2400,Bayesian optimization in PyTorch.,83.0,33,True,2022-09-27 23:46:27.514,0.7.2,29.0,botorch,conda-forge/botorch,['pytorch'],,189224.0,349.0,331.0,https://pypi.org/project/botorch,2022-04-21 23:56:42.000,18.0,187623.0,https://anaconda.org/conda-forge/botorch,2022-10-02 11:13:27.032,41633.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
170,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2022-10-06 15:35:33.000000,2022-10-06 15:35:28,14354.0,755.0,232,28.0,1208.0,322.0,627.0,1953,"Visualize, create, and debug image and video datasets and model predictions.",51.0,33,True,2022-09-21 02:25:19.330,0.17.2,81.0,fiftyone,,"['tensorflow', 'pytorch', 'jupyter']",,27206.0,178.0,176.0,https://pypi.org/project/fiftyone,2022-06-24 21:35:59.000,2.0,27206.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
171,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2022-10-06 14:47:03.000000,2022-10-05 23:02:34,2084.0,145.0,222,70.0,745.0,32.0,419.0,1897,Adaptive Experimentation Platform.,128.0,33,True,2022-09-28 17:50:40.330,0.2.8,30.0,ax-platform,conda-forge/ax-platform,['pytorch'],,120637.0,351.0,336.0,https://pypi.org/project/ax-platform,2022-04-26 21:57:06.000,15.0,120407.0,https://anaconda.org/conda-forge/ax-platform,2022-09-16 15:36:02.783,3693.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
172,TFX,tensorflow/tfx,tensorflow-utils,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2022-10-06 15:25:05.000000,2022-10-06 15:24:59,4541.0,195.0,616,86.0,4513.0,220.0,611.0,1840,TFX is an end-to-end platform for deploying production ML pipelines.,150.0,33,True,2022-09-30 16:57:21.000,1.10.0,86.0,tfx,,['tensorflow'],,416008.0,13.0,,https://pypi.org/project/tfx,2022-05-26 01:00:04.000,13.0,416008.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
173,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2022-09-28 20:05:27.000000,2022-09-28 20:05:27,3561.0,16.0,179,53.0,1263.0,122.0,653.0,1806,Ahead of Time compiler for numeric kernels.,66.0,33,True,2022-09-28 07:29:05.756,0.12.0,53.0,pythran,conda-forge/pythran,,,480502.0,282.0,265.0,https://pypi.org/project/pythran,2021-12-14 08:16:44.000,17.0,475312.0,https://anaconda.org/conda-forge/pythran,2022-09-28 14:31:01.815,275090.0,2.0,,,,,,,,,,,,,,,,,,,,,,,pythran,python-pythran,
174,Geocoder,DenisCarriere/geocoder,geospatial-data,,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000,2022-08-17 17:00:40.000000,2018-10-12 15:53:05,1251.0,,267,51.0,153.0,99.0,217.0,1480,Python Geocoder.,73.0,33,False,2018-04-04 12:34:51.000,1.38.1,110.0,geocoder,conda-forge/geocoder,,,818867.0,6001.0,5509.0,https://pypi.org/project/geocoder,2018-04-04 12:34:51.000,492.0,817265.0,https://anaconda.org/conda-forge/geocoder,2019-06-27 16:40:50.469,108992.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,geocoder
175,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-09-26 08:23:19.000000,2022-09-23 11:46:14,1138.0,24.0,343,61.0,550.0,205.0,320.0,1297,A Jupyter - Leaflet.js bridge.,80.0,33,True,2022-08-23 09:18:02.308,0.17.1,75.0,ipyleaflet,conda-forge/ipyleaflet,['jupyter'],,169396.0,3015.0,2898.0,https://pypi.org/project/ipyleaflet,2022-07-07 04:26:05.000,114.0,108808.0,https://anaconda.org/conda-forge/ipyleaflet,2022-08-23 09:37:45.585,896072.0,2.0,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2022-08-23 09:12:55.873,3.0,48951.0,,,,,,,,,,,,,,,,,,
176,metrics,Lightning-AI/metrics,distributed-ml,,https://github.com/Lightning-AI/metrics,https://github.com/Lightning-AI/metrics,Apache-2.0,2020-12-22 20:02:42.000,2022-10-06 09:31:43.000000,2022-10-06 09:18:18,923.0,74.0,226,27.0,668.0,49.0,401.0,1089,"Machine learning metrics for distributed, scalable PyTorch applications.",154.0,33,True,2022-10-04 19:54:29.000,0.10.0,23.0,metrics,conda-forge/torchmetrics,['pytorch'],982.0,29689.0,4899.0,4885.0,https://pypi.org/project/metrics,2018-04-28 10:58:56.000,14.0,2809.0,https://anaconda.org/conda-forge/torchmetrics,2022-10-05 03:36:07.099,509766.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
177,Fiona,Toblerity/Fiona,geospatial-data,,https://github.com/Toblerity/Fiona,https://github.com/Toblerity/Fiona,BSD-3-Clause,2011-12-31 19:47:00.000,2022-09-29 19:20:50.000000,2022-03-01 20:04:14,1294.0,,181,48.0,435.0,78.0,610.0,957,Fiona reads and writes geographic data files.,66.0,33,True,2022-02-07 17:34:18.000,1.8.21,101.0,fiona,conda-forge/fiona,,,3825367.0,10507.0,9721.0,https://pypi.org/project/fiona,2022-06-10 14:05:11.000,786.0,3781782.0,https://anaconda.org/conda-forge/fiona,2022-05-30 12:36:18.405,3443292.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
178,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000,2022-10-06 10:50:48.000000,2022-10-06 10:50:47,823.0,23.0,202,58.0,94.0,37.0,155.0,936,Input pipeline framework.,27.0,33,True,2022-08-29 19:40:51.000,1.10.1,52.0,tensorflow-transform,,['tensorflow'],,3771925.0,1101.0,1045.0,https://pypi.org/project/tensorflow-transform,2022-06-29 07:42:53.000,56.0,3771925.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
179,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2022-10-06 14:40:09.000000,2022-10-06 03:29:38,139955.0,4430.0,71,48.0,1547.0,66.0,272.0,609,TensorFlow ROCm port.,4167.0,33,True,2022-07-11 17:58:00.757,2.9.2,84.0,tensorflow-rocm,,['tensorflow'],20.0,1931.0,5.0,,https://pypi.org/project/tensorflow-rocm,2022-06-05 02:31:51.000,5.0,1931.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
180,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000,2022-10-05 16:42:21.000000,2022-09-30 19:45:21,5233.0,52.0,239,39.0,697.0,146.0,327.0,500,Python package to access a cacophony of neuro-imaging file formats.,94.0,33,True,2022-08-31 13:49:26.182,4.0.2,37.0,nibabel,conda-forge/nibabel,,,238934.0,1005.0,,https://pypi.org/project/nibabel,2022-06-18 17:11:31.000,1005.0,232638.0,https://anaconda.org/conda-forge/nibabel,2022-08-31 19:30:48.313,484829.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
181,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2022-09-21 14:21:04.000000,2022-06-10 09:12:18,238.0,,12507,1585.0,200.0,684.0,567.0,45952,The worlds simplest facial recognition api for Python and the command line.,54.0,32,True,2020-02-20 14:26:01.000,1.3.0,21.0,face_recognition,conda-forge/face_recognition,['pytorch'],466.0,45268.0,46.0,,https://pypi.org/project/face_recognition,2020-02-20 14:26:01.000,46.0,44863.0,https://anaconda.org/conda-forge/face_recognition,2021-04-30 19:06:15.265,9953.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
182,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2022-07-20 11:57:42.000000,2020-10-14 16:36:49,6226.0,,4428,1008.0,1865.0,357.0,653.0,15477,"Zipline, a Pythonic Algorithmic Trading Library.",155.0,32,False,2020-10-05 15:46:20.429,1.4.1,30.0,zipline,conda-forge/zipline,,,3021.0,968.0,883.0,https://pypi.org/project/zipline,2020-07-23 02:19:41.000,85.0,2767.0,https://anaconda.org/conda-forge/zipline,2020-10-05 18:38:58.729,6355.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
183,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2021-11-29 19:55:31.000000,2021-11-29 19:55:31,1571.0,,1111,358.0,1679.0,486.0,1290.0,10814,Turi Create simplifies the development of custom machine learning models.,85.0,32,True,2020-09-30 22:51:40.000,6.4.1,31.0,turicreate,,,7173.0,22597.0,338.0,319.0,https://pypi.org/project/turicreate,2020-09-30 22:51:40.000,19.0,22474.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
184,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,MIT,2016-03-31 12:05:53.000,2021-01-25 09:41:59.000000,2020-11-30 04:34:51,613.0,,2421,464.0,255.0,567.0,362.0,9583,Deep learning library featuring a higher-level API for TensorFlow.,128.0,32,False,2020-11-11 19:26:11.000,0.5.0,8.0,tflearn,,['tensorflow'],,20722.0,4582.0,4093.0,https://pypi.org/project/tflearn,2020-11-11 19:13:47.000,489.0,20722.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,fuzzywuzzy,seatgeek/fuzzywuzzy,nlp,,https://github.com/seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,GPL-2.0,2011-07-08 19:32:34.000,2021-11-02 23:56:01.000000,2021-09-09 20:54:41,384.0,,886,272.0,145.0,106.0,103.0,8760,Fuzzy String Matching in Python.,70.0,32,False,2020-02-13 22:14:12.000,0.18.0,27.0,fuzzywuzzy,conda-forge/fuzzywuzzy,,,7438248.0,16631.0,14656.0,https://pypi.org/project/fuzzywuzzy,2020-02-13 21:06:25.000,1975.0,7433008.0,https://anaconda.org/conda-forge/fuzzywuzzy,2020-11-18 12:59:01.409,393018.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
186,PaddleDetection,PaddlePaddle/PaddleDetection,image,,https://github.com/PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14.000,2022-10-06 11:37:07.000000,2022-09-30 05:13:34,1910.0,164.0,2178,180.0,3062.0,827.0,3218.0,8558,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object..",118.0,32,True,2022-09-19 20:42:09.271,2.5.0,8.0,paddledet,,['paddle'],,512.0,38.0,38.0,https://pypi.org/project/paddledet,2022-04-24 05:05:40.000,,512.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
187,ivy,unifyai/ivy,ml-frameworks,,https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,Apache-2.0,2021-01-19 08:37:25.000,2022-10-06 15:44:20.000000,2022-10-06 15:44:15,7183.0,3324.0,1931,48.0,2861.0,611.0,1936.0,6478,The Unified Machine Learning Framework.,455.0,32,True,2022-06-01 09:22:21.000,1.1.10,20.0,ivy-core,,,,343.0,6.0,,https://pypi.org/project/ivy-core,2022-06-01 09:22:21.000,6.0,343.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
188,Pydub,jiaaro/pydub,audio,,https://github.com/jiaaro/pydub,https://github.com/jiaaro/pydub,MIT,2011-05-02 18:42:38.000,2022-09-30 11:33:45.000000,2022-05-14 13:22:02,743.0,,862,126.0,194.0,267.0,261.0,6415,Manipulate audio with a simple and easy high level interface.,92.0,32,True,2021-03-10 02:10:41.000,0.25.1,68.0,pydub,conda-forge/pydub,,,1968210.0,15348.0,14447.0,https://pypi.org/project/pydub,2021-03-10 02:09:53.000,901.0,1967538.0,https://anaconda.org/conda-forge/pydub,2021-03-13 05:16:50.142,30956.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
189,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,BSD-3-Clause,2011-09-06 22:24:59.000,2022-07-12 10:19:09.000000,2021-11-29 10:21:36,1194.0,,995,126.0,257.0,386.0,235.0,6413,Distributed Asynchronous Hyperparameter Optimization in Python.,93.0,32,True,2021-11-17 10:05:44.000,0.2.7,13.0,hyperopt,conda-forge/hyperopt,,,1739827.0,8177.0,7748.0,https://pypi.org/project/hyperopt,2021-11-17 10:05:44.000,429.0,1728634.0,https://anaconda.org/conda-forge/hyperopt,2022-04-30 16:43:00.797,548503.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
190,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/fmfn/BayesianOptimization,https://github.com/fmfn/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2022-08-30 04:39:49.000000,2022-08-30 04:39:49,256.0,29.0,1367,146.0,91.0,21.0,248.0,6296,A Python implementation of global optimization with gaussian processes.,36.0,32,True,2020-05-16 16:03:51.000,1.2.0,8.0,bayesian-optimization,,,105.0,181248.0,1459.0,1368.0,https://pypi.org/project/bayesian-optimization,2020-05-16 15:56:09.000,91.0,181247.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
191,tensorpack,tensorpack/tensorpack,ml-frameworks,,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000,2022-05-04 12:19:58.000000,2022-05-04 12:19:51,2939.0,,1810,201.0,205.0,13.0,1339.0,6234,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",58.0,32,True,2020-04-24 19:01:06.000,0.10.1,37.0,tensorpack,conda-forge/tensorpack,['tensorflow'],143.0,14859.0,1141.0,1095.0,https://pypi.org/project/tensorpack,2021-01-22 08:44:03.000,46.0,14532.0,https://anaconda.org/conda-forge/tensorpack,2022-02-06 19:35:57.930,3903.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
192,Tokenizers,huggingface/tokenizers,nlp,,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20.000,2022-10-06 13:45:59.000000,2022-10-06 13:45:56,1601.0,20.0,503,97.0,413.0,213.0,470.0,5935,Fast State-of-the-Art Tokenizers optimized for Research and Production.,60.0,32,True,2022-10-06 13:10:07.000,node-v0.13.1,73.0,tokenizers,conda-forge/tokenizers,,,7374281.0,183.0,52.0,https://pypi.org/project/tokenizers,2022-04-13 10:17:35.000,131.0,7357757.0,https://anaconda.org/conda-forge/tokenizers,2022-05-21 19:32:48.700,446156.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
193,haystack,deepset-ai/haystack,nlp,,https://github.com/deepset-ai/haystack,https://github.com/deepset-ai/haystack,Apache-2.0,2019-11-14 09:05:28.000,2022-10-06 15:27:06.000000,2022-10-06 13:41:29,1556.0,194.0,895,88.0,1498.0,280.0,1368.0,5595,Haystack is an open source NLP framework that leverages pre-trained Transformer models. It enables developers to..,142.0,32,True,2022-09-21 11:23:58.000,1.9.0,35.0,haystack,,,15.0,1209.0,85.0,,https://pypi.org/project/haystack,2021-12-15 14:01:39.322,85.0,1209.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
