,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,new_addition,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,updated_github_id
135,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2022-05-12 04:28:38.000000,2022-05-06 02:36:18,1351.0,16.0,5635,344.0,466.0,203.0,2782.0,20857,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",203.0,33,True,2021-11-15 22:08:26.000,0.6,10.0,detectron2,conda-forge/detectron2,,,['pytorch'],604.0,601.0,https://pypi.org/project/detectron2,2020-02-06 00:35:57.000,3.0,,2067.0,https://anaconda.org/conda-forge/detectron2,2022-04-25 07:03:51.961,49630.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
136,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2022-05-12 01:15:16.000000,2022-05-12 01:15:05,5501.0,258.0,2157,263.0,117.0,18.0,775.0,18638,"Visualizer for neural network, deep learning, and machine learning models.",2.0,33,True,2022-05-07 18:35:51.000,5.7.8,461.0,netron,,,,"['pytorch', 'tensorflow']",72.0,7.0,https://pypi.org/project/netron,2022-05-07 18:35:51.000,65.0,8456.0,30016.0,,,,,,,,1.0,21560.0,,,,,,,,,,,,True,,,,,,,,
137,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2022-05-02 01:13:38.000000,2022-04-16 00:54:32,1407.0,10.0,3518,787.0,1114.0,321.0,574.0,17601,Magenta: Music and Art Generation with Machine Intelligence.,151.0,33,True,2020-11-12 19:17:18.000,2.1.3,66.0,magenta,,,,['tensorflow'],392.0,356.0,https://pypi.org/project/magenta,2020-11-12 19:17:18.000,36.0,4734.0,4734.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
138,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2022-05-05 12:39:19.000000,2022-05-05 12:39:17,709.0,11.0,4166,416.0,350.0,225.0,1589.0,14409,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,143.0,33,True,2021-04-02 23:45:16.000,1.0,14.0,fbprophet,conda-forge/prophet,,,,126.0,,https://pypi.org/project/fbprophet,2020-09-05 16:12:50.000,126.0,1321732.0,1325120.0,https://anaconda.org/conda-forge/prophet,2021-08-23 03:00:23.164,43916.0,,,,,1.0,646.0,,,,,,,,,,,,,,,,,,,,
139,PaddleHub,PaddlePaddle/PaddleHub,others,,https://github.com/PaddlePaddle/PaddleHub,https://github.com/PaddlePaddle/PaddleHub,Apache-2.0,2018-12-21 06:00:48.000,2022-05-12 12:58:33.000000,2022-04-15 10:20:19,2498.0,174.0,1614,146.0,793.0,419.0,640.0,7912,"Awesome pre-trained models toolkit based on PaddlePaddle.(300+ models including Image, Text, Audio and Video with Easy..",61.0,33,True,2021-12-28 02:55:41.000,2.2.0,47.0,paddlehub,,,,['paddle'],781.0,776.0,https://pypi.org/project/paddlehub,2021-12-28 02:55:41.000,5.0,12672.0,12686.0,,,,,,,,1.0,569.0,,,,,,,,,,,,,,,,,,,,
140,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2022-05-07 16:17:09.000000,2022-05-07 13:27:27,2329.0,29.0,915,202.0,2140.0,215.0,758.0,7430,Deep universal probabilistic programming with Python and PyTorch.,125.0,33,True,2022-03-24 14:53:37.000,1.8.1,29.0,pyro-ppl,conda-forge/pyro-ppl,,,['pytorch'],770.0,711.0,https://pypi.org/project/pyro-ppl,2022-03-24 14:53:37.000,59.0,124207.0,124755.0,https://anaconda.org/conda-forge/pyro-ppl,2022-03-24 21:05:41.375,7679.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
141,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2022-05-12 12:52:31.000000,2022-04-24 13:29:16,2627.0,11.0,1151,211.0,596.0,113.0,773.0,6252,Automated Machine Learning with scikit-learn.,79.0,33,True,2022-05-04 09:41:35.000,0.14.7,41.0,auto-sklearn,conda-forge/auto-sklearn,,,['sklearn'],310.0,280.0,https://pypi.org/project/auto-sklearn,2022-05-04 09:41:35.000,30.0,36450.0,36771.0,https://anaconda.org/conda-forge/auto-sklearn,2022-02-18 18:13:43.553,4183.0,,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,,
142,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,BSD-3-Clause,2011-09-06 22:24:59.000,2022-05-02 11:17:15.000000,2021-11-29 10:21:36,1194.0,,965,127.0,254.0,373.0,234.0,6199,Distributed Asynchronous Hyperparameter Optimization in Python.,93.0,33,True,2021-11-17 10:05:44.000,0.2.7,13.0,hyperopt,conda-forge/hyperopt,,,,6859.0,6441.0,https://pypi.org/project/hyperopt,2021-11-17 10:05:44.000,418.0,2139321.0,2148323.0,https://anaconda.org/conda-forge/hyperopt,2022-04-30 16:43:00.797,396106.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
143,Datasette,simonw/datasette,others,,https://github.com/simonw/datasette,https://github.com/simonw/datasette,Apache-2.0,2017-10-23 00:39:03.000,2022-05-05 01:03:08.000000,2022-05-03 14:59:46,2005.0,86.0,409,98.0,318.0,357.0,976.0,6068,An open source multi-tool for exploring and publishing data.,63.0,33,True,2022-03-23 20:38:02.000,0.61.1,118.0,datasette,conda-forge/datasette,,,,809.0,653.0,https://pypi.org/project/datasette,2022-05-02 21:44:57.000,156.0,261840.0,262127.0,https://anaconda.org/conda-forge/datasette,2022-03-24 00:50:34.931,3743.0,,,,,1.0,39.0,,,,,,,,,datasette,,,,,,,,,,,
144,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2022-05-03 12:48:09.000000,2022-03-18 17:20:24,767.0,2.0,1161,148.0,409.0,62.0,455.0,5843,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,63.0,33,True,2022-01-16 15:04:04.000,0.9.0,29.0,imbalanced-learn,conda-forge/imbalanced-learn,,,['sklearn'],10910.0,10667.0,https://pypi.org/project/imbalanced-learn,2022-01-11 18:09:58.000,243.0,2589632.0,2593410.0,https://anaconda.org/conda-forge/imbalanced-learn,2022-01-11 19:44:20.853,207795.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
145,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2022-05-12 04:32:39.000000,2022-05-12 04:32:35,30855.0,252.0,1916,395.0,6123.0,68.0,,5813,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",225.0,33,True,,,131.0,h2o,,,,,75.0,,https://pypi.org/project/h2o,2022-04-13 17:17:04.000,75.0,378420.0,378420.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
146,GluonCV,dmlc/gluon-cv,image,,https://github.com/dmlc/gluon-cv,https://github.com/dmlc/gluon-cv,Apache-2.0,2018-02-26 01:33:21.000,2022-05-12 09:01:03.000000,2022-03-30 18:36:41,895.0,5.0,1146,154.0,942.0,60.0,755.0,5189,Gluon CV Toolkit.,115.0,33,True,2022-03-07 23:40:19.000,0.10.5,1383.0,gluoncv,,,,['mxnet'],792.0,733.0,https://pypi.org/project/gluoncv,2022-05-12 09:01:03.000,59.0,569243.0,569243.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
147,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2022-05-12 07:23:51.000000,2022-03-30 08:37:06,901.0,59.0,535,68.0,75.0,48.0,304.0,4406,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",24.0,33,True,2022-03-30 08:31:55.000,1.3.0,184.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],265.0,256.0,https://pypi.org/project/pytorch-metric-learning,2022-04-02 16:10:39.000,9.0,1232965.0,1233205.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2022-03-30 08:10:45.133,6747.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
148,Tesseract,madmaze/pytesseract,ocr,,https://github.com/madmaze/pytesseract,https://github.com/madmaze/pytesseract,Apache-2.0,2010-10-27 23:02:49.000,2022-05-10 15:28:38.000000,2022-05-10 15:28:35,481.0,18.0,594,104.0,129.0,14.0,283.0,4205,Python-tesseract is an optical character recognition (OCR) tool for python.,41.0,33,True,2022-03-14 19:28:46.000,0.3.10,26.0,pytesseract,conda-forge/pytesseract,,,,937.0,,https://pypi.org/project/pytesseract,2022-02-19 22:04:23.000,937.0,557181.0,571933.0,https://anaconda.org/conda-forge/pytesseract,2022-03-15 01:11:17.076,501585.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
149,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2022-05-12 00:17:58.000000,2022-05-04 17:36:56,1382.0,49.0,535,61.0,1499.0,136.0,927.0,3960,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,172.0,33,True,2022-05-04 20:27:48.000,0.4.9,900.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],81.0,,https://pypi.org/project/pytorch-ignite,2022-05-12 00:17:58.000,81.0,144028.0,145877.0,https://anaconda.org/pytorch/ignite,2022-05-04 20:29:56.200,86940.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
150,DeepChem,deepchem/deepchem,others,,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,MIT,2015-09-24 23:20:28.000,2022-05-11 00:17:28.000000,2022-04-22 18:49:15,7594.0,171.0,1265,153.0,1500.0,451.0,1000.0,3589,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",190.0,33,True,2022-01-18 21:35:03.000,2.6.1,404.0,deepchem,conda-forge/deepchem,,,['tensorflow'],90.0,86.0,https://pypi.org/project/deepchem,2022-04-22 20:31:19.000,4.0,6844.0,7197.0,https://anaconda.org/conda-forge/deepchem,2022-01-19 16:40:21.191,9547.0,,,,,1.0,,,-1.0,,,,,,,,,,,,,,,,,,
151,Dedupe,dedupeio/dedupe,nlp,,https://github.com/dedupeio/dedupe,https://github.com/dedupeio/dedupe,MIT,2012-04-20 14:57:36.000,2022-05-08 19:40:23.000000,2022-05-08 19:40:23,3023.0,98.0,474,124.0,293.0,41.0,686.0,3366,"A python library for accurate and scalable fuzzy matching, record deduplication and entity-resolution.",63.0,33,True,2022-04-20 13:16:11.000,2.0.14,164.0,dedupe,conda-forge/dedupe,,,,270.0,222.0,https://pypi.org/project/dedupe,2022-04-20 13:16:11.000,48.0,306512.0,307138.0,https://anaconda.org/conda-forge/dedupe,2022-04-20 16:16:08.954,3130.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
152,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2022-05-11 07:45:41.000000,2022-05-11 07:45:40,1662.0,136.0,434,75.0,136.0,216.0,317.0,3166,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",49.0,33,True,2022-05-05 15:14:20.000,1.4.0,71.0,clearml,,allegroai/trains,,,247.0,239.0,https://pypi.org/project/clearml,2022-05-05 15:13:58.000,8.0,88120.0,88992.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30109.0,2.0,428.0,,,,,,,,,,,,,,,,,,,,
153,torchtext,pytorch/text,nlp,,https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000,2022-05-12 12:57:56.000000,2022-05-11 21:02:44,1058.0,56.0,698,258.0,1074.0,321.0,390.0,3004,Data loaders and abstractions for text and NLP.,127.0,33,True,2022-03-10 18:31:55.000,0.12.0,20.0,torchtext,,,,['pytorch'],433.0,,https://pypi.org/project/torchtext,2022-03-10 16:48:11.000,433.0,172103.0,172103.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
154,MONAI,Project-MONAI/MONAI,medical-data,,https://github.com/Project-MONAI/MONAI,https://github.com/Project-MONAI/MONAI,Apache-2.0,2019-10-11 16:41:38.000,2022-05-12 12:47:18.000000,2022-05-12 10:37:08,1891.0,139.0,577,83.0,1990.0,202.0,1435.0,2973,AI Toolkit for Healthcare Imaging.,95.0,33,True,2022-02-16 23:46:11.000,0.8.1,40.0,monai,conda-forge/monai,,,['pytorch'],314.0,297.0,https://pypi.org/project/monai,2022-02-16 23:13:47.000,17.0,50378.0,50477.0,https://anaconda.org/conda-forge/monai,2022-01-09 02:58:07.863,497.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
155,PyQtGraph,pyqtgraph/pyqtgraph,data-viz,,https://github.com/pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,MIT,2013-09-12 07:18:21.000,2022-05-11 18:13:09.000000,2022-05-06 20:05:38,3214.0,67.0,915,146.0,1206.0,326.0,700.0,2800,Fast data visualization and GUI tools for scientific / engineering applications.,224.0,33,True,2022-03-04 18:36:49.000,pyqtgraph-0.12.4,17.0,pyqtgraph,conda-forge/pyqtgraph,,,,789.0,,https://pypi.org/project/pyqtgraph,2022-03-04 18:37:22.000,789.0,88701.0,92467.0,https://anaconda.org/conda-forge/pyqtgraph,2022-03-05 00:25:53.937,241042.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
156,Keras Tuner,keras-team/keras-tuner,hyperopt,,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,Apache-2.0,2019-06-06 22:38:21.000,2022-04-28 03:45:27.000000,2022-04-28 03:45:10,890.0,21.0,324,66.0,287.0,170.0,215.0,2533,Hyperparameter tuning for humans.,47.0,33,True,2022-03-25 05:32:04.000,1.1.2,14.0,keras-tuner,conda-forge/keras-tuner,,,['tensorflow'],1402.0,1364.0,https://pypi.org/project/keras-tuner,2022-03-25 00:39:10.000,38.0,675153.0,675392.0,https://anaconda.org/conda-forge/keras-tuner,2022-01-12 03:27:55.158,6239.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
157,TF-Agents,tensorflow/agents,reinforcement-learning,,https://github.com/tensorflow/agents,https://github.com/tensorflow/agents,Apache-2.0,2018-11-17 00:29:12.000,2022-05-11 15:57:45.000000,2022-05-11 15:56:55,2068.0,63.0,625,84.0,176.0,128.0,427.0,2264,"TF-Agents: A reliable, scalable and easy to use TensorFlow library for Contextual Bandits and Reinforcement Learning.",121.0,33,True,2022-04-20 01:05:45.000,0.12.1,32.0,tf-agents,,,,['tensorflow'],804.0,790.0,https://pypi.org/project/tf-agents,2022-04-20 01:05:45.000,14.0,223612.0,223612.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
158,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2022-05-12 13:26:41.000000,2022-05-12 08:05:11,1179.0,101.0,256,48.0,884.0,59.0,201.0,2262,Bayesian optimization in PyTorch.,73.0,33,True,2022-04-21 23:56:42.000,0.6.4,24.0,botorch,conda-forge/botorch,,,['pytorch'],255.0,242.0,https://pypi.org/project/botorch,2022-04-21 23:56:42.000,13.0,166206.0,167346.0,https://anaconda.org/conda-forge/botorch,2022-04-22 01:48:14.629,23945.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
159,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,https://github.com/scikit-learn-contrib/category_encoders,https://github.com/scikit-learn-contrib/category_encoders,BSD-3-Clause,2015-11-29 19:32:37.000,2022-05-10 22:21:00.735000,2022-05-10 14:46:27,765.0,18.0,354,39.0,112.0,73.0,175.0,1936,A library of sklearn compatible categorical variable encoders.,52.0,33,True,2022-05-10 14:47:34.000,2.4.1,19.0,category_encoders,conda-forge/category_encoders,,,['sklearn'],3418.0,3395.0,https://pypi.org/project/category_encoders,2018-10-14 14:15:54.000,23.0,2263257.0,2265454.0,https://anaconda.org/conda-forge/category_encoders,2022-05-10 22:21:00.735,153804.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
160,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2022-05-11 20:17:02.000000,2022-03-16 01:20:24,2173.0,15.0,471,67.0,453.0,218.0,638.0,1864,Survival analysis in Python.,99.0,33,True,2022-03-15 15:20:56.000,0.27.0,161.0,lifelines,conda-forge/lifelines,,,,981.0,877.0,https://pypi.org/project/lifelines,2022-03-15 15:20:56.000,104.0,311896.0,314543.0,https://anaconda.org/conda-forge/lifelines,2022-04-08 17:00:56.119,187960.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
161,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2022-05-12 11:46:23.000000,2022-05-12 07:13:33,1433.0,113.0,400,63.0,1791.0,156.0,464.0,1658,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",155.0,33,True,2022-03-10 17:28:47.000,0.11.0,20.0,torchaudio,,,,['pytorch'],122.0,,https://pypi.org/project/torchaudio,2022-03-10 16:47:04.000,122.0,410329.0,410329.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
162,PyVista,pyvista/pyvista,data-viz,,https://github.com/pyvista/pyvista,https://github.com/pyvista/pyvista,MIT,2017-05-31 18:01:42.000,2022-05-12 11:15:41.000000,2022-05-11 23:37:13,2697.0,170.0,244,30.0,1352.0,228.0,561.0,1268,3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK).,88.0,33,True,2022-04-18 15:57:00.000,0.34.1,58.0,pyvista,conda-forge/pyvista,,,['jupyter'],843.0,741.0,https://pypi.org/project/pyvista,2022-04-18 15:57:00.000,102.0,61425.0,66002.0,https://anaconda.org/conda-forge/pyvista,2022-04-15 21:10:01.700,164401.0,,,,,2.0,642.0,,,,,,,,,,,,,,,,,,,,
163,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-05-04 23:59:18.000000,2022-05-02 12:23:47,1068.0,74.0,329,63.0,500.0,190.0,301.0,1257,A Jupyter - Leaflet.js bridge.,78.0,33,True,2022-04-14 10:18:00.304,0.16.0,73.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],1804.0,1693.0,https://pypi.org/project/ipyleaflet,2022-04-14 10:17:10.000,109.0,64094.0,124587.0,https://anaconda.org/conda-forge/ipyleaflet,2022-04-14 12:16:11.267,815618.0,,,,,2.0,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2022-04-14 10:18:00.304,2.0,49165.0,,,,,,,,,,,,,
164,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2022-05-12 13:11:10.000000,2022-05-10 16:45:08,12918.0,401.0,167,25.0,1006.0,234.0,516.0,1253,"Visualize, create, and debug image and video datasets and model predictions.",37.0,33,True,2022-04-26 23:45:01.000,0.15.1,71.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",107.0,106.0,https://pypi.org/project/fiftyone,2022-04-26 23:45:01.000,1.0,23936.0,23936.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
165,arviz,arviz-devs/arviz,interpretability,,https://github.com/arviz-devs/arviz,https://github.com/arviz-devs/arviz,Apache-2.0,2015-07-29 11:51:10.000,2022-05-10 04:28:56.000000,2022-05-06 16:46:21,1378.0,28.0,272,44.0,1300.0,141.0,578.0,1209,Exploratory analysis of Bayesian models with Python.,120.0,33,True,2022-03-23 19:26:45.000,0.12.0,26.0,arviz,conda-forge/arviz,,,,2357.0,2261.0,https://pypi.org/project/arviz,2022-03-23 19:26:45.000,96.0,390743.0,410279.0,https://anaconda.org/conda-forge/arviz,2022-03-23 23:59:15.657,703227.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,,,
166,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000,2022-05-12 07:18:48.000000,2022-05-12 07:18:47,785.0,26.0,181,60.0,86.0,25.0,153.0,916,Input pipeline framework.,27.0,33,True,2022-03-30 18:58:31.000,1.6.1,48.0,tensorflow-transform,,,,['tensorflow'],909.0,853.0,https://pypi.org/project/tensorflow-transform,2022-03-30 19:17:57.000,56.0,3291716.0,3291716.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
167,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2022-05-11 21:18:01.000000,2022-05-11 16:55:57,9792.0,318.0,209,58.0,9823.0,55.0,1975.0,799,Scalable genomic data analysis.,79.0,33,True,2022-04-28 17:49:34.000,0.2.94,114.0,hail,,,,['spark'],74.0,66.0,https://pypi.org/project/hail,2022-04-28 17:49:57.000,8.0,33339.0,33339.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
168,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,https://github.com/ROCmSoftwarePlatform/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2022-05-11 14:31:50.000000,2022-05-11 14:31:50,132553.0,4008.0,68,49.0,1358.0,59.0,270.0,594,TensorFlow ROCm port.,4015.0,33,True,2022-04-11 16:51:04.000,2.8.1,77.0,tensorflow-rocm,,,,['tensorflow'],5.0,,https://pypi.org/project/tensorflow-rocm,2022-04-11 16:51:04.000,5.0,1632.0,1632.0,,,,,,,,2.0,20.0,,,,,,,,,,,,,,,,,,,,
169,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000,2022-05-09 09:33:03.000000,2022-05-09 09:33:02,5126.0,28.0,234,40.0,675.0,140.0,319.0,473,Python package to access a cacophony of neuro-imaging file formats.,95.0,33,True,2022-02-07 16:58:12.000,3.2.2,33.0,nibabel,conda-forge/nibabel,,,,8007.0,7038.0,https://pypi.org/project/nibabel,2022-02-07 16:58:12.000,969.0,180585.0,186561.0,https://anaconda.org/conda-forge/nibabel,2022-02-07 20:18:47.734,430273.0,,,,,2.0,,,-1.0,,,,,,,,,,,,,,,,,,
170,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2022-01-20 12:10:43.000000,2020-10-14 16:36:49,6226.0,,4388,1010.0,1864.0,353.0,651.0,15136,"Zipline, a Pythonic Algorithmic Trading Library.",154.0,32,False,2020-10-05 15:46:20.429,1.4.1,30.0,zipline,conda-forge/zipline,,,,941.0,856.0,https://pypi.org/project/zipline,2020-07-23 02:19:41.000,85.0,2010.0,2295.0,https://anaconda.org/conda-forge/zipline,2020-10-05 18:38:58.729,5707.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
171,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2021-11-29 19:55:31.000000,2021-11-29 19:55:31,1571.0,,1111,359.0,1679.0,484.0,1287.0,10691,Turi Create simplifies the development of custom machine learning models.,85.0,32,True,2020-09-30 22:51:40.000,6.4.1,31.0,turicreate,,,,,324.0,305.0,https://pypi.org/project/turicreate,2020-09-30 22:51:40.000,19.0,27977.0,28091.0,,,,,,,,3.0,6080.0,,,,,,,,,,,,,,,,,,,,
172,Albumentations,albumentations-team/albumentations,image,,https://github.com/albumentations-team/albumentations,https://github.com/albumentations-team/albumentations,MIT,2018-06-06 03:10:50.000,2022-05-02 09:16:00.000000,2022-02-13 11:37:49,699.0,1.0,1309,125.0,561.0,292.0,349.0,10171,Fast image augmentation library and an easy-to-use wrapper around other libraries. Documentation:..,100.0,32,True,2021-10-04 09:30:33.000,1.1.0,49.0,albumentations,conda-forge/albumentations,,,['pytorch'],7966.0,7753.0,https://pypi.org/project/albumentations,2021-10-04 09:30:33.000,213.0,330950.0,331983.0,https://anaconda.org/conda-forge/albumentations,2021-07-15 13:53:18.638,36189.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
173,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2022-04-23 18:38:16.066000,2022-03-25 13:02:03,836.0,2.0,998,328.0,248.0,37.0,306.0,9852,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,81.0,32,True,2020-09-18 16:07:59.000,1.17.0,43.0,annoy,conda-forge/python-annoy,,,,2299.0,2064.0,https://pypi.org/project/annoy,2020-09-18 16:07:59.000,235.0,1209239.0,1212608.0,https://anaconda.org/conda-forge/python-annoy,2022-04-23 18:38:16.066,229134.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
174,TFlearn,tflearn/tflearn,ml-frameworks,,https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,MIT,2016-03-31 12:05:53.000,2021-01-25 09:41:59.000000,2020-11-30 04:34:51,613.0,,2429,466.0,255.0,563.0,362.0,9583,Deep learning library featuring a higher-level API for TensorFlow.,128.0,32,False,2020-11-11 19:26:11.000,0.5.0,8.0,tflearn,,,,['tensorflow'],4380.0,3892.0,https://pypi.org/project/tflearn,2020-11-11 19:13:47.000,488.0,17639.0,17639.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
