,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
252,metrics,PyTorchLightning/metrics,distributed-ml,,https://github.com/PyTorchLightning/metrics,https://github.com/PyTorchLightning/metrics,Apache-2.0,2020-12-22 20:02:42.000,2022-03-03 10:38:08.000000,2022-03-03 09:02:42,696.0,143.0,154,23.0,479.0,54.0,250.0,727,"Machine learning metrics for distributed, scalable PyTorch applications.",116.0,31,True,2022-02-10 17:04:39.000,0.7.2,15.0,metrics,conda-forge/torchmetrics,['pytorch'],469.0,26321.0,2023.0,2009.0,https://pypi.org/project/metrics,2018-04-28 10:58:56.000,14.0,2575.0,https://anaconda.org/conda-forge/torchmetrics,2022-02-10 19:09:17.964,284486.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
253,snowballstemmer,snowballstem/snowball,nlp,,https://github.com/snowballstem/snowball,https://github.com/snowballstem/snowball,BSD-3-Clause,2013-02-23 07:17:42.000,2022-02-01 21:28:26.000000,2021-12-17 04:08:52,919.0,1.0,150,32.0,106.0,25.0,44.0,542,Snowball compiler and stemming algorithms.,28.0,31,True,2021-11-16 18:38:34.000,2.2.0,10.0,snowballstemmer,conda-forge/snowballstemmer,,,6532855.0,6731.0,4.0,https://pypi.org/project/snowballstemmer,2021-11-16 18:38:34.000,6727.0,6475141.0,https://anaconda.org/conda-forge/snowballstemmer,2021-11-17 09:59:16.947,3866899.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
254,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,BSD-3-Clause,2010-02-06 11:43:08.000,2022-03-02 15:47:21.000000,2022-02-25 19:02:02,12045.0,150.0,331,50.0,1730.0,123.0,648.0,493,"DIPY is the paragon 3D/4D+ imaging library in Python. Contains generic methods for spatial normalization, signal..",130.0,31,True,2021-05-06 04:40:48.000,1.4.1,23.0,dipy,conda-forge/dipy,,,15569.0,586.0,506.0,https://pypi.org/project/dipy,2021-05-06 04:40:48.000,80.0,11530.0,https://anaconda.org/conda-forge/dipy,2022-02-24 08:31:58.103,282789.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
255,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/deepmind/sonnet,https://github.com/deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2022-02-10 00:16:31.000000,2022-02-01 18:28:37,847.0,3.0,1281,437.0,64.0,22.0,148.0,9209,TensorFlow-based neural network library.,53.0,30,True,2020-03-27 10:36:19.000,2.0.0,27.0,dm-sonnet,conda-forge/sonnet,['tensorflow'],,22516.0,832.0,780.0,https://pypi.org/project/dm-sonnet,2020-03-27 10:36:10.000,52.0,22057.0,https://anaconda.org/conda-forge/sonnet,2020-11-14 18:13:23.843,12869.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
256,Vaex,vaexio/vaex,data-containers,,https://github.com/vaexio/vaex,https://github.com/vaexio/vaex,MIT,2014-09-27 09:44:42.000,2022-03-03 14:27:56.000000,2022-03-03 12:15:28,3433.0,110.0,534,143.0,839.0,361.0,646.0,6941,"Out-of-Core hybrid Apache Arrow/NumPy DataFrame for Python, ML, visualization and exploration of big tabular data at a..",63.0,30,True,2022-02-07 15:14:31.000,4.8.0,58.0,vaex,conda-forge/vaex,,226.0,33529.0,16.0,,https://pypi.org/project/vaex,2022-02-07 15:14:31.000,16.0,31657.0,https://anaconda.org/conda-forge/vaex,2022-02-28 15:49:44.095,121563.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
257,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2022-02-16 15:38:55.000000,2021-05-08 20:05:36,292.0,,1879,276.0,67.0,250.0,427.0,6863,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,15.0,30,True,2021-01-05 01:26:01.000,2.1.6,10.0,imageai,conda-forge/imageai,,719830.0,23728.0,1066.0,1050.0,https://pypi.org/project/imageai,2021-01-05 01:26:01.000,16.0,8293.0,https://anaconda.org/conda-forge/imageai,2021-04-30 19:03:25.297,2413.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
258,PaddleDetection,PaddlePaddle/PaddleDetection,image,,https://github.com/PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14.000,2022-03-03 14:13:05.000000,2022-03-03 08:10:42,1325.0,31.0,1623,154.0,2266.0,961.0,2066.0,6399,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object..",80.0,30,True,2021-12-09 11:11:05.000,2.3.0,6.0,paddledet,,['paddle'],,399.0,10.0,10.0,https://pypi.org/project/paddledet,2021-11-26 08:48:44.000,,399.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
259,tsfresh,blue-yonder/tsfresh,time-series-data,,https://github.com/blue-yonder/tsfresh,https://github.com/blue-yonder/tsfresh,MIT,2016-10-26 11:29:17.000,2021-12-21 18:56:28.651000,2021-12-21 03:31:43,507.0,18.0,956,153.0,403.0,41.0,439.0,6205,Automatic extraction of relevant features from time series:.,82.0,30,True,2021-12-21 03:37:03.000,0.19.0,27.0,tsfresh,conda-forge/tsfresh,['sklearn'],,437077.0,55.0,,https://pypi.org/project/tsfresh,2021-12-21 03:37:03.000,55.0,434956.0,https://anaconda.org/conda-forge/tsfresh,2021-12-21 18:56:28.651,110313.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
260,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2022-02-19 16:35:35.852000,2022-02-19 09:45:36,3165.0,55.0,546,118.0,103.0,97.0,734.0,5975,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",61.0,30,True,2022-02-19 10:54:29.000,13.4.0,192.0,ocrmypdf,conda-forge/ocrmypdf,,,28620.0,12.0,,https://pypi.org/project/ocrmypdf,2022-02-19 10:54:29.000,12.0,27958.0,https://anaconda.org/conda-forge/ocrmypdf,2022-02-19 16:35:35.852,8617.0,2.0,,,,,,,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,,
261,DeepPavlov,deepmipt/DeepPavlov,nlp,,https://github.com/deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov,Apache-2.0,2017-11-17 14:35:29.000,2022-03-03 13:40:27.000000,2021-12-16 19:43:39,2611.0,2.0,997,214.0,921.0,116.0,503.0,5625,An open source library for deep learning end-to-end dialog systems and chatbots.,67.0,30,True,2021-12-16 19:47:39.000,0.17.2,47.0,deeppavlov,,['tensorflow'],,10627.0,255.0,249.0,https://pypi.org/project/deeppavlov,2021-12-16 19:47:39.000,6.0,10627.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
262,CleverHans,cleverhans-lab/cleverhans,adversarial,,https://github.com/cleverhans-lab/cleverhans,https://github.com/cleverhans-lab/cleverhans,MIT,2016-09-15 00:28:04.000,2022-01-23 02:08:30.000000,2021-09-23 22:14:27,3201.0,,1308,188.0,780.0,25.0,422.0,5419,"An adversarial example library for constructing attacks, building defenses, and benchmarking both.",128.0,30,True,2021-07-24 08:53:21.000,4.0.0,8.0,cleverhans,conda-forge/cleverhans,['tensorflow'],,1419.0,310.0,299.0,https://pypi.org/project/cleverhans,2021-07-24 08:53:21.000,11.0,1295.0,https://anaconda.org/conda-forge/cleverhans,2021-07-29 12:49:41.903,2618.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
263,pyAudioAnalysis,tyiannak/pyAudioAnalysis,audio,,https://github.com/tyiannak/pyAudioAnalysis,https://github.com/tyiannak/pyAudioAnalysis,Apache-2.0,2014-08-27 12:43:13.000,2022-02-09 19:42:05.000000,2022-02-09 19:41:47,765.0,42.0,1069,206.0,86.0,176.0,117.0,4634,"Python Audio Analysis Library: Feature Extraction, Classification, Segmentation and Applications.",26.0,30,True,2022-02-07 22:36:53.000,0.3.14,23.0,pyAudioAnalysis,,,,9303.0,275.0,256.0,https://pypi.org/project/pyAudioAnalysis,2022-02-07 22:36:53.000,19.0,9303.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
264,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2022-03-02 18:54:03.000000,2022-02-13 23:02:13,976.0,3.0,300,82.0,415.0,52.0,372.0,4390,A scikit-learn compatible neural network library that wraps PyTorch.,48.0,30,True,2021-10-31 15:54:20.000,0.11.0,14.0,skorch,conda-forge/skorch,"['pytorch', 'sklearn']",,65036.0,481.0,448.0,https://pypi.org/project/skorch,2021-10-31 15:48:51.000,33.0,52913.0,https://anaconda.org/conda-forge/skorch,2021-11-30 10:48:50.965,509176.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
265,VisualDL,PaddlePaddle/VisualDL,ml-experiments,,https://github.com/PaddlePaddle/VisualDL,https://github.com/PaddlePaddle/VisualDL,Apache-2.0,2017-12-20 12:34:31.000,2022-02-15 00:49:55.000000,2021-12-30 09:58:24,860.0,1.0,577,152.0,654.0,62.0,332.0,4298,Deep Learning Visualization Toolkit.,31.0,30,True,2021-11-09 12:29:34.000,2.2.2,35.0,visualdl,,['paddle'],171.0,55581.0,1010.0,987.0,https://pypi.org/project/visualdl,2022-01-06 11:05:02.000,23.0,55573.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
266,haystack,deepset-ai/haystack,nlp,,https://github.com/deepset-ai/haystack,https://github.com/deepset-ai/haystack,Apache-2.0,2019-11-14 09:05:28.000,2022-03-03 15:06:09.000000,2022-03-03 15:06:07,1117.0,175.0,683,80.0,983.0,184.0,1028.0,4269,Haystack is an open source NLP framework that leverages Transformer models. It enables developers to implement..,99.0,30,True,2022-02-23 16:02:46.000,1.2.0,35.0,haystack,,,7.0,1270.0,85.0,,https://pypi.org/project/haystack,2021-12-15 14:01:39.322,85.0,1270.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
267,AutoGluon,awslabs/autogluon,hyperopt,,https://github.com/awslabs/autogluon,https://github.com/awslabs/autogluon,Apache-2.0,2019-07-29 18:51:24.000,2022-03-03 09:10:43.000000,2022-03-02 21:10:26,803.0,94.0,557,82.0,887.0,134.0,498.0,4176,"AutoGluon: AutoML for Image, Text, and Tabular Data.",66.0,30,True,2021-08-31 20:48:52.000,0.3.1,709.0,autogluon,,['mxnet'],,69859.0,105.0,101.0,https://pypi.org/project/autogluon,2022-03-03 09:10:43.000,4.0,69859.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
268,imutils,PyImageSearch/imutils,image,,https://github.com/PyImageSearch/imutils,https://github.com/PyImageSearch/imutils,MIT,2015-01-11 20:05:39.000,2022-02-12 02:49:37.000000,2022-01-27 13:24:16,139.0,1.0,943,149.0,105.0,146.0,77.0,3997,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",21.0,30,True,2021-01-15 10:53:17.000,0.5.4,29.0,imutils,conda-forge/imutils,,,301774.0,23854.0,23099.0,https://pypi.org/project/imutils,2021-01-15 10:53:17.000,755.0,299438.0,https://anaconda.org/conda-forge/imutils,2021-12-09 01:25:49.387,77112.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
269,NeMo,NVIDIA/NeMo,nlp,,https://github.com/NVIDIA/NeMo,https://github.com/NVIDIA/NeMo,Apache-2.0,2019-08-05 20:16:42.000,2022-03-03 13:12:59.000000,2022-03-03 07:14:28,4240.0,267.0,860,127.0,2582.0,72.0,930.0,3930,NeMo: a toolkit for conversational AI.,133.0,30,True,2022-03-02 00:57:00.000,1.7.0,50.0,nemo-toolkit,,['pytorch'],6251.0,13972.0,7.0,,https://pypi.org/project/nemo-toolkit,2022-02-05 06:11:26.000,7.0,13764.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
270,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-03-03 12:58:41.000000,2022-03-03 12:58:40,569.0,30.0,241,64.0,195.0,46.0,400.0,3177,Visualizer for pandas data structures.,22.0,30,True,2022-02-20 21:45:49.000,2.0.0,142.0,dtale,conda-forge/dtale,"['pandas', 'jupyter']",,72320.0,310.0,299.0,https://pypi.org/project/dtale,2022-02-20 21:44:16.000,11.0,68074.0,https://anaconda.org/conda-forge/dtale,2022-02-20 22:21:03.887,106155.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
271,plotnine,has2k1/plotnine,data-viz,,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,GPL-2.0,2017-04-24 19:00:44.000,2022-02-17 16:16:09.000000,2022-02-12 20:39:29,1714.0,4.0,157,67.0,98.0,82.0,386.0,2975,A grammar of graphics for Python.,90.0,30,False,2021-03-25 12:57:10.000,0.8.0,11.0,plotnine,conda-forge/plotnine,,,204089.0,3206.0,3013.0,https://pypi.org/project/plotnine,2021-03-25 10:49:20.000,193.0,201522.0,https://anaconda.org/conda-forge/plotnine,2021-03-25 12:31:04.423,148919.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
272,ta,bukosabino/ta,financial-data,,https://github.com/bukosabino/ta,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48.000,2022-02-23 23:21:45.000000,2022-01-27 15:31:59,603.0,13.0,662,127.0,97.0,109.0,94.0,2832,Technical Analysis Library using Pandas and Numpy.,26.0,30,True,2022-01-09 21:07:25.000,0.9.0,52.0,ta,conda-forge/ta,,,58645.0,1043.0,1016.0,https://pypi.org/project/ta,2022-01-09 21:07:25.000,27.0,58468.0,https://anaconda.org/conda-forge/ta,2022-01-12 11:50:54.974,2304.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
273,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2022-03-03 12:43:02.000000,2022-03-02 20:37:49,1303.0,5.0,332,89.0,557.0,131.0,355.0,2713,Quickly and accurately render even the largest data.,46.0,30,True,2021-06-09 23:30:20.000,0.13.0,24.0,datashader,conda-forge/datashader,,,42903.0,1048.0,974.0,https://pypi.org/project/datashader,2021-06-09 22:59:52.000,74.0,37751.0,https://anaconda.org/conda-forge/datashader,2021-06-10 09:04:19.929,267955.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
274,Arctic,man-group/arctic,data-containers,,https://github.com/man-group/arctic,https://github.com/man-group/arctic,LGPL-2.1,2015-05-29 13:37:30.000,2022-03-02 16:04:18.000000,2022-03-02 16:04:05,1111.0,24.0,522,174.0,431.0,96.0,444.0,2621,Arctic is a high performance datastore for numeric data.,75.0,30,True,2022-01-26 14:04:58.000,1.80.4,89.0,arctic,conda-forge/arctic,,181.0,8367.0,184.0,150.0,https://pypi.org/project/arctic,2022-01-24 17:37:17.000,34.0,7846.0,https://anaconda.org/conda-forge/arctic,2019-12-16 08:57:24.231,17653.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
275,Neural Network Libraries,sony/nnabla,ml-frameworks,,https://github.com/sony/nnabla,https://github.com/sony/nnabla,Apache-2.0,2017-06-26 01:07:10.000,2022-03-03 00:39:02.000000,2022-03-03 00:37:39,2996.0,71.0,313,164.0,971.0,32.0,45.0,2519,Neural Network Libraries.,65.0,30,True,2022-01-26 00:19:08.000,1.25.0,62.0,nnabla,,,533.0,5230.0,51.0,,https://pypi.org/project/nnabla,2022-01-26 00:05:16.000,51.0,5221.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
276,Cufflinks,santosjorge/cufflinks,data-viz,,https://github.com/santosjorge/cufflinks,https://github.com/santosjorge/cufflinks,MIT,2014-11-19 20:59:33.000,2022-02-11 16:25:24.000000,2021-02-25 05:05:09,452.0,,585,105.0,73.0,92.0,123.0,2515,Productivity Tools for Plotly + Pandas.,38.0,30,False,2020-03-01 17:42:01.000,0.17.3,28.0,cufflinks,,['pandas'],,295206.0,5476.0,5318.0,https://pypi.org/project/cufflinks,2021-12-15 15:49:58.297,158.0,295206.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
277,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2022-03-03 12:23:16.000000,2022-03-03 00:31:50,2823.0,373.0,475,47.0,696.0,123.0,681.0,2462,Model Serving on PyTorch.,99.0,30,True,2022-03-01 23:52:48.000,0.5.3,14.0,torchserve,pytorch/torchserve,['pytorch'],964.0,50190.0,8.0,,https://pypi.org/project/torchserve,2022-03-01 19:56:22.000,8.0,14517.0,https://anaconda.org/pytorch/torchserve,2022-03-01 22:01:57.360,19469.0,2.0,,pytorch/torchserve,,https://hub.docker.com/r/pytorch/torchserve,2022-03-01 18:53:18.598018,11.0,1008799.0,,,,,,,,,,,,,,,,,,
278,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2022-01-04 14:27:58.000000,2021-09-07 19:15:32,209.0,,289,66.0,52.0,13.0,94.0,2295,A Python Perceptual Image Hashing Module.,20.0,30,True,2021-07-15 12:35:01.000,4.2.1,18.0,ImageHash,conda-forge/imagehash,,,1302336.0,4681.0,4366.0,https://pypi.org/project/ImageHash,2021-07-15 12:35:01.000,315.0,1299721.0,https://anaconda.org/conda-forge/imagehash,2021-07-15 15:00:27.543,167407.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
279,filterpy,rlabbe/filterpy,probabilistics,,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000,2021-12-27 15:31:49.000000,2021-05-04 18:33:52,542.0,,480,73.0,68.0,47.0,154.0,2137,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",36.0,30,True,2018-10-10 22:38:24.000,1.4.5,49.0,filterpy,conda-forge/filterpy,,,643809.0,1379.0,1253.0,https://pypi.org/project/filterpy,2018-10-10 22:38:24.000,126.0,642532.0,https://anaconda.org/conda-forge/filterpy,2020-05-05 21:13:59.073,72824.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
280,tslearn,tslearn-team/tslearn,time-series-data,,https://github.com/tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,BSD-2-Clause,2017-05-04 13:08:13.000,2022-02-23 08:58:08.000000,2021-12-06 15:56:44,1581.0,4.0,264,57.0,130.0,75.0,181.0,2027,A machine learning toolkit dedicated to time-series data.,36.0,30,True,2021-08-16 07:09:52.000,0.5.2,94.0,tslearn,conda-forge/tslearn,['sklearn'],,100040.0,437.0,418.0,https://pypi.org/project/tslearn,2021-08-16 07:29:50.000,19.0,94887.0,https://anaconda.org/conda-forge/tslearn,2022-01-15 08:48:51.564,247364.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
281,hnswlib,nmslib/hnswlib,nn-search,,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000,2022-02-14 22:34:58.000000,2022-02-14 22:08:59,378.0,29.0,357,61.0,143.0,123.0,120.0,1893,Header-only C++/python library for fast approximate nearest neighbors.,56.0,30,True,2022-02-14 22:34:58.000,0.6.2,9.0,hnswlib,conda-forge/hnswlib,,,63940.0,216.0,196.0,https://pypi.org/project/hnswlib,2022-02-14 22:34:58.000,20.0,61573.0,https://anaconda.org/conda-forge/hnswlib,2021-02-04 20:34:56.456,35506.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
282,textacy,chartbeat-labs/textacy,nlp,,https://github.com/chartbeat-labs/textacy,https://github.com/chartbeat-labs/textacy,Apache-2.0,2016-02-03 16:52:45.000,2022-02-06 16:50:51.205000,2021-12-06 14:45:21,1714.0,32.0,232,90.0,108.0,28.0,221.0,1888,"NLP, before and after spaCy.",31.0,30,True,2021-12-06 15:00:07.000,0.12.0,31.0,textacy,conda-forge/textacy,,,49206.0,100.0,,https://pypi.org/project/textacy,2021-12-06 15:00:07.000,100.0,47428.0,https://anaconda.org/conda-forge/textacy,2022-02-06 16:50:51.205,103159.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
283,TextAttack,QData/TextAttack,adversarial,,https://github.com/QData/TextAttack,https://github.com/QData/TextAttack,MIT,2019-10-15 00:51:44.000,2022-03-01 02:30:10.000000,2022-02-28 15:45:54,2421.0,21.0,225,30.0,434.0,39.0,156.0,1867,"TextAttack is a Python framework for adversarial attacks, data augmentation, and model training in NLP..",47.0,30,True,2021-11-10 01:36:28.000,0.3.4,42.0,textattack,conda-forge/textattack,,,11312.0,67.0,64.0,https://pypi.org/project/textattack,2021-11-10 01:36:28.000,3.0,11171.0,https://anaconda.org/conda-forge/textattack,2021-06-29 21:16:15.345,2555.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
284,TFX,tensorflow/tfx,data-pipelines,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2022-03-03 07:33:39.000000,2022-03-03 01:46:55,4115.0,127.0,533,92.0,3978.0,249.0,497.0,1703,TFX is an end-to-end platform for deploying production ML pipelines.,128.0,30,True,2022-02-08 22:39:24.000,1.6.1,72.0,tfx,,['tensorflow'],,286178.0,7.0,,https://pypi.org/project/tfx,2022-02-08 22:39:24.000,7.0,286178.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
285,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,BSD-2-Clause,2010-07-09 20:41:11.000,2022-01-09 18:22:30.772000,2022-01-07 20:13:06,422.0,8.0,148,42.0,51.0,9.0,99.0,1624,a python library for doing approximate and phonetic matching of strings.,25.0,30,True,2022-01-07 20:20:43.000,0.9.0,32.0,jellyfish,conda-forge/jellyfish,,,1863296.0,3723.0,3325.0,https://pypi.org/project/jellyfish,2022-01-07 20:20:43.000,398.0,1860634.0,https://anaconda.org/conda-forge/jellyfish,2022-01-09 18:22:30.772,175692.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
286,pyLDAvis,bmabey/pyLDAvis,interpretability,,https://github.com/bmabey/pyLDAvis,https://github.com/bmabey/pyLDAvis,BSD-3-Clause,2015-04-09 22:48:03.000,2022-02-01 14:45:02.000000,2021-03-24 13:03:31,240.0,,320,56.0,64.0,86.0,77.0,1577,Python library for interactive topic model visualization. Port of the R LDAvis package.,32.0,30,True,2021-03-24 13:05:21.000,3.3.1,24.0,pyldavis,conda-forge/pyldavis,['jupyter'],,639326.0,3277.0,3147.0,https://pypi.org/project/pyldavis,2021-03-24 12:57:08.000,130.0,638568.0,https://anaconda.org/conda-forge/pyldavis,2021-03-24 15:17:07.309,34120.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
287,PyCUDA,inducer/pycuda,gpu-utilities,,https://github.com/inducer/pycuda,https://github.com/inducer/pycuda,MIT,2011-04-06 02:53:31.000,2022-02-16 20:11:45.000000,2022-02-16 16:38:58,1518.0,9.0,249,54.0,117.0,65.0,155.0,1269,"CUDA integration for Python, plus shiny features.",74.0,30,True,2019-08-12 04:15:37.000,2019.1.2,47.0,pycuda,conda-forge/pycuda,,,36802.0,1372.0,1182.0,https://pypi.org/project/pycuda,2021-04-03 22:28:54.000,190.0,32136.0,https://anaconda.org/conda-forge/pycuda,2021-11-06 22:00:35.210,55998.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
288,ArcGIS API,Esri/arcgis-python-api,geospatial-data,,https://github.com/Esri/arcgis-python-api,https://github.com/Esri/arcgis-python-api,Apache-2.0,2016-03-16 01:09:14.000,2022-02-26 00:01:01.000000,2022-02-25 11:43:27,3393.0,71.0,866,140.0,782.0,123.0,309.0,1231,Documentation and samples for ArcGIS API for Python.,77.0,30,True,2022-02-02 00:09:26.000,2.0.0,32.0,arcgis,,,2075.0,45902.0,22.0,,https://pypi.org/project/arcgis,2022-02-03 03:33:19.000,22.0,45786.0,,,,3.0,,esridocker/arcgis-api-python-notebook,,https://hub.docker.com/r/esridocker/arcgis-api-python-notebook,2022-02-04 23:58:53.044266,33.0,6132.0,,,,,,,,,,,,,,,,,,
289,PennyLane,PennyLaneAI/PennyLane,others,,https://github.com/PennyLaneAI/pennylane,https://github.com/PennyLaneAI/pennylane,Apache-2.0,2018-04-17 16:45:42.000,2022-03-03 14:59:57.000000,2022-03-03 13:47:47,2387.0,117.0,353,55.0,1675.0,157.0,473.0,1176,PennyLane is a cross-platform Python library for differentiable programming of quantum computers. Train a quantum..,90.0,30,True,2022-02-08 07:20:40.000,0.21.0,31.0,pennylane,conda-forge/pennylane,,60.0,13791.0,28.0,,https://pypi.org/project/pennylane,2022-02-08 07:20:40.000,28.0,13687.0,https://anaconda.org/conda-forge/pennylane,2022-02-10 16:15:05.550,414.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
290,Model Analysis,tensorflow/model-analysis,interpretability,,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis,Apache-2.0,2018-03-23 19:08:49.000,2022-03-03 04:48:22.000000,2022-03-03 04:48:22,1111.0,39.0,244,70.0,89.0,27.0,47.0,1145,Model analysis tools for TensorFlow.,38.0,30,True,2022-01-24 17:50:57.000,0.37.0,47.0,tensorflow-model-analysis,,"['tensorflow', 'jupyter']",,957388.0,21.0,,https://pypi.org/project/tensorflow-model-analysis,2022-01-24 18:05:57.000,21.0,957388.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
291,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2022-03-02 09:28:56.000000,2021-07-15 17:22:49,1466.0,,135,42.0,125.0,54.0,630.0,1085,A Python data analysis library that is optimized for humans instead of machines.,49.0,30,True,2021-07-15 16:32:29.000,1.6.3,26.0,agate,conda-forge/agate,,,1251843.0,928.0,795.0,https://pypi.org/project/agate,2021-07-15 16:32:29.000,133.0,1250572.0,https://anaconda.org/conda-forge/agate,2021-07-16 07:46:42.405,77534.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
