,name,github_id,pypi_id,conda_id,docs_url,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,projectrank_placing,github_release_downloads,helm_id,brew_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id
95,horovod,horovod/horovod,horovod,,,distributed-ml,,https://github.com/horovod/horovod,https://github.com/horovod/horovod,Apache-2.0,2017-08-09 19:39:59.000000,2020-12-31 13:01:47.000000,2020-12-22 15:22:03.000000,1681.0,254.0,1369.0,10631.0,832.0,2020-11-23 23:57:42.000000,0.21.0,60.0,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",322.0,302.0,109.0,30,https://pypi.org/project/horovod,2020-10-01 14:54:24.000000,20.0,114529.0,114529.0,,,,True,1,,stable/horovod,,,,,,,,,,,,,,,,,,,,,,
96,flair,flairNLP/flair,flair,,,nlp,['pytorch'],https://github.com/flairNLP/flair,https://github.com/flairNLP/flair,MIT,2018-06-11 11:04:18.000000,2020-12-30 17:00:56.000000,2020-12-17 06:42:58.000000,1405.0,113.0,1307.0,9744.0,2984.0,2020-12-01 19:35:00.000000,0.7,19.0,A very simple framework for state-of-the-art Natural Language Processing (NLP).,623.0,575.0,156.0,30,https://pypi.org/project/flair,2020-12-01 19:02:38.000000,48.0,39917.0,39917.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
97,TFlearn,tflearn/tflearn,tflearn,,,ml-frameworks,['tensorflow'],https://github.com/tflearn/tflearn,https://github.com/tflearn/tflearn,MIT,2016-03-31 12:05:53.000000,2020-11-30 04:35:03.000000,2020-11-30 04:34:51.000000,2423.0,574.0,358.0,9496.0,613.0,2020-11-11 19:26:11.000000,0.5.0,8.0,Deep learning library featuring a higher-level API for TensorFlow.,3352.0,2871.0,128.0,30,https://pypi.org/project/tflearn,2020-11-11 19:13:47.000000,481.0,14162.0,14162.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
98,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,vowpalwabbit,,,ml-frameworks,,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000000,2020-12-31 21:34:20.000000,2020-12-30 22:50:21.000000,1696.0,161.0,855.0,7374.0,8975.0,2020-11-12 14:41:09.000000,8.9.0,12.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,95.0,87.0,296.0,30,https://pypi.org/project/vowpalwabbit,2020-11-12 14:41:09.000000,8.0,17998.0,17998.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
99,DVC,iterative/dvc,dvc,conda-forge/dvc,,ml-experiments,,https://github.com/iterative/dvc,https://github.com/iterative/dvc,Apache-2.0,2017-03-04 08:16:33.000000,2021-01-01 07:19:05.000000,2020-12-31 04:28:07.000000,656.0,489.0,2116.0,6983.0,6167.0,2020-12-23 11:40:04.000000,1.11.9,288.0,Data Version Control | Git for Data & Models.,557.0,511.0,200.0,30,https://pypi.org/project/dvc,2020-12-23 11:40:04.000000,46.0,60287.0,85656.0,https://anaconda.org/conda-forge/dvc,2020-12-23 13:52:17.036000,430569.0,True,2,15941.0,,dvc,,,,,,,,,,,,,dvc,dvc,,,,,,,
100,Prefect,PrefectHQ/prefect,prefect,conda-forge/prefect,,data-pipelines,,https://github.com/PrefectHQ/prefect,https://github.com/PrefectHQ/prefect,Apache-2.0,2018-06-29 21:59:26.000000,2020-12-31 16:02:05.000000,2020-12-31 16:02:04.000000,478.0,229.0,1272.0,5624.0,12974.0,2020-12-29 15:11:29.000000,0.14.1,78.0,The easiest way to automate your data.,220.0,218.0,169.0,30,https://pypi.org/project/prefect,2020-12-29 15:11:29.000000,2.0,28972.0,31857.0,https://anaconda.org/conda-forge/prefect,2020-12-29 17:05:17.119000,63486.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
101,SpeechRecognition,Uberi/speech_recognition,SpeechRecognition,conda-forge/speechrecognition,,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000000,2020-12-23 09:51:35.000000,2019-07-02 17:29:47.000000,1841.0,197.0,269.0,5325.0,360.0,2017-12-05 14:05:14.000000,3.8.1,52.0,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",7367.0,6279.0,41.0,30,https://pypi.org/project/SpeechRecognition,2017-12-05 13:58:29.000000,1088.0,112442.0,114194.0,https://anaconda.org/conda-forge/speechrecognition,2020-10-10 22:21:01.100000,92900.0,False,1,,,,,,,,,,,,,,,,,,,,,,,,
102,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,imbalanced-learn,conda-forge/imbalanced-learn,,others,['sklearn'],https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000000,2020-12-23 12:15:04.000000,2020-11-03 21:43:11.000000,1024.0,47.0,401.0,4922.0,701.0,2020-06-09 10:45:32.000000,0.7.0,26.0,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,3928.0,3648.0,51.0,30,https://pypi.org/project/imbalanced-learn,2020-06-09 10:39:03.000000,280.0,794905.0,797563.0,https://anaconda.org/conda-forge/imbalanced-learn,2020-06-14 14:47:57.352000,103697.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
103,CuPy,cupy/cupy,cupy,conda-forge/cupy,,gpu-utilities,,https://github.com/cupy/cupy,https://github.com/cupy/cupy,MIT,2016-11-01 09:54:45.000000,2021-01-01 01:45:29.000000,2020-12-28 09:09:38.000000,430.0,366.0,852.0,4751.0,20171.0,2020-12-25 05:33:27.000000,8.3.0,85.0,A NumPy-compatible array library accelerated by CUDA.,822.0,630.0,253.0,30,https://pypi.org/project/cupy,2020-12-25 03:21:57.000000,192.0,8857.0,31599.0,https://anaconda.org/conda-forge/cupy,2020-12-30 14:18:34.736000,325636.0,True,1,3897.0,,,cupy/cupy,https://hub.docker.com/r/cupy/cupy,2020-12-28 09:14:47.523050,6.0,47571.0,,,,,,,,,,,,,,,,
104,MLxtend,rasbt/mlxtend,mlxtend,conda-forge/mlxtend,,others,['sklearn'],https://github.com/rasbt/mlxtend,https://github.com/rasbt/mlxtend,BSD-3-Clause,2014-08-14 01:56:16.000000,2020-12-26 00:44:28.000000,2020-12-26 00:44:27.000000,683.0,99.0,260.0,3268.0,1143.0,2020-11-26 04:18:15.000000,0.18.0,46.0,A library of extension and helper modules for Python's data analysis and machine learning libraries.,2384.0,2289.0,79.0,30,https://pypi.org/project/mlxtend,2020-11-26 04:18:15.000000,95.0,242453.0,245968.0,https://anaconda.org/conda-forge/mlxtend,2020-11-26 05:32:00.667000,147639.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
105,bqplot,bqplot/bqplot,bqplot,conda-forge/bqplot,,data-viz,['jupyter'],https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000000,2020-12-18 14:59:43.000000,2020-12-18 07:40:15.000000,404.0,186.0,313.0,2971.0,3200.0,2020-11-05 14:39:24.000000,0.12.19,87.0,Plotting library for IPython/Jupyter notebooks.,1267.0,1145.0,51.0,30,https://pypi.org/project/bqplot,2020-11-05 14:39:24.000000,112.0,14092.0,151776.0,https://anaconda.org/conda-forge/bqplot,2020-10-12 22:00:13.153000,445657.0,True,2,,,,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2020-10-12 19:58:11.526000,10.0,129726.0,,,,,,,,,,,
106,torchtext,pytorch/text,torchtext,,,nlp,['pytorch'],https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000000,2020-12-31 12:36:28.000000,2020-12-29 20:05:59.000000,584.0,261.0,311.0,2600.0,697.0,2020-12-10 17:03:55.000000,0.8.1,12.0,Data loaders and abstractions for text and NLP.,4113.0,3431.0,102.0,30,https://pypi.org/project/torchtext,2020-12-10 16:28:00.000000,682.0,87587.0,87587.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
107,mrjob,Yelp/mrjob,mrjob,conda-forge/mrjob,,data-pipelines,,https://github.com/Yelp/mrjob,https://github.com/Yelp/mrjob,Apache-2.0,2010-10-13 18:35:21.000000,2020-12-24 22:44:29.424000,2020-11-16 22:20:52.000000,590.0,199.0,1089.0,2524.0,8622.0,2020-09-17 22:26:01.000000,0.7.4,60.0,Run MapReduce jobs on Hadoop or Amazon Web Services.,754.0,642.0,142.0,30,https://pypi.org/project/mrjob,2020-09-17 22:26:01.000000,112.0,109036.0,114898.0,https://anaconda.org/conda-forge/mrjob,2020-12-24 22:44:29.424000,304865.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
108,GeoPandas,geopandas/geopandas,geopandas,conda-forge/geopandas,,geospatial-data,['pandas'],https://github.com/geopandas/geopandas,https://github.com/geopandas/geopandas,BSD-3-Clause,2013-06-27 17:03:47.000000,2020-12-31 19:47:47.000000,2020-12-31 19:47:46.000000,528.0,294.0,653.0,2414.0,1309.0,2020-07-15 17:59:00.000000,0.8.1,34.0,Python tools for geographic data.,7875.0,6709.0,129.0,30,https://pypi.org/project/geopandas,2020-06-24 13:38:40.000000,1166.0,406599.0,420308.0,https://anaconda.org/conda-forge/geopandas,2020-07-16 18:56:42.068000,794290.0,True,2,832.0,,,,,,,,,,,,,,,,,,,,,,,
109,pyodbc,mkleehammer/pyodbc,pyodbc,conda-forge/pyodbc,,db-clients,,https://github.com/mkleehammer/pyodbc,https://github.com/mkleehammer/pyodbc,MIT,2008-10-03 15:19:37.000000,2020-11-26 00:31:04.000000,2020-10-26 13:28:37.000000,407.0,215.0,510.0,1952.0,347.0,2020-02-08 18:09:57.000000,4.0.30,48.0,Python ODBC bridge.,3262.0,,36.0,30,https://pypi.org/project/pyodbc,2020-02-10 15:43:28.000000,3262.0,4169039.0,4178695.0,https://anaconda.org/conda-forge/pyodbc,2020-10-10 10:56:30.285000,395930.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
110,smart-open,RaRe-Technologies/smart_open,smart-open,,,data-loading,,https://github.com/RaRe-Technologies/smart_open,https://github.com/RaRe-Technologies/smart_open,MIT,2015-01-02 13:05:52.000000,2020-12-31 05:01:02.000000,2020-12-31 03:15:01.000000,266.0,69.0,233.0,1875.0,846.0,2020-12-30 07:19:09.000000,4.1.0,45.0,"Utils for streaming large files (S3, HDFS, gzip, bz2...).",640.0,,70.0,30,https://pypi.org/project/smart-open,2020-12-30 07:17:50.000000,640.0,7651548.0,7651548.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
111,mysqlclient,PyMySQL/mysqlclient,mysqlclient,conda-forge/mysqlclient,,db-clients,,https://github.com/PyMySQL/mysqlclient,https://github.com/PyMySQL/mysqlclient,GPL-2.0,2014-04-28 05:09:06.000000,2021-01-01 11:47:45.000000,2021-01-01 11:46:52.000000,305.0,6.0,245.0,1844.0,981.0,2020-12-10 04:03:30.000000,2.0.2,30.0,MySQL database connector for Python (with Python 3 support).,13536.0,,64.0,30,https://pypi.org/project/mysqlclient,2020-12-10 04:03:30.000000,13536.0,1778527.0,1780740.0,https://anaconda.org/conda-forge/mysqlclient,2020-10-13 12:28:49.922000,57101.0,False,2,5161.0,,,,,,,,,,,,,,,,,,,,,,,
112,python-magic,ahupp/python-magic,python-magic,conda-forge/python-magic,,data-loading,,https://github.com/ahupp/python-magic,https://github.com/ahupp/python-magic,MIT,2010-03-31 22:40:33.000000,2020-12-24 22:42:00.639000,2020-12-11 19:57:07.000000,212.0,28.0,125.0,1795.0,244.0,2020-05-06 02:30:25.000000,0.4.18,18.0,A python wrapper for libmagic.,16280.0,11148.0,47.0,30,https://pypi.org/project/python-magic,2020-05-06 02:30:25.000000,5132.0,1437746.0,1439373.0,https://anaconda.org/conda-forge/python-magic,2020-12-24 22:42:00.639000,73227.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
113,opencv-python,skvark/opencv-python,opencv-python,,,image,,https://github.com/skvark/opencv-python,https://github.com/skvark/opencv-python,MIT,2016-04-08 13:36:40.000000,2020-12-28 18:40:21.000000,2020-12-28 18:40:12.000000,301.0,19.0,358.0,1656.0,749.0,2020-11-03 19:09:10.000000,46,46.0,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-..",12560.0,,27.0,30,https://pypi.org/project/opencv-python,2020-11-02 16:36:07.000000,12560.0,2187810.0,2187810.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
114,Motor,mongodb/motor,motor,conda-forge/motor,,db-clients,,https://github.com/mongodb/motor,https://github.com/mongodb/motor,Apache-2.0,2013-01-11 21:34:44.000000,2020-12-08 14:16:53.000000,2020-09-24 23:47:34.000000,140.0,1.0,,1615.0,1609.0,2020-09-24 23:26:10.000000,2.3.0,34.0,Motor - the async Python driver for MongoDB and Tornado or asyncio.,5187.0,3397.0,28.0,30,https://pypi.org/project/motor,2020-09-24 23:19:56.000000,1790.0,127640.0,128045.0,https://anaconda.org/conda-forge/motor,2020-11-20 20:00:39.143000,10146.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
115,Rasterio,mapbox/rasterio,rasterio,conda-forge/rasterio,,geospatial-data,,https://github.com/mapbox/rasterio,https://github.com/mapbox/rasterio,BSD-3-Clause,2013-11-04 16:36:27.000000,2020-12-30 20:52:11.000000,2020-12-15 00:21:46.000000,387.0,135.0,1183.0,1398.0,3239.0,2020-10-21 01:56:29.000000,1.1.8,117.0,Rasterio reads and writes geospatial raster datasets.,3395.0,2545.0,109.0,30,https://pypi.org/project/rasterio,2020-12-13 18:35:39.000000,850.0,151065.0,165325.0,https://anaconda.org/conda-forge/rasterio,2020-10-30 14:13:05.008000,826552.0,True,2,702.0,,,,,,,,,,,,,,,,,,,,,,,
116,TF Addons,tensorflow/addons,tensorflow-addons,,,tensorflow-utils,['tensorflow'],https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000000,2021-01-01 02:08:26.000000,2021-01-01 02:08:24.000000,390.0,157.0,607.0,1138.0,1312.0,2020-12-23 19:42:08.000000,0.12.0,24.0,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,1889.0,1871.0,144.0,30,https://pypi.org/project/tensorflow-addons,2020-12-23 19:42:08.000000,18.0,277579.0,277579.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
117,Wand,emcconville/wand,wand,,,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000000,2020-12-08 02:05:17.000000,2020-12-08 02:05:10.000000,183.0,13.0,319.0,1041.0,1678.0,2020-11-29 20:47:13.000000,0.6.5,47.0,The ctypes-based simple ImageMagick binding for Python.,4144.0,2974.0,94.0,30,https://pypi.org/project/wand,2020-11-29 20:40:49.000000,1170.0,128267.0,128466.0,,,,True,2,5199.0,,,,,,,,,,,,,,,,,,,,,,,
118,Fiona,Toblerity/Fiona,fiona,conda-forge/fiona,,geospatial-data,,https://github.com/Toblerity/Fiona,https://github.com/Toblerity/Fiona,BSD-3-Clause,2011-12-31 19:47:00.000000,2020-12-02 19:46:20.000000,2020-11-30 07:11:40.000000,165.0,69.0,546.0,765.0,1093.0,2020-11-17 18:32:17.000000,1.8.18,96.0,Fiona reads and writes geographic data files.,5901.0,4713.0,65.0,30,https://pypi.org/project/fiona,2020-11-17 18:32:17.000000,1188.0,479532.0,507389.0,https://anaconda.org/conda-forge/fiona,2020-11-17 20:48:12.542000,1615758.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
119,Nilearn,nilearn/nilearn,nilearn,conda-forge/nilearn,,medical-data,['sklearn'],https://github.com/nilearn/nilearn,https://github.com/nilearn/nilearn,BSD-3-Clause,2011-01-09 19:02:23.000000,2020-12-31 09:23:15.000000,2020-12-28 17:42:06.000000,371.0,378.0,1053.0,689.0,9277.0,2020-11-12 11:44:49.000000,0.7.0,35.0,Machine learning for NeuroImaging in Python.,1136.0,834.0,158.0,30,https://pypi.org/project/nilearn,2020-11-12 11:44:49.000000,302.0,11053.0,12385.0,https://anaconda.org/conda-forge/nilearn,2020-11-12 13:26:03.600000,74599.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
120,You-Get,soimort/you-get,you-get,,,web-scraping,,https://github.com/soimort/you-get,https://github.com/soimort/you-get,MIT,2012-08-20 15:53:36.000000,2020-12-30 23:40:37.000000,2020-12-27 16:22:25.000000,7865.0,349.0,,38367.0,2352.0,2020-12-26 18:24:57.000000,0.4.1500,159.0,Dumb downloader that scrapes the web.,18.0,,223.0,29,https://pypi.org/project/you-get,2020-12-26 18:22:17.000000,18.0,23820.0,27688.0,,,,True,2,328792.0,,you-get,,,,,,,,,,,,,,,,,,,,,
121,Face Recognition,ageitgey/face_recognition,face_recognition,,,image,['pytorch'],https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000000,2020-12-19 11:44:26.000000,2020-09-26 15:32:59.000000,10493.0,554.0,526.0,37934.0,211.0,2018-08-21 18:34:21.000000,1.2.3,21.0,The world's simplest facial recognition api for Python and the command line.,406.0,,45.0,29,https://pypi.org/project/face_recognition,2018-08-21 18:34:21.000000,406.0,31797.0,31806.0,,,,True,2,435.0,,,,,,,,,,,,,,,,,,,,,,,
122,fastText,facebookresearch/fastText,fasttext,conda-forge/fasttext,,nlp,,https://github.com/facebookresearch/fastText,https://github.com/facebookresearch/fastText,MIT,2016-07-16 13:38:42.000000,2020-10-31 15:50:36.000000,2020-07-18 00:20:40.000000,4198.0,400.0,588.0,22084.0,379.0,2020-04-28 09:54:50.000000,0.9.2,35.0,Library for fast text representation and classification.,1584.0,1394.0,58.0,29,https://pypi.org/project/fasttext,2020-04-28 09:54:50.000000,190.0,117875.0,118310.0,https://anaconda.org/conda-forge/fasttext,2020-10-12 14:55:45.199000,16979.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
123,Magenta,magenta/magenta,magenta,,,audio,['tensorflow'],https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000000,2020-12-31 05:02:53.000000,2020-12-01 17:12:29.000000,3283.0,286.0,533.0,16126.0,1370.0,2020-11-12 19:17:18.000000,2.1.3,66.0,Magenta: Music and Art Generation with Machine Intelligence.,288.0,253.0,142.0,29,https://pypi.org/project/magenta,2020-11-12 19:17:18.000000,35.0,5352.0,5352.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,
124,Faiss,facebookresearch/faiss,pymilvus,conda-forge/faiss,,nn-search,,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,MIT,2017-02-07 16:07:05.000000,2020-12-30 01:34:02.000000,2020-12-29 21:46:54.000000,2052.0,98.0,1211.0,12009.0,417.0,2020-12-21 05:24:03.000000,1.6.5,42.0,A library for efficient similarity search and clustering of dense vectors.,297.0,291.0,71.0,29,https://pypi.org/project/pymilvus,2020-10-16 13:11:09.000000,6.0,5730.0,8151.0,https://anaconda.org/conda-forge/faiss,2020-12-12 16:36:49.740000,19371.0,True,1,,,,,,,,,,,,,,,1.0,,,,,,,,,
125,newspaper3k,codelucas/newspaper,newspaper3k,conda-forge/newspaper3k,,web-scraping,,https://github.com/codelucas/newspaper,https://github.com/codelucas/newspaper,MIT,2013-11-25 09:50:50.000000,2020-12-24 21:15:01.000000,2020-09-02 06:54:25.000000,1736.0,427.0,242.0,10554.0,651.0,2018-09-28 04:58:18.000000,0.2.8,18.0,"News, full-text, and article metadata extraction in Python 3. Advanced docs:.",2591.0,2147.0,103.0,29,https://pypi.org/project/newspaper3k,2018-09-28 04:58:18.000000,444.0,27005.0,27926.0,https://anaconda.org/conda-forge/newspaper3k,2020-10-14 01:55:00.844000,35021.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
126,Turi Create,apple/turicreate,turicreate,,,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000000,2020-11-18 17:14:31.000000,2020-10-13 23:52:18.000000,1057.0,465.0,1240.0,10070.0,1565.0,2020-09-30 22:51:40.000000,6.4.1,31.0,Turi Create simplifies the development of custom machine learning models.,252.0,218.0,81.0,29,https://pypi.org/project/turicreate,2020-09-30 22:51:40.000000,34.0,13015.0,13109.0,,,,True,3,3483.0,,,,,,,,,,,,,,,,,,,,,,,
127,AllenNLP,allenai/allennlp,allennlp,,,nlp,['pytorch'],https://github.com/allenai/allennlp,https://github.com/allenai/allennlp,Apache-2.0,2017-05-15 15:52:41.000000,2021-01-01 10:46:02.000000,2020-12-23 18:51:13.000000,1979.0,106.0,2115.0,9528.0,,2020-12-15 22:10:16.000000,1.3.0,154.0,"An open-source NLP research library, built on PyTorch.",1579.0,1345.0,231.0,29,https://pypi.org/project/allennlp,2020-11-17 18:37:28.000000,234.0,21353.0,21353.0,,,,True,2,36.0,,,,,,,,,,,,,,,,,,,,,,,
128,Lime,marcotcr/lime,lime,conda-forge/lime,,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000000,2020-12-18 17:16:38.000000,2020-12-18 17:16:31.000000,1349.0,37.0,434.0,8277.0,504.0,2020-04-03 22:05:03.000000,0.2.0.0,37.0,Lime: Explaining the predictions of any machine learning classifier.,1094.0,966.0,56.0,29,https://pypi.org/project/lime,2020-04-03 22:04:32.000000,128.0,180019.0,181267.0,https://anaconda.org/conda-forge/lime,2020-06-28 01:02:41.538000,61189.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,
129,Annoy,spotify/annoy,annoy,,,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000000,2020-12-25 08:13:07.000000,2020-12-03 18:21:18.000000,854.0,25.0,265.0,7975.0,785.0,2020-09-18 16:07:59.000000,1.17.0,43.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,1740.0,1380.0,68.0,29,https://pypi.org/project/annoy,2020-09-18 16:07:59.000000,360.0,226625.0,226625.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,
130,Pattern,clips/pattern,pattern,conda-forge/pattern,,web-scraping,,https://github.com/clips/pattern,https://github.com/clips/pattern,BSD-3-Clause,2011-05-03 15:29:01.000000,2020-12-03 13:45:30.000000,2020-04-25 12:40:40.000000,1499.0,159.0,75.0,7734.0,1434.0,,,2.0,"Web mining module for Python, with tools for scraping, natural language processing, machine learning, network analysis..",1288.0,1022.0,30.0,29,https://pypi.org/project/pattern,2018-08-18 15:11:17.000000,266.0,67501.0,67868.0,https://anaconda.org/conda-forge/pattern,2020-05-05 12:38:53.775000,5508.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
131,fuzzywuzzy,seatgeek/fuzzywuzzy,fuzzywuzzy,conda-forge/fuzzywuzzy,,nlp,,https://github.com/seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,GPL-2.0,2011-07-08 19:32:34.000000,2020-12-19 18:34:54.000000,2020-02-13 22:13:43.000000,792.0,84.0,95.0,7709.0,379.0,2020-02-13 22:14:12.000000,0.18.0,27.0,Fuzzy String Matching in Python.,10694.0,7488.0,67.0,29,https://pypi.org/project/fuzzywuzzy,2020-02-13 21:06:25.000000,3206.0,2665628.0,2670692.0,https://anaconda.org/conda-forge/fuzzywuzzy,2020-11-18 12:59:01.409000,273481.0,False,2,,,,,,,,,,,,,,,,,,,,,,,,
132,TextBlob,sloria/TextBlob,textblob,conda-forge/textblob,,nlp,,https://github.com/sloria/TextBlob,https://github.com/sloria/TextBlob,MIT,2013-06-30 18:29:18.000000,2020-12-25 13:19:46.000000,2020-12-25 13:18:24.000000,945.0,69.0,150.0,7469.0,535.0,2019-02-24 23:03:17.000000,0.15.3,55.0,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation,..",12078.0,9586.0,33.0,29,https://pypi.org/project/textblob,2019-02-24 23:03:17.000000,2492.0,266392.0,268426.0,https://anaconda.org/conda-forge/textblob,2019-02-24 23:32:55.233000,107761.0,True,2,88.0,,,,,,,,,,,,,,,,,,,,,,,
133,MoviePy,Zulko/moviepy,moviepy,conda-forge/moviepy,,image,,https://github.com/Zulko/moviepy,https://github.com/Zulko/moviepy,MIT,2013-08-12 09:39:28.000000,2020-12-22 11:53:27.000000,2020-11-25 17:36:42.000000,1021.0,337.0,629.0,7179.0,938.0,2020-05-07 16:29:35.000000,1.0.3,84.0,Video editing with Python.,6655.0,5525.0,132.0,29,https://pypi.org/project/moviepy,2020-10-05 00:26:29.000000,1130.0,137729.0,139413.0,https://anaconda.org/conda-forge/moviepy,2020-02-23 19:57:49.975000,70759.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
134,glfw,glfw/glfw,glfw,conda-forge/glfw,,image,,https://github.com/glfw/glfw,https://github.com/glfw/glfw,Zlib,2013-04-18 15:24:53.000000,2020-12-31 05:36:59.000000,2020-12-14 11:27:57.000000,2544.0,414.0,985.0,7077.0,4200.0,2020-10-04 13:37:52.000000,2.0.0,37.0,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input.",214.0,,164.0,29,https://pypi.org/project/glfw,2020-10-04 13:37:52.000000,214.0,14904.0,46535.0,https://anaconda.org/conda-forge/glfw,2020-03-20 11:09:31.058000,20919.0,False,2,2150572.0,,,,,,,,,,,,,,,,,,,,,,,
135,Albumentations,albumentations-team/albumentations,albumentations,conda-forge/albumentations,,image,['pytorch'],https://github.com/albumentations-team/albumentations,https://github.com/albumentations-team/albumentations,MIT,2018-06-06 03:10:50.000000,2020-12-30 16:36:53.000000,2020-12-30 16:36:51.000000,886.0,148.0,230.0,6936.0,614.0,2020-11-29 14:30:07.000000,0.5.2,44.0,Fast image augmentation library and easy to use wrapper around other libraries. Documentation:..,2461.0,2397.0,72.0,29,https://pypi.org/project/albumentations,2020-11-29 14:30:07.000000,64.0,63921.0,64633.0,https://anaconda.org/conda-forge/albumentations,2020-11-29 15:51:47.610000,13535.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
136,pandas-profiling,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,,data-viz,"['jupyter', 'pandas']",https://github.com/pandas-profiling/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,MIT,2016-01-09 23:47:55.000000,2020-12-28 16:33:59.000000,2020-12-27 20:07:34.000000,966.0,52.0,352.0,6512.0,726.0,2020-09-03 10:11:24.000000,2.9.0,24.0,Create HTML profiling reports from pandas DataFrame objects.,2915.0,2755.0,62.0,29,https://pypi.org/project/pandas-profiling,2020-09-03 10:11:24.000000,160.0,231792.0,233567.0,https://anaconda.org/conda-forge/pandas-profiling,2020-09-03 13:03:52.072000,94086.0,True,2,,,,,,,,,,,,,,,,,,,,,,,,
