,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id
221,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2022-07-05 15:22:18.000000,2022-07-05 15:19:24,3369.0,82.0,378,77.0,341.0,15.0,368.0,3475,Online machine learning in Python.,80.0,31,True,2022-06-06 21:34:22.000,0.11.1,8.0,river,conda-forge/river,,,10448.0,154.0,142.0,https://pypi.org/project/river,2022-06-06 21:29:21.000,12.0,9763.0,https://anaconda.org/conda-forge/river,2021-12-09 16:10:41.029,10278.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
222,nlpaug,makcedward/nlpaug,nlp,,https://github.com/makcedward/nlpaug,https://github.com/makcedward/nlpaug,MIT,2019-03-21 03:00:17.000,2022-07-07 14:36:25.115000,2022-07-07 05:16:43,738.0,16.0,383,38.0,120.0,40.0,149.0,3350,Data augmentation for NLP.,33.0,31,True,2022-07-07 05:24:14.000,1.1.11,37.0,nlpaug,conda-forge/nlpaug,,,72036.0,380.0,361.0,https://pypi.org/project/nlpaug,2022-07-07 05:23:07.000,19.0,71823.0,https://anaconda.org/conda-forge/nlpaug,2022-07-07 14:36:25.115,2771.0,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
223,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2022-06-21 21:18:30.000000,2022-03-11 14:08:21,3271.0,,703,188.0,732.0,259.0,665.0,3307,DyNet: The Dynamic Neural Network Toolkit.,159.0,31,True,2020-10-21 14:31:01.000,2.1.2,24.0,dyNET,,,6324.0,21372.0,243.0,215.0,https://pypi.org/project/dyNET,2020-10-21 14:31:01.000,28.0,21281.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
224,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2022-07-07 01:39:06.000000,2022-07-05 23:13:10,938.0,18.0,337,209.0,618.0,90.0,283.0,3280,Model interpretability and understanding for PyTorch.,86.0,31,True,2022-03-04 00:37:56.000,0.5.0,8.0,captum,conda-forge/captum,['pytorch'],,50443.0,614.0,595.0,https://pypi.org/project/captum,2022-03-03 23:07:53.000,19.0,50197.0,https://anaconda.org/conda-forge/captum,2022-03-04 22:07:02.170,1728.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
225,ivy,unifyai/ivy,ml-frameworks,,https://github.com/unifyai/ivy,https://github.com/unifyai/ivy,Apache-2.0,2021-01-19 08:37:25.000,2022-07-07 15:22:46.000000,2022-07-07 13:40:57,3829.0,1835.0,886,26.0,857.0,324.0,632.0,3133,The Unified Machine Learning Framework.,204.0,31,True,2022-06-01 09:22:21.000,1.1.10,20.0,ivy-core,,,,385.0,22.0,16.0,https://pypi.org/project/ivy-core,2022-06-01 09:22:21.000,6.0,385.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
226,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2022-07-07 12:33:21.000000,2022-07-07 12:33:20,1697.0,173.0,152,34.0,1358.0,179.0,445.0,2589,Aim easy-to-use and performant open-source ML experiment tracker.,40.0,31,True,2022-06-27 19:50:56.000,3.11.1,292.0,aim,conda-forge/aim,,,53338.0,95.0,90.0,https://pypi.org/project/aim,2022-07-07 00:13:43.000,5.0,52117.0,https://anaconda.org/conda-forge/aim,2021-10-15 14:36:27.336,14658.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
227,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2022-02-03 21:29:27.000000,2021-10-12 13:32:38,1570.0,,420,65.0,512.0,232.0,387.0,2358,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,31,True,2021-10-12 15:33:19.000,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,890325.0,3030.0,2856.0,https://pypi.org/project/scikit-optimize,2021-10-12 14:21:32.000,174.0,881033.0,https://anaconda.org/conda-forge/scikit-optimize,2021-12-15 05:01:56.230,557559.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
228,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2022-06-24 11:02:00.000000,2022-05-02 14:25:44,946.0,3.0,396,56.0,118.0,276.0,159.0,2191,A high performance implementation of HDBSCAN clustering.,78.0,31,True,2022-02-08 17:15:41.000,0.8.28.wheels,44.0,hdbscan,conda-forge/hdbscan,['sklearn'],,654516.0,1595.0,1445.0,https://pypi.org/project/hdbscan,2022-02-08 15:45:27.000,150.0,638795.0,https://anaconda.org/conda-forge/hdbscan,2022-02-11 21:21:32.499,1131934.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
229,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2022-07-07 14:16:39.000000,2022-07-07 08:22:07,2830.0,21.0,642,79.0,775.0,219.0,579.0,2086,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",108.0,31,True,2022-06-30 09:29:19.000,0.1.19,18.0,pgmpy,,,159.0,54938.0,389.0,378.0,https://pypi.org/project/pgmpy,2022-06-30 09:26:19.000,11.0,54932.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
230,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2022-07-05 14:11:50.000000,2022-07-05 14:11:40,762.0,56.0,154,37.0,288.0,69.0,130.0,2023,JAX-based neural network library.,62.0,31,True,2022-07-04 18:49:30.000,0.0.7,9.0,dm-haiku,conda-forge/dm-haiku,,,107434.0,531.0,489.0,https://pypi.org/project/dm-haiku,2022-07-04 18:49:30.000,42.0,107222.0,https://anaconda.org/conda-forge/dm-haiku,2022-07-04 19:09:56.818,3615.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
231,TextAttack,QData/TextAttack,adversarial,,https://github.com/QData/TextAttack,https://github.com/QData/TextAttack,MIT,2019-10-15 00:51:44.000,2022-07-06 02:22:51.000000,2022-07-01 13:45:32,2529.0,67.0,250,31.0,466.0,41.0,196.0,2007,"TextAttack is a Python framework for adversarial attacks, data augmentation, and model training in NLP..",53.0,31,True,2022-05-25 19:13:02.000,0.3.5,43.0,textattack,conda-forge/textattack,,,8352.0,93.0,86.0,https://pypi.org/project/textattack,2022-05-25 19:09:47.000,7.0,8206.0,https://anaconda.org/conda-forge/textattack,2021-06-29 21:16:15.345,3216.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
232,TFX,tensorflow/tfx,tensorflow-utils,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2022-07-07 08:14:38.000000,2022-07-07 08:14:33,4330.0,135.0,596,85.0,4234.0,240.0,543.0,1789,TFX is an end-to-end platform for deploying production ML pipelines.,141.0,31,True,2022-05-26 01:00:04.000,1.8.0,81.0,tfx,,['tensorflow'],,340039.0,12.0,,https://pypi.org/project/tfx,2022-05-26 01:00:04.000,12.0,340039.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
233,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2022-07-06 23:15:27.000000,2022-07-05 20:14:54,637.0,32.0,179,36.0,715.0,66.0,246.0,1788,PyTorch extensions for high performance and large scale training.,63.0,31,True,2022-03-09 19:12:03.000,0.4.6,28.0,fairscale,conda-forge/fairscale,['pytorch'],,212291.0,399.0,384.0,https://pypi.org/project/fairscale,2022-03-09 19:12:00.000,15.0,208412.0,https://anaconda.org/conda-forge/fairscale,2022-06-20 14:14:00.361,31032.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
234,ArcGIS API,Esri/arcgis-python-api,geospatial-data,,https://github.com/Esri/arcgis-python-api,https://github.com/Esri/arcgis-python-api,Apache-2.0,2016-03-16 01:09:14.000,2022-06-30 15:56:46.000000,2022-06-30 14:36:55,3548.0,74.0,907,141.0,847.0,54.0,417.0,1338,Documentation and samples for ArcGIS API for Python.,80.0,31,True,2022-06-01 17:24:30.000,2.0.1,33.0,arcgis,,,3949.0,73845.0,26.0,,https://pypi.org/project/arcgis,2022-06-02 11:54:17.000,26.0,73696.0,,,,3.0,,,,,,,,,esridocker/arcgis-api-python-notebook,https://hub.docker.com/r/esridocker/arcgis-api-python-notebook,2022-06-17 15:56:10.986929,34.0,7082.0,,,,,,,,,,,
235,emcee,dfm/emcee,probabilistics,,https://github.com/dfm/emcee,https://github.com/dfm/emcee,MIT,2011-11-07 16:17:08.000,2022-07-05 11:08:13.000000,2022-07-05 11:08:10,894.0,6.0,418,87.0,170.0,41.0,223.0,1228,The Python ensemble sampling toolkit for affine-invariant MCMC.,63.0,31,True,2022-05-10 15:29:37.000,3.1.2,19.0,emcee,conda-forge/emcee,,,105267.0,1719.0,1414.0,https://pypi.org/project/emcee,2022-05-10 15:29:37.000,305.0,102246.0,https://anaconda.org/conda-forge/emcee,2022-05-10 23:21:45.056,223579.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
236,Model Analysis,tensorflow/model-analysis,interpretability,,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis,Apache-2.0,2018-03-23 19:08:49.000,2022-07-01 08:38:26.000000,2022-07-01 05:49:05,1168.0,46.0,249,71.0,93.0,28.0,49.0,1161,Model analysis tools for TensorFlow.,44.0,31,True,2022-07-01 08:38:27.000,0.40.0,50.0,tensorflow-model-analysis,,"['tensorflow', 'jupyter']",,811800.0,21.0,,https://pypi.org/project/tensorflow-model-analysis,2022-05-16 03:38:20.000,21.0,811800.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
237,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2022-07-01 12:06:11.000000,2021-07-15 17:22:49,1466.0,,137,41.0,126.0,54.0,630.0,1097,A Python data analysis library that is optimized for humans instead of machines.,49.0,31,True,2021-07-15 16:32:29.000,1.6.3,26.0,agate,conda-forge/agate,,,1583151.0,1131.0,998.0,https://pypi.org/project/agate,2021-07-15 16:32:29.000,133.0,1581827.0,https://anaconda.org/conda-forge/agate,2021-07-16 07:46:42.405,86063.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
238,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2022-07-05 18:31:00.000000,2022-07-05 18:31:00,2623.0,20.0,322,58.0,989.0,328.0,783.0,1063,Cartopy - a cartographic python library with matplotlib support.,112.0,31,False,2022-06-29 03:06:31.000,0.20.3,26.0,cartopy,conda-forge/cartopy,,,159329.0,2818.0,2484.0,https://pypi.org/project/cartopy,2022-06-29 03:08:54.000,334.0,130446.0,https://anaconda.org/conda-forge/cartopy,2022-07-03 10:38:43.443,2195157.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
239,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2022-07-04 13:28:37.000000,2022-07-04 12:04:35,1914.0,34.0,219,33.0,137.0,39.0,367.0,983,Python interface for igraph.,60.0,31,False,2022-06-08 20:51:59.000,0.9.11,29.0,python-igraph,conda-forge/igraph,,427654.0,259993.0,1140.0,760.0,https://pypi.org/project/python-igraph,2022-06-08 20:51:59.000,380.0,249059.0,https://anaconda.org/conda-forge/igraph,2022-06-13 09:43:51.605,300479.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
240,metrics,Lightning-AI/metrics,distributed-ml,,https://github.com/Lightning-AI/metrics,https://github.com/Lightning-AI/metrics,Apache-2.0,2020-12-22 20:02:42.000,2022-07-07 14:22:30.000000,2022-07-04 23:01:44,849.0,115.0,196,25.0,608.0,69.0,330.0,947,"Machine learning metrics for distributed, scalable PyTorch applications.",143.0,31,True,2022-06-29 22:48:23.000,0.9.2,21.0,metrics,conda-forge/torchmetrics,['pytorch'],772.0,26803.0,3584.0,3570.0,https://pypi.org/project/metrics,2018-04-28 10:58:56.000,14.0,2275.0,https://anaconda.org/conda-forge/torchmetrics,2022-06-30 05:55:40.050,391694.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
241,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,BSD-3-Clause,2010-02-06 11:43:08.000,2022-07-06 22:26:40.000000,2022-07-06 22:26:40,12286.0,117.0,357,50.0,1764.0,147.0,663.0,527,"DIPY is the paragon 3D/4D+ imaging library in Python. Contains generic methods for spatial normalization, signal..",134.0,31,True,2021-05-06 04:40:48.000,1.4.1,24.0,dipy,conda-forge/dipy,,,16743.0,670.0,590.0,https://pypi.org/project/dipy,2022-03-11 20:19:02.000,80.0,12501.0,https://anaconda.org/conda-forge/dipy,2022-03-15 06:15:21.138,313976.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
242,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Apache-2.0,2020-12-22 10:20:28.000,2022-07-07 13:35:55.000000,2022-07-07 12:54:52,671.0,54.0,111,39.0,622.0,88.0,177.0,467,All the open source things related to the Hugging Face Hub.,68.0,31,True,2022-06-21 15:21:13.000,0.8.1,37.0,huggingface_hub,conda-forge/huggingface_hub,,,4406369.0,86.0,,https://pypi.org/project/huggingface_hub,2022-06-21 15:21:13.000,86.0,4394144.0,https://anaconda.org/conda-forge/huggingface_hub,2022-06-25 10:15:06.306,207839.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
243,baselines,openai/baselines,reinforcement-learning,,https://github.com/openai/baselines,https://github.com/openai/baselines,MIT,2017-05-24 01:58:13.000,2022-06-16 12:24:07.000000,2020-01-31 13:06:18,347.0,,4320,587.0,368.0,477.0,432.0,12756,OpenAI Baselines: high-quality implementations of reinforcement learning algorithms.,114.0,30,False,2018-02-26 17:07:07.000,0.1.5,6.0,baselines,,,,1219.0,438.0,399.0,https://pypi.org/project/baselines,2018-02-26 17:07:07.000,39.0,1219.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
244,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2022-07-03 17:01:28.000000,2021-05-08 20:05:36,292.0,,1925,281.0,71.0,261.0,429.0,7085,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,15.0,30,False,2021-01-05 01:26:01.000,2.1.6,10.0,imageai,conda-forge/imageai,,764707.0,24707.0,1143.0,1127.0,https://pypi.org/project/imageai,2021-01-05 01:26:01.000,16.0,9582.0,https://anaconda.org/conda-forge/imageai,2021-04-30 19:03:25.297,3158.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
245,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2022-07-04 20:02:23.000000,2022-07-04 09:26:14,3247.0,62.0,580,123.0,112.0,89.0,784.0,6622,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",72.0,30,True,2022-06-18 21:35:41.000,13.5.0,201.0,ocrmypdf,conda-forge/ocrmypdf,,,26206.0,13.0,,https://pypi.org/project/ocrmypdf,2022-07-04 02:37:37.000,13.0,25269.0,https://anaconda.org/conda-forge/ocrmypdf,2022-07-04 11:37:04.831,15935.0,2.0,,,,,,,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,
246,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2022-06-30 21:46:51.000000,2022-05-26 01:12:26,390.0,2.0,2032,283.0,104.0,234.0,281.0,6352,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",45.0,30,True,2017-12-05 14:05:14.000,3.8.1,52.0,SpeechRecognition,conda-forge/speechrecognition,,,328345.0,695.0,,https://pypi.org/project/SpeechRecognition,2017-12-05 13:58:29.000,695.0,326368.0,https://anaconda.org/conda-forge/speechrecognition,2021-12-13 09:59:53.408,140370.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
247,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2022-07-05 20:30:05.000000,2022-07-04 18:07:04,402.0,5.0,231,56.0,61.0,34.0,81.0,5296,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others).",17.0,30,True,2022-03-04 09:32:08.000,0.4.1,7.0,einops,conda-forge/einops,,,1299218.0,3488.0,3288.0,https://pypi.org/project/einops,2022-03-04 09:32:08.000,200.0,1298640.0,https://anaconda.org/conda-forge/einops,2022-03-04 10:57:10.315,19680.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
248,haystack,deepset-ai/haystack,nlp,,https://github.com/deepset-ai/haystack,https://github.com/deepset-ai/haystack,Apache-2.0,2019-11-14 09:05:28.000,2022-07-07 15:06:33.000000,2022-07-07 14:47:59,1359.0,182.0,792,81.0,1259.0,215.0,1196.0,4944,Haystack is an open source NLP framework that leverages pre-trained Transformer models. It enables developers to..,123.0,30,True,2022-07-06 09:00:13.000,1.6.0,35.0,haystack,,,13.0,914.0,85.0,,https://pypi.org/project/haystack,2021-12-15 14:01:39.322,85.0,914.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
249,sacred,IDSIA/sacred,ml-experiments,,https://github.com/IDSIA/sacred,https://github.com/IDSIA/sacred,MIT,2014-03-31 18:05:29.000,2022-06-27 12:23:34.000000,2022-06-27 07:15:21,1320.0,2.0,343,76.0,342.0,90.0,448.0,3850,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",98.0,30,True,2022-03-28 13:51:55.000,0.8.3,27.0,sacred,conda-forge/sacred,,,23423.0,1539.0,1437.0,https://pypi.org/project/sacred,2020-12-14 15:21:05.000,102.0,23328.0,https://anaconda.org/conda-forge/sacred,2021-11-14 09:49:23.948,763.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
250,yellowbrick,DistrictDataLabs/yellowbrick,interpretability,,https://github.com/DistrictDataLabs/yellowbrick,https://github.com/DistrictDataLabs/yellowbrick,Apache-2.0,2016-05-18 14:12:17.000,2022-07-04 00:56:02.000000,2022-06-29 23:36:41,883.0,12.0,516,103.0,599.0,90.0,580.0,3669,Visual analysis and diagnostic tools to facilitate machine learning model selection.,108.0,30,True,2022-02-19 22:49:03.000,1.4,23.0,yellowbrick,conda-forge/yellowbrick,['sklearn'],,578163.0,62.0,,https://pypi.org/project/yellowbrick,2022-02-19 22:41:36.000,62.0,576822.0,https://anaconda.org/conda-forge/yellowbrick,2022-03-24 21:56:05.074,30845.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
251,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-07-05 11:35:47.000000,2022-07-05 11:35:46,608.0,16.0,284,66.0,210.0,40.0,429.0,3508,Visualizer for pandas data structures.,26.0,30,True,2022-06-17 17:53:49.000,2.6.0,148.0,dtale,conda-forge/dtale,"['pandas', 'jupyter']",,76054.0,420.0,408.0,https://pypi.org/project/dtale,2022-06-17 17:45:42.000,12.0,71573.0,https://anaconda.org/conda-forge/dtale,2022-06-17 18:17:38.395,129958.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
252,nevergrad,facebookresearch/nevergrad,hyperopt,,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,MIT,2018-11-21 00:33:17.000,2022-07-04 19:48:28.000000,2022-07-04 19:45:42,1021.0,28.0,311,65.0,1238.0,108.0,156.0,3320,A Python toolbox for performing gradient-free optimization.,49.0,30,True,2022-03-08 18:42:46.000,0.5.0,36.0,nevergrad,conda-forge/nevergrad,,,47611.0,370.0,352.0,https://pypi.org/project/nevergrad,2022-03-08 18:42:46.000,18.0,46544.0,https://anaconda.org/conda-forge/nevergrad,2021-06-14 12:44:22.518,28810.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
253,bqplot,bqplot/bqplot,data-viz,,https://github.com/bqplot/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-07-05 20:45:41.000000,2022-07-05 20:37:15,3522.0,9.0,458,108.0,937.0,228.0,358.0,3315,Plotting library for IPython/Jupyter notebooks.,58.0,30,True,2022-02-11 15:29:07.544,0.5.34,100.0,bqplot,conda-forge/bqplot,['jupyter'],,128584.0,136.0,34.0,https://pypi.org/project/bqplot,2022-02-11 15:27:16.000,92.0,93202.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,991209.0,2.0,,,,bqplot,https://www.npmjs.com/package/bqplot,2022-02-11 15:29:07.544,10.0,21988.0,,,,,,,,,,,,,,,,
254,ftfy,rspeer/python-ftfy,nlp,,https://github.com/rspeer/python-ftfy,https://github.com/rspeer/python-ftfy,MIT,2012-08-24 16:14:59.000,2022-05-07 09:43:39.000000,2022-02-09 19:43:12,605.0,,112,73.0,63.0,12.0,118.0,3257,"Fixes mojibake and other glitches in Unicode text, after the fact.",18.0,30,True,2022-02-09 19:44:15.000,6.1.1,48.0,ftfy,conda-forge/ftfy,,,1861084.0,6637.0,6146.0,https://pypi.org/project/ftfy,2022-02-09 19:44:15.000,491.0,1858354.0,https://anaconda.org/conda-forge/ftfy,2022-03-13 19:47:23.479,172044.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
255,missingno,ResidentMario/missingno,data-viz,,https://github.com/ResidentMario/missingno,https://github.com/ResidentMario/missingno,MIT,2016-03-27 15:18:50.000,2022-02-27 20:46:03.000000,2022-02-27 20:46:03,186.0,,409,70.0,36.0,7.0,113.0,3222,Missing data visualization module for Python.,17.0,30,True,2022-02-27 20:39:36.000,0.5.1,25.0,missingno,conda-forge/missingno,,,1049204.0,7953.0,7836.0,https://pypi.org/project/missingno,2022-02-27 20:39:36.000,117.0,1046379.0,https://anaconda.org/conda-forge/missingno,2020-02-15 10:07:41.253,169533.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
256,ta,bukosabino/ta,financial-data,,https://github.com/bukosabino/ta,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48.000,2022-06-22 02:08:59.000000,2022-04-24 13:40:45,612.0,8.0,702,135.0,104.0,111.0,96.0,3099,Technical Analysis Library using Pandas and Numpy.,28.0,30,True,2022-04-16 10:24:20.000,0.10.1,53.0,ta,conda-forge/ta,,,78211.0,1312.0,1279.0,https://pypi.org/project/ta,2022-04-16 10:24:20.000,33.0,77952.0,https://anaconda.org/conda-forge/ta,2022-04-21 15:19:41.291,4404.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
257,implicit,benfred/implicit,recommender-systems,,https://github.com/benfred/implicit,https://github.com/benfred/implicit,MIT,2016-04-17 03:45:23.000,2022-06-25 05:00:07.000000,2022-06-22 23:16:59,388.0,11.0,533,82.0,179.0,75.0,335.0,2833,Fast Python Collaborative Filtering for Implicit Feedback Datasets.,31.0,30,True,2022-01-29 04:12:37.000,0.5.2,41.0,implicit,conda-forge/implicit,,,218594.0,654.0,623.0,https://pypi.org/project/implicit,2022-01-29 04:12:37.000,31.0,211749.0,https://anaconda.org/conda-forge/implicit,2022-01-29 16:35:56.077,369657.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
258,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2022-07-07 01:27:41.000000,2022-07-07 01:26:13,3189.0,203.0,541,48.0,798.0,145.0,801.0,2716,"Serve, optimize and scale PyTorch models in production.",119.0,30,True,2022-05-16 20:02:45.000,0.6.0,15.0,torchserve,pytorch/torchserve,['pytorch'],1814.0,54678.0,9.0,,https://pypi.org/project/torchserve,2022-05-13 21:12:28.000,9.0,22593.0,https://anaconda.org/pytorch/torchserve,2022-05-13 21:22:14.370,25475.0,2.0,,,,,,,,,pytorch/torchserve,https://hub.docker.com/r/pytorch/torchserve,2022-06-11 00:31:40.041478,12.0,1025490.0,,,,,,,,,,,
259,Neural Network Libraries,sony/nnabla,ml-frameworks,,https://github.com/sony/nnabla,https://github.com/sony/nnabla,Apache-2.0,2017-06-26 01:07:10.000,2022-07-05 07:01:49.000000,2022-07-05 07:01:46,3095.0,62.0,315,162.0,1011.0,33.0,47.0,2543,Neural Network Libraries.,67.0,30,True,2022-06-20 00:38:12.000,1.29.0,66.0,nnabla,,,535.0,4022.0,51.0,,https://pypi.org/project/nnabla,2022-06-19 12:00:18.000,51.0,4014.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
260,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2022-05-24 19:41:19.000000,2021-09-07 19:15:32,209.0,,297,64.0,55.0,14.0,94.0,2436,A Python Perceptual Image Hashing Module.,20.0,30,True,2021-07-15 12:35:01.000,4.2.1,18.0,ImageHash,conda-forge/imagehash,,,1357548.0,5716.0,5401.0,https://pypi.org/project/ImageHash,2021-07-15 12:35:01.000,315.0,1354796.0,https://anaconda.org/conda-forge/imagehash,2021-07-15 15:00:27.543,187195.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
261,GluonNLP,dmlc/gluon-nlp,nlp,,https://github.com/dmlc/gluon-nlp,https://github.com/dmlc/gluon-nlp,Apache-2.0,2018-04-04 20:57:13.000,2022-05-18 19:05:58.000000,2021-08-24 19:11:38,840.0,,519,103.0,1039.0,260.0,296.0,2421,"Toolkit that enables easy text preprocessing, datasets loading and neural models building to help you speed up your..",82.0,30,True,2020-08-13 19:17:42.000,0.10.0,26.0,gluonnlp,,['mxnet'],,84572.0,894.0,872.0,https://pypi.org/project/gluonnlp,2020-08-13 19:17:42.000,22.0,84572.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
