,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,new_addition,updated_github_id
205,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2022-02-09 16:13:58.000000,2022-02-09 16:13:58,992.0,40.0,316,66.0,458.0,181.0,293.0,1221,A Jupyter - Leaflet.js bridge.,74.0,32,True,2021-12-06 12:34:17.000,0.15.0,72.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],1550.0,1446.0,https://pypi.org/project/ipyleaflet,2021-12-06 12:34:17.000,102.0,56329.0,112393.0,https://anaconda.org/conda-forge/ipyleaflet,2021-12-09 18:45:12.043,789797.0,,,,,3.0,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-12-06 12:32:39.669,2.0,44618.0,,,,,,,,,,,,,,
206,TF Model Optimization,tensorflow/model-optimization,tensorflow-utils,,https://github.com/tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,Apache-2.0,2018-10-31 20:34:28.000,2022-02-10 09:04:28.000000,2022-02-10 09:04:18,720.0,37.0,268,125.0,661.0,154.0,149.0,1197,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning.",65.0,32,True,2022-02-09 08:07:26.000,0.7.1,25.0,tensorflow-model-optimization,,,,['tensorflow'],1513.0,1494.0,https://pypi.org/project/tensorflow-model-optimization,2022-02-09 06:42:12.000,19.0,181907.0,181907.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
207,Wand,emcconville/wand,image,,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000,2022-01-31 13:27:57.000000,2022-01-31 13:27:53,1744.0,7.0,192,29.0,190.0,16.0,348.0,1143,The ctypes-based simple ImageMagick binding for Python.,97.0,32,True,2021-08-17 02:43:04.000,0.6.7,50.0,wand,conda-forge/wand,,,,9717.0,9038.0,https://pypi.org/project/wand,2021-08-17 02:13:00.000,679.0,418146.0,418585.0,https://anaconda.org/conda-forge/wand,2020-11-30 13:27:29.373,8600.0,,,,,2.0,5974.0,,,,,,,,,,,,,,,,,,,,
208,PyVista,pyvista/pyvista,data-viz,,https://github.com/pyvista/pyvista,https://github.com/pyvista/pyvista,MIT,2017-05-31 18:01:42.000,2022-02-10 12:46:10.000000,2022-02-10 00:46:09,2526.0,147.0,207,29.0,1169.0,178.0,509.0,1111,3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK).,70.0,32,True,2022-01-11 06:33:57.000,0.33.2,54.0,pyvista,conda-forge/pyvista,,,['jupyter'],683.0,598.0,https://pypi.org/project/pyvista,2022-01-11 06:33:57.000,85.0,42401.0,46674.0,https://anaconda.org/conda-forge/pyvista,2022-01-11 14:06:19.759,140739.0,,,,,2.0,489.0,,,,,,,,,,,,,,,,,,,,
209,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2022-02-01 17:53:30.000000,2022-01-29 00:36:59,2590.0,48.0,302,57.0,969.0,303.0,763.0,993,Cartopy - a cartographic python library with matplotlib support.,107.0,32,False,2022-01-13 02:45:47.000,0.20.2,25.0,cartopy,conda-forge/cartopy,,,,2436.0,2133.0,https://pypi.org/project/cartopy,2022-01-13 02:48:14.000,303.0,136569.0,163836.0,https://anaconda.org/conda-forge/cartopy,2022-01-19 16:01:54.059,1935964.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
210,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000,2022-02-09 04:38:18.000000,2022-02-09 04:38:17,756.0,39.0,179,60.0,79.0,24.0,152.0,903,Input pipeline framework.,27.0,32,True,2022-01-21 18:33:56.000,1.6.0,45.0,tensorflow-transform,,,,['tensorflow'],746.0,691.0,https://pypi.org/project/tensorflow-transform,2022-01-21 18:33:56.000,55.0,8878713.0,8878713.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
211,zarr,zarr-developers/zarr-python,data-containers,,https://github.com/zarr-developers/zarr-python,https://github.com/zarr-developers/zarr-python,MIT,2015-12-15 14:49:40.000,2022-02-09 07:26:11.000000,2022-02-09 07:20:21,1548.0,58.0,141,42.0,475.0,210.0,281.0,842,"An implementation of chunked, compressed, N-dimensional arrays for Python.",55.0,32,True,2022-02-07 14:06:16.000,2.11.0,50.0,zarr,conda-forge/zarr,,,,1221.0,1030.0,https://pypi.org/project/zarr,2022-02-07 14:06:16.000,191.0,83190.0,100890.0,https://anaconda.org/conda-forge/zarr,2022-02-07 17:13:38.389,1221308.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
212,datalad,datalad/datalad,others,,https://github.com/datalad/datalad,https://github.com/datalad/datalad,MIT,2013-11-01 19:40:08.000,2022-02-10 14:15:29.000000,2022-02-10 06:36:08,15194.0,409.0,88,26.0,2995.0,467.0,2907.0,278,"Keep code, data, containers under control with git and git-annex.",46.0,32,False,2022-02-09 18:00:50.000,0.15.5,78.0,datalad,conda-forge/datalad,,,,48.0,,https://pypi.org/project/datalad,2022-02-09 18:00:50.000,48.0,5841.0,9830.0,https://anaconda.org/conda-forge/datalad,2022-01-10 19:42:09.272,187496.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
213,CNTK,microsoft/CNTK,ml-frameworks,,https://github.com/microsoft/CNTK,https://github.com/microsoft/CNTK,MIT,2015-11-26 09:52:06.000,2021-08-27 04:46:43.000000,2020-03-31 15:55:14,16116.0,,4402,1289.0,552.0,836.0,2527.0,17127,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit.",271.0,31,False,2019-04-26 14:13:32.000,2.7,32.0,cntk,,,,,18.0,,https://pypi.org/project/cntk,2020-12-09 22:21:57.000,18.0,1970.0,2160.0,,,,,,,,3.0,13933.0,,,,,,,,,,,,,,,,,,,,
214,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2021-11-29 19:55:31.000000,2021-11-29 19:55:31,1571.0,1.0,1111,360.0,1679.0,484.0,1284.0,10572,Turi Create simplifies the development of custom machine learning models.,85.0,31,True,2020-09-30 22:51:40.000,6.4.1,31.0,turicreate,,,,,307.0,288.0,https://pypi.org/project/turicreate,2020-09-30 22:51:40.000,19.0,28072.0,28171.0,,,,,,,,3.0,4984.0,,,,,,,,,,,,,,,,,,,,
215,pretrainedmodels,Cadene/pretrained-models.pytorch,pytorch-utils,,https://github.com/Cadene/pretrained-models.pytorch,https://github.com/Cadene/pretrained-models.pytorch,BSD-3-Clause,2017-04-09 15:54:23.000,2021-07-29 10:41:37.000000,2020-04-16 08:02:22,154.0,,1755,227.0,45.0,92.0,93.0,8396,"Pretrained ConvNets for pytorch: NASNet, ResNeXt, ResNet, InceptionV4, InceptionResnetV2, Xception, DPN, etc.",22.0,31,False,2018-10-29 08:18:45.000,0.7.4,16.0,pretrainedmodels,conda-forge/pretrainedmodels,,,['pytorch'],1472.0,1392.0,https://pypi.org/project/pretrainedmodels,2018-10-29 08:18:45.000,80.0,81450.0,81659.0,https://anaconda.org/conda-forge/pretrainedmodels,2021-04-30 19:04:30.054,4196.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
216,Qlib,microsoft/qlib,financial-data,,https://github.com/microsoft/qlib,https://github.com/microsoft/qlib,MIT,2020-08-14 06:46:00.000,2022-02-09 23:59:17.000000,2022-02-07 13:45:53,1677.0,130.0,1341,217.0,464.0,154.0,308.0,7967,"Qlib is an AI-oriented quantitative investment platform, which aims to realize the potential, empower the research,..",81.0,31,True,2022-01-19 18:07:01.000,0.8.3,24.0,pyqlib,,,,['pytorch'],11.0,11.0,https://pypi.org/project/pyqlib,2022-01-19 18:07:01.000,,4378.0,4393.0,,,,,,,,1.0,271.0,,,,,,,,,,,,,,,,,,,,
217,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23.000,2022-02-10 14:17:33.000000,2021-11-19 11:13:47,5439.0,4.0,2082,237.0,1119.0,504.0,3166.0,7242,Open-source simulator for autonomous driving research.,138.0,31,True,2021-11-17 08:28:27.000,0.9.13,24.0,carla,,,,,127.0,124.0,https://pypi.org/project/carla,2021-11-17 08:28:27.000,3.0,2483.0,2483.0,,,,,,,,2.0,,,,,,,,,-2.0,,,,,,,,,,,,
218,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,MIT,2020-01-23 18:35:18.000,2022-02-10 06:07:41.000000,2022-02-10 06:06:02,864.0,98.0,677,123.0,930.0,372.0,394.0,6271,"DeepSpeed is a deep learning optimization library that makes distributed training easy, efficient, and effective.",89.0,31,True,2022-01-19 00:37:05.000,0.5.10,41.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],173.0,164.0,https://pypi.org/project/deepspeed,2022-01-19 00:36:25.000,9.0,72354.0,72884.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2021-05-05 21:39:11.981563,3.0,13255.0,2.0,,,,,,,,,,,,,,,,,,,,,
219,tsfresh,blue-yonder/tsfresh,time-series-data,,https://github.com/blue-yonder/tsfresh,https://github.com/blue-yonder/tsfresh,MIT,2016-10-26 11:29:17.000,2021-12-21 18:56:28.651000,2021-12-21 03:31:43,507.0,18.0,956,152.0,403.0,41.0,438.0,6167,Automatic extraction of relevant features from time series:.,82.0,31,True,2021-12-21 03:37:03.000,0.19.0,27.0,tsfresh,conda-forge/tsfresh,,,['sklearn'],55.0,,https://pypi.org/project/tsfresh,2021-12-21 03:37:03.000,55.0,396261.0,398103.0,https://anaconda.org/conda-forge/tsfresh,2021-12-21 18:56:28.651,93984.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
220,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2022-02-09 15:55:46.000000,2022-02-09 15:55:46,376.0,3.0,1995,283.0,97.0,234.0,279.0,6076,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",42.0,31,True,2017-12-05 14:05:14.000,3.8.1,52.0,SpeechRecognition,conda-forge/speechrecognition,,,,674.0,,https://pypi.org/project/SpeechRecognition,2017-12-05 13:58:29.000,674.0,273281.0,275287.0,https://anaconda.org/conda-forge/speechrecognition,2021-12-13 09:59:53.408,132444.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
221,faust,robinhood/faust,data-pipelines,,https://github.com/robinhood/faust,https://github.com/robinhood/faust,BSD-3-Clause,2017-03-08 18:36:11.000,2022-01-29 00:41:00.000000,2020-10-09 12:59:42,4137.0,,503,136.0,284.0,249.0,236.0,5991,Python Stream Processing.,93.0,31,False,2020-02-25 22:57:18.000,1.10.4,46.0,faust,,,,,968.0,939.0,https://pypi.org/project/faust,2020-02-25 22:57:18.000,29.0,100206.0,100206.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
222,TinyDB,msiemens/tinydb,data-containers,,https://github.com/msiemens/tinydb,https://github.com/msiemens/tinydb,MIT,2013-07-12 23:31:13.000,2022-02-05 15:33:36.000000,2022-01-18 17:25:01,652.0,18.0,422,105.0,137.0,8.0,271.0,4842,TinyDB is a lightweight document oriented database optimized for your happiness :).,73.0,31,True,2022-01-18 17:10:30.000,4.6.1,65.0,tinydb,conda-forge/tinydb,,,,788.0,,https://pypi.org/project/tinydb,2022-01-18 17:10:26.000,788.0,316413.0,318727.0,https://anaconda.org/conda-forge/tinydb,2022-01-18 22:12:29.785,157391.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
223,polars,pola-rs/polars,data-containers,,https://github.com/pola-rs/polars,https://github.com/pola-rs/polars,MIT,2020-05-13 19:45:33.000,2022-02-10 14:27:08.000000,2022-02-10 10:04:53,3131.0,654.0,247,62.0,1583.0,86.0,879.0,4541,Fast multi-threaded DataFrame library in Rust | Python | Node.js.,69.0,31,True,2022-02-09 16:56:41.000,0.12.23,140.0,polars,,,,,13.0,2.0,https://pypi.org/project/polars,2022-02-09 16:56:41.000,11.0,33153.0,33153.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
224,einops,arogozhnikov/einops,ml-frameworks,,https://github.com/arogozhnikov/einops,https://github.com/arogozhnikov/einops,MIT,2018-09-22 00:45:08.000,2022-02-03 07:45:45.000000,2022-02-03 07:45:42,387.0,12.0,182,56.0,54.0,34.0,67.0,4407,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others).",14.0,31,True,2022-01-18 07:38:25.000,0.4.0,6.0,einops,conda-forge/einops,,,,2088.0,1895.0,https://pypi.org/project/einops,2022-01-18 07:38:25.000,193.0,695240.0,695596.0,https://anaconda.org/conda-forge/einops,2022-01-18 22:31:33.149,10326.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
225,VisualDL,PaddlePaddle/VisualDL,ml-experiments,,https://github.com/PaddlePaddle/VisualDL,https://github.com/PaddlePaddle/VisualDL,Apache-2.0,2017-12-20 12:34:31.000,2022-01-27 16:18:22.000000,2021-12-30 09:58:24,860.0,3.0,577,151.0,653.0,61.0,332.0,4273,Deep Learning Visualization Toolkit.,31.0,31,True,2021-11-09 12:29:34.000,2.2.2,35.0,visualdl,,,,['paddle'],979.0,956.0,https://pypi.org/project/visualdl,2022-01-06 11:05:02.000,23.0,53596.0,53604.0,,,,,,,,2.0,164.0,,,,,,,,,,,,,,,,,,,,
226,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,BSD-3-Clause,2014-12-17 18:16:59.000,2022-02-10 04:37:00.000000,2022-01-30 02:20:36,27367.0,83.0,1384,187.0,1750.0,103.0,1350.0,3909,mlpack: a scalable C++ machine learning library --.,283.0,31,True,2020-10-28 18:28:47.000,3.4.2,40.0,mlpack,conda-forge/mlpack,,,,1.0,,https://pypi.org/project/mlpack,2020-10-28 18:28:47.000,1.0,254.0,2513.0,https://anaconda.org/conda-forge/mlpack,2021-11-09 18:05:21.719,97168.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
227,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2022-02-06 07:17:56.000000,2022-02-01 06:32:29,2225.0,184.0,816,53.0,887.0,435.0,441.0,3653,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",74.0,31,True,2022-01-20 03:15:31.000,2.4.0,14.0,paddleseg,,,,['paddle'],490.0,488.0,https://pypi.org/project/paddleseg,2022-01-20 03:15:31.000,2.0,1249.0,1249.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
228,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2022-01-13 00:41:55.000000,2021-01-27 15:43:03,3267.0,,703,190.0,728.0,259.0,659.0,3278,DyNet: The Dynamic Neural Network Toolkit.,156.0,31,False,2020-10-21 14:31:01.000,2.1.2,24.0,dyNET,,,,,229.0,201.0,https://pypi.org/project/dyNET,2020-10-21 14:31:01.000,28.0,19041.0,19112.0,,,,,,,,3.0,4568.0,,,,,,,,,,,,,,,,,,,,
229,ftfy,rspeer/python-ftfy,nlp,,https://github.com/rspeer/python-ftfy,https://github.com/rspeer/python-ftfy,MIT,2012-08-24 16:14:59.000,2022-02-09 19:54:44.000000,2022-02-09 19:43:12,605.0,15.0,111,73.0,62.0,10.0,116.0,3193,"Fixes mojibake and other glitches in Unicode text, after the fact.",18.0,31,True,2022-02-09 19:44:15.000,6.1.1,48.0,ftfy,conda-forge/ftfy,,,,5329.0,4841.0,https://pypi.org/project/ftfy,2022-02-09 19:44:15.000,488.0,1538291.0,1540690.0,https://anaconda.org/conda-forge/ftfy,2021-05-25 06:35:21.702,139193.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
230,deepface,serengil/deepface,image,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28.000,2022-02-02 18:43:43.000000,2022-02-02 18:43:43,724.0,84.0,712,66.0,29.0,3.0,393.0,3170,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",21.0,31,True,2022-01-12 10:39:32.000,0.0.72,71.0,deepface,,,,,409.0,406.0,https://pypi.org/project/deepface,2022-01-12 10:39:32.000,3.0,36815.0,36815.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
231,Koalas,databricks/koalas,data-containers,,https://github.com/databricks/koalas,https://github.com/databricks/koalas,Apache-2.0,2019-01-03 21:46:54.000,2021-10-26 06:53:37.000000,2021-10-21 22:12:35,1547.0,,324,223.0,1629.0,94.0,483.0,3079,Koalas: pandas API on Apache Spark.,51.0,31,True,2021-10-19 22:26:46.000,1.8.2,47.0,koalas,conda-forge/koalas,,,"['spark', 'pandas']",176.0,169.0,https://pypi.org/project/koalas,2021-10-19 22:26:05.000,7.0,2187875.0,2191305.0,https://anaconda.org/conda-forge/koalas,2021-10-20 00:43:43.868,112297.0,,,,,2.0,998.0,,,,,,,,,,,,,,,,,,,,
232,Blaze,blaze/blaze,data-containers,,https://github.com/blaze/blaze,https://github.com/blaze/blaze,BSD-3-Clause,2012-10-26 14:25:22.000,2020-02-01 19:33:09.000000,2019-08-15 21:14:59,7496.0,,381,200.0,942.0,263.0,500.0,3025,NumPy and Pandas interface to Big Data.,64.0,31,False,2016-07-19 20:40:03.000,0.11.0,14.0,blaze,conda-forge/blaze,,,,8863.0,8045.0,https://pypi.org/project/blaze,2016-05-06 21:19:21.000,818.0,14462.0,18085.0,https://anaconda.org/conda-forge/blaze,2018-07-15 22:16:17.685,195667.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
233,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2022-02-03 23:30:57.000000,2022-01-27 17:25:55,888.0,18.0,303,195.0,543.0,78.0,256.0,2924,Model interpretability and understanding for PyTorch.,78.0,31,True,2021-11-02 21:47:58.000,0.4.1,7.0,captum,conda-forge/captum,,,['pytorch'],410.0,393.0,https://pypi.org/project/captum,2021-11-02 02:41:19.000,17.0,32599.0,32688.0,https://anaconda.org/conda-forge/captum,2022-01-27 08:29:58.970,178.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
234,Catalyst,catalyst-team/catalyst,ml-experiments,,https://github.com/catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,Apache-2.0,2018-08-20 07:56:13.000,2022-02-09 10:59:14.000000,2022-02-07 05:53:36,1689.0,47.0,352,47.0,1065.0,5.0,328.0,2832,Accelerated deep learning R&D.,102.0,31,True,2021-12-28 04:11:48.000,21.12,105.0,catalyst,,,,['pytorch'],503.0,474.0,https://pypi.org/project/catalyst,2022-02-07 06:10:51.000,29.0,11483.0,11483.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
235,ta,bukosabino/ta,financial-data,,https://github.com/bukosabino/ta,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48.000,2022-01-27 15:32:04.000000,2022-01-27 15:31:59,603.0,20.0,654,127.0,96.0,109.0,94.0,2786,Technical Analysis Library using Pandas and Numpy.,26.0,31,True,2022-01-09 21:07:25.000,0.9.0,52.0,ta,conda-forge/ta,,,,1007.0,980.0,https://pypi.org/project/ta,2022-01-09 21:07:25.000,27.0,88543.0,88726.0,https://anaconda.org/conda-forge/ta,2022-01-12 11:50:54.974,2204.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
236,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2022-02-05 03:43:55.000000,2022-01-21 19:53:08,911.0,4.0,389,100.0,540.0,318.0,548.0,2545,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",119.0,31,True,2021-11-09 18:32:21.000,5.1.0,35.0,coremltools,conda-forge/coremltools,,,,901.0,757.0,https://pypi.org/project/coremltools,2021-11-09 18:32:21.000,144.0,94547.0,96298.0,https://anaconda.org/conda-forge/coremltools,2021-10-15 05:58:32.248,26805.0,,,,,1.0,4032.0,,,,,,,,,,,,,,,,,,,,
237,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2022-02-10 14:13:53.000000,2022-02-09 16:25:14,1319.0,216.0,122,32.0,963.0,110.0,219.0,2132,Aim an easy-to-use and performant open-source experiment tracker.,27.0,31,True,2022-02-10 09:31:35.000,3.5.1,119.0,aim,conda-forge/aim,,,,54.0,52.0,https://pypi.org/project/aim,2022-02-04 18:23:58.000,2.0,11582.0,12601.0,https://anaconda.org/conda-forge/aim,2021-10-15 14:36:27.336,7134.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
238,filterpy,rlabbe/filterpy,probabilistics,,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000,2021-12-27 15:31:49.000000,2021-05-04 18:33:52,542.0,,481,73.0,68.0,47.0,154.0,2110,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",36.0,31,True,2018-10-10 22:38:24.000,1.4.5,49.0,filterpy,conda-forge/filterpy,,,,1332.0,1206.0,https://pypi.org/project/filterpy,2018-10-10 22:38:24.000,126.0,650835.0,652117.0,https://anaconda.org/conda-forge/filterpy,2020-05-05 21:13:59.073,71810.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
239,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2022-02-10 13:34:49.848000,2022-02-08 17:00:29,939.0,16.0,396,57.0,113.0,269.0,154.0,2084,A high performance implementation of HDBSCAN clustering.,76.0,31,True,2022-02-08 17:15:41.000,0.8.28.wheels,44.0,hdbscan,conda-forge/hdbscan,,,['sklearn'],1339.0,1189.0,https://pypi.org/project/hdbscan,2022-02-08 15:45:27.000,150.0,359817.0,374839.0,https://anaconda.org/conda-forge/hdbscan,2022-02-10 13:34:49.848,1006517.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
240,textacy,chartbeat-labs/textacy,nlp,,https://github.com/chartbeat-labs/textacy,https://github.com/chartbeat-labs/textacy,Apache-2.0,2016-02-03 16:52:45.000,2022-02-06 16:50:51.205000,2021-12-06 14:45:21,1714.0,101.0,232,91.0,108.0,27.0,220.0,1876,"NLP, before and after spaCy.",31.0,31,True,2021-12-06 15:00:07.000,0.12.0,31.0,textacy,conda-forge/textacy,,,,100.0,,https://pypi.org/project/textacy,2021-12-06 15:00:07.000,100.0,45452.0,47253.0,https://anaconda.org/conda-forge/textacy,2022-02-06 16:50:51.205,102670.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
241,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,https://github.com/scikit-learn-contrib/category_encoders,https://github.com/scikit-learn-contrib/category_encoders,BSD-3-Clause,2015-11-29 19:32:37.000,2022-02-06 22:32:31.000000,2021-11-16 22:47:58,740.0,1.0,338,39.0,105.0,78.0,162.0,1821,A library of sklearn compatible categorical variable encoders.,48.0,31,True,2021-10-13 15:40:27.000,2.3.0-rerelease,19.0,category_encoders,conda-forge/category_encoders,,,['sklearn'],3024.0,3001.0,https://pypi.org/project/category_encoders,2018-10-14 14:15:54.000,23.0,1178204.0,1180316.0,https://anaconda.org/conda-forge/category_encoders,2021-10-13 18:33:34.503,141512.0,,,,,2.0,,,,,,,,,-2.0,,,,,,,,,,,,
242,Pillow-SIMD,uploadcare/pillow-simd,image,,https://github.com/uploadcare/pillow-simd,https://github.com/uploadcare/pillow-simd,PIL,2014-11-12 15:33:02.000,2022-02-10 12:15:14.000000,2022-01-17 10:12:52,12562.0,271.0,77,40.0,41.0,9.0,63.0,1737,The friendly PIL fork.,384.0,31,False,2022-01-02 09:51:23.000,9.0.0,47.0,pillow-simd,,,,,49.0,,https://pypi.org/project/pillow-simd,2022-01-04 16:11:51.000,49.0,53753.0,53753.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
243,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2022-02-10 14:28:43.000000,2022-02-01 11:14:03,3500.0,33.0,166,53.0,1227.0,113.0,632.0,1683,Ahead of Time compiler for numeric kernels.,64.0,31,True,2021-12-14 08:16:44.000,0.11.0,52.0,pythran,conda-forge/pythran,,,,118.0,104.0,https://pypi.org/project/pythran,2021-12-14 08:16:44.000,14.0,348902.0,353716.0,https://anaconda.org/conda-forge/pythran,2021-12-14 10:56:04.258,216647.0,,,,,2.0,,,,,,,,,,,,,,,,,,pythran,python-pythran,,
244,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,BSD-2-Clause,2010-07-09 20:41:11.000,2022-01-09 18:22:30.772000,2022-01-07 20:13:06,422.0,14.0,148,42.0,51.0,9.0,99.0,1610,a python library for doing approximate and phonetic matching of strings.,25.0,31,True,2022-01-07 20:20:43.000,0.9.0,32.0,jellyfish,conda-forge/jellyfish,,,,3629.0,3231.0,https://pypi.org/project/jellyfish,2022-01-07 20:20:43.000,398.0,1849697.0,1852322.0,https://anaconda.org/conda-forge/jellyfish,2022-01-09 18:22:30.772,170651.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
245,GPflow,GPflow/GPflow,probabilistics,,https://github.com/GPflow/GPflow,https://github.com/GPflow/GPflow,Apache-2.0,2016-01-14 11:29:24.000,2022-02-10 09:35:41.000000,2022-02-10 09:33:16,2272.0,24.0,415,77.0,1037.0,125.0,624.0,1586,Gaussian processes in TensorFlow.,76.0,31,True,2022-01-20 11:46:07.000,2.3.1,33.0,gpflow,conda-forge/gpflow,,,['tensorflow'],352.0,324.0,https://pypi.org/project/gpflow,2022-01-20 11:46:07.000,28.0,8517.0,8740.0,https://anaconda.org/conda-forge/gpflow,2022-02-06 12:16:39.296,10065.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
