,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,dnf_id,yay_id
110,DeepSpeech,mozilla/DeepSpeech,audio,,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech,MPL-2.0,2016-06-02 15:04:53.000,2022-05-20 12:57:12.000000,2021-11-17 17:52:52,3466,,3477,654.0,1658.0,119.0,1957.0,19762,"DeepSpeech is an open source embedded (offline, on-device) speech-to-text engine which can run in real time on devices..",162.0,34,True,2020-12-10 17:22:09.000,0.9.3,100.0,deepspeech,conda-forge/deepspeech,,,['tensorflow'],804.0,767.0,https://pypi.org/project/deepspeech,2020-12-19 10:05:12.000,37.0,7868.0,26909.0,https://anaconda.org/conda-forge/deepspeech,2021-07-29 19:26:04.079,602.0,,,,,1.0,854431.0,,,,,,,,,,,,,,,,,,
111,Netron,lutzroeder/netron,interpretability,,https://github.com/lutzroeder/netron,https://github.com/lutzroeder/netron,MIT,2010-12-26 12:53:43.000,2022-06-19 16:27:33.000000,2022-06-19 16:24:29,5627,301.0,2160,266.0,117.0,18.0,788.0,19062,"Visualizer for neural network, deep learning, and machine learning models.",2.0,34,True,2022-06-19 16:25:54.000,5.8.8,470.0,netron,,,,"['pytorch', 'tensorflow']",74.0,7.0,https://pypi.org/project/netron,2022-06-19 16:27:30.000,67.0,14750.0,66857.0,,,,,,,,1.0,52107.0,,,,,,,,,,,,,,,,,,
112,Faiss,facebookresearch/faiss,nn-search,,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,MIT,2017-02-07 16:07:05.000,2022-06-16 16:29:39.000000,2022-06-16 16:20:19,625,19.0,2590,444.0,499.0,182.0,1632.0,17189,A library for efficient similarity search and clustering of dense vectors.,98.0,34,True,2022-04-02 07:36:26.000,2.0.2,61.0,pymilvus,conda-forge/faiss,,,,673.0,657.0,https://pypi.org/project/pymilvus,2022-04-02 07:36:26.000,16.0,22588.0,37132.0,https://anaconda.org/conda-forge/faiss,2022-02-09 02:10:28.516,363608.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
113,Prophet,facebook/prophet,time-series-data,,https://github.com/facebook/prophet,https://github.com/facebook/prophet,MIT,2016-11-16 01:50:08.000,2022-06-05 11:34:33.000000,2022-05-25 11:39:10,722,16.0,4192,415.0,359.0,222.0,1601.0,14566,Tool for producing high quality forecasts for time series data that has multiple seasonality with linear or non-linear..,151.0,34,True,2021-04-02 23:45:16.000,1.0,14.0,fbprophet,conda-forge/prophet,,,,126.0,,https://pypi.org/project/fbprophet,2020-09-05 16:12:50.000,126.0,1492945.0,1496738.0,https://anaconda.org/conda-forge/prophet,2021-08-23 03:00:23.164,52970.0,,,,,1.0,647.0,,,,,,,,,,,,,,,,,,
114,Recommenders,microsoft/recommenders,recommender-systems,,https://github.com/microsoft/recommenders,https://github.com/microsoft/recommenders,MIT,2018-09-19 10:06:07.000,2022-06-19 11:19:11.000000,2022-06-06 16:38:53,7854,179.0,2334,262.0,1058.0,133.0,562.0,13406,Best Practices on Recommendation Systems.,116.0,34,True,2022-04-01 09:25:04.000,1.1.0,11.0,recommenders,,,,,32.0,30.0,https://pypi.org/project/recommenders,2022-04-01 08:49:49.000,2.0,109183.0,109187.0,,,,,,,,1.0,180.0,,,,,,,,,,,,,,,,,,
115,pyecharts,pyecharts/pyecharts,data-viz,,https://github.com/pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,MIT,2017-06-22 02:50:25.000,2022-06-16 07:24:44.000000,2022-04-25 06:07:07,1523,1.0,2663,381.0,437.0,19.0,1571.0,12446,Python Echarts Plotting Library.,30.0,34,True,2021-11-16 06:27:35.000,1.9.1,67.0,pyecharts,,,https://github.com/pyecharts/pyecharts/blob/master/README.en.md,['jupyter'],2534.0,2315.0,https://pypi.org/project/pyecharts,2021-11-16 06:27:35.000,219.0,93090.0,93090.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
116,tensor2tensor,tensorflow/tensor2tensor,tensorflow-utils,,https://github.com/tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,Apache-2.0,2017-06-15 16:57:39.000,2022-05-26 10:21:13.000000,2022-04-15 18:02:23,4371,7.0,3016,453.0,666.0,565.0,669.0,12378,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,239.0,34,True,2020-06-17 16:15:36.000,1.15.7,79.0,tensor2tensor,,,,['tensorflow'],1298.0,1205.0,https://pypi.org/project/tensor2tensor,2020-06-17 16:15:36.000,93.0,11980.0,11980.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
117,InsightFace,deepinsight/insightface,image,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,MIT,2017-09-01 00:36:51.000,2022-06-10 01:31:19.000000,2022-06-10 01:31:19,2062,70.0,3801,457.0,119.0,1050.0,865.0,12051,State-of-the-art 2D and 3D Face Analysis Project.,46.0,34,True,2022-01-29 17:29:00.000,0.6.2,24.0,insightface,,,,['mxnet'],174.0,169.0,https://pypi.org/project/insightface,2022-01-29 17:29:00.000,5.0,19830.0,19830.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
118,AutoKeras,keras-team/autokeras,hyperopt,,https://github.com/keras-team/autokeras,https://github.com/keras-team/autokeras,Apache-2.0,2017-11-19 23:18:20.000,2022-06-18 09:38:09.000000,2022-05-16 23:49:49,1315,18.0,1371,307.0,815.0,86.0,739.0,8538,AutoML library for deep learning.,136.0,34,True,2022-04-30 05:35:07.000,1.0.19,56.0,autokeras,,,,['tensorflow'],347.0,337.0,https://pypi.org/project/autokeras,2022-04-30 05:46:13.000,10.0,31091.0,31183.0,,,,,,,,1.0,5097.0,,,,,,,,,,,,,,,,,,
119,TextBlob,sloria/TextBlob,nlp,,https://github.com/sloria/TextBlob,https://github.com/sloria/TextBlob,MIT,2013-06-30 18:29:18.000,2021-12-15 14:34:36.304000,2021-10-22 03:17:05,562,,1057,270.0,155.0,101.0,155.0,8194,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation,..",35.0,34,True,2021-10-22 03:18:24.000,0.17.1,59.0,textblob,conda-forge/textblob,,,,22209.0,20841.0,https://pypi.org/project/textblob,2021-12-15 14:34:36.304,1368.0,922262.0,924608.0,https://anaconda.org/conda-forge/textblob,2019-02-24 23:32:55.233,164222.0,,,,,2.0,99.0,,,,,,,,,,,,,,,,,,
120,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2022-06-08 14:21:58.000000,2022-06-08 14:21:58,491,7.0,866,85.0,236.0,71.0,368.0,7358,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",72.0,34,True,2022-06-05 11:53:54.000,2.5.1,18.0,tensorboardX,conda-forge/tensorboardx,,,,20899.0,20011.0,https://pypi.org/project/tensorboardX,2022-06-05 11:53:54.000,888.0,2912053.0,2925487.0,https://anaconda.org/conda-forge/tensorboardx,2022-06-07 21:45:23.917,711787.0,,,,,2.0,349.0,,,,,,,,,,,,,,,,,,
121,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2022-06-18 04:32:30.000000,2022-05-16 18:51:43,771,4.0,1183,148.0,414.0,49.0,459.0,5928,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,63.0,34,True,2022-05-16 18:50:00.000,0.9.1,30.0,imbalanced-learn,conda-forge/imbalanced-learn,,,['sklearn'],11516.0,11255.0,https://pypi.org/project/imbalanced-learn,2022-05-16 18:50:00.000,261.0,2860555.0,2864575.0,https://anaconda.org/conda-forge/imbalanced-learn,2022-05-16 19:16:17.050,225142.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
122,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2022-06-15 10:28:52.000000,2022-06-15 10:28:52,1381,5.0,815,218.0,209.0,164.0,225.0,5844,Efficiently computes derivatives of numpy code.,52.0,34,True,2017-08-24 17:00:41.000,1.1.13,25.0,autograd,conda-forge/autograd,,,,3830.0,3555.0,https://pypi.org/project/autograd,2022-04-08 08:55:43.000,275.0,1245636.0,1248727.0,https://anaconda.org/conda-forge/autograd,2019-07-25 18:29:55.493,216436.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
123,UMAP,lmcinnes/umap,data-viz,,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17.000,2022-06-17 13:23:38.000000,2022-05-06 14:19:59,1581,9.0,639,125.0,214.0,333.0,293.0,5635,Uniform Manifold Approximation and Projection.,100.0,34,True,2022-04-13 21:20:36.000,0.5.3,37.0,umap-learn,conda-forge/umap-learn,,,,5846.0,5528.0,https://pypi.org/project/umap-learn,2022-04-13 21:20:36.000,318.0,758551.0,781094.0,https://anaconda.org/conda-forge/umap-learn,2022-04-14 03:58:56.571,1127166.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
124,DeepChem,deepchem/deepchem,others,,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,MIT,2015-09-24 23:20:28.000,2022-06-19 17:27:04.000000,2022-06-17 16:04:32,7648,79.0,1277,152.0,1538.0,451.0,1004.0,3679,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",195.0,34,True,2022-01-18 21:35:03.000,2.6.1,421.0,deepchem,conda-forge/deepchem,,,['tensorflow'],110.0,104.0,https://pypi.org/project/deepchem,2022-06-17 19:56:39.000,6.0,9788.0,10170.0,https://anaconda.org/conda-forge/deepchem,2022-01-19 16:40:21.191,10723.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
125,geopy,geopy/geopy,geospatial-data,,https://github.com/geopy/geopy,https://github.com/geopy/geopy,MIT,2010-03-04 22:05:28.000,2022-05-16 15:31:14.000000,2022-05-16 15:30:19,1081,9.0,570,98.0,252.0,27.0,228.0,3663,Geocoding library for Python.,127.0,34,True,2021-07-11 12:18:10.000,2.2.0,58.0,geopy,conda-forge/geopy,,,,43001.0,39122.0,https://pypi.org/project/geopy,2021-07-11 12:15:26.000,3879.0,4091525.0,4101190.0,https://anaconda.org/conda-forge/geopy,2021-07-12 18:34:05.605,724899.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
126,torchtext,pytorch/text,nlp,,https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000,2022-06-19 11:34:08.000000,2022-06-17 21:25:43,1110,79.0,718,257.0,1134.0,324.0,400.0,3035,Data loaders and abstractions for text and NLP.,131.0,34,True,2022-03-10 18:31:55.000,0.12.0,20.0,torchtext,,,,['pytorch'],441.0,,https://pypi.org/project/torchtext,2022-03-10 16:48:11.000,441.0,131544.0,131544.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
127,VisPy,vispy/vispy,data-viz,,https://github.com/vispy/vispy,https://github.com/vispy/vispy,BSD-3-Clause,2013-03-21 18:43:22.000,2022-06-12 20:42:22.000000,2022-06-05 20:08:59,6937,15.0,587,124.0,1038.0,280.0,1043.0,2886,High-performance interactive 2D/3D data visualization library.,174.0,34,True,2022-04-18 18:40:13.000,0.10.0,30.0,vispy,conda-forge/vispy,,,['jupyter'],865.0,769.0,https://pypi.org/project/vispy,2022-04-18 19:26:41.000,96.0,65017.0,69339.0,https://anaconda.org/conda-forge/vispy,2022-04-18 23:44:31.256,240911.0,,,,,2.0,,,vispy,https://www.npmjs.com/package/vispy,2020-03-15 14:39:41.516,,21.0,,,,,,,,,,,,
128,opencv-python,opencv/opencv-python,image,,https://github.com/opencv/opencv-python,https://github.com/opencv/opencv-python,MIT,2016-04-08 13:36:40.000,2022-06-10 06:21:25.000000,2022-06-10 05:42:56,857,30.0,558,79.0,127.0,42.0,510.0,2811,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-..",38.0,34,True,2022-06-07 10:10:16.000,66,65.0,opencv-python,,,,,9264.0,,https://pypi.org/project/opencv-python,2022-06-08 08:04:54.000,9264.0,5320631.0,5320631.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
129,torchaudio,pytorch/audio,audio,,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000,2022-06-19 12:53:22.000000,2022-06-17 11:03:54,1509,147.0,420,63.0,1889.0,178.0,471.0,1684,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",156.0,34,True,2022-03-10 17:28:47.000,0.11.0,20.0,torchaudio,,,,['pytorch'],139.0,,https://pypi.org/project/torchaudio,2022-03-10 16:47:04.000,139.0,598243.0,598243.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
130,arviz,arviz-devs/arviz,interpretability,,https://github.com/arviz-devs/arviz,https://github.com/arviz-devs/arviz,Apache-2.0,2015-07-29 11:51:10.000,2022-06-19 16:43:50.000000,2022-06-19 16:17:50,1390,29.0,278,43.0,1316.0,151.0,580.0,1225,Exploratory analysis of Bayesian models with Python.,123.0,34,True,2022-05-13 16:49:58.000,0.12.1,27.0,arviz,conda-forge/arviz,,,,2521.0,2420.0,https://pypi.org/project/arviz,2022-05-13 16:49:58.000,101.0,732376.0,752458.0,https://anaconda.org/conda-forge/arviz,2022-05-17 03:45:03.381,742989.0,,,,,1.0,113.0,,,,,,,,,,,,,,,,,,
131,NIPYPE,nipy/nipype,medical-data,,https://github.com/nipy/nipype,https://github.com/nipy/nipype,Apache-2.0,2010-07-22 17:06:49.000,2022-06-15 16:41:33.000000,2022-06-14 00:54:59,14554,179.0,491,50.0,2211.0,383.0,911.0,635,Workflows and interfaces for neuroimaging packages.,236.0,34,True,2022-06-06 17:40:21.000,1.8.2,60.0,nipype,conda-forge/nipype,,,,1111.0,955.0,https://pypi.org/project/nipype,2022-06-06 17:40:21.000,156.0,47000.0,53746.0,https://anaconda.org/conda-forge/nipype,2022-06-06 18:27:05.278,478994.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
132,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000,2022-06-18 21:54:55.369000,2022-06-18 17:10:46,5181,58.0,236,39.0,682.0,141.0,322.0,478,Python package to access a cacophony of neuro-imaging file formats.,94.0,34,True,2022-06-18 17:11:31.000,4.0.1,36.0,nibabel,conda-forge/nibabel,,,,8370.0,7368.0,https://pypi.org/project/nibabel,2022-06-18 17:11:31.000,1002.0,170426.0,176504.0,https://anaconda.org/conda-forge/nibabel,2022-06-18 21:54:55.369,443717.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
133,Face Recognition,ageitgey/face_recognition,image,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39.000,2022-06-10 09:12:19.000000,2022-06-10 09:12:18,238,11.0,12204,1581.0,193.0,680.0,559.0,44928,The worlds simplest facial recognition api for Python and the command line.,54.0,33,True,2020-02-20 14:26:01.000,1.3.0,21.0,face_recognition,conda-forge/face_recognition,,,['pytorch'],45.0,,https://pypi.org/project/face_recognition,2020-02-20 14:26:01.000,45.0,54981.0,55334.0,https://anaconda.org/conda-forge/face_recognition,2021-04-30 19:06:15.265,7271.0,,,,,2.0,463.0,,,,,,,,,,,,,,,,,,
134,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2022-06-17 14:20:22.000000,2022-06-16 03:34:41,1375,36.0,5701,341.0,492.0,211.0,2831.0,21238,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",208.0,33,True,2021-11-15 22:08:26.000,0.6,10.0,detectron2,conda-forge/detectron2,,,['pytorch'],642.0,639.0,https://pypi.org/project/detectron2,2020-02-06 00:35:57.000,3.0,1.0,2448.0,https://anaconda.org/conda-forge/detectron2,2022-04-25 07:03:51.961,61179.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
135,Annoy,spotify/annoy,nn-search,,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000,2022-06-17 13:09:16.000000,2022-06-17 13:09:16,838,4.0,1010,328.0,250.0,38.0,309.0,9958,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,82.0,33,True,2020-09-18 16:07:59.000,1.17.0,43.0,annoy,conda-forge/python-annoy,,,,2365.0,2130.0,https://pypi.org/project/annoy,2020-09-18 16:07:59.000,235.0,1246702.0,1250206.0,https://anaconda.org/conda-forge/python-annoy,2022-04-23 18:38:16.066,241804.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
136,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2022-06-15 22:36:12.000000,2022-06-15 22:35:42,2384,16.0,1468,295.0,408.0,249.0,604.0,8610,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,111.0,33,False,2021-01-06 15:20:08.000,0.11.7,60.0,tpot,conda-forge/tpot,,,['sklearn'],1536.0,1478.0,https://pypi.org/project/tpot,2021-01-06 15:20:08.000,58.0,33544.0,35797.0,https://anaconda.org/conda-forge/tpot,2021-03-05 04:04:38.005,155457.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
137,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2022-06-19 17:28:23.000000,2022-06-17 22:19:52,2660,217.0,987,185.0,1388.0,215.0,551.0,8383,Data-centric declarative deep learning framework.,119.0,33,True,2022-06-08 21:07:15.000,0.5.2,25.0,ludwig,,,,['tensorflow'],129.0,120.0,https://pypi.org/project/ludwig,2022-06-08 21:07:15.000,9.0,2949.0,2949.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
138,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2022-06-15 12:47:53.000000,2022-06-08 20:54:00,2337,24.0,915,202.0,2147.0,215.0,769.0,7487,Deep universal probabilistic programming with Python and PyTorch.,127.0,33,True,2022-03-24 14:53:37.000,1.8.1,29.0,pyro-ppl,conda-forge/pyro-ppl,,,['pytorch'],804.0,745.0,https://pypi.org/project/pyro-ppl,2022-03-24 14:53:37.000,59.0,417983.0,418735.0,https://anaconda.org/conda-forge/pyro-ppl,2022-03-24 21:05:41.375,11283.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
139,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2022-06-18 08:45:25.000000,2022-06-17 13:26:34,2665,35.0,1157,211.0,632.0,112.0,791.0,6331,Automated Machine Learning with scikit-learn.,84.0,33,True,2022-05-04 09:41:35.000,0.14.7,41.0,auto-sklearn,conda-forge/auto-sklearn,,,['sklearn'],329.0,299.0,https://pypi.org/project/auto-sklearn,2022-05-04 09:41:35.000,30.0,32260.0,32633.0,https://anaconda.org/conda-forge/auto-sklearn,2022-02-18 18:13:43.553,5229.0,,,,,1.0,37.0,,,,,,,,,,,,,,,,,,
140,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,BSD-3-Clause,2011-09-06 22:24:59.000,2022-06-11 02:57:51.000000,2021-11-29 10:21:36,1194,,970,128.0,255.0,375.0,235.0,6267,Distributed Asynchronous Hyperparameter Optimization in Python.,93.0,33,True,2021-11-17 10:05:44.000,0.2.7,13.0,hyperopt,conda-forge/hyperopt,,,,7303.0,6883.0,https://pypi.org/project/hyperopt,2021-11-17 10:05:44.000,420.0,2084088.0,2093656.0,https://anaconda.org/conda-forge/hyperopt,2022-04-30 16:43:00.797,430572.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
141,Datasette,simonw/datasette,others,,https://github.com/simonw/datasette,https://github.com/simonw/datasette,Apache-2.0,2017-10-23 00:39:03.000,2022-06-17 22:04:05.000000,2022-05-31 19:28:40,2019,55.0,409,98.0,321.0,364.0,982.0,6214,An open source multi-tool for exploring and publishing data.,64.0,33,True,2022-03-23 20:38:02.000,0.61.1,118.0,datasette,conda-forge/datasette,,,,840.0,684.0,https://pypi.org/project/datasette,2022-05-02 21:44:57.000,156.0,246450.0,246802.0,https://anaconda.org/conda-forge/datasette,2022-03-24 00:50:34.931,4934.0,,,,,1.0,39.0,,,,,,,,datasette,,,,,,,,,,
142,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/fmfn/BayesianOptimization,https://github.com/fmfn/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2022-06-09 04:27:12.000000,2022-06-09 04:27:12,224,20.0,1306,149.0,85.0,31.0,222.0,6034,A Python implementation of global optimization with gaussian processes.,32.0,33,True,2020-05-16 16:03:51.000,1.2.0,8.0,bayesian-optimization,,,,,1346.0,1256.0,https://pypi.org/project/bayesian-optimization,2020-05-16 15:56:09.000,90.0,226812.0,226813.0,,,,,,,,1.0,88.0,,,,,,,,,,,,,,,,,,
143,H2O-3,h2oai/h2o-3,distributed-ml,,https://github.com/h2oai/h2o-3,https://github.com/h2oai/h2o-3,Apache-2.0,2014-03-03 16:08:07.000,2022-06-19 07:42:48.000000,2022-06-17 13:57:20,30946,256.0,1920,396.0,6155.0,60.0,,5856,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM)..",226.0,33,True,,,132.0,h2o,,,,,76.0,,https://pypi.org/project/h2o,2022-05-26 16:44:13.000,76.0,431938.0,431938.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
144,Tokenizers,huggingface/tokenizers,nlp,,https://github.com/huggingface/tokenizers,https://github.com/huggingface/tokenizers,Apache-2.0,2019-11-01 17:52:20.000,2022-06-10 13:02:47.000000,2022-06-10 12:58:02,1581,29.0,470,103.0,387.0,190.0,446.0,5717,Fast State-of-the-Art Tokenizers optimized for Research and Production.,56.0,33,True,2022-04-13 10:17:35.000,0.12.1,71.0,tokenizers,conda-forge/tokenizers,,,,166.0,49.0,https://pypi.org/project/tokenizers,2022-04-13 10:17:35.000,117.0,7263213.0,7272750.0,https://anaconda.org/conda-forge/tokenizers,2022-05-21 19:32:48.700,219363.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
145,librosa,librosa/librosa,audio,,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000,2022-06-13 03:01:48.000000,2022-06-02 16:55:26,3148,8.0,805,135.0,522.0,42.0,939.0,5238,Python library for audio and music analysis.,97.0,33,True,2022-02-15 23:14:52.000,0.9.1,34.0,librosa,conda-forge/librosa,,,,1218.0,,https://pypi.org/project/librosa,2022-02-15 23:14:52.000,1218.0,864899.0,871605.0,https://anaconda.org/conda-forge/librosa,2022-02-15 23:33:02.381,476139.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
146,GluonCV,dmlc/gluon-cv,image,,https://github.com/dmlc/gluon-cv,https://github.com/dmlc/gluon-cv,Apache-2.0,2018-02-26 01:33:21.000,2022-06-19 09:00:52.000000,2022-05-19 22:22:09,896,3.0,1152,154.0,944.0,60.0,758.0,5227,Gluon CV Toolkit.,115.0,33,True,2022-03-07 23:40:19.000,0.10.5,1420.0,gluoncv,,,,['mxnet'],841.0,782.0,https://pypi.org/project/gluoncv,2022-06-19 09:00:52.000,59.0,584937.0,584937.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
147,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2022-06-09 18:03:20.000000,2022-06-09 18:01:39,942,51.0,549,68.0,83.0,53.0,309.0,4491,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",26.0,33,True,2022-06-09 18:03:20.000,1.4.0,187.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],285.0,275.0,https://pypi.org/project/pytorch-metric-learning,2022-06-09 17:30:12.000,10.0,2024041.0,2024291.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2022-06-09 17:38:03.414,7273.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
148,Tesseract,madmaze/pytesseract,ocr,,https://github.com/madmaze/pytesseract,https://github.com/madmaze/pytesseract,Apache-2.0,2010-10-27 23:02:49.000,2022-06-13 20:56:27.000000,2022-06-13 20:56:22,483,14.0,600,104.0,130.0,17.0,291.0,4266,Python-tesseract is an optical character recognition (OCR) tool for python.,41.0,33,True,2022-03-14 19:28:46.000,0.3.10,26.0,pytesseract,conda-forge/pytesseract,,,,942.0,,https://pypi.org/project/pytesseract,2022-02-19 22:04:23.000,942.0,609120.0,623628.0,https://anaconda.org/conda-forge/pytesseract,2022-03-15 01:11:17.076,507803.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
149,speechbrain,speechbrain/speechbrain,audio,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45.000,2022-06-19 20:44:10.000000,2022-06-19 20:39:16,6333,246.0,776,106.0,714.0,153.0,529.0,4175,A PyTorch-based Speech Toolkit.,160.0,33,True,2021-12-20 04:22:27.000,0.5.11,10.0,speechbrain,,,,['pytorch'],200.0,198.0,https://pypi.org/project/speechbrain,2021-12-20 04:23:25.000,2.0,10108.0,10108.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
150,Dedupe,dedupeio/dedupe,nlp,,https://github.com/dedupeio/dedupe,https://github.com/dedupeio/dedupe,MIT,2012-04-20 14:57:36.000,2022-06-18 06:05:40.000000,2022-06-13 13:40:18,3124,181.0,477,122.0,315.0,52.0,699.0,3419,"A python library for accurate and scalable fuzzy matching, record deduplication and entity-resolution.",64.0,33,True,2022-06-11 16:16:22.000,2.0.16,166.0,dedupe,conda-forge/dedupe,,,,273.0,225.0,https://pypi.org/project/dedupe,2022-06-11 16:16:22.000,48.0,308013.0,309011.0,https://anaconda.org/conda-forge/dedupe,2022-06-11 21:06:08.306,5991.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
