,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,updated_github_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,new_addition,bitbucket_id
206,geojson,jazzband/geojson,,geospatial-data,https://github.com/jazzband/geojson,https://github.com/jazzband/geojson,BSD-3-Clause,2011-07-01 20:39:48.000000,2021-11-11 11:08:46.000000,2021-11-11 10:02:01.000000,87,19.0,58.0,667.0,455.0,Python bindings and utilities for GeoJSON.,45.0,28,True,2019-08-09 20:32:15.000000,2.5.0,28.0,geojson,conda-forge/geojson,,,,9843.0,8009.0,https://pypi.org/project/geojson,2019-08-09 20:32:15.000000,1834.0,660575.0,667295.0,https://anaconda.org/conda-forge/geojson,2019-08-11 12:10:34.426000,456984.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
207,data-validation,tensorflow/data-validation,,data-viz,https://github.com/tensorflow/data-validation,https://github.com/tensorflow/data-validation,Apache-2.0,2018-07-02 15:47:02.000000,2021-11-17 17:39:45.000000,2021-11-17 17:39:44.000000,110,37.0,109.0,591.0,693.0,Library for exploring and validating machine learning data.,23.0,28,True,2021-10-27 23:49:33.000000,1.4.0,34.0,tensorflow-data-validation,,,,"['tensorflow', 'jupyter']",364.0,346.0,https://pypi.org/project/tensorflow-data-validation,2021-10-27 23:49:33.000000,18.0,8866397.0,8866404.0,,,,,,,,2.0,288.0,,,,,,,,,,,,,,,,,,,,,
208,Faiss,facebookresearch/faiss,,nn-search,https://github.com/facebookresearch/faiss,https://github.com/facebookresearch/faiss,MIT,2017-02-07 16:07:05.000000,2021-11-14 16:41:15.000000,2021-10-19 08:02:21.000000,2391,216.0,1434.0,15140.0,,A library for efficient similarity search and clustering of dense vectors.,89.0,27,True,2021-06-09 09:16:17.000000,1.1.2,57.0,pymilvus,conda-forge/faiss,,,,504.0,498.0,https://pypi.org/project/pymilvus,2021-11-01 10:54:41.000000,6.0,18323.0,29852.0,https://anaconda.org/conda-forge/faiss,2021-11-09 18:04:40.103000,207524.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
209,fairseq,pytorch/fairseq,,nlp,https://github.com/pytorch/fairseq,https://github.com/pytorch/fairseq,MIT,2017-08-29 16:26:12.000000,2021-11-17 15:39:21.000000,2021-11-17 00:30:45.000000,3747,1087.0,2009.0,14507.0,,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,363.0,27,True,2021-01-05 20:26:45.000000,0.10.2,13.0,fairseq,,,,['pytorch'],595.0,575.0,https://pypi.org/project/fairseq,2021-01-05 20:26:45.000000,20.0,33861.0,33864.0,,,,,,,,2.0,151.0,-3.0,,,,,,,,,,,,,,,,,,,,
210,Rasa,RasaHQ/rasa,,nlp,https://github.com/RasaHQ/rasa,https://github.com/RasaHQ/rasa,Apache-2.0,2016-10-14 12:27:49.000000,2021-11-17 17:56:59.000000,2021-11-17 17:35:54.000000,3788,940.0,5351.0,13007.0,,"Open source machine learning framework to automate text- and voice-based conversations: NLU, dialogue management,..",514.0,27,True,2021-11-15 16:39:47.000000,3.0.0rc2,224.0,rasa,,,,['tensorflow'],64.0,,https://pypi.org/project/rasa,2021-11-15 16:39:37.000000,64.0,206065.0,206065.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
211,baselines,openai/baselines,,reinforcement-learning,https://github.com/openai/baselines,https://github.com/openai/baselines,MIT,2017-05-24 01:58:13.000000,2021-10-26 01:03:48.000000,2020-01-31 13:06:18.000000,4144,472.0,430.0,12055.0,347.0,OpenAI Baselines: high-quality implementations of reinforcement learning algorithms.,114.0,27,False,2018-02-26 17:07:07.000000,0.1.5,6.0,baselines,,,,,425.0,351.0,https://pypi.org/project/baselines,2018-02-26 17:07:07.000000,74.0,1386.0,1386.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
212,Sonnet,deepmind/sonnet,,ml-frameworks,https://github.com/deepmind/sonnet,https://github.com/deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000000,2021-11-10 19:44:48.000000,2021-10-17 14:27:22.000000,1281,22.0,146.0,9071.0,,TensorFlow-based neural network library.,53.0,27,True,2020-03-27 10:36:19.000000,2.0.0,27.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],788.0,706.0,https://pypi.org/project/dm-sonnet,2020-03-27 10:36:10.000000,82.0,308771.0,309280.0,https://anaconda.org/conda-forge/sonnet,2020-11-14 18:13:23.843000,12237.0,,,,,3.0,,-3.0,,,,,,,,,,,,,,,,,,,,
213,PySyft,OpenMined/PySyft,,privacy-ml,https://github.com/OpenMined/PySyft,https://github.com/OpenMined/PySyft,Apache-2.0,2017-07-18 20:41:16.000000,2021-11-17 16:47:33.000000,2021-11-17 14:15:40.000000,1741,295.0,2753.0,7738.0,9339.0,A library for answering questions using data you cannot see.,425.0,27,True,2021-06-28 06:55:25.000000,0.5.0,58.0,syft,,,,['pytorch'],6.0,,https://pypi.org/project/syft,2021-11-17 14:16:06.000000,6.0,3500.0,3500.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
214,backtrader,mementum/backtrader,,financial-data,https://github.com/mementum/backtrader,https://github.com/mementum/backtrader,GPL-3.0,2015-01-10 07:14:52.000000,2021-11-02 14:00:05.000000,2021-07-17 22:17:12.000000,2390,37.0,,7651.0,2385.0,Python Backtesting library for trading strategies.,52.0,27,False,,,155.0,backtrader,,,,,882.0,812.0,https://pypi.org/project/backtrader,2020-07-03 13:02:14.000000,70.0,14984.0,14984.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
215,carla,carla-simulator/carla,,others,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,MIT,2017-10-24 09:06:23.000000,2021-11-17 09:53:13.000000,2021-11-15 16:15:05.000000,2041,504.0,3047.0,6837.0,5438.0,Open-source simulator for autonomous driving research.,139.0,27,True,2021-11-17 08:28:27.000000,0.9.13,24.0,carla,,,,,103.0,99.0,https://pypi.org/project/carla,2021-11-17 08:28:27.000000,4.0,2440.0,2440.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
216,imageai,OlafenwaMoses/ImageAI,,image,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000000,2021-11-10 19:48:16.000000,2021-05-08 20:05:36.000000,1852,250.0,424.0,6652.0,292.0,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,15.0,27,True,2021-01-05 01:26:01.000000,2.1.6,10.0,imageai,,,,,1014.0,990.0,https://pypi.org/project/imageai,2021-01-05 01:26:01.000000,24.0,9651.0,25082.0,,,,,,,,2.0,663556.0,,,,,,,,,,,,,,,,,,,,,
217,Metaflow,Netflix/metaflow,,ml-experiments,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25.000000,2021-11-17 16:14:41.000000,2021-11-17 16:14:41.000000,427,207.0,186.0,4963.0,385.0,Build and manage real-life data science projects with ease!.,41.0,27,True,2021-11-04 01:33:05.000000,2.4.3,34.0,metaflow,conda-forge/metaflow,,,,223.0,221.0,https://pypi.org/project/metaflow,2021-11-04 02:37:26.000000,2.0,29638.0,30841.0,https://anaconda.org/conda-forge/metaflow,2021-11-04 14:35:42.758000,27683.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
218,librosa,librosa/librosa,,audio,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000000,2021-11-16 16:26:38.000000,2021-11-14 16:24:20.000000,773,47.0,881.0,4843.0,,Python library for audio and music analysis.,92.0,27,True,2021-05-26 10:15:06.000000,0.8.1,31.0,librosa,conda-forge/librosa,,,,1750.0,,https://pypi.org/project/librosa,2021-05-26 10:15:06.000000,1750.0,481585.0,488017.0,https://anaconda.org/conda-forge/librosa,2021-05-26 10:44:27.607000,411656.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
219,Augmentor,mdbloice/Augmentor,,image,https://github.com/mdbloice/Augmentor,https://github.com/mdbloice/Augmentor,MIT,2016-03-01 18:29:55.000000,2021-10-15 05:38:50.000000,2021-10-15 05:38:50.000000,830,122.0,70.0,4572.0,537.0,Image augmentation library in Python for machine learning.,22.0,27,True,2021-10-14 08:49:48.000000,0.2.9,21.0,Augmentor,,,,,420.0,378.0,https://pypi.org/project/Augmentor,2021-10-14 08:49:48.000000,42.0,17784.0,17784.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
220,kaggle,Kaggle/kaggle-api,,ml-experiments,https://github.com/Kaggle/kaggle-api,https://github.com/Kaggle/kaggle-api,Apache-2.0,2018-01-25 03:02:39.000000,2021-11-15 19:59:06.419000,2021-03-15 15:49:05.000000,856,190.0,142.0,4412.0,145.0,Official Kaggle API.,36.0,27,True,2021-03-13 00:50:03.000000,1.5.12,48.0,kaggle,conda-forge/kaggle,,,,564.0,,https://pypi.org/project/kaggle,2021-03-13 00:50:03.000000,564.0,450773.0,453213.0,https://anaconda.org/conda-forge/kaggle,2021-11-15 19:59:06.419000,73203.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
221,InterpretML,interpretml/interpret,,interpretability,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000000,2021-11-17 09:44:36.000000,2021-11-17 09:37:10.000000,522,89.0,165.0,4262.0,1791.0,Fit interpretable models. Explain blackbox machine learning.,27.0,27,True,2021-09-23 20:41:03.000000,0.2.7,37.0,interpret,,,,['jupyter'],131.0,129.0,https://pypi.org/project/interpret,2021-09-23 19:52:27.000000,2.0,58062.0,58062.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
222,pyAudioAnalysis,tyiannak/pyAudioAnalysis,,audio,https://github.com/tyiannak/pyAudioAnalysis,https://github.com/tyiannak/pyAudioAnalysis,Apache-2.0,2014-08-27 12:43:13.000000,2021-11-12 09:45:54.000000,2021-11-12 09:42:45.000000,1047,173.0,113.0,4221.0,723.0,"Python Audio Analysis Library: Feature Extraction, Classification, Segmentation and Applications.",25.0,27,True,2021-11-12 09:45:54.000000,0.3.8,17.0,pyAudioAnalysis,,,,,260.0,238.0,https://pypi.org/project/pyAudioAnalysis,2021-11-12 09:45:54.000000,22.0,15562.0,15562.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
223,skorch,skorch-dev/skorch,,ml-frameworks,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000000,2021-11-10 22:41:28.000000,2021-11-09 23:04:57.000000,297,55.0,366.0,4219.0,972.0,A scikit-learn compatible neural network library that wraps PyTorch.,46.0,27,True,2021-10-31 15:54:20.000000,0.11.0,14.0,skorch,conda-forge/skorch,,,"['pytorch', 'sklearn']",435.0,409.0,https://pypi.org/project/skorch,2021-10-31 15:48:51.000000,26.0,16729.0,29466.0,https://anaconda.org/conda-forge/skorch,2021-03-24 00:24:03.810000,484032.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
224,pyfolio,quantopian/pyfolio,,financial-data,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000000,2021-09-29 21:14:06.000000,2020-07-15 13:46:58.000000,1257,134.0,265.0,4120.0,1184.0,Portfolio and risk analytics in Python.,55.0,27,False,2019-04-15 15:00:21.000000,0.9.2,22.0,pyfolio,conda-forge/pyfolio,,,,383.0,329.0,https://pypi.org/project/pyfolio,2019-04-15 15:00:21.000000,54.0,5973.0,6141.0,https://anaconda.org/conda-forge/pyfolio,2020-05-16 14:11:57.267000,7604.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
225,Perspective,finos/perspective,,data-viz,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000000,2021-11-17 16:49:04.000000,2021-11-17 15:54:57.000000,408,64.0,401.0,3908.0,4835.0,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",65.0,27,True,2021-11-02 19:53:09.000000,1.0.1,53.0,perspective-python,,,,['jupyter'],223.0,215.0,https://pypi.org/project/perspective-python,2021-11-02 19:53:09.000000,8.0,1821.0,3491.0,,,,,,,,2.0,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2021-10-31 00:35:06.333000,,1670.0,,,,,,,,,,,,,,
226,Activeloop,activeloopai/Hub,,data-pipelines,https://github.com/activeloopai/Hub,https://github.com/activeloopai/Hub,MPL-2.0,2019-08-09 06:17:59.000000,2021-11-17 19:14:42.000000,2021-11-17 06:44:57.000000,304,62.0,262.0,3663.0,2201.0,Dataset format for AI. Easily build and manage datasets for machine and deep learning. Stream data real-time &..,88.0,27,True,2021-11-10 09:06:34.000000,2.1.0,118.0,hub,,,,,184.0,132.0,https://pypi.org/project/hub,2021-11-10 09:05:44.000000,52.0,12707.0,12707.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
227,DeepChem,deepchem/deepchem,,others,https://github.com/deepchem/deepchem,https://github.com/deepchem/deepchem,MIT,2015-09-24 23:20:28.000000,2021-11-17 16:49:28.000000,2021-11-17 16:44:03.000000,1195,420.0,964.0,3268.0,7300.0,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",173.0,27,True,2021-03-18 03:10:52.000000,2.5.0,348.0,deepchem,,,,['tensorflow'],66.0,62.0,https://pypi.org/project/deepchem,2021-11-17 16:49:28.000000,4.0,6094.0,6094.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
228,BentoML,bentoml/BentoML,,model-serialisation,https://github.com/bentoml/BentoML,https://github.com/bentoml/BentoML,Apache-2.0,2019-04-02 01:39:27.000000,2021-11-17 18:25:57.000000,2021-11-05 06:43:28.000000,343,69.0,416.0,2987.0,1160.0,Model Serving Made Easy.,89.0,27,True,2021-07-13 10:52:52.000000,0.13.1,70.0,bentoml,,,,,141.0,133.0,https://pypi.org/project/bentoml,2021-07-13 07:00:28.000000,8.0,15825.0,15855.0,,,,,,,,1.0,932.0,,,,,,,,,,,,,,,,,,,,,
229,plotnine,has2k1/plotnine,,data-viz,https://github.com/has2k1/plotnine,https://github.com/has2k1/plotnine,GPL-2.0,2017-04-24 19:00:44.000000,2021-11-16 11:49:25.000000,2021-11-16 11:26:27.000000,146,72.0,377.0,2850.0,1705.0,A grammar of graphics for Python.,86.0,27,False,2021-03-25 12:57:10.000000,0.8.0,11.0,plotnine,conda-forge/plotnine,,,,2876.0,2622.0,https://pypi.org/project/plotnine,2021-03-25 10:49:20.000000,254.0,191898.0,194463.0,https://anaconda.org/conda-forge/plotnine,2021-03-25 12:31:04.423000,138550.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
230,ClearML,allegroai/clearml,,ml-experiments,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000000,2021-11-17 17:16:19.000000,2021-11-17 17:15:48.000000,391,126.0,279.0,2807.0,1418.0,"ClearML - Auto-Magical Suite of tools to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",40.0,27,True,2021-11-08 09:06:16.000000,1.1.4,51.0,clearml,,allegroai/trains,,,155.0,155.0,https://pypi.org/project/clearml,2021-11-08 09:05:56.000000,0.0,43864.0,44913.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30092.0,2.0,375.0,,,,,,,,,,,,,,,,,,,,,
231,Captum,pytorch/captum,,interpretability,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000000,2021-11-17 00:53:26.000000,2021-11-12 19:30:36.000000,293,75.0,223.0,2771.0,870.0,Model interpretability and understanding for PyTorch.,77.0,27,True,2021-11-02 21:47:58.000000,0.4.1,7.0,captum,,,,['pytorch'],314.0,314.0,https://pypi.org/project/captum,2021-11-02 02:41:19.000000,0.0,35354.0,35354.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
232,Catalyst,catalyst-team/catalyst,,ml-experiments,https://github.com/catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,Apache-2.0,2018-08-20 07:56:13.000000,2021-11-15 22:08:27.000000,2021-11-15 19:06:32.000000,347,12.0,317.0,2771.0,1645.0,Accelerated deep learning R&D.,101.0,27,True,2021-10-30 07:39:44.000000,21.10,102.0,catalyst,,,,['pytorch'],469.0,431.0,https://pypi.org/project/catalyst,2021-10-30 08:10:01.000000,38.0,12271.0,12271.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
233,nlpaug,makcedward/nlpaug,,nlp,https://github.com/makcedward/nlpaug,https://github.com/makcedward/nlpaug,MIT,2019-03-21 03:00:17.000000,2021-11-14 16:24:18.000000,2021-10-19 03:50:58.000000,302,31.0,119.0,2656.0,665.0,Data augmentation for NLP.,21.0,27,True,2021-10-19 04:15:22.000000,1.1.8,34.0,nlpaug,,,,,206.0,204.0,https://pypi.org/project/nlpaug,2021-10-19 04:15:22.000000,2.0,36827.0,36827.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
234,gpustat,wookayin/gpustat,,gpu-utilities,https://github.com/wookayin/gpustat,https://github.com/wookayin/gpustat,MIT,2016-04-24 10:46:43.000000,2021-11-07 22:16:42.000000,2021-08-13 10:24:05.000000,205,22.0,55.0,2637.0,170.0,A simple command-line utility for querying and monitoring GPU status.,12.0,27,True,2019-07-22 06:37:00.000000,0.6.0,11.0,gpustat,conda-forge/gpustat,,,,1462.0,1404.0,https://pypi.org/project/gpustat,2021-01-02 05:59:41.000000,58.0,342167.0,345007.0,https://anaconda.org/conda-forge/gpustat,2020-11-24 19:59:04.772000,90898.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
235,ta,bukosabino/ta,,financial-data,https://github.com/bukosabino/ta,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48.000000,2021-08-23 20:39:46.000000,2020-11-29 21:08:14.000000,612,110.0,89.0,2574.0,582.0,Technical Analysis Library using Pandas and Numpy.,23.0,27,True,2020-11-29 10:49:09.000000,0.7.0,49.0,ta,,,,,862.0,850.0,https://pypi.org/project/ta,2020-11-29 10:49:09.000000,12.0,129265.0,129265.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
236,sklearn-pandas,scikit-learn-contrib/sklearn-pandas,,data-containers,https://github.com/scikit-learn-contrib/sklearn-pandas,https://github.com/scikit-learn-contrib/sklearn-pandas,Zlib,2013-04-22 22:55:20.000000,2021-10-17 18:07:36.000000,2021-05-08 08:05:59.000000,393,25.0,127.0,2518.0,287.0,Pandas integration with sklearn.,37.0,27,False,2021-05-08 08:32:08.000000,2.1.0,27.0,sklearn-pandas,,,,"['sklearn', 'pandas']",3279.0,3057.0,https://pypi.org/project/sklearn-pandas,2021-05-08 08:14:28.000000,222.0,423893.0,423893.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
237,spark-nlp,JohnSnowLabs/spark-nlp,,nlp,https://github.com/JohnSnowLabs/spark-nlp,https://github.com/JohnSnowLabs/spark-nlp,Apache-2.0,2017-09-24 19:36:44.000000,2021-11-17 17:37:34.000000,2021-11-15 19:56:54.000000,506,85.0,501.0,2472.0,12758.0,State of the Art Natural Language Processing.,101.0,27,True,2021-11-03 15:35:28.000000,3.3.2,95.0,spark-nlp,,,,['spark'],0.0,,https://pypi.org/project/spark-nlp,2021-11-03 14:23:56.000000,0.0,1272004.0,1272004.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
238,Core ML Tools,apple/coremltools,,model-serialisation,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000000,2021-11-11 20:52:48.000000,2021-11-10 15:56:44.000000,389,318.0,505.0,2444.0,,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",117.0,27,True,2021-11-09 18:32:21.000000,5.1.0,35.0,coremltools,,,,,941.0,675.0,https://pypi.org/project/coremltools,2021-11-09 18:32:21.000000,266.0,84216.0,84291.0,,,,,,,,1.0,3750.0,3.0,,,,,,,,,,,,,,,,,,,,
239,GluonNLP,dmlc/gluon-nlp,,nlp,https://github.com/dmlc/gluon-nlp,https://github.com/dmlc/gluon-nlp,Apache-2.0,2018-04-04 20:57:13.000000,2021-10-12 07:24:36.000000,2021-08-24 19:11:38.000000,519,260.0,295.0,2342.0,840.0,"Toolkit that enables easy text preprocessing, datasets loading and neural models building to help you speed up your..",82.0,27,True,2020-08-13 19:17:42.000000,0.10.0,26.0,gluonnlp,,,,['mxnet'],653.0,631.0,https://pypi.org/project/gluonnlp,2020-08-13 19:17:42.000000,22.0,211902.0,211902.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
240,pytorch-optimizer,jettify/pytorch-optimizer,,pytorch-utils,https://github.com/jettify/pytorch-optimizer,https://github.com/jettify/pytorch-optimizer,Apache-2.0,2020-01-03 03:16:39.000000,2021-11-15 10:09:23.000000,2021-11-11 16:56:57.000000,204,16.0,28.0,2189.0,430.0,torch-optimizer -- collection of optimizers for Pytorch.,25.0,27,True,2021-10-31 03:00:19.000000,0.3.0,21.0,torch_optimizer,,,,['pytorch'],384.0,384.0,https://pypi.org/project/torch_optimizer,2021-10-31 03:00:19.000000,0.0,59565.0,59565.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
241,ipyparallel,ipython/ipyparallel,,distributed-ml,https://github.com/ipython/ipyparallel,https://github.com/ipython/ipyparallel,BSD-3-Clause,2015-04-09 07:43:55.000000,2021-11-16 17:08:24.000000,2021-11-15 10:01:57.000000,808,63.0,260.0,2104.0,,IPython Parallel: Interactive Parallel Computing in Python.,103.0,27,True,2021-09-30 12:56:24.000000,7.1.0,34.0,ipyparallel,conda-forge/ipyparallel,,,['jupyter'],2220.0,1730.0,https://pypi.org/project/ipyparallel,2021-11-12 13:31:42.000000,490.0,59819.0,67752.0,https://anaconda.org/conda-forge/ipyparallel,2021-11-12 14:45:30.388000,531519.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
242,dtreeviz,parrt/dtreeviz,,interpretability,https://github.com/parrt/dtreeviz,https://github.com/parrt/dtreeviz,MIT,2018-08-13 21:45:15.000000,2021-11-15 22:04:45.000000,2021-11-15 22:04:42.000000,229,22.0,89.0,1781.0,372.0,A python library for decision tree visualization and model interpretation.,16.0,27,True,2021-11-10 22:55:11.000000,1.3.2,25.0,dtreeviz,,,,,262.0,258.0,https://pypi.org/project/dtreeviz,2021-11-10 22:51:55.000000,4.0,183994.0,183994.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
243,hnswlib,nmslib/hnswlib,,nn-search,https://github.com/nmslib/hnswlib,https://github.com/nmslib/hnswlib,Apache-2.0,2017-07-06 13:08:46.000000,2021-11-16 12:34:22.000000,2021-06-30 05:17:40.000000,325,116.0,117.0,1767.0,315.0,Header-only C++/python library for fast approximate nearest neighbors.,46.0,27,True,2021-06-30 22:24:23.000000,0.5.2,6.0,hnswlib,,,,,167.0,165.0,https://pypi.org/project/hnswlib,2021-06-30 22:24:23.000000,2.0,100905.0,100905.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
244,MNE,mne-tools/mne-python,,medical-data,https://github.com/mne-tools/mne-python,https://github.com/mne-tools/mne-python,BSD-3-Clause,2011-01-28 03:31:13.000000,2021-11-17 17:15:53.000000,2021-11-17 16:59:22.000000,975,340.0,3506.0,1730.0,,MNE: Magnetoencephalography (MEG) and Electroencephalography (EEG) in Python.,272.0,27,True,2021-11-03 16:04:08.000000,0.24.0,57.0,mne,conda-forge/mne,,,,1444.0,1246.0,https://pypi.org/project/mne,2021-11-03 16:04:08.000000,198.0,36158.0,39212.0,https://anaconda.org/conda-forge/mne,2021-11-03 17:45:24.506000,174113.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
245,TFX,tensorflow/tfx,,data-pipelines,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000000,2021-11-17 15:26:19.000000,2021-11-17 05:02:36.000000,519,249.0,464.0,1637.0,3964.0,TFX is an end-to-end platform for deploying production ML pipelines.,124.0,27,True,2021-11-17 03:34:21.000000,1.4.0,65.0,tfx,,,,['tensorflow'],4.0,,https://pypi.org/project/tfx,2021-11-17 03:34:21.000000,4.0,766041.0,766041.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
246,jellyfish,jamesturk/jellyfish,,nlp,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,BSD-2-Clause,2010-07-09 20:41:11.000000,2021-11-16 18:49:24.000000,2021-11-16 18:49:21.000000,142,9.0,98.0,1552.0,,a python library for doing approximate and phonetic matching of strings.,25.0,27,True,2021-10-26 15:22:58.000000,0.8.9,31.0,jellyfish,conda-forge/jellyfish,,,,3586.0,2940.0,https://pypi.org/project/jellyfish,2021-10-26 15:22:58.000000,646.0,1480038.0,1482539.0,https://anaconda.org/conda-forge/jellyfish,2021-11-05 14:51:35.332000,155121.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
247,GPflow,GPflow/GPflow,,probabilistics,https://github.com/GPflow/GPflow,https://github.com/GPflow/GPflow,Apache-2.0,2016-01-14 11:29:24.000000,2021-11-10 11:17:56.000000,2021-10-27 08:05:54.000000,411,119.0,617.0,1536.0,2248.0,Gaussian processes in TensorFlow.,72.0,27,True,2021-10-26 09:45:06.000000,2.3.0,32.0,gpflow,conda-forge/gpflow,,,['tensorflow'],342.0,308.0,https://pypi.org/project/gpflow,2021-10-26 09:45:06.000000,34.0,7596.0,7827.0,https://anaconda.org/conda-forge/gpflow,2018-11-06 08:51:39.744000,9735.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
248,torchaudio,pytorch/audio,,audio,https://github.com/pytorch/audio,https://github.com/pytorch/audio,BSD-2-Clause,2017-05-05 00:38:05.000000,2021-11-17 16:49:18.000000,2021-11-17 15:42:55.000000,358,132.0,426.0,1473.0,1168.0,"Data manipulation and transformation for audio signal processing, powered by PyTorch.",142.0,27,True,2021-10-21 15:55:34.000000,0.10.0,17.0,torchaudio,,,,['pytorch'],18.0,,https://pypi.org/project/torchaudio,2021-10-21 15:06:46.000000,18.0,308739.0,308739.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
249,petastorm,uber/petastorm,,distributed-ml,https://github.com/uber/petastorm,https://github.com/uber/petastorm,Apache-2.0,2018-06-15 23:15:29.000000,2021-10-27 18:10:41.000000,2021-10-27 18:10:41.000000,214,135.0,132.0,1279.0,664.0,Petastorm library enables single machine or distributed training and evaluation of deep learning models from datasets..,43.0,27,True,2021-09-04 05:47:24.000000,0.11.3,75.0,petastorm,,,,,45.0,45.0,https://pypi.org/project/petastorm,2021-09-04 05:47:24.000000,0.0,135460.0,135467.0,,,,,,,,2.0,309.0,,,,,,,,,,,,,,,,,,,,,
