,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,brew_id,apt_id,yum_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
145,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,https://github.com/ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,MPL-2.0,2013-12-20 08:26:28.000,2024-02-22 07:56:13.000000,2024-02-22 07:54:41,3777.0,67.0,846.0,137.0,167.0,94.0,985.0,11464.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",91.0,34,True,2024-02-16 06:58:50.000,16.1.1,234.0,ocrmypdf,conda-forge/ocrmypdf,,,,762.0,742.0,https://pypi.org/project/ocrmypdf,2024-02-16 06:58:50.000,20.0,77899.0,80006.0,https://anaconda.org/conda-forge/ocrmypdf,2023-06-16 19:24:58.228,61733.0,,,,,2.0,2358.0,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,,,
146,TPOT,EpistasisLab/tpot,hyperopt,,https://github.com/EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,LGPL-3.0,2015-11-03 21:08:40.000,2024-02-26 15:57:08.680000,2024-02-23 19:03:07,2440.0,14.0,1539.0,289.0,430.0,284.0,637.0,9427.0,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,118.0,34,False,2024-02-23 19:06:10.000,0.12.2,63.0,tpot,conda-forge/tpot,,,['sklearn'],2683.0,2621.0,https://pypi.org/project/tpot,2024-02-23 19:06:10.000,62.0,38639.0,44205.0,https://anaconda.org/conda-forge/tpot,2024-02-26 15:57:08.680,244943.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
147,Pyro,pyro-ppl/pyro,probabilistics,,https://github.com/pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,Apache-2.0,2017-06-16 05:03:47.000,2024-02-27 21:53:29.000000,2024-02-27 21:52:54,2452.0,25.0,986.0,204.0,2276.0,249.0,832.0,8279.0,Deep universal probabilistic programming with Python and PyTorch.,150.0,34,True,2024-02-19 18:03:28.000,1.9.0,35.0,pyro-ppl,conda-forge/pyro-ppl,,,['pytorch'],116.0,,https://pypi.org/project/pyro-ppl,2024-02-19 18:03:28.000,116.0,313445.0,317522.0,https://anaconda.org/conda-forge/pyro-ppl,2024-02-20 17:06:11.848,142712.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
148,PyOD,yzhao062/pyod,others,,https://github.com/yzhao062/pyod,https://github.com/yzhao062/pyod,BSD-2-Clause,2017-10-03 20:29:04.000,2024-02-09 07:53:55.073000,2024-02-09 06:45:29,1724.0,4.0,1293.0,149.0,207.0,176.0,145.0,7826.0,A Comprehensive and Scalable Python Library for Outlier Detection (Anomaly Detection).,50.0,34,True,2024-02-09 06:52:05.000,1.1.3,39.0,pyod,conda-forge/pyod,,,,3325.0,3325.0,https://pypi.org/project/pyod,,,659303.0,661323.0,https://anaconda.org/conda-forge/pyod,2024-02-09 07:53:55.073,90942.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
149,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2024-02-26 18:02:33.000000,2024-02-26 18:02:32,2881.0,25.0,2083.0,174.0,1137.0,12.0,1414.0,6487.0,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,191.0,34,True,2024-02-22 17:42:09.000,3.5.0,49.0,OpenNMT-py,,,,['pytorch'],257.0,257.0,https://pypi.org/project/OpenNMT-py,,,5907.0,5907.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
150,FiftyOne,voxel51/fiftyone,data-viz,,https://github.com/voxel51/fiftyone,https://github.com/voxel51/fiftyone,Apache-2.0,2020-04-22 13:43:28.000,2024-02-29 06:07:49.000000,2024-02-24 17:35:20,19270.0,583.0,465.0,53.0,2717.0,474.0,982.0,6442.0,"Visualize, create, and debug image and video datasets and model predictions.",110.0,34,True,2024-02-15 16:10:53.000,0.23.5,140.0,fiftyone,,,,"['tensorflow', 'pytorch', 'jupyter']",517.0,506.0,https://pypi.org/project/fiftyone,2024-02-15 15:14:41.000,11.0,45984.0,45984.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
151,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2024-02-26 15:45:44.000000,2024-02-26 15:45:43,2308.0,61.0,620.0,92.0,249.0,428.0,525.0,5090.0,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",91.0,34,True,2024-02-21 14:44:28.000,1.14.4,156.0,clearml,,allegroai/trains,,,975.0,957.0,https://pypi.org/project/clearml,2024-02-21 14:43:32.000,18.0,267603.0,268180.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30237.0,2.0,2136.0,,,,,,,,,,,,,,,,,,
152,ART,Trusted-AI/adversarial-robustness-toolbox,adversarial,,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,MIT,2018-03-15 14:40:43.000,2024-02-27 14:47:01.000000,2024-02-17 23:50:32,12156.0,131.0,1117.0,100.0,1315.0,149.0,742.0,4340.0,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction,..",133.0,34,True,2024-02-17 23:58:41.000,1.17.1,58.0,adversarial-robustness-toolbox,conda-forge/adversarial-robustness-toolbox,,,,497.0,486.0,https://pypi.org/project/adversarial-robustness-toolbox,2024-02-17 23:56:02.000,11.0,27546.0,28389.0,https://anaconda.org/conda-forge/adversarial-robustness-toolbox,2024-02-18 02:39:29.665,36281.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
153,AzureML SDK,Azure/MachineLearningNotebooks,ml-experiments,,https://github.com/Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,MIT,2018-08-17 17:29:14.000,2024-02-15 18:01:45.000000,2024-02-15 18:01:44,1293.0,5.0,2511.0,1973.0,533.0,386.0,1076.0,3899.0,Python notebooks with ML and deep learning examples with Azure Machine Learning Python SDK | Microsoft.,64.0,34,True,2023-11-09 22:25:24.000,1.54.0,102.0,azureml-sdk,,,,,48.0,,https://pypi.org/project/azureml-sdk,2024-02-06 19:36:25.000,48.0,546829.0,546836.0,,,,,,,,2.0,505.0,,,,,,,,,,,,,,,,,,
154,tensorflow-hub,tensorflow/hub,tensorflow-utils,,https://github.com/tensorflow/hub,https://github.com/tensorflow/hub,Apache-2.0,2018-03-12 07:55:42.000,2024-02-06 10:10:29.000000,2024-02-06 10:10:27,1180.0,6.0,1675.0,147.0,210.0,7.0,682.0,3425.0,A library for transfer learning by reusing parts of TensorFlow models.,106.0,34,True,2024-01-30 15:53:29.000,0.16.1,20.0,tensorflow-hub,conda-forge/tensorflow-hub,,,['tensorflow'],342.0,,https://pypi.org/project/tensorflow-hub,2024-01-30 14:49:07.000,342.0,3699929.0,3702155.0,https://anaconda.org/conda-forge/tensorflow-hub,2024-01-30 18:21:57.617,93521.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
155,StatsForecast,Nixtla/statsforecast,time-series-data,,https://github.com/Nixtla/statsforecast,https://github.com/Nixtla/statsforecast,Apache-2.0,2021-11-24 02:19:14.000,2024-02-26 20:14:34.000000,2024-02-22 17:35:41,1270.0,44.0,227.0,31.0,425.0,85.0,204.0,3409.0,Lightning fast forecasting with statistical and econometric models.,37.0,34,True,2024-02-05 21:45:31.000,1.7.3,31.0,statsforecast,conda-forge/statsforecast,,,,749.0,723.0,https://pypi.org/project/statsforecast,2024-02-05 21:45:31.000,26.0,563991.0,566565.0,https://anaconda.org/conda-forge/statsforecast,2024-02-06 03:02:36.606,59203.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
156,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2024-02-29 11:10:57.000000,2024-02-28 22:22:40,1808.0,60.0,353.0,54.0,1550.0,54.0,399.0,2906.0,Bayesian optimization in PyTorch.,110.0,34,True,2024-02-27 05:58:28.000,0.10.0,42.0,botorch,conda-forge/botorch,,,['pytorch'],864.0,864.0,https://pypi.org/project/botorch,,,155259.0,157629.0,https://anaconda.org/conda-forge/botorch,2024-02-27 09:02:55.942,99540.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
157,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2024-02-14 19:24:45.000000,2024-01-15 22:33:33,2291.0,17.0,584.0,69.0,481.0,245.0,702.0,2253.0,Survival analysis in Python.,116.0,34,True,2024-01-03 22:01:02.000,0.28.0,170.0,lifelines,conda-forge/lifelines,,,,2367.0,2233.0,https://pypi.org/project/lifelines,2024-01-03 22:01:02.000,134.0,531854.0,538824.0,https://anaconda.org/conda-forge/lifelines,2023-09-13 16:31:11.545,313653.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
158,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2024-02-29 07:23:49.000000,2024-02-29 02:59:49,2866.0,155.0,281.0,68.0,1588.0,54.0,594.0,2235.0,Adaptive Experimentation Platform.,164.0,34,True,2023-12-09 18:28:49.000,0.3.6,39.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],682.0,653.0,https://pypi.org/project/ax-platform,2023-12-09 18:28:49.000,29.0,120393.0,120942.0,https://anaconda.org/conda-forge/ax-platform,2023-12-11 15:43:05.639,17571.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
159,optimum,huggingface/optimum,gpu-utilities,,https://github.com/huggingface/optimum,https://github.com/huggingface/optimum,Apache-2.0,2021-07-20 12:36:40.000,2024-02-29 14:36:03.000000,2024-02-28 16:33:04,981.0,89.0,332.0,51.0,1123.0,291.0,373.0,2002.0,Accelerate training and inference of Transformers and Diffusers with easy to use hardware optimization tools.,98.0,34,True,2024-02-18 02:19:37.000,1.17.1,58.0,optimum,conda-forge/optimum,,,,1767.0,1704.0,https://pypi.org/project/optimum,2024-02-18 02:14:48.000,63.0,910160.0,910686.0,https://anaconda.org/conda-forge/optimum,2024-02-18 04:42:34.186,11582.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
160,TF Addons,tensorflow/addons,tensorflow-utils,,https://github.com/tensorflow/addons,https://github.com/tensorflow/addons,Apache-2.0,2018-11-26 23:57:17.000,2023-12-13 04:29:28.000000,2023-12-13 04:29:27,1518.0,1.0,612.0,58.0,1880.0,87.0,895.0,1680.0,Useful extra functionality for TensorFlow 2.x maintained by SIG-addons.,207.0,34,True,2023-11-28 01:45:31.000,0.23.0,38.0,tensorflow-addons,,,,['tensorflow'],14333.0,14108.0,https://pypi.org/project/tensorflow-addons,2023-11-28 01:45:31.000,225.0,897358.0,897358.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
161,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-02-29 12:49:52.000000,2024-01-26 10:55:56,1171.0,16.0,364.0,65.0,596.0,268.0,347.0,1441.0,A Jupyter - Leaflet.js bridge.,87.0,34,True,2024-01-23 17:57:40.189,0.18.2,81.0,ipyleaflet,conda-forge/ipyleaflet,,,['jupyter'],7629.0,7457.0,https://pypi.org/project/ipyleaflet,2024-01-23 17:54:03.000,166.0,133981.0,173042.0,https://anaconda.org/conda-forge/ipyleaflet,2024-01-23 20:31:49.209,1104676.0,,,,,2.0,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,14513.0,2024-01-23 17:57:40.189,6.0,,,,,,,,,,
162,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2024-02-19 10:33:43.000000,2024-02-19 10:33:38,2805.0,44.0,275.0,34.0,205.0,42.0,498.0,1211.0,Python interface for igraph.,71.0,34,False,2024-02-14 11:09:57.000,0.11.4,40.0,python-igraph,conda-forge/igraph,,,,4228.0,3812.0,https://pypi.org/project/python-igraph,2024-02-14 11:09:57.000,416.0,354122.0,372619.0,https://anaconda.org/conda-forge/igraph,2024-02-13 16:32:10.931,502303.0,,,,,1.0,562293.0,,,,,,,,,,,,,,,,,,
163,TensorFlow Text,tensorflow/text,nlp,,https://github.com/tensorflow/text,https://github.com/tensorflow/text,Apache-2.0,2019-05-29 22:10:03.000,2024-02-28 06:51:28.000000,2024-02-27 11:08:27,867.0,7.0,315.0,45.0,1015.0,72.0,165.0,1185.0,Making text a first-class citizen in TensorFlow.,112.0,34,True,2023-11-15 19:00:05.000,2.15.0,54.0,tensorflow-text,,,,['tensorflow'],6453.0,6453.0,https://pypi.org/project/tensorflow-text,,,5678956.0,5678956.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
164,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2024-02-23 21:54:31.000000,2024-02-23 21:54:27,1531.0,9.0,152.0,41.0,132.0,8.0,640.0,1154.0,A Python data analysis library that is optimized for humans instead of machines.,52.0,34,True,2023-12-21 20:05:21.000,1.9.1,32.0,agate,conda-forge/agate,,,,2983.0,2834.0,https://pypi.org/project/agate,2023-12-21 20:05:21.000,149.0,5301038.0,5306025.0,https://anaconda.org/conda-forge/agate,2023-12-21 21:50:42.816,164585.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
165,NIPYPE,nipy/nipype,medical-data,,https://github.com/nipy/nipype,https://github.com/nipy/nipype,Apache-2.0,2010-07-22 17:06:49.000,2024-02-29 01:26:43.000000,2024-02-29 01:26:43,14802.0,18.0,506.0,50.0,2282.0,396.0,950.0,721.0,Workflows and interfaces for neuroimaging packages.,252.0,34,True,2023-04-06 12:55:55.544,1.8.6,64.0,nipype,conda-forge/nipype,,,,4227.0,4049.0,https://pypi.org/project/nipype,2023-04-06 12:55:55.544,178.0,115469.0,129617.0,https://anaconda.org/conda-forge/nipype,2023-09-22 18:28:24.915,594218.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
166,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2024-02-29 09:45:16.000000,2024-02-29 07:01:43,3009.0,97.0,4167.0,372.0,3667.0,383.0,1174.0,36471.0,"Making large AI models cheaper, faster and more accessible.",165.0,33,True,2024-02-23 08:46:07.000,0.3.5,35.0,,,,,,294.0,294.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
167,detectron2,facebookresearch/detectron2,image,,https://github.com/facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,Apache-2.0,2019-09-05 21:30:20.000,2024-02-24 17:18:57.000000,2024-02-08 01:15:03,1501.0,7.0,7269.0,381.0,649.0,465.0,3043.0,28150.0,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",265.0,33,True,2021-11-15 22:08:26.000,0.6,10.0,detectron2,conda-forge/detectron2,,,['pytorch'],1630.0,1624.0,https://pypi.org/project/detectron2,2020-02-06 00:35:57.000,6.0,,5218.0,https://anaconda.org/conda-forge/detectron2,2024-01-18 08:57:46.349,224397.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
168,Magenta,magenta/magenta,audio,,https://github.com/magenta/magenta,https://github.com/magenta/magenta,Apache-2.0,2016-05-05 20:10:40.000,2024-01-23 01:48:22.000000,2023-07-11 13:03:36,1421.0,,3770.0,759.0,1134.0,403.0,588.0,18864.0,Magenta: Music and Art Generation with Machine Intelligence.,155.0,33,True,2023-12-02 01:16:14.308,0.1.0,68.0,magenta,,,,['tensorflow'],535.0,497.0,https://pypi.org/project/magenta,2022-08-01 18:23:00.243,38.0,3188.0,3188.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
169,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000000,2020-10-14 16:36:49,6226.0,,4627.0,1004.0,1869.0,357.0,658.0,16926.0,"Zipline, a Pythonic Algorithmic Trading Library.",160.0,33,False,2020-10-05 15:46:20.429,1.4.1,30.0,zipline,conda-forge/zipline,,,,1067.0,981.0,https://pypi.org/project/zipline,2020-10-05 15:46:20.429,86.0,2802.0,2984.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,7465.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
170,NNI,microsoft/nni,hyperopt,,https://github.com/microsoft/nni,https://github.com/microsoft/nni,MIT,2018-06-01 05:51:44.000,2023-10-30 04:23:19.000000,2023-10-26 05:31:53,3012.0,,1800.0,284.0,3502.0,373.0,1677.0,13608.0,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural..",192.0,33,True,2023-09-14 12:12:06.000,3.0,55.0,nni,,,,,612.0,574.0,https://pypi.org/project/nni,2023-09-14 12:22:00.000,38.0,15177.0,15177.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
171,carla,carla-simulator/carla,others,,https://github.com/carla-simulator/carla,https://github.com/carla-simulator/carla,,2017-10-24 09:06:23.000,2024-02-29 14:32:55.000000,2024-02-02 11:08:09,6024.0,4.0,3143.0,244.0,1466.0,1028.0,3847.0,10233.0,Open-source simulator for autonomous driving research.,171.0,33,False,2023-11-11 12:51:52.000,0.9.15,26.0,carla,,,,,648.0,648.0,https://pypi.org/project/carla,,,18828.0,18828.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
172,wordcloud,amueller/word_cloud,data-viz,,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000,2024-01-17 08:31:39.000000,2023-12-09 05:39:53,576.0,12.0,2267.0,223.0,245.0,94.0,416.0,9869.0,A little word cloud generator in Python.,72.0,33,True,2023-12-09 13:50:41.000,1.9.3,13.0,wordcloud,conda-forge/wordcloud,,,,21.0,21.0,https://pypi.org/project/wordcloud,,,1480882.0,1491529.0,https://anaconda.org/conda-forge/wordcloud,2023-12-11 13:49:34.986,457858.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
173,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2024-01-02 11:17:53.000000,2024-01-02 11:17:47,862.0,3.0,1270.0,418.0,85.0,32.0,159.0,9678.0,TensorFlow-based neural network library.,58.0,33,True,2024-01-02 11:08:14.000,2.0.2,13.0,dm-sonnet,conda-forge/sonnet,,,['tensorflow'],1238.0,1238.0,https://pypi.org/project/dm-sonnet,,,20437.0,20967.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,27059.0,,,,,3.0,,,,google-deepmind/sonnet,,,,,,,,,,,,,,,
174,fuzzywuzzy,seatgeek/fuzzywuzzy,nlp,,https://github.com/seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,GPL-2.0,2011-07-08 19:32:34.000,2023-06-16 13:22:53.603000,2021-09-09 20:54:41,384.0,,871.0,261.0,148.0,83.0,103.0,9070.0,Fuzzy String Matching in Python.,70.0,33,False,2020-02-13 22:14:12.000,0.18.0,23.0,fuzzywuzzy,conda-forge/fuzzywuzzy,,,,22903.0,22903.0,https://pypi.org/project/fuzzywuzzy,,,5234483.0,5240231.0,https://anaconda.org/conda-forge/fuzzywuzzy,2023-06-16 13:22:53.603,523105.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
175,Metaflow,Netflix/metaflow,ml-experiments,,https://github.com/Netflix/metaflow,https://github.com/Netflix/metaflow,Apache-2.0,2019-09-17 17:48:25.000,2024-02-29 11:08:16.000000,2024-02-27 00:27:10,859.0,51.0,693.0,277.0,1144.0,310.0,360.0,7405.0,"Build and manage real-life ML, AI, and data science projects with ease!.",81.0,33,True,2024-02-27 01:49:00.000,2.11.4,111.0,metaflow,conda-forge/metaflow,,,,632.0,604.0,https://pypi.org/project/metaflow,2024-02-27 01:49:00.000,28.0,184641.0,188386.0,https://anaconda.org/conda-forge/metaflow,2024-02-27 10:32:57.215,161053.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
176,cuDF,rapidsai/cudf,gpu-utilities,,https://github.com/rapidsai/cudf,https://github.com/rapidsai/cudf,Apache-2.0,2017-05-07 03:43:37.000,2024-02-29 13:53:43.000000,2024-02-29 13:53:40,38389.0,473.0,802.0,148.0,9208.0,951.0,4998.0,7063.0,cuDF - GPU DataFrame Library.,272.0,33,True,2024-02-27 15:12:35.000,24.02.02,47.0,cudf,,,,,63.0,52.0,https://pypi.org/project/cudf,2020-06-01 20:07:47.000,11.0,2685.0,2685.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
177,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,BSD-3-Clause,2011-09-06 22:24:59.000,2024-02-20 00:26:53.000000,2023-09-29 18:36:14,1218.0,,1078.0,125.0,273.0,250.0,410.0,7017.0,Distributed Asynchronous Hyperparameter Optimization in Python.,102.0,33,True,2021-11-17 10:07:00.808,0.2.7,13.0,hyperopt,conda-forge/hyperopt,,,,14310.0,13803.0,https://pypi.org/project/hyperopt,2021-11-17 10:07:00.808,507.0,2020082.0,2031614.0,https://anaconda.org/conda-forge/hyperopt,2023-06-16 16:14:11.076,749608.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
178,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2024-02-27 14:54:50.393000,2024-02-26 17:23:13,1346.0,34.0,858.0,158.0,1688.0,169.0,822.0,6967.0,An open source python library for automated feature engineering.,72.0,33,True,2024-02-26 17:29:32.000,1.30.0,105.0,featuretools,conda-forge/featuretools,,,,1623.0,1545.0,https://pypi.org/project/featuretools,2024-02-26 17:29:32.000,78.0,51111.0,55128.0,https://anaconda.org/conda-forge/featuretools,2024-02-27 14:54:50.393,176763.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
179,Autograd,HIPS/autograd,others,,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000,2023-12-05 22:52:30.000000,2023-11-16 08:43:39,1418.0,,858.0,219.0,220.0,159.0,233.0,6701.0,Efficiently computes derivatives of numpy code.,56.0,33,True,2015-03-05 19:30:11.000,1.0,7.0,autograd,conda-forge/autograd,,,,7433.0,7433.0,https://pypi.org/project/autograd,,,1335242.0,1355069.0,https://anaconda.org/conda-forge/autograd,2023-06-26 15:21:38.267,396543.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
180,librosa,librosa/librosa,audio,,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000,2024-02-29 12:12:33.000000,2024-02-21 21:11:12,3262.0,4.0,909.0,137.0,641.0,66.0,1107.0,6531.0,Python library for audio and music analysis.,119.0,33,True,2023-08-16 13:52:19.000,0.10.1,41.0,librosa,conda-forge/librosa,,,,1556.0,,https://pypi.org/project/librosa,2023-08-16 13:52:19.000,1556.0,2499900.0,2516635.0,https://anaconda.org/conda-forge/librosa,2023-08-16 18:07:49.183,719622.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
181,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2024-02-29 07:00:33.000000,2024-02-29 07:00:22,2992.0,154.0,709.0,140.0,98.0,88.0,326.0,5921.0,Fit interpretable models. Explain blackbox machine learning.,42.0,33,True,2024-02-14 22:27:38.000,0.5.1,47.0,interpret,,,,['jupyter'],658.0,628.0,https://pypi.org/project/interpret,2024-02-08 10:30:09.000,30.0,82708.0,82708.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
182,Chainer,chainer/chainer,ml-frameworks,,https://github.com/chainer/chainer,https://github.com/chainer/chainer,MIT,2015-06-05 05:50:37.000,2023-08-28 17:18:20.000000,2022-10-17 02:18:00,30611.0,,1397.0,291.0,6588.0,12.0,2030.0,5846.0,A flexible framework of neural networks for deep learning.,323.0,33,False,2022-06-29 08:19:03.000,7.8.1.post1,111.0,chainer,conda-forge/chainer,,,,3592.0,3188.0,https://pypi.org/project/chainer,2022-01-05 05:33:36.000,404.0,20425.0,20771.0,https://anaconda.org/conda-forge/chainer,2023-06-16 19:17:58.452,16653.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
183,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2023-12-16 19:25:54.000000,2023-12-16 19:23:13,1208.0,16.0,650.0,64.0,131.0,53.0,433.0,5660.0,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",40.0,33,True,2023-12-16 19:24:49.000,2.4.1,209.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],1285.0,1254.0,https://pypi.org/project/pytorch-metric-learning,2023-12-16 19:14:54.000,31.0,378602.0,378830.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2023-06-16 19:17:36.446,11197.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
184,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2024-02-02 08:20:24.000000,2023-07-28 00:16:45,2332.0,,1101.0,191.0,234.0,270.0,280.0,5485.0,Distributed Evolutionary Algorithms in Python.,87.0,33,False,2023-07-21 10:51:54.000,1.4.1,27.0,deap,conda-forge/deap,,,,4832.0,4460.0,https://pypi.org/project/deap,2023-07-21 10:51:54.000,372.0,198031.0,206980.0,https://anaconda.org/conda-forge/deap,2023-09-25 01:16:08.711,357973.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
