,name,github_id,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,brew_id,apt_id,yum_id,updated_github_id,snap_id,dnf_id,yay_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,gitlab_id,gitlab_url,new_addition
83,Catboost,catboost/catboost,,ml-frameworks,https://github.com/catboost/catboost,https://github.com/catboost/catboost,Apache-2.0,2017-07-18 05:29:04.000000,2021-05-13 13:46:51.000000,2021-05-13 13:46:48.000000,886,324.0,1140.0,5859,16101.0,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification,..",784.0,31,True,2021-04-05 22:23:00.000000,0.25.1,93.0,catboost,conda-forge/catboost,,,,162.0,,https://pypi.org/project/catboost,2021-04-05 22:14:25.000000,162.0,2717388.0,2737450.0,https://anaconda.org/conda-forge/catboost,2021-04-12 10:39:53.915000,676972.0,,,,,2.0,55369.0,,,,,,,,,,,,,,,,,,,,,,
84,Pydub,jiaaro/pydub,,audio,https://github.com/jiaaro/pydub,https://github.com/jiaaro/pydub,MIT,2011-05-02 18:42:38.000000,2021-05-12 14:03:54.000000,2021-04-21 10:21:41.000000,721,195.0,245.0,5328,741.0,Manipulate audio with a simple and easy high level interface.,90.0,31,True,2021-03-10 02:10:41.000000,0.25.1,68.0,pydub,conda-forge/pydub,,,,8376.0,7022.0,https://pypi.org/project/pydub,2021-03-10 02:09:53.000000,1354.0,774787.0,775301.0,https://anaconda.org/conda-forge/pydub,2021-03-13 05:16:50.142000,14908.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
85,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,,sklearn-utils,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000000,2021-05-04 15:13:40.000000,2021-04-25 18:06:22.000000,1089,35.0,429.0,5227,738.0,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,56.0,31,True,2021-02-18 14:00:33.000000,0.8.0,27.0,imbalanced-learn,conda-forge/imbalanced-learn,,,['sklearn'],5562.0,5282.0,https://pypi.org/project/imbalanced-learn,2021-02-18 13:50:00.000000,280.0,1336885.0,1339825.0,https://anaconda.org/conda-forge/imbalanced-learn,2021-02-18 15:40:00.937000,126462.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
86,sentencepiece,google/sentencepiece,,nlp,https://github.com/google/sentencepiece,https://github.com/google/sentencepiece,Apache-2.0,2017-03-07 10:03:48.000000,2021-05-08 01:31:08.000000,2021-05-08 01:31:08.000000,692,35.0,405.0,5036,674.0,Unsupervised text tokenizer for Neural Network-based text generation.,53.0,31,True,2021-01-10 06:29:42.000000,0.1.95,30.0,sentencepiece,conda-forge/sentencepiece,,,,7713.0,7473.0,https://pypi.org/project/sentencepiece,2021-01-10 06:29:42.000000,240.0,2091470.0,2097144.0,https://anaconda.org/conda-forge/sentencepiece,2021-02-09 05:49:50.247000,52729.0,,,,,1.0,13267.0,,,,,,,,,,,,,,,,,,,,,,
87,UMAP,lmcinnes/umap,,data-viz,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17.000000,2021-05-10 13:33:12.000000,2021-05-03 18:03:04.000000,514,240.0,252.0,4705,1401.0,Uniform Manifold Approximation and Projection.,79.0,31,True,2021-02-08 21:04:43.000000,0.5.1,35.0,umap-learn,,,,,3121.0,2895.0,https://pypi.org/project/umap-learn,2021-02-08 21:04:43.000000,226.0,453532.0,453532.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
88,xmltodict,martinblech/xmltodict,,data-loading,https://github.com/martinblech/xmltodict,https://github.com/martinblech/xmltodict,MIT,2012-04-17 14:38:21.000000,2021-02-08 17:46:25.000000,2020-04-26 05:15:03.000000,420,70.0,136.0,4386,205.0,Python module that makes working with XML feel like you are working with JSON.,41.0,31,False,2019-02-11 07:00:26.000000,0.12.0,27.0,xmltodict,conda-forge/xmltodict,,,,33069.0,24835.0,https://pypi.org/project/xmltodict,2019-02-11 07:00:26.000000,8234.0,9435113.0,9450124.0,https://anaconda.org/conda-forge/xmltodict,2019-02-11 11:53:14.803000,855627.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
89,opencv-python,skvark/opencv-python,,image,https://github.com/opencv/opencv-python,https://github.com/opencv/opencv-python,MIT,2016-04-08 13:36:40.000000,2021-05-12 06:59:06.000000,2021-05-06 19:37:49.000000,373,26.0,394.0,1972,753.0,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-..",29.0,31,True,2021-05-06 19:44:42.000000,52,51.0,opencv-python,,,,,12560.0,,https://pypi.org/project/opencv-python,2021-05-07 12:41:47.000000,12560.0,5243083.0,5243083.0,,,,,,,,2.0,,,,,,,,,,,,,opencv/opencv-python,,,,,,,,,,
90,numexpr,pydata/numexpr,,data-containers,https://github.com/pydata/numexpr,https://github.com/pydata/numexpr,MIT,2013-11-30 22:33:48.000000,2021-03-05 20:56:41.232000,2021-03-03 18:33:11.000000,166,53.0,251.0,1583,686.0,"Fast numerical array expression evaluator for Python, NumPy, PyTables, pandas, bcolz and more.",57.0,31,True,2021-03-03 18:13:19.000000,2.7.3,40.0,numexpr,conda-forge/numexpr,,,,5482.0,,https://pypi.org/project/numexpr,2021-03-03 18:13:19.000000,5482.0,1241585.0,1285611.0,https://anaconda.org/conda-forge/numexpr,2021-03-05 20:56:41.232000,2509532.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
91,SageMaker SDK,aws/sagemaker-python-sdk,,ml-experiments,https://github.com/aws/sagemaker-python-sdk,https://github.com/aws/sagemaker-python-sdk,Apache-2.0,2017-11-14 01:03:33.000000,2021-05-13 14:51:03.000000,2021-05-12 16:26:42.000000,626,277.0,546.0,1380,1999.0,A library for training and deploying machine learning models on Amazon SageMaker.,200.0,31,True,2021-05-11 18:30:25.000000,2.40.0,334.0,sagemaker,,,,"['mxnet', 'tensorflow']",722.0,694.0,https://pypi.org/project/sagemaker,2021-05-11 18:30:25.000000,28.0,688409.0,688409.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
92,dask.distributed,dask/distributed,,distributed-ml,https://github.com/dask/distributed,https://github.com/dask/distributed,BSD-3-Clause,2015-09-13 18:42:29.000000,2021-05-13 14:48:20.000000,2021-05-12 19:48:29.000000,525,790.0,1353.0,1184,,A distributed task scheduler for Dask.,241.0,31,True,2021-04-02 16:23:04.000000,2021.4.0,147.0,distributed,conda-forge/distributed,,,,19915.0,18137.0,https://pypi.org/project/distributed,2021-04-23 18:51:56.000000,1778.0,2939281.0,3010425.0,https://anaconda.org/conda-forge/distributed,2021-04-23 23:14:34.568000,4268672.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
93,pyproj,pyproj4/pyproj,,geospatial-data,https://github.com/pyproj4/pyproj,https://github.com/pyproj4/pyproj,MIT,2014-12-29 21:38:25.000000,2021-05-13 08:19:50.000000,2021-05-04 12:14:44.000000,151,11.0,398.0,610,1144.0,Python interface to PROJ (cartographic projections and coordinate transformations library).,40.0,31,True,2021-03-05 03:06:15.000000,3.0.1,34.0,pyproj,conda-forge/pyproj,,,,12060.0,9598.0,https://pypi.org/project/pyproj,2020-11-05 14:28:45.000000,2462.0,2518466.0,2551883.0,https://anaconda.org/conda-forge/pyproj,2021-03-05 14:16:16.093000,2172123.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
94,snowballstemmer,snowballstem/snowball,,nlp,https://github.com/snowballstem/snowball,https://github.com/snowballstem/snowball,BSD-3-Clause,2013-02-23 07:17:42.000000,2021-04-11 21:24:01.000000,2021-04-11 21:24:01.000000,137,20.0,42.0,495,852.0,Snowball compiler and stemming algorithms.,26.0,31,True,2021-01-21 11:43:00.000000,2.1.0,9.0,snowballstemmer,conda-forge/snowballstemmer,,,,62335.0,49153.0,https://pypi.org/project/snowballstemmer,2021-01-21 11:43:00.000000,13182.0,5798093.0,5841866.0,https://anaconda.org/conda-forge/snowballstemmer,2021-01-21 23:16:54.597000,2495079.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
95,Keras,keras-team/keras,,ml-frameworks,https://github.com/keras-team/keras,https://github.com/keras-team/keras,MIT,2015-03-28 00:35:42.000000,2021-05-13 13:05:06.000000,2021-05-11 20:58:20.000000,18717,3272.0,7254.0,51164,5490.0,Deep Learning for humans.,907.0,30,True,2020-06-24 22:40:48.000000,2.4.3,50.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],0.0,,https://pypi.org/project/keras,2021-04-12 23:09:14.000000,0.0,3447467.0,3476162.0,https://anaconda.org/conda-forge/keras,2021-04-19 19:56:38.549000,1635619.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
96,jieba,fxsjy/jieba,,chinese-nlp,https://github.com/fxsjy/jieba,https://github.com/fxsjy/jieba,MIT,2012-09-29 07:52:01.000000,2020-12-05 18:32:32.000000,2020-02-15 08:33:35.000000,6233,608.0,199.0,26240,523.0,Chinese Words Segmentation Utilities.,48.0,30,False,2020-01-20 14:27:23.000000,0.42.1,32.0,jieba,conda-forge/jieba,,,,12571.0,10055.0,https://pypi.org/project/jieba,2020-01-20 14:27:23.000000,2516.0,417049.0,418606.0,https://anaconda.org/conda-forge/jieba,2020-03-25 20:57:40.090000,76294.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
97,zipline,quantopian/zipline,,financial-data,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000000,2021-04-18 22:05:29.000000,2020-10-14 16:36:49.000000,4001,341.0,649.0,13872,6226.0,"Zipline, a Pythonic Algorithmic Trading Library.",151.0,30,True,2020-10-05 15:46:20.429000,1.4.1,30.0,zipline,,,,,873.0,715.0,https://pypi.org/project/zipline,2020-10-05 15:46:20.429000,158.0,6774.0,6774.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
98,pyecharts,pyecharts/pyecharts,,data-viz,https://github.com/pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,MIT,2017-06-22 02:50:25.000000,2021-05-07 10:24:17.000000,2021-05-07 10:24:17.000000,2420,34.0,1386.0,10960,1515.0,Python Echarts Plotting Library.,30.0,30,True,2020-10-29 15:14:08.000000,1.9.0,66.0,pyecharts,,,https://github.com/pyecharts/pyecharts/blob/master/README.en.md,['jupyter'],1890.0,1608.0,https://pypi.org/project/pyecharts,2020-10-29 15:14:08.000000,282.0,47242.0,47242.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
99,Dopamine,google/dopamine,,reinforcement-learning,https://github.com/google/dopamine,https://github.com/google/dopamine,Apache-2.0,2018-07-26 09:58:36.000000,2021-05-07 20:10:21.000000,2021-05-07 20:10:19.000000,1254,82.0,78.0,9402,234.0,Dopamine is a research framework for fast prototyping of reinforcement learning algorithms.,14.0,30,True,2021-03-03 22:26:11.000000,3.1.10,37.0,dopamine-rl,,,,['tensorflow'],62.0,,https://pypi.org/project/dopamine-rl,2021-04-08 17:53:18.000000,62.0,4727658.0,4727658.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
100,Annoy,spotify/annoy,,nn-search,https://github.com/spotify/annoy,https://github.com/spotify/annoy,Apache-2.0,2013-04-01 20:29:40.000000,2021-05-13 01:38:19.000000,2020-12-03 18:21:18.000000,903,39.0,271.0,8481,785.0,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,68.0,30,True,2020-09-18 16:07:59.000000,1.17.0,43.0,annoy,,,,,1926.0,1566.0,https://pypi.org/project/annoy,2020-09-18 16:07:59.000000,360.0,746368.0,746368.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
101,fuzzywuzzy,seatgeek/fuzzywuzzy,,nlp,https://github.com/seatgeek/fuzzywuzzy,https://github.com/seatgeek/fuzzywuzzy,GPL-2.0,2011-07-08 19:32:34.000000,2021-05-05 06:13:29.000000,2021-02-20 06:36:20.000000,826,97.0,100.0,8070,381.0,Fuzzy String Matching in Python.,68.0,30,False,2020-02-13 22:14:12.000000,0.18.0,27.0,fuzzywuzzy,conda-forge/fuzzywuzzy,,,,11937.0,8731.0,https://pypi.org/project/fuzzywuzzy,2020-02-13 21:06:25.000000,3206.0,5041215.0,5046356.0,https://anaconda.org/conda-forge/fuzzywuzzy,2020-11-18 12:59:01.409000,298182.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
102,wordcloud,amueller/word_cloud,,data-viz,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000000,2021-03-21 10:56:17.000000,2021-03-01 23:14:14.000000,2079,100.0,350.0,8054,543.0,A little word cloud generator in Python.,61.0,30,True,2020-11-11 21:41:02.000000,1.8.1,16.0,wordcloud,conda-forge/wordcloud,,,,11985.0,10881.0,https://pypi.org/project/wordcloud,2020-11-11 21:41:02.000000,1104.0,420760.0,424476.0,https://anaconda.org/conda-forge/wordcloud,2021-01-14 18:03:24.960000,211830.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
103,TextBlob,sloria/TextBlob,,nlp,https://github.com/sloria/TextBlob,https://github.com/sloria/TextBlob,MIT,2013-06-30 18:29:18.000000,2021-05-11 12:12:42.000000,2021-05-10 13:15:20.000000,995,85.0,150.0,7659,535.0,"Simple, Pythonic, text processing--Sentiment analysis, part-of-speech tagging, noun phrase extraction, translation,..",34.0,30,True,2019-02-24 23:03:17.000000,0.15.3,55.0,textblob,conda-forge/textblob,,,,14477.0,11985.0,https://pypi.org/project/textblob,2019-02-24 23:03:17.000000,2492.0,499487.0,501595.0,https://anaconda.org/conda-forge/textblob,2019-02-24 23:32:55.233000,120167.0,,,,,2.0,90.0,,,,,,,,,,,,,,,,,,,,,,
104,glfw,glfw/glfw,,image,https://github.com/glfw/glfw,https://github.com/glfw/glfw,Zlib,2013-04-18 15:24:53.000000,2021-05-12 19:03:43.000000,2021-04-23 12:46:47.000000,2746,444.0,1014.0,7607,4241.0,"A multi-platform library for OpenGL, OpenGL ES, Vulkan, window and input.",168.0,30,False,2021-04-08 17:55:06.000000,3.3.4,38.0,glfw,conda-forge/glfw,,,,214.0,,https://pypi.org/project/glfw,2021-02-28 20:43:49.000000,214.0,49024.0,81365.0,https://anaconda.org/conda-forge/glfw,2021-04-08 18:43:30.580000,30485.0,,,,,2.0,2309724.0,,,,,,,,,,,,,,,,,,,,,,
105,Vowpal Wabbit,VowpalWabbit/vowpal_wabbit,,ml-frameworks,https://github.com/VowpalWabbit/vowpal_wabbit,https://github.com/VowpalWabbit/vowpal_wabbit,BSD-3-Clause,2009-07-31 19:36:58.000000,2021-05-13 13:28:48.000000,2021-05-13 13:15:36.000000,1731,141.0,911.0,7543,9168.0,Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as..,300.0,30,True,2021-04-13 13:14:52.000000,8.10.1,16.0,vowpalwabbit,,,,,141.0,125.0,https://pypi.org/project/vowpalwabbit,2021-04-13 13:14:52.000000,16.0,20861.0,20861.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
106,MoviePy,Zulko/moviepy,,image,https://github.com/Zulko/moviepy,https://github.com/Zulko/moviepy,MIT,2013-08-12 09:39:28.000000,2021-05-04 22:50:12.000000,2021-04-15 19:22:41.000000,1030,337.0,722.0,7501,1021.0,Video editing with Python.,139.0,30,True,2020-05-07 16:29:35.000000,1.0.3,84.0,moviepy,conda-forge/moviepy,,,,8493.0,7363.0,https://pypi.org/project/moviepy,2020-10-05 00:26:29.000000,1130.0,674396.0,676142.0,https://anaconda.org/conda-forge/moviepy,2020-02-23 19:57:49.975000,80351.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
107,tensorboardX,lanpa/tensorboardX,,ml-experiments,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000000,2021-04-06 13:33:53.253000,2021-04-03 15:54:51.000000,795,63.0,356.0,6945,468.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",65.0,30,True,2021-04-25 09:18:11.000000,2.2,13.0,tensorboardX,conda-forge/tensorboardx,,,,13241.0,11907.0,https://pypi.org/project/tensorboardX,2020-07-05 16:22:14.000000,1334.0,870625.0,879725.0,https://anaconda.org/conda-forge/tensorboardx,2021-04-06 13:33:53.253000,363755.0,,,,,2.0,326.0,,,,,,,,,,,,,,,,,,,,,,
108,Hyperopt,hyperopt/hyperopt,,hyperopt,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,BSD-3-Clause,2011-09-06 22:24:59.000000,2021-05-12 13:15:02.000000,2021-03-24 09:17:46.000000,880,343.0,225.0,5599,1172.0,Distributed Asynchronous Hyperparameter Optimization in Python.,87.0,30,True,2020-10-07 09:52:56.000000,0.2.5,11.0,hyperopt,conda-forge/hyperopt,,,,3774.0,3270.0,https://pypi.org/project/hyperopt,2020-10-07 09:52:56.000000,504.0,820570.0,827209.0,https://anaconda.org/conda-forge/hyperopt,2020-10-14 07:57:14.292000,212449.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
109,Chainer,chainer/chainer,,ml-frameworks,https://github.com/chainer/chainer,https://github.com/chainer/chainer,MIT,2015-06-05 05:50:37.000000,2021-02-17 11:20:21.000000,2021-02-17 11:20:21.000000,1374,18.0,2019.0,5572,30575.0,A flexible framework of neural networks for deep learning.,318.0,30,True,2021-01-13 10:14:54.000000,7.0.0.post1,109.0,chainer,,,,,2914.0,2172.0,https://pypi.org/project/chainer,2021-01-13 09:29:55.000000,742.0,25118.0,25118.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
110,Autograd,HIPS/autograd,,others,https://github.com/HIPS/autograd,https://github.com/HIPS/autograd,MIT,2014-11-24 15:50:23.000000,2021-04-22 18:19:00.000000,2021-03-03 09:27:58.000000,754,164.0,218.0,5227,1376.0,Efficiently computes derivatives of numpy code.,51.0,30,True,2017-08-24 17:00:41.000000,1.1.13,24.0,autograd,conda-forge/autograd,,,,2237.0,1893.0,https://pypi.org/project/autograd,2019-07-25 16:21:07.000000,344.0,1060760.0,1063741.0,https://anaconda.org/conda-forge/autograd,2019-07-25 18:29:55.493000,169933.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
111,sentence-transformers,UKPLab/sentence-transformers,,nlp,https://github.com/UKPLab/sentence-transformers,https://github.com/UKPLab/sentence-transformers,Apache-2.0,2019-07-24 10:53:51.000000,2021-05-13 03:15:51.000000,2021-05-13 03:15:51.000000,948,411.0,441.0,5025,797.0,Multilingual Sentence & Image Embeddings with BERT.,47.0,30,True,2021-05-12 13:14:10.000000,1.2.0,36.0,sentence-transformers,,,,['pytorch'],996.0,996.0,https://pypi.org/project/sentence-transformers,2021-05-12 12:46:11.000000,0.0,851956.0,851956.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
112,Tesseract,madmaze/pytesseract,,ocr,https://github.com/madmaze/pytesseract,https://github.com/madmaze/pytesseract,Apache-2.0,2010-10-27 23:02:49.000000,2021-05-10 20:26:14.000000,2021-05-10 20:26:14.000000,523,7.0,251.0,3575,383.0,Python-tesseract is an optical character recognition (OCR) tool for python.,37.0,30,True,2020-12-15 05:24:52.000000,0.3.7,24.0,pytesseract,conda-forge/pytesseract,,,,1428.0,,https://pypi.org/project/pytesseract,2020-12-15 05:24:52.000000,1428.0,724246.0,744120.0,https://anaconda.org/conda-forge/pytesseract,2021-04-30 15:13:39.702000,437239.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
113,PyCaret,pycaret/pycaret,,ml-experiments,https://github.com/pycaret/pycaret,https://github.com/pycaret/pycaret,MIT,2019-11-23 18:40:48.000000,2021-05-13 14:52:28.000000,2021-05-13 00:45:29.000000,744,198.0,680.0,3413,1739.0,"An open-source, low-code machine learning library in Python.",50.0,30,True,2021-04-28 12:36:06.000000,2.3.1,70.0,pycaret,,,,,906.0,906.0,https://pypi.org/project/pycaret,2021-04-28 12:36:06.000000,0.0,67205.0,67244.0,,,,,,,,2.0,390.0,,,,,,,,,,,,,,,,,,,,,,
114,wandb client,wandb/client,,ml-experiments,https://github.com/wandb/client,https://github.com/wandb/client,MIT,2017-03-24 05:46:23.000000,2021-05-13 02:15:11.000000,2021-05-11 02:16:33.000000,212,309.0,799.0,2949,3976.0,A tool for visualizing and tracking your machine learning experiments. This repo contains the CLI and Python API.,80.0,30,True,2021-05-07 22:16:22.000000,0.10.30,200.0,wandb,,,,,2956.0,2878.0,https://pypi.org/project/wandb,2021-05-07 22:09:20.000000,78.0,382150.0,382150.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
115,dbt,fishtown-analytics/dbt,,data-pipelines,https://github.com/fishtown-analytics/dbt,https://github.com/fishtown-analytics/dbt,Apache-2.0,2016-03-10 02:38:00.000000,2021-05-13 04:43:31.000000,2021-05-13 01:53:46.000000,565,348.0,1562.0,2930,2481.0,dbt (data build tool) enables data analysts and engineers to transform their data using the same practices that..,149.0,30,True,2021-03-31 18:19:23.000000,0.19.1,152.0,dbt,conda-forge/dbt,,,,288.0,270.0,https://pypi.org/project/dbt,2021-05-03 11:33:43.000000,18.0,334550.0,337594.0,https://anaconda.org/conda-forge/dbt,2021-05-04 13:04:32.097000,164410.0,,,,,2.0,,,,,,,,,,dbt,,,,,,,,,,,,,
116,torchtext,pytorch/text,,nlp,https://github.com/pytorch/text,https://github.com/pytorch/text,BSD-3-Clause,2016-12-12 00:56:03.000000,2021-05-13 11:39:11.000000,2021-05-12 17:21:55.000000,624,290.0,324.0,2754,813.0,Data loaders and abstractions for text and NLP.,108.0,30,True,2021-03-25 17:19:08.000000,0.9.1-rc1,14.0,torchtext,,,,['pytorch'],5168.0,4486.0,https://pypi.org/project/torchtext,2021-03-25 16:29:43.000000,682.0,138662.0,138662.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
117,PyQtGraph,pyqtgraph/pyqtgraph,,data-viz,https://github.com/pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,MIT,2013-09-12 07:18:21.000000,2021-05-13 10:29:08.000000,2021-05-13 04:51:01.000000,825,279.0,541.0,2411,2710.0,Fast data visualization and GUI tools for scientific / engineering applications.,193.0,30,True,2021-04-07 01:54:38.000000,pyqtgraph-0.12.1,14.0,pyqtgraph,conda-forge/pyqtgraph,,,,890.0,,https://pypi.org/project/pyqtgraph,2021-04-07 02:34:28.000000,890.0,62041.0,65437.0,https://anaconda.org/conda-forge/pyqtgraph,2021-04-07 05:35:51.854000,176606.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
118,AzureML SDK,Azure/MachineLearningNotebooks,,ml-experiments,https://github.com/Azure/MachineLearningNotebooks,https://github.com/Azure/MachineLearningNotebooks,MIT,2018-08-17 17:29:14.000000,2021-05-11 05:48:19.000000,2021-05-11 05:48:19.000000,1650,138.0,923.0,2284,1122.0,Python notebooks with ML and deep learning examples with Azure Machine Learning | Microsoft.,56.0,30,True,2021-04-19 15:48:53.000000,1.27.0,74.0,azureml-sdk,,,,,60.0,,https://pypi.org/project/azureml-sdk,2021-05-10 17:48:53.000000,60.0,688327.0,688340.0,,,,,,,,2.0,414.0,,,,,,,,,,,,,,,,,,,,,,
119,scikit-optimize,scikit-optimize/scikit-optimize,,hyperopt,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000000,2021-05-12 09:08:10.000000,2021-05-11 07:02:47.000000,396,205.0,370.0,2108,1561.0,Sequential model-based optimization with a `scipy.optimize` interface.,73.0,30,True,2020-09-04 09:08:10.000000,0.8.1,22.0,scikit-optimize,conda-forge/scikit-optimize,,,,1767.0,1607.0,https://pypi.org/project/scikit-optimize,2020-09-04 09:08:10.000000,160.0,1476935.0,1483176.0,https://anaconda.org/conda-forge/scikit-optimize,2020-09-04 09:50:52.372000,287124.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
120,smart-open,RaRe-Technologies/smart_open,,data-loading,https://github.com/RaRe-Technologies/smart_open,https://github.com/RaRe-Technologies/smart_open,MIT,2015-01-02 13:05:52.000000,2021-05-07 12:19:05.000000,2021-05-07 12:19:01.000000,279,56.0,251.0,2035,916.0,"Utils for streaming large files (S3, HDFS, gzip, bz2...).",80.0,30,True,2021-03-30 09:56:17.000000,5.0.0,48.0,smart-open,,,,,640.0,,https://pypi.org/project/smart-open,2021-03-30 09:55:04.000000,640.0,13112804.0,13112804.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
121,Geocoder,DenisCarriere/geocoder,,geospatial-data,https://github.com/DenisCarriere/geocoder,https://github.com/DenisCarriere/geocoder,MIT,2014-01-13 04:19:21.000000,2020-12-30 04:09:42.000000,2018-10-12 15:53:05.000000,260,90.0,217.0,1356,1251.0,Python Geocoder.,74.0,30,False,2018-04-04 12:34:51.000000,1.38.1,108.0,geocoder,conda-forge/geocoder,,,,4190.0,3346.0,https://pypi.org/project/geocoder,2018-04-04 12:34:51.000000,844.0,1413816.0,1415565.0,https://anaconda.org/conda-forge/geocoder,2019-06-27 16:40:50.469000,89211.0,,,,,2.0,,,,,,,,,,,,,,geocoder,,,,,,,,,
122,Wand,emcconville/wand,,image,https://github.com/emcconville/wand,https://github.com/emcconville/wand,MIT,2011-09-30 21:36:38.000000,2021-03-29 02:59:40.000000,2021-03-29 02:59:33.000000,183,14.0,328.0,1083,1698.0,The ctypes-based simple ImageMagick binding for Python.,95.0,30,True,2021-02-28 13:13:25.000000,0.6.6,48.0,wand,,,,,5628.0,4458.0,https://pypi.org/project/wand,2021-02-28 12:46:37.000000,1170.0,290360.0,290533.0,,,,,,,,2.0,5215.0,,,,,,,,,,,,,,,,,,,,,,
123,Fiona,Toblerity/Fiona,,geospatial-data,https://github.com/Toblerity/Fiona,https://github.com/Toblerity/Fiona,BSD-3-Clause,2011-12-31 19:47:00.000000,2021-04-25 14:27:18.000000,2021-04-25 14:27:18.000000,168,79.0,556.0,805,1094.0,Fiona reads and writes geographic data files.,65.0,30,True,2021-04-07 21:57:31.000000,1.8.19,97.0,fiona,conda-forge/fiona,,,,6893.0,5705.0,https://pypi.org/project/fiona,2021-04-07 21:57:31.000000,1188.0,1354118.0,1385295.0,https://anaconda.org/conda-forge/fiona,2021-04-08 06:39:37.208000,1932974.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
