,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,brew_id,apt_id,yum_id,updated_github_id,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,snap_id,dnf_id,yay_id,new_addition
236,nevergrad,facebookresearch/nevergrad,hyperopt,,https://github.com/facebookresearch/nevergrad,https://github.com/facebookresearch/nevergrad,MIT,2018-11-21 00:33:17.000,2022-05-17 19:40:50.000000,2022-05-06 20:29:06,1012,56.0,311,66.0,1228.0,108.0,155.0,3298,A Python toolbox for performing gradient-free optimization.,49.0,31,True,2022-03-08 18:42:46.000,0.5.0,36.0,nevergrad,conda-forge/nevergrad,,,,341.0,323.0,https://pypi.org/project/nevergrad,2022-03-08 18:42:46.000,18.0,39202.0,40212.0,https://anaconda.org/conda-forge/nevergrad,2021-06-14 12:44:22.518,25272.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
237,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2022-05-19 01:56:50.000000,2022-05-19 01:55:30,931,41.0,328,201.0,598.0,87.0,274.0,3177,Model interpretability and understanding for PyTorch.,83.0,31,True,2022-03-04 00:37:56.000,0.5.0,8.0,captum,conda-forge/captum,,,['pytorch'],559.0,540.0,https://pypi.org/project/captum,2022-03-03 23:07:53.000,19.0,50279.0,50453.0,https://anaconda.org/conda-forge/captum,2022-03-04 22:07:02.170,872.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
238,Catalyst,catalyst-team/catalyst,ml-experiments,,https://github.com/catalyst-team/catalyst,https://github.com/catalyst-team/catalyst,Apache-2.0,2018-08-20 07:56:13.000,2022-04-29 04:46:04.000000,2022-04-29 04:19:24,1698,7.0,361,46.0,1073.0,2.0,331.0,2926,Accelerated deep learning R&D.,103.0,31,True,2022-04-29 04:45:11.000,22.04,108.0,catalyst,,,,['pytorch'],573.0,544.0,https://pypi.org/project/catalyst,2022-04-29 04:46:04.000,29.0,1716382.0,1716382.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
239,NMSLIB,nmslib/nmslib,nn-search,,https://github.com/nmslib/nmslib,https://github.com/nmslib/nmslib,Apache-2.0,2013-07-10 11:06:06.000,2022-04-19 16:32:28.000000,2022-04-19 16:32:11,1555,39.0,382,97.0,119.0,60.0,337.0,2764,Non-Metric Space Library (NMSLIB): An efficient similarity search library and a toolkit for evaluation of k-NN methods..,48.0,31,True,2021-02-03 16:40:09.000,2.1.1,32.0,nmslib,conda-forge/nmslib,,,,657.0,610.0,https://pypi.org/project/nmslib,2021-02-03 00:02:08.000,47.0,107366.0,109410.0,https://anaconda.org/conda-forge/nmslib,2022-04-15 23:08:32.465,51109.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
240,hmmlearn,hmmlearn/hmmlearn,probabilistics,,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000,2022-05-18 20:06:50.000000,2022-05-18 20:06:50,414,7.0,696,113.0,92.0,54.0,329.0,2500,"Hidden Markov Models in Python, with scikit-learn like API.",39.0,31,True,2022-02-10 14:13:50.000,0.2.7,10.0,hmmlearn,conda-forge/hmmlearn,,,['sklearn'],1401.0,1274.0,https://pypi.org/project/hmmlearn,2022-02-10 14:13:50.000,127.0,431225.0,434027.0,https://anaconda.org/conda-forge/hmmlearn,2022-02-12 03:10:38.209,117718.0,,,,,2.0,,,-1.0,,,,,,,,,,,,,,,,,,
241,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2022-05-19 13:55:23.000000,2022-05-18 18:12:35,1606,248.0,144,34.0,1252.0,179.0,364.0,2425,Aim easy-to-use and performant open-source ML experiment tracker.,36.0,31,True,2022-05-18 18:44:42.000,3.10.1,242.0,aim,conda-forge/aim,,,,82.0,78.0,https://pypi.org/project/aim,2022-05-19 00:14:34.000,4.0,40639.0,41737.0,https://anaconda.org/conda-forge/aim,2021-10-15 14:36:27.336,10987.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
242,ploomber,ploomber/ploomber,data-pipelines,,https://github.com/ploomber/ploomber,https://github.com/ploomber/ploomber,Apache-2.0,2020-01-20 20:13:06.000,2022-05-19 12:18:40.000000,2022-05-19 03:21:50,2660,221.0,155,24.0,111.0,192.0,494.0,2381,"The fastest way to build data pipelines. Develop iteratively, deploy anywhere.",47.0,31,True,2022-05-18 00:57:09.000,0.19.2,88.0,ploomber,conda-forge/ploomber,,,,45.0,40.0,https://pypi.org/project/ploomber,2022-05-18 00:57:09.000,5.0,4069.0,4690.0,https://anaconda.org/conda-forge/ploomber,2022-05-18 13:06:51.798,6831.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
243,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2022-02-03 21:29:27.000000,2021-10-12 13:32:38,1570,,419,65.0,512.0,232.0,387.0,2345,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,31,True,2021-10-12 15:33:19.000,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,2853.0,2679.0,https://pypi.org/project/scikit-optimize,2021-10-12 14:21:32.000,174.0,850590.0,859996.0,https://anaconda.org/conda-forge/scikit-optimize,2021-12-15 05:01:56.230,545601.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
244,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/deepmind/dm-haiku,https://github.com/deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2022-05-19 13:44:16.000000,2022-05-19 13:23:35,741,56.0,154,37.0,263.0,35.0,124.0,1893,JAX-based neural network library.,61.0,31,True,2022-02-14 13:30:31.000,0.0.6,8.0,dm-haiku,conda-forge/dm-haiku,,,,462.0,432.0,https://pypi.org/project/dm-haiku,2022-02-14 13:30:31.000,30.0,99311.0,99486.0,https://anaconda.org/conda-forge/dm-haiku,2022-02-14 15:16:38.407,2634.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
245,TFX,tensorflow/tfx,data-pipelines,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2022-05-19 10:40:37.000000,2022-05-19 04:50:28,4239,112.0,557,85.0,4121.0,249.0,509.0,1755,TFX is an end-to-end platform for deploying production ML pipelines.,136.0,31,True,2022-05-10 06:16:31.000,1.5.1,78.0,tfx,,,,['tensorflow'],12.0,,https://pypi.org/project/tfx,2022-05-17 22:44:22.000,12.0,371870.0,371870.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
246,FairScale,facebookresearch/fairscale,distributed-ml,,https://github.com/facebookresearch/fairscale,https://github.com/facebookresearch/fairscale,BSD-3-Clause,2020-07-07 19:02:01.000,2022-05-19 06:08:01.000000,2022-05-14 03:23:47,617,26.0,174,37.0,687.0,66.0,242.0,1739,PyTorch extensions for high performance and large scale training.,61.0,31,True,2022-03-09 19:12:03.000,0.4.6,28.0,fairscale,conda-forge/fairscale,,,['pytorch'],299.0,284.0,https://pypi.org/project/fairscale,2022-03-09 19:12:00.000,15.0,138719.0,141404.0,https://anaconda.org/conda-forge/fairscale,2022-03-22 05:13:02.529,16110.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
247,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2022-05-17 07:58:33.000000,2022-05-17 07:58:33,3531,24.0,173,53.0,1248.0,113.0,644.0,1733,Ahead of Time compiler for numeric kernels.,66.0,31,True,2021-12-14 08:16:44.000,0.11.0,52.0,pythran,conda-forge/pythran,,,,152.0,138.0,https://pypi.org/project/pythran,2021-12-14 08:16:44.000,14.0,310424.0,315186.0,https://anaconda.org/conda-forge/pythran,2022-04-10 10:43:10.231,228589.0,,,,,2.0,,,,,,,,,,,,,,,,,,,pythran,python-pythran,
248,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,BSD-2-Clause,2010-07-09 20:41:11.000,2022-04-08 08:13:55.565000,2022-01-07 20:13:06,422,,148,42.0,51.0,10.0,99.0,1656,a python library for doing approximate and phonetic matching of strings.,25.0,31,True,2022-01-07 20:20:43.000,0.9.0,32.0,jellyfish,conda-forge/jellyfish,,,,4068.0,3670.0,https://pypi.org/project/jellyfish,2022-01-07 20:20:43.000,398.0,2117895.0,2121076.0,https://anaconda.org/conda-forge/jellyfish,2022-04-08 08:13:55.565,216308.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
249,mleap,combust/mleap,data-pipelines,,https://github.com/combust/mleap,https://github.com/combust/mleap,Apache-2.0,2016-08-23 03:51:03.000,2022-05-03 11:44:46.000000,2022-05-03 11:44:45,998,16.0,296,73.0,376.0,90.0,354.0,1382,MLeap: Deploy ML Pipelines to Production.,73.0,31,True,2022-04-04 13:22:30.000,0.20.0,10.0,mleap,conda-forge/mleap,,,,211.0,185.0,https://pypi.org/project/mleap,2022-04-04 13:22:30.000,26.0,221247.0,222496.0,https://anaconda.org/conda-forge/mleap,2022-04-05 03:50:48.321,46238.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
250,ArcGIS API,Esri/arcgis-python-api,geospatial-data,,https://github.com/Esri/arcgis-python-api,https://github.com/Esri/arcgis-python-api,Apache-2.0,2016-03-16 01:09:14.000,2022-05-19 03:31:29.000000,2022-05-17 10:16:31,3465,54.0,883,138.0,819.0,123.0,387.0,1298,Documentation and samples for ArcGIS API for Python.,80.0,31,True,2022-02-02 00:09:26.000,2.0.0,32.0,arcgis,,esridocker/arcgis-api-python-notebook,,,22.0,,https://pypi.org/project/arcgis,2022-02-03 03:33:19.000,22.0,69892.0,70034.0,,,,https://hub.docker.com/r/esridocker/arcgis-api-python-notebook,2022-02-04 23:58:53.044266,33.0,6972.0,3.0,3327.0,,,,,,,,,,,,,,,,,,,,
251,Model Analysis,tensorflow/model-analysis,interpretability,,https://github.com/tensorflow/model-analysis,https://github.com/tensorflow/model-analysis,Apache-2.0,2018-03-23 19:08:49.000,2022-05-18 09:01:51.000000,2022-05-18 09:01:50,1150,44.0,245,71.0,91.0,27.0,49.0,1155,Model analysis tools for TensorFlow.,41.0,31,True,2022-05-16 03:23:38.000,0.39.0,49.0,tensorflow-model-analysis,,,,"['tensorflow', 'jupyter']",21.0,,https://pypi.org/project/tensorflow-model-analysis,2022-05-16 03:38:20.000,21.0,982531.0,982531.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
252,cartopy,SciTools/cartopy,data-viz,,https://github.com/SciTools/cartopy,https://github.com/SciTools/cartopy,LGPL-3.0,2012-08-03 07:43:59.000,2022-05-11 01:58:52.000000,2022-05-11 01:58:51,2606,16.0,315,58.0,981.0,303.0,777.0,1050,Cartopy - a cartographic python library with matplotlib support.,109.0,31,False,2022-01-13 02:45:47.000,0.20.2,25.0,cartopy,conda-forge/cartopy,,,,2679.0,2376.0,https://pypi.org/project/cartopy,2022-01-13 02:48:14.000,303.0,134807.0,162964.0,https://anaconda.org/conda-forge/cartopy,2022-03-09 12:44:40.770,2083649.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
253,petl,petl-developers/petl,data-pipelines,,https://github.com/petl-developers/petl,https://github.com/petl-developers/petl,MIT,2011-08-19 09:51:03.000,2022-04-26 23:43:23.754000,2022-04-25 16:19:11,1253,22.0,173,49.0,181.0,76.0,366.0,1008,Python Extract Transform and Load Tables of Data.,54.0,31,True,2022-04-25 16:22:37.000,1.7.9,84.0,petl,conda-forge/petl,,http://petl.readthedocs.org,,790.0,716.0,https://pypi.org/project/petl,2022-04-25 16:22:37.000,74.0,193175.0,194276.0,https://anaconda.org/conda-forge/petl,2022-04-26 23:43:23.754,74880.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
254,ktrain,amaiya/ktrain,ml-frameworks,,https://github.com/amaiya/ktrain,https://github.com/amaiya/ktrain,Apache-2.0,2019-02-06 17:01:39.000,2022-05-17 18:00:59.000000,2022-05-17 17:56:58,2808,221.0,244,32.0,35.0,,413.0,993,ktrain is a Python library that makes deep learning and AI more accessible and easier to apply.,15.0,31,True,2022-05-17 18:00:59.000,0.31.1,171.0,ktrain,,,,['tensorflow'],294.0,291.0,https://pypi.org/project/ktrain,2022-05-17 17:59:39.000,3.0,27693.0,27693.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
255,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2022-05-12 12:20:15.000000,2022-05-09 12:22:06,1891,29.0,216,35.0,137.0,37.0,357.0,972,Python interface for igraph.,60.0,31,False,2022-04-11 14:19:16.000,0.9.10,28.0,python-igraph,conda-forge/igraph,,,,1021.0,647.0,https://pypi.org/project/python-igraph,2022-04-11 14:19:16.000,374.0,248293.0,258971.0,https://anaconda.org/conda-forge/igraph,2022-04-12 09:31:20.357,286499.0,,,,,1.0,403147.0,,,,,,,,,,,,,,,,,,,,
256,pyopencl,inducer/pyopencl,others,,https://github.com/inducer/pyopencl,https://github.com/inducer/pyopencl,MIT,2011-04-06 02:51:33.000,2022-05-18 09:19:55.074000,2022-05-17 21:24:40,3073,16.0,225,46.0,249.0,70.0,239.0,888,"OpenCL integration for Python, plus shiny features.",91.0,31,True,2022-05-17 21:25:45.000,2022.1.4,80.0,pyopencl,conda-forge/pyopencl,,,,914.0,727.0,https://pypi.org/project/pyopencl,2022-05-17 23:03:35.000,187.0,30384.0,39278.0,https://anaconda.org/conda-forge/pyopencl,2022-05-18 09:19:55.074,595962.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
257,metrics,PyTorchLightning/metrics,distributed-ml,,https://github.com/PyTorchLightning/metrics,https://github.com/PyTorchLightning/metrics,Apache-2.0,2020-12-22 20:02:42.000,2022-05-19 13:15:45.000000,2022-05-17 04:41:37,791,108.0,181,25.0,568.0,62.0,302.0,860,"Machine learning metrics for distributed, scalable PyTorch applications.",131.0,31,True,2022-05-06 06:25:18.000,0.8.2,18.0,metrics,conda-forge/torchmetrics,,,['pytorch'],2947.0,2933.0,https://pypi.org/project/metrics,2018-04-28 10:58:56.000,14.0,2847.0,27283.0,https://anaconda.org/conda-forge/torchmetrics,2022-05-06 09:59:13.404,341465.0,,,,,2.0,655.0,,,,,,,,,,,,,,,,,,,,
258,snowballstemmer,snowballstem/snowball,nlp,,https://github.com/snowballstem/snowball,https://github.com/snowballstem/snowball,BSD-3-Clause,2013-02-23 07:17:42.000,2022-03-28 04:36:11.000000,2021-12-17 04:08:52,919,,161,34.0,108.0,33.0,44.0,559,Snowball compiler and stemming algorithms.,28.0,31,True,2021-11-16 18:38:34.000,2.2.0,10.0,snowballstemmer,conda-forge/snowballstemmer,,,,6749.0,4.0,https://pypi.org/project/snowballstemmer,2021-11-16 18:38:34.000,6745.0,6724841.0,6787233.0,https://anaconda.org/conda-forge/snowballstemmer,2021-11-17 09:59:16.947,4305083.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
259,DIPY,dipy/dipy,medical-data,,https://github.com/dipy/dipy,https://github.com/dipy/dipy,BSD-3-Clause,2010-02-06 11:43:08.000,2022-05-18 21:39:07.000000,2022-05-17 16:08:24,12187,161.0,357,50.0,1758.0,147.0,659.0,512,"DIPY is the paragon 3D/4D+ imaging library in Python. Contains generic methods for spatial normalization, signal..",130.0,31,True,2021-05-06 04:40:48.000,1.4.1,24.0,dipy,conda-forge/dipy,,,,640.0,560.0,https://pypi.org/project/dipy,2022-03-11 20:19:02.000,80.0,12294.0,16386.0,https://anaconda.org/conda-forge/dipy,2022-03-15 06:15:21.138,294667.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
260,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Apache-2.0,2020-12-22 10:20:28.000,2022-05-19 09:53:41.000000,2022-05-18 15:57:58,642,89.0,99,41.0,582.0,79.0,156.0,422,All the open source things related to the Hugging Face Hub.,63.0,31,True,2022-05-11 18:11:57.000,0.6.0,29.0,huggingface_hub,conda-forge/huggingface_hub,,,,79.0,,https://pypi.org/project/huggingface_hub,2022-05-11 18:11:57.000,79.0,5216838.0,5225446.0,https://anaconda.org/conda-forge/huggingface_hub,2022-05-12 11:13:37.615,129125.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
261,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2022-03-11 23:50:34.000000,2021-05-08 20:05:36,292,,1908,280.0,68.0,253.0,429.0,7032,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,15.0,30,True,2021-01-05 01:26:01.000,2.1.6,10.0,imageai,conda-forge/imageai,,,,1117.0,1101.0,https://pypi.org/project/imageai,2021-01-05 01:26:01.000,16.0,17294.0,32692.0,https://anaconda.org/conda-forge/imageai,2021-04-30 19:03:25.297,2682.0,,,,,2.0,748583.0,,,,,,,,,,,,,,,,,,,,
262,faust,robinhood/faust,data-pipelines,,https://github.com/robinhood/faust,https://github.com/robinhood/faust,BSD-3-Clause,2017-03-08 18:36:11.000,2022-04-23 23:04:21.000000,2020-10-09 12:59:42,4137,,524,135.0,286.0,249.0,238.0,6161,Python Stream Processing.,93.0,30,False,2020-02-25 22:57:18.000,1.10.4,46.0,faust,,,,,1080.0,1051.0,https://pypi.org/project/faust,2020-02-25 22:57:18.000,29.0,36798.0,36798.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
263,FinRL,AI4Finance-Foundation/FinRL,reinforcement-learning,,https://github.com/AI4Finance-Foundation/FinRL,https://github.com/AI4Finance-Foundation/FinRL,MIT,2020-07-26 13:18:16.000,2022-05-16 00:41:31.000000,2022-05-16 00:41:26,2104,698.0,1169,145.0,171.0,56.0,349.0,4920,FinRL: The first open-source project for financial reinforcement learning. Please star.,64.0,30,True,2022-01-08 13:58:14.000,0.3.4,6.0,finrl,,,,,11.0,11.0,https://pypi.org/project/finrl,2022-01-08 13:58:14.000,,263.0,263.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
264,VisualDL,PaddlePaddle/VisualDL,ml-experiments,,https://github.com/PaddlePaddle/VisualDL,https://github.com/PaddlePaddle/VisualDL,Apache-2.0,2017-12-20 12:34:31.000,2022-05-16 17:57:18.000000,2022-04-01 08:12:37,861,1.0,579,151.0,662.0,75.0,336.0,4344,Deep Learning Visualization Toolkit.,31.0,30,True,2021-11-09 12:29:34.000,2.2.2,35.0,visualdl,,,,['paddle'],1145.0,1122.0,https://pypi.org/project/visualdl,2022-01-06 11:05:02.000,23.0,83989.0,83996.0,,,,,,,,2.0,182.0,,,,,,,,,,,,,,,,,,,,
265,Darts,unit8co/darts,time-series-data,,https://github.com/unit8co/darts,https://github.com/unit8co/darts,Apache-2.0,2018-09-13 15:17:28.000,2022-05-19 07:19:46.000000,2022-05-18 19:41:05,766,43.0,410,40.0,508.0,162.0,295.0,4049,A python library for easy manipulation and forecasting of time series.,53.0,30,True,2022-04-13 19:19:27.000,0.19.0,29.0,u8darts,conda-forge/u8darts-all,unit8/darts,,,58.0,56.0,https://pypi.org/project/u8darts,2022-04-13 19:19:27.000,2.0,11194.0,11598.0,https://anaconda.org/conda-forge/u8darts-all,2022-04-14 09:14:30.260,3979.0,https://hub.docker.com/r/unit8/darts,2022-04-13 19:39:52.387591,,333.0,2.0,,,,,,,,,,,,,,,,,,,,,
266,yellowbrick,DistrictDataLabs/yellowbrick,interpretability,,https://github.com/DistrictDataLabs/yellowbrick,https://github.com/DistrictDataLabs/yellowbrick,Apache-2.0,2016-05-18 14:12:17.000,2022-05-18 14:33:13.000000,2022-05-07 21:00:55,874,10.0,516,105.0,590.0,90.0,571.0,3604,Visual analysis and diagnostic tools to facilitate machine learning model selection.,104.0,30,True,2022-02-19 22:49:03.000,1.4,23.0,yellowbrick,conda-forge/yellowbrick,,,['sklearn'],62.0,,https://pypi.org/project/yellowbrick,2022-02-19 22:41:36.000,62.0,619484.0,620730.0,https://anaconda.org/conda-forge/yellowbrick,2022-03-24 21:56:05.074,26171.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
267,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-05-08 15:20:48.899000,2022-05-08 14:23:22,598,35.0,273,65.0,205.0,40.0,422.0,3403,Visualizer for pandas data structures.,23.0,30,True,2022-05-08 14:50:41.000,2.4.0,146.0,dtale,conda-forge/dtale,,,"['pandas', 'jupyter']",380.0,368.0,https://pypi.org/project/dtale,2022-05-08 14:45:40.000,12.0,59174.0,63411.0,https://anaconda.org/conda-forge/dtale,2022-05-08 15:20:48.899,114407.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
268,ftfy,rspeer/python-ftfy,nlp,,https://github.com/rspeer/python-ftfy,https://github.com/rspeer/python-ftfy,MIT,2012-08-24 16:14:59.000,2022-05-07 09:43:39.000000,2022-02-09 19:43:12,605,,112,73.0,63.0,12.0,118.0,3241,"Fixes mojibake and other glitches in Unicode text, after the fact.",18.0,30,True,2022-02-09 19:44:15.000,6.1.1,48.0,ftfy,conda-forge/ftfy,,,,6182.0,5691.0,https://pypi.org/project/ftfy,2022-02-09 19:44:15.000,491.0,1776819.0,1779421.0,https://anaconda.org/conda-forge/ftfy,2022-03-13 19:47:23.479,158727.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
269,missingno,ResidentMario/missingno,data-viz,,https://github.com/ResidentMario/missingno,https://github.com/ResidentMario/missingno,MIT,2016-03-27 15:18:50.000,2022-02-27 20:46:03.000000,2022-02-27 20:46:03,186,6.0,396,70.0,36.0,6.0,112.0,3169,Missing data visualization module for Python.,17.0,30,True,2022-02-27 20:39:36.000,0.5.1,25.0,missingno,conda-forge/missingno,,,,7422.0,7307.0,https://pypi.org/project/missingno,2022-02-27 20:39:36.000,115.0,957041.0,959756.0,https://anaconda.org/conda-forge/missingno,2020-02-15 10:07:41.253,157480.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
270,ta,bukosabino/ta,financial-data,,https://github.com/bukosabino/ta,https://github.com/bukosabino/ta,MIT,2018-01-02 18:08:48.000,2022-05-06 05:50:08.000000,2022-04-24 13:40:45,612,8.0,702,130.0,103.0,111.0,96.0,3021,Technical Analysis Library using Pandas and Numpy.,28.0,30,True,2022-04-16 10:24:20.000,0.10.1,53.0,ta,conda-forge/ta,,,,1220.0,1187.0,https://pypi.org/project/ta,2022-04-16 10:24:20.000,33.0,77322.0,77519.0,https://anaconda.org/conda-forge/ta,2022-04-21 15:19:41.291,2959.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
271,implicit,benfred/implicit,recommender-systems,,https://github.com/benfred/implicit,https://github.com/benfred/implicit,MIT,2016-04-17 03:45:23.000,2022-05-17 18:06:09.000000,2022-05-17 18:06:03,381,9.0,533,82.0,173.0,74.0,327.0,2784,Fast Python Collaborative Filtering for Implicit Feedback Datasets.,30.0,30,True,2022-01-29 04:12:37.000,0.5.2,41.0,implicit,conda-forge/implicit,,,,628.0,597.0,https://pypi.org/project/implicit,2022-01-29 04:12:37.000,31.0,131874.0,138547.0,https://anaconda.org/conda-forge/implicit,2022-01-29 16:35:56.077,347036.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
272,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2022-05-19 03:49:35.000000,2022-05-18 17:06:12,3175,393.0,519,48.0,765.0,125.0,762.0,2614,"Serve, optimize and scale PyTorch models in production.",114.0,30,True,2022-05-16 20:02:45.000,0.6.0,15.0,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],9.0,,https://pypi.org/project/torchserve,2022-05-13 21:12:28.000,9.0,17369.0,51215.0,https://anaconda.org/pytorch/torchserve,2022-05-13 21:22:14.370,22954.0,https://hub.docker.com/r/pytorch/torchserve,2022-05-13 21:56:11.339302,11.0,1018644.0,2.0,1746.0,,,,,,,,,,,,,,,,,,,,
273,Neural Network Libraries,sony/nnabla,ml-frameworks,,https://github.com/sony/nnabla,https://github.com/sony/nnabla,Apache-2.0,2017-06-26 01:07:10.000,2022-05-19 06:40:18.000000,2022-05-19 06:40:15,3064,82.0,315,162.0,1000.0,33.0,45.0,2536,Neural Network Libraries.,66.0,30,True,2022-05-02 00:27:26.000,1.28.0,65.0,nnabla,,,,,53.0,,https://pypi.org/project/nnabla,2022-05-01 11:42:01.000,53.0,3610.0,3619.0,,,,,,,,3.0,535.0,,,,,,,,,,,,,,,,,,,,
274,ImageHash,JohannesBuchner/imagehash,image,,https://github.com/JohannesBuchner/imagehash,https://github.com/JohannesBuchner/imagehash,BSD-2-Clause,2013-03-02 23:32:48.000,2022-05-01 18:54:23.000000,2021-09-07 19:15:32,209,,295,65.0,54.0,13.0,94.0,2377,A Python Perceptual Image Hashing Module.,20.0,30,True,2021-07-15 12:35:01.000,4.2.1,18.0,ImageHash,conda-forge/imagehash,,,,5330.0,5015.0,https://pypi.org/project/ImageHash,2021-07-15 12:35:01.000,315.0,1365070.0,1367751.0,https://anaconda.org/conda-forge/imagehash,2021-07-15 15:00:27.543,176987.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
275,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2022-05-19 15:00:59.000000,2022-05-12 21:54:52,879,57.0,278,46.0,253.0,72.0,194.0,2239,NeuralProphet: A simple forecasting package.,19.0,30,True,2022-03-22 02:55:21.000,0.3.2,12.0,neuralprophet,,,,['pytorch'],78.0,78.0,https://pypi.org/project/neuralprophet,2022-03-22 02:55:21.000,,76125.0,76125.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
