,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,updated_github_id,conda_dependent_project_count,maven_id,maven_url,dnf_id,yay_id,snap_id,new_addition
165,Chainer,chainer/chainer,ml-frameworks,,https://github.com/chainer/chainer,https://github.com/chainer/chainer,MIT,2015-06-05 05:50:37.000,2022-10-17 02:32:13.000000,2022-10-17 02:18:00,30611.0,,1322,292.0,6586.0,12.0,2030.0,5802,A flexible framework of neural networks for deep learning.,325.0,33,True,2022-06-29 08:19:03.000,7.8.1.post1,100.0,chainer,conda-forge/chainer,,,,3036.0,3036.0,https://pypi.org/project/chainer,17899.0,18250.0,https://anaconda.org/conda-forge/chainer,2022-01-21 17:09:00.786,14068.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
166,ClearML,allegroai/clearml,ml-experiments,,https://github.com/allegroai/clearml,https://github.com/allegroai/clearml,Apache-2.0,2019-06-10 08:18:32.000,2023-06-01 12:17:37.000000,2023-06-01 12:13:03,2120.0,104.0,586,83.0,213.0,345.0,463.0,4437,"ClearML - Auto-Magical CI/CD to streamline your ML workflow. Experiment Manager, MLOps and Data-Management.",78.0,33,True,2023-05-27 16:03:00.482,1.11.0,128.0,clearml,,allegroai/trains,,,584.0,570.0,https://pypi.org/project/clearml,224040.0,224691.0,,,,https://hub.docker.com/r/allegroai/trains,2020-10-05 10:16:46.865671,,30170.0,2.0,1116.0,2023-01-25 17:36:00.225,14.0,,,,,,,,,,,,,,,,,,
167,geopy,geopy/geopy,geospatial-data,,https://github.com/geopy/geopy,https://github.com/geopy/geopy,MIT,2010-03-04 22:05:28.000,2023-01-27 10:08:02.000000,2022-11-13 09:58:17,1107.0,,611,93.0,259.0,34.0,242.0,3964,Geocoding library for Python.,128.0,33,True,2022-11-13 10:18:02.100,2.3.0,59.0,geopy,conda-forge/geopy,,,,3997.0,,https://pypi.org/project/geopy,4135389.0,4147525.0,https://anaconda.org/conda-forge/geopy,2022-11-13 14:50:04.191,1055838.0,,,,,2.0,,2022-11-13 10:18:02.100,3997.0,6.0,,,,,,,,,,,,,,,,,
168,ART,Trusted-AI/adversarial-robustness-toolbox,adversarial,,https://github.com/Trusted-AI/adversarial-robustness-toolbox,https://github.com/Trusted-AI/adversarial-robustness-toolbox,MIT,2018-03-15 14:40:43.000,2023-05-31 08:44:17.000000,2023-05-29 12:52:36,11450.0,165.0,978,95.0,1181.0,107.0,698.0,3710,"Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction,..",126.0,33,True,2023-04-21 19:47:55.000,1.14.1,52.0,adversarial-robustness-toolbox,conda-forge/adversarial-robustness-toolbox,,,,376.0,366.0,https://pypi.org/project/adversarial-robustness-toolbox,18443.0,19194.0,https://anaconda.org/conda-forge/adversarial-robustness-toolbox,2023-04-21 21:37:15.160,26289.0,,,,,1.0,,2023-02-16 12:42:01.376,10.0,,,,,,,,,,,,,,,,,,
169,Core ML Tools,apple/coremltools,model-serialisation,,https://github.com/apple/coremltools,https://github.com/apple/coremltools,BSD-3-Clause,2017-06-30 07:39:02.000,2023-05-31 00:09:24.000000,2023-05-31 00:09:24,1040.0,19.0,495,112.0,710.0,218.0,947.0,3351,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.",151.0,33,True,2023-04-03 16:30:55.879,6.3.0,42.0,coremltools,conda-forge/coremltools,,,,3278.0,3117.0,https://pypi.org/project/coremltools,162461.0,164053.0,https://anaconda.org/conda-forge/coremltools,2021-10-15 05:58:32.248,47983.0,,,,,2.0,6469.0,2022-11-15 05:40:01.465,161.0,,,,,,,,,,,,,,,,,,
170,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2023-06-01 05:21:48.000000,2023-05-27 00:21:35,3796.0,48.0,494,55.0,854.0,329.0,934.0,3127,A highly efficient implementation of Gaussian Processes in PyTorch.,121.0,33,True,2023-04-14 21:01:02.000,1.10,37.0,gpytorch,conda-forge/gpytorch,,,['pytorch'],1397.0,1329.0,https://pypi.org/project/gpytorch,212164.0,214666.0,https://anaconda.org/conda-forge/gpytorch,2023-04-15 22:57:00.443,97599.0,,,,,2.0,,2023-01-04 22:57:01.843,68.0,,,,,,,,,,,,,,,,,,
171,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2023-05-31 09:16:18.677000,2023-05-30 13:23:02,1427.0,22.0,364,94.0,670.0,134.0,420.0,2985,Quickly and accurately render even the largest data.,53.0,33,True,2023-06-01 09:16:22.000,0.15.0,35.0,datashader,conda-forge/datashader,,,,2524.0,2408.0,https://pypi.org/project/datashader,51889.0,60512.0,https://anaconda.org/conda-forge/datashader,2023-05-31 09:16:18.677,577744.0,,,,,2.0,,2023-02-02 14:10:02.142,116.0,,,,,,,,,,,,,,,,,,
172,NeuralProphet,ourownstory/neural_prophet,time-series-data,,https://github.com/ourownstory/neural_prophet,https://github.com/ourownstory/neural_prophet,MIT,2020-05-04 05:12:43.000,2023-05-31 20:13:27.000000,2023-05-24 20:57:23,1332.0,80.0,410,49.0,661.0,62.0,417.0,2968,NeuralProphet: A simple forecasting package.,39.0,33,True,2023-04-26 02:00:02.000,0.6.0,24.0,neuralprophet,,,,['pytorch'],245.0,243.0,https://pypi.org/project/neuralprophet,156767.0,156767.0,,,,,,,,1.0,,2023-01-15 17:28:00.546,2.0,,,,,,,,,,,,,,,,,,
173,BoTorch,pytorch/botorch,hyperopt,,https://github.com/pytorch/botorch,https://github.com/pytorch/botorch,MIT,2018-07-30 23:59:57.000,2023-06-01 13:44:18.000000,2023-05-31 23:47:39,1545.0,82.0,318,51.0,1270.0,63.0,344.0,2639,Bayesian optimization in PyTorch.,92.0,33,True,2023-05-08 17:51:17.784,0.8.5,37.0,botorch,conda-forge/botorch,,,['pytorch'],588.0,558.0,https://pypi.org/project/botorch,194227.0,196261.0,https://anaconda.org/conda-forge/botorch,2023-05-08 21:52:04.264,69186.0,,,,,1.0,,2023-01-06 00:44:02.633,30.0,,,,,,,,,,,,,,,,,,
174,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2023-05-17 08:52:33.000000,2021-10-12 13:32:38,1570.0,,468,64.0,527.0,243.0,390.0,2603,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,33,False,2021-10-12 15:33:19.000,0.9.0,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,4316.0,4316.0,https://pypi.org/project/scikit-optimize,505177.0,514186.0,https://anaconda.org/conda-forge/scikit-optimize,2021-12-15 05:01:56.230,639640.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
175,TF-Agents,tensorflow/agents,reinforcement-learning,,https://github.com/tensorflow/agents,https://github.com/tensorflow/agents,Apache-2.0,2018-11-17 00:29:12.000,2023-05-30 22:36:57.000000,2023-05-26 21:14:34,2217.0,26.0,688,85.0,194.0,180.0,455.0,2518,"TF-Agents: A reliable, scalable and easy to use TensorFlow library for Contextual Bandits and Reinforcement Learning.",138.0,33,True,2023-03-23 15:26:04.197,0.16.0,44.0,tf-agents,,,,['tensorflow'],1175.0,1170.0,https://pypi.org/project/tf-agents,111246.0,111246.0,,,,,,,,1.0,,2022-12-03 21:39:32.608,5.0,,,,,,,,,,,,,,,,,,
176,Lifelines,CamDavidsonPilon/lifelines,medical-data,,https://github.com/CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines,MIT,2013-08-28 00:16:42.000,2023-05-25 10:59:23.000000,2023-05-25 10:59:22,2241.0,20.0,518,71.0,470.0,243.0,663.0,2106,Survival analysis in Python.,107.0,33,True,2023-05-01 16:15:35.000,0.27.7,100.0,lifelines,conda-forge/lifelines,,,,1610.0,1610.0,https://pypi.org/project/lifelines,387056.0,390176.0,https://anaconda.org/conda-forge/lifelines,2023-05-02 11:43:11.299,262105.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
177,Ax,facebook/Ax,hyperopt,,https://github.com/facebook/Ax,https://github.com/facebook/Ax,MIT,2019-02-09 15:23:44.000,2023-05-31 20:45:51.000000,2023-05-31 20:42:18,2411.0,117.0,255,67.0,1103.0,51.0,494.0,2078,Adaptive Experimentation Platform.,144.0,33,True,2023-05-08 20:46:03.548,0.3.2,35.0,ax-platform,conda-forge/ax-platform,,,['pytorch'],506.0,482.0,https://pypi.org/project/ax-platform,126933.0,127325.0,https://anaconda.org/conda-forge/ax-platform,2023-05-17 12:52:51.084,9408.0,,,,,1.0,,2023-03-01 17:14:00.974,24.0,,,,,,,,,,,,,,,,,,
178,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2023-05-27 13:18:26.577000,2023-05-26 08:39:12,3636.0,25.0,186,51.0,1314.0,124.0,691.0,1896,Ahead of Time compiler for numeric kernels.,70.0,33,True,2023-05-02 20:06:11.980,0.12.2,57.0,pythran,conda-forge/pythran,,,,884.0,862.0,https://pypi.org/project/pythran,291486.0,297516.0,https://anaconda.org/conda-forge/pythran,2023-05-27 13:18:26.577,367843.0,,,,,2.0,,2023-01-15 07:55:46.624,22.0,,,,,,,,,,,,,,,pythran,python-pythran,,
179,Graphviz,xflr6/graphviz,data-viz,,https://github.com/xflr6/graphviz,https://github.com/xflr6/graphviz,MIT,2014-01-12 17:49:29.000,2023-05-13 13:47:58.000000,2023-01-30 19:02:45,1184.0,,193,32.0,40.0,7.0,152.0,1401,Simple Python interface for Graphviz.,19.0,33,True,,,13.0,graphviz,anaconda/python-graphviz,,,,48542.0,48542.0,https://pypi.org/project/graphviz,7799576.0,7800082.0,https://anaconda.org/anaconda/python-graphviz,2023-03-16 14:11:56.878,37478.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
180,pmdarima,alkaline-ml/pmdarima,time-series-data,,https://github.com/alkaline-ml/pmdarima,https://github.com/alkaline-ml/pmdarima,MIT,2017-03-30 14:58:30.000,2023-05-26 14:24:12.000000,2023-05-26 14:15:03,1072.0,4.0,224,35.0,241.0,41.0,268.0,1367,"A statistical library designed to fill the void in Pythons time series analysis capabilities, including the equivalent..",22.0,33,True,2023-03-15 20:50:50.683,2.0.3,43.0,pmdarima,conda-forge/pmdarima,,,,5476.0,5402.0,https://pypi.org/project/pmdarima,1629092.0,1647906.0,https://anaconda.org/conda-forge/pmdarima,2023-03-19 11:00:48.221,602068.0,,,,,1.0,,2022-11-28 13:52:23.831,74.0,,,,,,,,,,,,,,,,,,
181,igraph,igraph/python-igraph,graph,,https://github.com/igraph/python-igraph,https://github.com/igraph/python-igraph,GPL-2.0,2015-01-08 23:55:16.000,2023-06-01 05:53:52.000000,2023-05-29 16:08:35,2578.0,68.0,241,36.0,175.0,39.0,450.0,1111,Python interface for igraph.,71.0,33,False,2023-01-28 13:30:00.570,0.10.4,34.0,python-igraph,conda-forge/igraph,,,,2220.0,1810.0,https://pypi.org/project/python-igraph,256838.0,269442.0,https://anaconda.org/conda-forge/igraph,2023-04-21 20:31:42.093,416778.0,,,,,1.0,561016.0,2023-01-28 13:30:00.570,410.0,,,,,,,,,,,,,,,,,,
182,scikit-learn-intelex,intel/scikit-learn-intelex,sklearn-utils,,https://github.com/intel/scikit-learn-intelex,https://github.com/intel/scikit-learn-intelex,Apache-2.0,2018-08-07 06:45:41.000,2023-06-01 14:16:44.000000,2023-06-01 09:44:57,1325.0,57.0,159,29.0,1097.0,76.0,143.0,973,Intel(R) Extension for Scikit-learn is a seamless way to speed up your Scikit-learn application.,74.0,33,True,2023-05-04 11:41:59.000,2023.1.1,19.0,scikit-learn-intelex,conda-forge/scikit-learn-intelex,,,['sklearn'],6385.0,6371.0,https://pypi.org/project/scikit-learn-intelex,117621.0,124193.0,https://anaconda.org/conda-forge/scikit-learn-intelex,2023-04-26 14:03:27.677,170880.0,,,,,2.0,,2023-01-23 12:22:01.687,14.0,,,,,,,,,,,,,,,,,,
183,huggingface_hub,huggingface/huggingface_hub,model-serialisation,,https://github.com/huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Apache-2.0,2020-12-22 10:20:28.000,2023-06-01 13:58:34.000000,2023-05-31 14:20:00,979.0,65.0,223,51.0,917.0,99.0,377.0,918,All the open source things related to the Hugging Face Hub.,96.0,33,True,2023-06-01 14:00:02.723,0.15.0,70.0,huggingface_hub,conda-forge/huggingface_hub,,,,269.0,,https://pypi.org/project/huggingface_hub,11723119.0,11763341.0,https://anaconda.org/conda-forge/huggingface_hub,2023-04-25 18:08:33.394,1126238.0,,,,,2.0,,2023-01-25 17:14:55.240,269.0,,,,,,,,,,,,,,,,,,
184,Hail,hail-is/hail,medical-data,,https://github.com/hail-is/hail,https://github.com/hail-is/hail,MIT,2015-10-27 20:55:42.000,2023-06-01 14:06:44.000000,2023-05-31 22:39:25,10726.0,254.0,220,59.0,11058.0,30.0,2040.0,881,Cloud-native genomic dataframes and batch computing.,86.0,33,True,2023-05-23 02:19:18.000,0.2.117,100.0,hail,,,,['spark'],104.0,104.0,https://pypi.org/project/hail,40527.0,40527.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
185,NiBabel,nipy/nibabel,medical-data,,https://github.com/nipy/nibabel,https://github.com/nipy/nibabel,MIT,2010-07-22 16:28:30.000,2023-05-14 18:35:53.000000,2023-04-23 14:38:16,5534.0,26.0,248,37.0,751.0,122.0,377.0,558,Python package to access a cacophony of neuro-imaging file formats.,96.0,33,True,2023-04-03 15:53:03.644,5.1.0,40.0,nibabel,conda-forge/nibabel,,,,12341.0,11239.0,https://pypi.org/project/nibabel,239982.0,246841.0,https://anaconda.org/conda-forge/nibabel,2023-04-07 23:15:42.995,583059.0,,,,,2.0,,2023-01-09 22:39:18.990,1102.0,,,,,,,,,,,,,,,,,,
186,ColossalAI,hpcaitech/colossalai,distributed-ml,,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,Apache-2.0,2021-10-28 16:19:44.000,2023-06-01 11:49:40.000000,2023-05-30 10:41:56,2383.0,323.0,3475,320.0,2628.0,288.0,777.0,29947,"Making large AI models cheaper, faster and more accessible.",132.0,32,True,2023-05-25 08:26:34.000,0.3.0,30.0,,,,,,235.0,235.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
187,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2023-02-14 17:14:33.000000,2020-10-14 16:36:49,6226.0,,4579,1002.0,1867.0,355.0,658.0,16176,"Zipline, a Pythonic Algorithmic Trading Library.",159.0,32,False,2020-10-05 15:46:20.429,1.4.1,30.0,zipline,conda-forge/zipline,,,,1021.0,936.0,https://pypi.org/project/zipline,3542.0,3756.0,https://anaconda.org/conda-forge/zipline,2020-10-05 18:38:58.729,7071.0,,,,,1.0,,2020-10-05 15:46:20.429,85.0,,,,,,,,,,,,,,,,,,
188,Lime,marcotcr/lime,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000,2023-03-03 00:43:31.000000,2021-07-29 23:17:25,531.0,,1743,267.0,111.0,87.0,533.0,10674,Lime: Explaining the predictions of any machine learning classifier.,62.0,32,False,2020-04-03 22:05:03.000,0.2.0.0,38.0,lime,conda-forge/lime,,,,3968.0,3805.0,https://pypi.org/project/lime,296133.0,298246.0,https://anaconda.org/conda-forge/lime,2022-09-23 13:59:18.301,164887.0,,,,,1.0,,2020-06-26 21:38:15.000,163.0,,,,,,,,,,,,,,,,,,
189,PaddleDetection,PaddlePaddle/PaddleDetection,image,,https://github.com/PaddlePaddle/PaddleDetection,https://github.com/PaddlePaddle/PaddleDetection,Apache-2.0,2019-10-25 07:21:14.000,2023-06-01 11:59:20.000000,2023-05-30 02:50:45,2139.0,26.0,2561,186.0,3484.0,1014.0,3800.0,10570,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object..",140.0,32,True,2023-02-23 03:25:22.000,2.6.0,8.0,paddledet,,,,['paddle'],84.0,84.0,https://pypi.org/project/paddledet,734.0,734.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
190,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2023-06-01 04:33:56.000000,2023-06-01 04:33:55,3521.0,163.0,991,185.0,2453.0,220.0,699.0,8947,Data-centric declarative deep learning framework.,135.0,32,True,2023-03-23 15:29:23.000,0.7.4,33.0,ludwig,,,,['tensorflow'],169.0,169.0,https://pypi.org/project/ludwig,2386.0,2386.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
191,deepface,serengil/deepface,image,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28.000,2023-05-24 18:52:14.000000,2023-05-11 15:53:52,1012.0,22.0,1343,100.0,75.0,19.0,680.0,6463,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",41.0,32,True,2023-02-23 10:07:02.320,0.0.79,78.0,deepface,,,,,1499.0,1487.0,https://pypi.org/project/deepface,53952.0,53952.0,,,,,,,,2.0,,2023-01-24 23:15:00.809,12.0,,,,,,,,,,,,,,,,,,
192,librosa,librosa/librosa,audio,,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000,2023-05-16 14:34:28.000000,2023-05-16 14:34:28,3237.0,7.0,887,136.0,606.0,48.0,1054.0,5952,Python library for audio and music analysis.,114.0,32,True,2023-03-17 19:48:03.000,0.10.0.post2,40.0,librosa,conda-forge/librosa,,,,1391.0,,https://pypi.org/project/librosa,2516479.0,2524181.0,https://anaconda.org/conda-forge/librosa,2023-03-17 20:07:59.717,639285.0,,,,,2.0,,2022-06-27 11:26:04.000,1391.0,5.0,,,,,,,,,,,,,,,,,
193,PML,KevinMusgrave/pytorch-metric-learning,pytorch-utils,,https://github.com/KevinMusgrave/pytorch-metric-learning,https://github.com/KevinMusgrave/pytorch-metric-learning,MIT,2019-10-23 17:20:35.000,2023-06-01 13:57:50.000000,2023-05-27 21:36:41,1121.0,25.0,618,67.0,113.0,47.0,408.0,5274,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",34.0,32,True,2023-05-27 21:34:47.000,2.1.2,205.0,pytorch-metric-learning,metric-learning/pytorch-metric-learning,,,['pytorch'],703.0,685.0,https://pypi.org/project/pytorch-metric-learning,213486.0,213736.0,https://anaconda.org/metric-learning/pytorch-metric-learning,2022-11-01 23:17:24.322,10260.0,,,,,1.0,,2023-01-29 23:06:00.815,18.0,,,,,,,,,,,,,,,,,,
194,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2023-05-25 13:38:03.000000,2023-05-25 13:38:03,2241.0,5.0,1054,192.0,214.0,263.0,268.0,5138,Distributed Evolutionary Algorithms in Python.,81.0,32,False,2022-08-08 11:13:02.278,1.3.3,21.0,deap,conda-forge/deap,,,,4006.0,3640.0,https://pypi.org/project/deap,156798.0,160264.0,https://anaconda.org/conda-forge/deap,2022-10-29 13:22:14.841,291156.0,,,,,2.0,,2022-08-08 11:13:02.278,366.0,,,,,,,,,,,,,,,,,,
195,mlpack,mlpack/mlpack,ml-frameworks,,https://github.com/mlpack/mlpack,https://github.com/mlpack/mlpack,BSD-3-Clause,2014-12-17 18:16:59.000,2023-06-01 12:56:41.000000,2023-06-01 12:38:10,28670.0,51.0,1495,183.0,1962.0,49.0,1499.0,4419,"mlpack: a fast, header-only C++ machine learning library.",303.0,32,True,2023-04-27 16:27:02.788,4.1.0,43.0,mlpack,conda-forge/mlpack,,,,1.0,,https://pypi.org/project/mlpack,1204.0,3677.0,https://anaconda.org/conda-forge/mlpack,2023-04-28 18:01:51.042,145914.0,,,,,3.0,,2022-12-29 16:55:50.798,1.0,,,,,,,,,,,,,,,,,,
196,Ignite,pytorch/ignite,ml-frameworks,,https://github.com/pytorch/ignite,https://github.com/pytorch/ignite,BSD-3-Clause,2017-11-23 17:31:21.000,2023-06-01 13:36:51.000000,2023-06-01 13:24:57,1583.0,35.0,596,59.0,1719.0,153.0,1098.0,4275,High-level library to help with training and evaluating neural networks in PyTorch flexibly and transparently.,194.0,32,True,2023-05-01 08:27:00.908,0.4.12,1276.0,pytorch-ignite,pytorch/ignite,,,['pytorch'],39.0,,https://pypi.org/project/pytorch-ignite,129978.0,132330.0,https://anaconda.org/pytorch/ignite,2023-05-01 08:26:51.879,141174.0,,,,,3.0,,2022-11-08 00:18:55.000,39.0,,,,,,,,,,,,,,,,,,
197,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2023-06-01 13:06:28.000000,2023-06-01 12:56:40,3646.0,80.0,472,84.0,469.0,17.0,414.0,4251,Online machine learning in Python.,97.0,32,True,2023-05-27 14:06:20.000,0.17.0,15.0,river,conda-forge/river,,,,326.0,299.0,https://pypi.org/project/river,12375.0,13881.0,https://anaconda.org/conda-forge/river,2022-10-31 03:47:59.947,39172.0,,,,,2.0,,2023-01-29 23:10:00.782,27.0,,,,,,,,,,,,,,,,,,
198,TorchServe,pytorch/serve,model-serialisation,,https://github.com/pytorch/serve,https://github.com/pytorch/serve,Apache-2.0,2019-10-03 03:17:43.000,2023-06-01 06:14:52.000000,2023-05-31 23:42:59,3413.0,80.0,741,53.0,1097.0,275.0,1030.0,3499,"Serve, optimize and scale PyTorch models in production.",157.0,32,True,2023-05-12 23:01:33.000,0.8.0,19.0,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],12.0,,https://pypi.org/project/torchserve,33775.0,61405.0,https://anaconda.org/pytorch/torchserve,2023-05-12 18:23:26.476,84543.0,https://hub.docker.com/r/pytorch/torchserve,2023-05-12 19:35:02.704115,17.0,1113390.0,2.0,3908.0,2022-12-12 19:04:32.462,12.0,,,,,,,,,,,,,,,,,,
199,Keras Tuner,keras-team/keras-tuner,hyperopt,,https://github.com/keras-team/keras-tuner,https://github.com/keras-team/keras-tuner,Apache-2.0,2019-06-06 22:38:21.000,2023-05-12 16:24:48.000000,2023-04-22 23:50:07,1033.0,36.0,370,65.0,438.0,193.0,256.0,2723,A Hyperparameter Tuning Library for Keras.,56.0,32,True,2023-04-13 04:37:00.942,1.3.5,26.0,keras-tuner,conda-forge/keras-tuner,,,['tensorflow'],2411.0,2355.0,https://pypi.org/project/keras-tuner,283712.0,284200.0,https://anaconda.org/conda-forge/keras-tuner,2023-04-13 17:14:35.253,19057.0,,,,,2.0,,2023-01-28 18:39:03.670,56.0,,,,,,,,,,,,,,,,,,
200,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2023-05-30 18:37:37.000000,2023-05-30 18:37:03,1230.0,47.0,256,54.0,195.0,62.0,374.0,2684,STUMPY is a powerful and scalable Python library for modern time series analysis.,33.0,32,True,2022-03-31 21:23:48.000,1.11.1,27.0,stumpy,conda-forge/stumpy,,,,467.0,453.0,https://pypi.org/project/stumpy,165632.0,176973.0,https://anaconda.org/conda-forge/stumpy,2022-03-31 21:30:16.208,555714.0,,,,,2.0,,2022-03-31 21:23:48.000,14.0,,,,,,,,,,,,,,,,,,
201,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2023-05-17 05:24:44.000000,2023-05-17 05:24:43,2875.0,12.0,668,78.0,810.0,240.0,599.0,2373,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",116.0,32,True,2023-04-08 06:38:26.000,0.1.22,21.0,pgmpy,,,,,662.0,638.0,https://pypi.org/project/pgmpy,60554.0,60560.0,,,,,,,,2.0,238.0,2023-01-02 18:14:12.632,24.0,,,,,,,,,,,,,,,,,,
202,TFX,tensorflow/tfx,tensorflow-utils,,https://github.com/tensorflow/tfx,https://github.com/tensorflow/tfx,Apache-2.0,2019-02-04 17:14:36.000,2023-06-01 06:39:29.000000,2023-06-01 06:39:24,5095.0,112.0,666,92.0,5075.0,119.0,782.0,1961,TFX is an end-to-end platform for deploying production ML pipelines.,174.0,32,True,2023-05-03 18:43:05.000,1.13.0,93.0,tfx,,,,['tensorflow'],14.0,,https://pypi.org/project/tfx,135519.0,135519.0,,,,,,,,2.0,,2022-12-19 18:20:02.734,14.0,,,,,,,,,,,,,,,,,,
203,jellyfish,jamesturk/jellyfish,nlp,,https://github.com/jamesturk/jellyfish,https://github.com/jamesturk/jellyfish,MIT,2010-07-09 20:41:11.000,2023-04-10 22:19:05.000000,2023-04-10 22:19:05,514.0,66.0,152,42.0,66.0,8.0,115.0,1857,a python library for doing approximate and phonetic matching of strings.,29.0,32,True,,,10.0,jellyfish,conda-forge/jellyfish,,,,6078.0,6078.0,https://pypi.org/project/jellyfish,1816390.0,1823521.0,https://anaconda.org/conda-forge/jellyfish,2022-10-28 08:39:19.681,577660.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
204,pyLDAvis,bmabey/pyLDAvis,interpretability,,https://github.com/bmabey/pyLDAvis,https://github.com/bmabey/pyLDAvis,BSD-3-Clause,2015-04-09 22:48:03.000,2023-04-29 01:50:03.716000,2023-04-24 15:04:32,275.0,4.0,355,55.0,75.0,79.0,99.0,1712,Python library for interactive topic model visualization. Port of the R LDAvis package.,39.0,32,True,2023-04-23 23:55:02.142,3.4.1,26.0,pyldavis,conda-forge/pyldavis,,,['jupyter'],5153.0,4999.0,https://pypi.org/project/pyldavis,463538.0,464659.0,https://anaconda.org/conda-forge/pyldavis,2023-04-29 01:50:03.716,67261.0,,,,,1.0,,2021-03-24 12:57:08.000,154.0,,,,,,,,,,,,,,,,,,
205,adapter-transformers,Adapter-Hub/adapter-transformers,others,,https://github.com/adapter-hub/adapter-transformers,https://github.com/adapter-hub/adapter-transformers,Apache-2.0,2020-04-21 16:21:43.000,2023-05-26 12:05:39.000000,2023-05-22 12:29:35,12581.0,10.0,265,22.0,244.0,60.0,258.0,1634,Huggingface Transformers + Adapters =.,1713.0,32,True,2023-04-06 21:17:41.000,adapters3.2.1,18.0,adapter-transformers,,,,['huggingface'],183.0,177.0,https://pypi.org/project/adapter-transformers,18243.0,18243.0,,,,,,,,2.0,,2022-09-20 00:31:23.335,6.0,,,,,,,,,,,,,,,,,,
