,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
245,imageai,OlafenwaMoses/ImageAI,image,,https://github.com/OlafenwaMoses/ImageAI,https://github.com/OlafenwaMoses/ImageAI,MIT,2018-03-19 23:12:33.000,2024-05-03 20:57:52.000000,2024-02-20 22:38:05,385.0,,2150.0,285.0,98.0,311.0,448.0,8443.0,A python library built to empower developers to build applications and systems with self-contained Computer Vision..,19.0,31,True,2023-01-02 17:10:24.749,3.0.3,13.0,imageai,conda-forge/imageai,,,,1630.0,1611.0,https://pypi.org/project/imageai,2023-01-02 17:10:24.749,19.0,9778.0,22616.0,https://anaconda.org/conda-forge/imageai,2023-06-16 19:21:01.568,7193.0,,,,,2.0,925793.0,,,,,,,,,,,,,,,,,,,
246,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2024-05-30 13:29:13.000000,2024-05-29 16:43:27,5995.0,57.0,1007.0,118.0,1649.0,104.0,652.0,7636.0,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",93.0,31,True,2024-05-23 08:03:19.000,2.10.1,122.0,perspective-python,conda-forge/perspective,,,['jupyter'],151.0,123.0,https://pypi.org/project/perspective-python,2024-05-23 07:42:47.000,22.0,4943.0,22292.0,https://anaconda.org/conda-forge/perspective,2024-05-23 17:36:07.137,629811.0,,,,,2.0,2712.0,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2024-05-23 07:42:19.941,6.0,3678.0,,,,,,,,,,,,
247,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,https://github.com/bayesian-optimization/BayesianOptimization,https://github.com/bayesian-optimization/BayesianOptimization,MIT,2014-06-06 08:18:56.000,2024-04-23 12:27:20.000000,2024-03-06 05:23:22,360.0,2.0,1504.0,134.0,135.0,13.0,328.0,7568.0,A Python implementation of global optimization with gaussian processes.,44.0,31,True,2023-04-25 22:00:01.831,1.4.3,14.0,bayesian-optimization,,,,,2783.0,2652.0,https://pypi.org/project/bayesian-optimization,2023-04-25 22:00:01.831,131.0,544847.0,544848.0,,,,,,,,2.0,147.0,,bayesian-optimization/BayesianOptimization,,,,,,,,,,,,,,,,,
248,skorch,skorch-dev/skorch,ml-frameworks,,https://github.com/skorch-dev/skorch,https://github.com/skorch-dev/skorch,BSD-3-Clause,2017-07-18 00:13:54.000,2024-05-30 08:55:05.943000,2024-05-27 15:27:45,1090.0,4.0,381.0,81.0,533.0,60.0,454.0,5666.0,A scikit-learn compatible neural network library that wraps PyTorch.,62.0,31,True,2024-05-27 15:25:43.000,1.0.0,20.0,skorch,conda-forge/skorch,,,"['pytorch', 'sklearn']",1330.0,1250.0,https://pypi.org/project/skorch,2024-05-27 15:23:17.000,80.0,168844.0,186596.0,https://anaconda.org/conda-forge/skorch,2024-05-30 08:55:05.943,781116.0,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,
249,pyfolio,quantopian/pyfolio,financial-data,,https://github.com/quantopian/pyfolio,https://github.com/quantopian/pyfolio,Apache-2.0,2015-06-01 15:31:39.000,2023-12-23 06:14:58.000000,2020-07-15 13:46:58,1184.0,,1716.0,303.0,294.0,161.0,268.0,5454.0,Portfolio and risk analytics in Python.,60.0,31,False,2019-04-15 15:00:21.000,0.9.2,22.0,pyfolio,conda-forge/pyfolio,,,,1023.0,1011.0,https://pypi.org/project/pyfolio,2019-04-15 15:00:21.000,12.0,8049.0,8225.0,https://anaconda.org/conda-forge/pyfolio,2023-06-16 16:07:59.111,13218.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
250,torchdiffeq,rtqichen/torchdiffeq,pytorch-utils,,https://github.com/rtqichen/torchdiffeq,https://github.com/rtqichen/torchdiffeq,MIT,2018-11-14 17:51:25.000,2024-05-29 15:01:39.000000,2023-10-19 19:24:51,248.0,,900.0,127.0,38.0,71.0,145.0,5275.0,Differentiable ODE solvers with full GPU support and O(1)-memory backpropagation.,21.0,31,True,2024-05-29 15:01:39.000,0.2.4,8.0,torchdiffeq,conda-forge/torchdiffeq,,,['pytorch'],3439.0,3350.0,https://pypi.org/project/torchdiffeq,2024-05-29 15:01:39.000,89.0,704211.0,704535.0,https://anaconda.org/conda-forge/torchdiffeq,2023-06-16 19:19:05.182,15567.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,
251,pandas-ta,twopirllc/pandas-ta,probabilistics,,https://github.com/twopirllc/pandas-ta,https://github.com/twopirllc/pandas-ta,MIT,2019-02-19 16:41:09.000,2024-05-25 04:44:34.000000,2022-09-24 16:20:26,585.0,,932.0,100.0,227.0,108.0,455.0,4861.0,Technical Analysis Indicators - Pandas TA is an easy to use Python 3 Pandas Extension with 150+ Indicators.,45.0,31,False,2021-07-28 20:21:21.000,0.3.14,19.0,pandas-ta,conda-forge/pandas-ta,,,['pandas'],3987.0,3888.0,https://pypi.org/project/pandas-ta,2021-07-28 20:51:17.000,99.0,111281.0,111947.0,https://anaconda.org/conda-forge/pandas-ta,2023-06-16 19:27:34.124,20676.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
252,River,online-ml/river,others,,https://github.com/online-ml/river,https://github.com/online-ml/river,BSD-3-Clause,2019-01-24 15:18:26.000,2024-05-30 10:33:04.000000,2024-05-20 03:43:37,3875.0,22.0,526.0,85.0,566.0,110.0,480.0,4823.0,Online machine learning in Python.,114.0,31,True,2024-04-23 13:20:18.000,0.21.1,21.0,river,conda-forge/river,,,,543.0,492.0,https://pypi.org/project/river,2024-04-23 10:26:48.000,51.0,37126.0,38731.0,https://anaconda.org/conda-forge/river,2023-10-06 14:40:00.791,59403.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
253,D-Tale,man-group/dtale,data-viz,,https://github.com/man-group/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-05-07 13:10:17.000000,2024-04-30 18:31:30,796.0,11.0,383.0,74.0,288.0,60.0,516.0,4585.0,Visualizer for pandas data structures.,30.0,31,True,2024-04-30 18:56:18.000,3.12.0,182.0,dtale,conda-forge/dtale,,,"['pandas', 'jupyter']",1157.0,1118.0,https://pypi.org/project/dtale,2024-04-30 18:56:18.000,39.0,58830.0,64797.0,https://anaconda.org/conda-forge/dtale,2024-04-30 19:55:43.333,286430.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
254,imutils,PyImageSearch/imutils,image,,https://github.com/PyImageSearch/imutils,https://github.com/PyImageSearch/imutils,MIT,2015-01-11 20:05:39.000,2024-01-27 06:33:38.000000,2022-01-27 13:24:16,139.0,,1026.0,153.0,115.0,161.0,79.0,4495.0,"A series of convenience functions to make basic image processing operations such as translation, rotation, resizing,..",21.0,31,False,2021-01-15 10:53:17.000,0.5.4,29.0,imutils,conda-forge/imutils,,,,43667.0,43251.0,https://pypi.org/project/imutils,2021-01-15 10:53:17.000,416.0,593327.0,596958.0,https://anaconda.org/conda-forge/imutils,2023-10-27 09:12:56.985,167051.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
255,cuML,rapidsai/cuml,gpu-utilities,,https://github.com/rapidsai/cuml,https://github.com/rapidsai/cuml,Apache-2.0,2018-10-11 15:45:35.000,2024-05-30 14:31:17.000000,2024-05-29 16:10:11,15440.0,67.0,506.0,69.0,3503.0,880.0,1585.0,3976.0,cuML - RAPIDS Machine Learning Library.,172.0,31,True,2024-04-10 20:54:06.000,24.04.00,38.0,cuml,,,,,13.0,,https://pypi.org/project/cuml,2020-06-01 20:09:10.000,13.0,3100.0,3100.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
256,GPyTorch,cornellius-gp/gpytorch,probabilistics,,https://github.com/cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch,MIT,2017-06-09 14:48:20.000,2024-05-15 19:48:26.000000,2024-04-22 03:28:24,3849.0,16.0,541.0,59.0,893.0,356.0,974.0,3435.0,A highly efficient implementation of Gaussian Processes in PyTorch.,130.0,31,True,2023-06-02 22:04:02.000,1.11,38.0,gpytorch,conda-forge/gpytorch,,,['pytorch'],2264.0,2111.0,https://pypi.org/project/gpytorch,2023-06-02 22:13:00.914,153.0,219955.0,223265.0,https://anaconda.org/conda-forge/gpytorch,2023-08-11 22:34:06.614,158892.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
257,dyNET,clab/dynet,ml-frameworks,,https://github.com/clab/dynet,https://github.com/clab/dynet,Apache-2.0,2015-02-08 23:09:21.000,2023-12-01 17:10:01.000000,2023-11-08 12:40:01,3273.0,,704.0,185.0,737.0,274.0,669.0,3411.0,DyNet: The Dynamic Neural Network Toolkit.,160.0,31,True,2020-10-21 14:31:01.000,2.1.2,24.0,dyNET,,,,,274.0,256.0,https://pypi.org/project/dyNET,2020-10-21 14:31:01.000,18.0,299340.0,299515.0,,,,,,,,3.0,15990.0,,,,,,,,,,,,,,,,,,,
258,NMSLIB,nmslib/nmslib,nn-search,,https://github.com/nmslib/nmslib,https://github.com/nmslib/nmslib,Apache-2.0,2013-07-10 11:06:06.000,2024-05-28 21:49:54.000000,2022-05-31 03:18:45,1556.0,,438.0,94.0,125.0,86.0,348.0,3310.0,Non-Metric Space Library (NMSLIB): An efficient similarity search library and a toolkit for evaluation of k-NN methods..,47.0,31,False,2021-02-03 16:40:09.000,2.1.1,32.0,nmslib,conda-forge/nmslib,,,,1201.0,1141.0,https://pypi.org/project/nmslib,2021-02-03 00:02:08.000,60.0,217588.0,220266.0,https://anaconda.org/conda-forge/nmslib,2023-09-26 10:22:21.295,115190.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
259,filterpy,rlabbe/filterpy,probabilistics,,https://github.com/rlabbe/filterpy,https://github.com/rlabbe/filterpy,MIT,2014-07-15 02:15:19.000,2024-02-07 10:05:31.000000,2022-08-22 18:21:12,586.0,,606.0,78.0,78.0,72.0,161.0,3187.0,"Python Kalman filtering and optimal estimation library. Implements Kalman filter, particle filter, Extended Kalman..",43.0,31,False,2021-12-15 15:49:27.374,0.0.13,49.0,filterpy,conda-forge/filterpy,,,,6124.0,6017.0,https://pypi.org/project/filterpy,2021-12-15 15:49:27.374,107.0,1825247.0,1828212.0,https://anaconda.org/conda-forge/filterpy,2023-06-16 13:24:39.196,246126.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
260,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2024-05-30 01:41:11.000000,2024-05-30 01:40:30,1306.0,22.0,284.0,57.0,226.0,55.0,422.0,3043.0,STUMPY is a powerful and scalable Python library for modern time series analysis.,37.0,31,True,2023-08-21 11:33:22.000,1.12.0,28.0,stumpy,conda-forge/stumpy,,,,783.0,760.0,https://pypi.org/project/stumpy,2023-08-21 11:33:22.000,23.0,233488.0,254403.0,https://anaconda.org/conda-forge/stumpy,2023-08-21 11:50:40.587,983006.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
261,hmmlearn,hmmlearn/hmmlearn,probabilistics,,https://github.com/hmmlearn/hmmlearn,https://github.com/hmmlearn/hmmlearn,BSD-3-Clause,2014-03-23 10:33:09.000,2024-05-22 19:32:05.771000,2024-04-05 20:34:01,476.0,6.0,736.0,119.0,125.0,65.0,370.0,2961.0,"Hidden Markov Models in Python, with scikit-learn like API.",48.0,31,True,2024-03-02 03:05:38.000,0.3.2,13.0,hmmlearn,conda-forge/hmmlearn,,,['sklearn'],2619.0,2540.0,https://pypi.org/project/hmmlearn,2024-03-02 03:05:38.000,79.0,194081.0,199241.0,https://anaconda.org/conda-forge/hmmlearn,2024-05-22 19:32:05.771,227064.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
262,Haiku,deepmind/dm-haiku,ml-frameworks,,https://github.com/google-deepmind/dm-haiku,https://github.com/google-deepmind/dm-haiku,Apache-2.0,2020-02-18 07:14:02.000,2024-05-22 09:28:20.000000,2024-05-22 09:27:50,979.0,7.0,226.0,39.0,536.0,71.0,175.0,2820.0,JAX-based neural network library.,81.0,31,True,2024-02-28 18:11:54.000,0.0.12,15.0,dm-haiku,conda-forge/dm-haiku,,,,2041.0,1885.0,https://pypi.org/project/dm-haiku,2024-02-28 18:11:54.000,156.0,275310.0,275748.0,https://anaconda.org/conda-forge/dm-haiku,2024-02-28 22:18:23.853,17094.0,,,,,3.0,,,google-deepmind/dm-haiku,,,,,,,,,,,,,,,,,
263,tslearn,tslearn-team/tslearn,time-series-data,,https://github.com/tslearn-team/tslearn,https://github.com/tslearn-team/tslearn,BSD-2-Clause,2017-05-04 13:08:13.000,2024-04-23 19:51:43.000000,2024-03-20 01:04:29,1637.0,1.0,323.0,60.0,189.0,126.0,195.0,2812.0,The machine learning toolkit for time series analysis in Python.,43.0,31,True,2023-12-12 14:39:23.000,0.6.3,100.0,tslearn,conda-forge/tslearn,,,['sklearn'],1345.0,1274.0,https://pypi.org/project/tslearn,2023-12-12 14:39:23.000,71.0,360813.0,388843.0,https://anaconda.org/conda-forge/tslearn,2024-02-04 18:41:01.911,1317422.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
264,lightly,lightly-ai/lightly,image,,https://github.com/lightly-ai/lightly,https://github.com/lightly-ai/lightly,MIT,2020-10-13 13:02:56.000,2024-05-29 13:36:53.000000,2024-05-29 12:43:51,1182.0,23.0,243.0,26.0,1027.0,101.0,423.0,2793.0,A python library for self-supervised learning on images.,40.0,31,True,2024-05-29 13:05:30.000,1.5.5,119.0,lightly,,,,['pytorch'],272.0,259.0,https://pypi.org/project/lightly,2024-05-29 13:06:19.000,13.0,31858.0,31858.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
265,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,https://github.com/scikit-learn-contrib/category_encoders,https://github.com/scikit-learn-contrib/category_encoders,BSD-3-Clause,2015-11-29 19:32:37.000,2024-04-09 11:39:30.000000,2024-04-09 11:39:30,957.0,4.0,394.0,39.0,150.0,45.0,242.0,2377.0,A library of sklearn compatible categorical variable encoders.,70.0,31,True,2023-10-29 20:29:52.000,2.6.3,32.0,category_encoders,conda-forge/category_encoders,,,['sklearn'],2034.0,1792.0,https://pypi.org/project/category_encoders,2023-10-29 20:29:52.000,242.0,1606932.0,1615293.0,https://anaconda.org/conda-forge/category_encoders,2023-10-30 01:23:52.252,259197.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
266,mpld3,mpld3/mpld3,data-viz,,https://github.com/mpld3/mpld3,https://github.com/mpld3/mpld3,BSD-3-Clause,2013-12-18 01:48:30.000,2024-01-11 18:01:50.000000,2023-12-23 13:05:00,887.0,,356.0,83.0,168.0,216.0,146.0,2328.0,An interactive data visualization tool which brings matplotlib graphics to the browser using D3.,52.0,31,True,2023-12-23 13:04:29.963,0.5.10,19.0,mpld3,conda-forge/mpld3,,,,6182.0,6042.0,https://pypi.org/project/mpld3,2023-12-23 13:03:02.000,131.0,510386.0,515420.0,https://anaconda.org/conda-forge/mpld3,2023-12-23 15:16:22.285,198857.0,,,,,2.0,,,,mpld3,https://www.npmjs.com/package/mpld3,2023-12-23 13:04:29.963,9.0,803.0,,,,,,,,,,,,
267,lets-plot,JetBrains/lets-plot,data-viz,,https://github.com/JetBrains/lets-plot,https://github.com/JetBrains/lets-plot,MIT,2019-03-20 16:13:03.000,2024-05-29 21:27:28.000000,2024-05-29 21:27:26,4106.0,227.0,47.0,165.0,535.0,139.0,422.0,1474.0,Multiplatform plotting library based on the Grammar of Graphics.,20.0,31,True,2024-05-29 18:04:54.000,4.3.3,75.0,lets-plot,,,,,92.0,79.0,https://pypi.org/project/lets-plot,2024-05-29 17:30:35.000,13.0,21103.0,21116.0,,,,,,,,2.0,709.0,,,,,,,,,,,,,,,,,,,
268,emcee,dfm/emcee,probabilistics,,https://github.com/dfm/emcee,https://github.com/dfm/emcee,MIT,2011-11-07 16:17:08.000,2024-05-02 00:41:56.000000,2024-05-02 00:41:53,947.0,7.0,430.0,87.0,230.0,55.0,241.0,1433.0,The Python ensemble sampling toolkit for affine-invariant MCMC.,74.0,31,True,2024-04-19 10:03:17.000,3.1.6,27.0,emcee,conda-forge/emcee,,,,2783.0,2395.0,https://pypi.org/project/emcee,2024-04-19 10:03:17.000,388.0,140572.0,150166.0,https://anaconda.org/conda-forge/emcee,2024-04-22 14:43:59.507,335812.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
269,pyjanitor,pyjanitor-devs/pyjanitor,others,,https://github.com/pyjanitor-devs/pyjanitor,https://github.com/pyjanitor-devs/pyjanitor,MIT,2018-03-04 22:43:33.000,2024-05-29 12:12:28.000000,2024-05-27 22:01:20,1557.0,23.0,166.0,16.0,808.0,116.0,445.0,1297.0,Clean APIs for data cleaning. Python implementation of R package Janitor.,108.0,31,True,2024-03-21 03:35:03.000,0.27.0,60.0,pyjanitor,conda-forge/pyjanitor,,,,644.0,616.0,https://pypi.org/project/pyjanitor,2024-03-21 03:34:57.000,28.0,75275.0,79354.0,https://anaconda.org/conda-forge/pyjanitor,2024-03-21 06:08:00.698,195801.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
270,arch,bashtage/arch,financial-data,,https://github.com/bashtage/arch,https://github.com/bashtage/arch,,2014-08-29 15:41:28.000,2024-05-22 21:11:36.000000,2024-05-17 11:02:01,1129.0,9.0,245.0,45.0,521.0,37.0,183.0,1265.0,ARCH models in Python.,35.0,31,False,2024-04-16 17:35:41.000,7.0.0,47.0,arch,conda-forge/arch-py,,,,1746.0,1655.0,https://pypi.org/project/arch,2024-04-16 17:35:41.000,91.0,492938.0,499450.0,https://anaconda.org/conda-forge/arch-py,2024-05-17 19:52:40.969,306069.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
271,Satpy,pytroll/satpy,geospatial-data,,https://github.com/pytroll/satpy,https://github.com/pytroll/satpy,GPL-3.0,2016-02-09 20:29:43.000,2024-05-29 09:50:37.000000,2024-05-20 10:07:03,13424.0,161.0,279.0,34.0,1790.0,463.0,632.0,1023.0,Python package for earth-observing satellite data processing.,153.0,31,False,2024-04-22 16:20:44.000,0.48.0,93.0,satpy,conda-forge/satpy,,,,152.0,127.0,https://pypi.org/project/satpy,2024-02-21 11:29:00.000,25.0,7287.0,11441.0,https://anaconda.org/conda-forge/satpy,2024-04-23 06:53:48.899,195281.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,
272,TensorFlow Transform,tensorflow/transform,tensorflow-utils,,https://github.com/tensorflow/transform,https://github.com/tensorflow/transform,Apache-2.0,2017-02-10 00:36:53.000,2024-04-30 20:12:22.000000,2024-04-30 20:12:21,936.0,5.0,210.0,58.0,101.0,44.0,174.0,982.0,Input pipeline framework.,28.0,31,True,2024-04-24 22:55:08.000,1.15.0,57.0,tensorflow-transform,,,,['tensorflow'],1847.0,1830.0,https://pypi.org/project/tensorflow-transform,2024-04-24 22:55:08.000,17.0,936390.0,936390.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
273,hvPlot,holoviz/hvplot,data-viz,,https://github.com/holoviz/hvplot,https://github.com/holoviz/hvplot,BSD-3-Clause,2018-03-19 14:22:41.000,2024-05-30 00:50:50.000000,2024-05-06 11:56:52,685.0,27.0,99.0,24.0,540.0,337.0,421.0,979.0,"A high-level plotting API for pandas, dask, xarray, and networkx built on HoloViews.",46.0,31,True,2024-05-07 03:58:11.000,0.10.0,70.0,hvplot,conda-forge/hvplot,,,,5259.0,5087.0,https://pypi.org/project/hvplot,2024-05-06 12:24:45.000,172.0,232347.0,244609.0,https://anaconda.org/conda-forge/hvplot,2024-05-07 04:39:01.018,576357.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
274,patsy,pydata/patsy,probabilistics,,https://github.com/pydata/patsy,https://github.com/pydata/patsy,BSD-2-Clause,2012-07-10 12:30:06.000,2024-01-05 15:46:09.327000,2024-01-04 18:54:38,558.0,,102.0,32.0,60.0,71.0,80.0,928.0,Describing statistical models in Python using symbolic formulas.,19.0,31,True,2024-01-04 18:58:03.000,0.5.6,13.0,patsy,conda-forge/patsy,,,,97127.0,96644.0,https://pypi.org/project/patsy,2024-01-04 18:55:57.000,483.0,14958680.0,15289438.0,https://anaconda.org/conda-forge/patsy,2024-01-05 15:46:09.327,10584266.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
275,SALib,SALib/SALib,probabilistics,,https://github.com/SALib/SALib,https://github.com/SALib/SALib,MIT,2013-05-30 13:38:10.000,2024-04-22 23:18:58.000000,2024-04-22 23:18:58,1950.0,30.0,230.0,18.0,296.0,50.0,268.0,841.0,"Sensitivity Analysis Library in Python. Contains Sobol, Morris, FAST, and other methods.",46.0,31,True,2024-04-22 16:08:04.000,1.5.0,48.0,salib,conda-forge/salib,,,,1231.0,1115.0,https://pypi.org/project/salib,2024-04-22 16:08:04.000,116.0,169346.0,173004.0,https://anaconda.org/conda-forge/salib,2024-04-22 19:44:20.663,157335.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
276,tensorflow-upstream,ROCmSoftwarePlatform/tensorflow-upstream,ml-frameworks,,https://github.com/ROCm/tensorflow-upstream,https://github.com/ROCm/tensorflow-upstream,Apache-2.0,2018-04-09 21:24:50.000,2024-05-30 14:10:12.000000,2024-05-30 06:02:37,168794.0,3371.0,91.0,51.0,2181.0,87.0,286.0,681.0,TensorFlow ROCm port.,4634.0,31,True,2022-12-06 16:42:53.965,2.9.4,100.0,tensorflow-rocm,,,,['tensorflow'],6.0,,https://pypi.org/project/tensorflow-rocm,2024-01-10 14:33:03.000,6.0,4372.0,4372.0,,,,,,,,3.0,21.0,,ROCm/tensorflow-upstream,,,,,,,,,,,,,,,,,
277,Neptune.ai,neptune-ai/neptune-client,ml-experiments,,https://github.com/neptune-ai/neptune-client,https://github.com/neptune-ai/neptune-client,Apache-2.0,2019-02-11 11:25:57.000,2024-05-29 13:48:21.000000,2024-05-28 09:07:31,2065.0,132.0,58.0,18.0,1562.0,23.0,211.0,541.0,The MLOps stack component for experiment tracking.,54.0,31,True,2024-05-15 10:02:27.000,1.10.4,207.0,neptune-client,conda-forge/neptune-client,,,,565.0,488.0,https://pypi.org/project/neptune-client,2024-05-15 10:02:27.000,77.0,521505.0,526586.0,https://anaconda.org/conda-forge/neptune-client,2024-05-15 11:17:51.713,243901.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
278,vit-pytorch,lucidrains/vit-pytorch,image,,https://github.com/lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24.000,2024-05-25 03:31:23.000000,2024-05-11 15:04:32,307.0,5.0,2793.0,145.0,47.0,120.0,137.0,18392.0,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single..",21.0,30,True,2024-05-11 15:05:28.000,1.6.9,189.0,vit-pytorch,,,,['pytorch'],484.0,473.0,https://pypi.org/project/vit-pytorch,2024-05-11 15:05:28.000,11.0,22263.0,22263.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
279,CNTK,microsoft/CNTK,ml-frameworks,,https://github.com/microsoft/CNTK,https://github.com/microsoft/CNTK,MIT,2015-11-26 09:52:06.000,2023-03-11 07:31:35.000000,2022-09-23 14:06:50,16117.0,,4300.0,1252.0,557.0,840.0,2543.0,17479.0,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit.",275.0,30,False,2019-04-26 14:13:32.000,2.7,32.0,cntk,,,,,21.0,2.0,https://pypi.org/project/cntk,2020-12-09 22:21:57.000,19.0,368.0,513.0,,,,,,,,3.0,14547.0,,,,,,,,,,,,,,,,,,,
280,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-11-03 14:30:00.000000,2023-11-03 14:30:00,4358.0,,2095.0,283.0,3401.0,51.0,1494.0,10437.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,217.0,30,True,2023-06-06 20:46:16.091,1.7.2,25.0,parlai,,,,['pytorch'],26.0,21.0,https://pypi.org/project/parlai,2022-09-20 02:56:01.305,5.0,3024.0,3024.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
281,Apex,NVIDIA/apex,gpu-utilities,,https://github.com/NVIDIA/apex,https://github.com/NVIDIA/apex,BSD-3-Clause,2018-04-23 16:28:52.000,2024-05-17 03:07:31.985000,2024-04-26 06:29:23,1174.0,6.0,1318.0,100.0,640.0,691.0,521.0,8111.0,A PyTorch Extension: Tools for easy mixed precision and distributed training in Pytorch.,127.0,30,True,,,4.0,,conda-forge/nvidia-apex,,,['pytorch'],2485.0,2485.0,,,,,5015.0,https://anaconda.org/conda-forge/nvidia-apex,2024-05-17 03:07:31.985,215686.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
282,auto-sklearn,automl/auto-sklearn,hyperopt,,https://github.com/automl/auto-sklearn,https://github.com/automl/auto-sklearn,BSD-3-Clause,2015-07-02 15:38:10.000,2023-12-25 14:05:19.000000,2023-04-18 11:08:13,2759.0,,1267.0,215.0,711.0,187.0,829.0,7434.0,Automated Machine Learning with scikit-learn.,88.0,30,False,2023-02-13 12:35:21.000,0.15.0,42.0,auto-sklearn,conda-forge/auto-sklearn,,,['sklearn'],605.0,573.0,https://pypi.org/project/auto-sklearn,2022-09-20 10:32:07.471,32.0,17479.0,18084.0,https://anaconda.org/conda-forge/auto-sklearn,2023-06-16 19:25:30.278,22389.0,,,,,2.0,52.0,,,,,,,,,,,,,,,,,,,
283,DoWhy,py-why/dowhy,interpretability,,https://github.com/py-why/dowhy,https://github.com/py-why/dowhy,MIT,2018-05-31 13:07:04.000,2024-05-29 17:28:29.000000,2024-05-29 15:31:32,1012.0,23.0,904.0,137.0,701.0,129.0,319.0,6823.0,DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions...,89.0,30,True,2023-12-25 07:11:09.000,0.11.1,15.0,dowhy,conda-forge/dowhy,,,,380.0,373.0,https://pypi.org/project/dowhy,2023-12-25 07:11:09.000,7.0,47283.0,47794.0,https://anaconda.org/conda-forge/dowhy,2024-01-26 10:57:10.385,21483.0,,,,,2.0,35.0,,,,,,,,,,,,,,,,,,,
