,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,helm_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,brew_id,apt_id,yum_id,conda_dependent_project_count,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dnf_id,yay_id,snap_id
181,tensor2tensor,tensorflow/tensor2tensor,tensorflow-utils,,https://github.com/tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,Apache-2.0,2017-06-15 16:57:39.000,2023-06-02 18:55:09.000000,2023-04-01 10:19:28,4379.0,,3461.0,465.0,671.0,590.0,672.0,15398.0,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,244.0,33,False,2020-06-17 16:31:34.798,1.15.7,79.0,tensor2tensor,,,['tensorflow'],,9157.0,1524.0,1510.0,https://pypi.org/project/tensor2tensor,2020-06-17 16:31:34.798,14.0,9157.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
182,Ludwig,ludwig-ai/ludwig,ml-frameworks,,https://github.com/ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,Apache-2.0,2018-12-27 23:58:12.000,2024-10-08 00:31:52.000000,2024-08-21 07:05:41,3857.0,3.0,1185.0,194.0,2866.0,361.0,766.0,11125.0,"Low-code framework for building custom LLMs, neural networks, and other AI models.",157.0,33,True,2024-07-30 00:29:49.000,0.10.4,56.0,ludwig,,,['tensorflow'],,4802.0,279.0,273.0,https://pypi.org/project/ludwig,2024-07-30 00:29:49.000,6.0,4802.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
183,PyTorch3D,facebookresearch/pytorch3d,image,,https://github.com/facebookresearch/pytorch3d,https://github.com/facebookresearch/pytorch3d,,2019-10-25 02:23:45.000,2024-10-09 21:42:24.000000,2024-10-09 21:38:42,1179.0,14.0,1270.0,148.0,178.0,265.0,1341.0,8718.0,PyTorch3D is FAIRs library of reusable components for deep learning with 3D data.,150.0,33,False,2024-09-13 14:37:23.000,V0.7.8,19.0,pytorch3d,pytorch3d/pytorch3d,,['pytorch'],,12611.0,992.0,978.0,https://pypi.org/project/pytorch3d,2022-04-28 15:53:26.000,14.0,8325.0,https://anaconda.org/pytorch3d/pytorch3d,2024-09-13 14:58:15.228,252910.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
184,PaddleSeg,PaddlePaddle/PaddleSeg,image,,https://github.com/PaddlePaddle/PaddleSeg,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22.000,2024-10-10 12:33:36.000000,2024-10-10 12:33:36,2936.0,16.0,1681.0,92.0,1684.0,236.0,1887.0,8614.0,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in..",131.0,33,True,2023-10-18 03:54:18.000,2.9.0,19.0,paddleseg,,,['paddle'],,1480.0,1293.0,1286.0,https://pypi.org/project/paddleseg,2022-11-30 11:24:02.578,7.0,1480.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
185,Perspective,finos/perspective,data-viz,,https://github.com/finos/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2024-10-07 03:57:15.000000,2024-10-06 03:56:47,6097.0,90.0,1169.0,122.0,1721.0,101.0,706.0,8398.0,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",94.0,33,True,2024-09-23 15:44:54.000,3.1.0,131.0,perspective-python,conda-forge/perspective,,['jupyter'],5228.0,52632.0,178.0,146.0,https://pypi.org/project/perspective-python,2024-09-23 15:44:54.000,26.0,24462.0,https://anaconda.org/conda-forge/perspective,2024-09-21 14:46:30.468,1219146.0,2.0,,,,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2024-09-23 15:43:29.269,6.0,4377.0,,,,,,,,,,,
186,SpeechRecognition,Uberi/speech_recognition,audio,,https://github.com/Uberi/speech_recognition,https://github.com/Uberi/speech_recognition,BSD-3-Clause,2014-04-23 04:53:54.000,2024-08-13 19:06:58.000000,2024-08-13 19:06:55,544.0,1.0,2389.0,283.0,159.0,325.0,319.0,8369.0,"Speech recognition module for Python, supporting several engines and APIs, online and offline.",51.0,33,True,2024-05-05 04:42:09.000,3.10.4,59.0,SpeechRecognition,conda-forge/speechrecognition,,,,1117899.0,599.0,21.0,https://pypi.org/project/SpeechRecognition,2024-05-05 04:36:10.000,578.0,1113817.0,https://anaconda.org/conda-forge/speechrecognition,2024-05-06 02:00:59.322,204126.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
187,tensorboardX,lanpa/tensorboardX,ml-experiments,,https://github.com/lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,MIT,2017-06-13 13:54:19.000,2024-09-03 22:18:55.000000,2023-11-12 14:28:03,528.0,,865.0,84.0,276.0,81.0,376.0,7863.0,"tensorboard for pytorch (and chainer, mxnet, numpy, ...).",82.0,33,True,2023-07-30 14:05:26.000,2.6.2,24.0,tensorboardX,conda-forge/tensorboardx,,,447.0,3241077.0,49519.0,48894.0,https://pypi.org/project/tensorboardX,2023-08-20 13:38:18.000,625.0,3217164.0,https://anaconda.org/conda-forge/tensorboardx,2023-08-20 16:29:43.490,1219347.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
188,UMAP,lmcinnes/umap,data-viz,,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17.000,2024-08-18 00:48:19.000000,2024-08-18 00:48:18,1815.0,12.0,796.0,127.0,285.0,473.0,337.0,7397.0,Uniform Manifold Approximation and Projection.,134.0,33,True,2024-04-03 16:53:16.000,0.5.6,40.0,umap-learn,conda-forge/umap-learn,,,,1414224.0,959.0,1.0,https://pypi.org/project/umap-learn,2024-04-03 16:53:16.000,958.0,1363449.0,https://anaconda.org/conda-forge/umap-learn,2024-08-14 17:32:09.484,2640311.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
189,featuretools,alteryx/featuretools,hyperopt,,https://github.com/alteryx/featuretools,https://github.com/alteryx/featuretools,BSD-3-Clause,2017-09-08 22:15:17.000,2024-10-07 18:05:03.000000,2024-06-21 13:43:40,1379.0,,874.0,158.0,1731.0,150.0,865.0,7230.0,An open source python library for automated feature engineering.,73.0,33,True,2024-05-14 18:59:58.000,1.31.0,106.0,featuretools,conda-forge/featuretools,,,,73878.0,1863.0,1789.0,https://pypi.org/project/featuretools,2024-05-14 18:59:58.000,74.0,69862.0,https://anaconda.org/conda-forge/featuretools,2024-05-15 15:26:44.535,208880.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
190,Hyperopt,hyperopt/hyperopt,hyperopt,,https://github.com/hyperopt/hyperopt,https://github.com/hyperopt/hyperopt,BSD-3-Clause,2011-09-06 22:24:59.000,2024-10-08 00:38:04.000000,2024-09-25 17:28:01,1221.0,1.0,1051.0,121.0,277.0,143.0,513.0,7223.0,Distributed Asynchronous Hyperparameter Optimization in Python.,104.0,33,True,2021-11-17 10:07:00.808,0.2.7,13.0,hyperopt,conda-forge/hyperopt,,,,2417340.0,17642.0,17189.0,https://pypi.org/project/hyperopt,2021-11-17 10:07:00.808,453.0,2406495.0,https://anaconda.org/conda-forge/hyperopt,2023-06-16 16:14:11.076,791714.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
191,librosa,librosa/librosa,audio,,https://github.com/librosa/librosa,https://github.com/librosa/librosa,ISC,2012-10-20 14:21:01.000,2024-10-08 01:00:43.000000,2024-10-08 01:00:39,3284.0,9.0,959.0,136.0,666.0,54.0,1161.0,7071.0,Python library for audio and music analysis.,123.0,33,True,2024-05-14 15:48:50.000,0.10.2.post1,43.0,librosa,conda-forge/librosa,,,,2850984.0,1358.0,,https://pypi.org/project/librosa,2024-05-14 15:49:38.000,1358.0,2834969.0,https://anaconda.org/conda-forge/librosa,2024-05-15 16:59:32.016,816790.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
192,imbalanced-learn,scikit-learn-contrib/imbalanced-learn,sklearn-utils,,https://github.com/scikit-learn-contrib/imbalanced-learn,https://github.com/scikit-learn-contrib/imbalanced-learn,MIT,2014-08-16 05:08:26.000,2024-10-06 21:08:11.000000,2024-10-06 21:08:11,869.0,4.0,1277.0,141.0,504.0,47.0,566.0,6819.0,A Python Package to Tackle the Curse of Imbalanced Datasets in Machine Learning.,85.0,33,True,2024-10-04 17:52:31.000,0.12.4,38.0,imbalanced-learn,conda-forge/imbalanced-learn,,['sklearn'],,17187885.0,452.0,,https://pypi.org/project/imbalanced-learn,2024-10-04 17:00:52.000,452.0,17175969.0,https://anaconda.org/conda-forge/imbalanced-learn,2024-10-04 17:49:36.866,619659.0,1.0,,,,,,,-2.0,,,,,,,,,,,,,,,,,
193,BigDL,intel-analytics/BigDL,distributed-ml,,https://github.com/intel-analytics/ipex-llm,https://github.com/intel-analytics/ipex-llm,Apache-2.0,2016-08-29 07:59:50.000,2024-10-10 07:44:36.000000,2024-10-10 07:44:36,3502.0,355.0,1254.0,250.0,9595.0,987.0,1588.0,6574.0,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM,..",108.0,33,True,2024-08-22 09:06:57.000,2.1.0,869.0,bigdl,,,,639.0,54102.0,7.0,,https://pypi.org/project/bigdl,2024-03-24 14:04:20.000,2.0,54095.0,,,,2.0,,,,,,intel-analytics/ipex-llm,,,,,,,,,,,,com.intel.analytics.bigdl:bigdl-SPARK_2.4,https://search.maven.org/artifact/com.intel.analytics.bigdl/bigdl-SPARK_2.4,2021-04-20 01:33:14,5.0,,,
194,InterpretML,interpretml/interpret,interpretability,,https://github.com/interpretml/interpret,https://github.com/interpretml/interpret,MIT,2019-05-03 05:47:52.000,2024-10-10 07:08:33.000000,2024-10-10 05:08:10,3409.0,174.0,725.0,144.0,124.0,107.0,342.0,6248.0,Fit interpretable models. Explain blackbox machine learning.,46.0,33,True,2024-09-28 21:45:37.000,0.6.4,52.0,interpret,,,['jupyter'],,97537.0,808.0,759.0,https://pypi.org/project/interpret,2024-09-28 19:03:14.000,49.0,97537.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
195,DEAP,deap/deap,distributed-ml,,https://github.com/DEAP/deap,https://github.com/DEAP/deap,LGPL-3.0,2014-05-21 20:07:39.000,2024-09-03 13:46:04.210000,2024-05-07 13:49:33,2334.0,,1123.0,190.0,238.0,279.0,285.0,5800.0,Distributed Evolutionary Algorithms in Python.,88.0,33,False,2023-07-21 10:51:54.000,1.4.1,27.0,deap,conda-forge/deap,,,,351009.0,5556.0,5304.0,https://pypi.org/project/deap,2023-07-21 10:51:54.000,252.0,341770.0,https://anaconda.org/conda-forge/deap,2024-09-03 13:46:04.210,443502.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
196,Captum,pytorch/captum,interpretability,,https://github.com/pytorch/captum,https://github.com/pytorch/captum,BSD-3-Clause,2019-08-27 15:34:41.000,2024-09-26 22:44:27.000000,2024-09-26 22:36:43,1136.0,34.0,483.0,267.0,819.0,230.0,338.0,4859.0,Model interpretability and understanding for PyTorch.,119.0,33,True,2023-12-05 09:21:02.000,0.7.0,10.0,captum,conda-forge/captum,,['pytorch'],,258270.0,2551.0,2425.0,https://pypi.org/project/captum,2023-12-05 08:32:04.000,126.0,256129.0,https://anaconda.org/conda-forge/captum,2023-06-16 19:28:19.191,72794.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
197,geopy,geopy/geopy,geospatial-data,,https://github.com/geopy/geopy,https://github.com/geopy/geopy,MIT,2010-03-04 22:05:28.000,2024-08-14 15:31:25.000000,2023-11-23 21:41:49,1136.0,,644.0,89.0,271.0,41.0,253.0,4447.0,Geocoding library for Python.,133.0,33,True,2023-11-23 21:50:14.000,2.4.1,61.0,geopy,conda-forge/geopy,,,84.0,6294943.0,901.0,,https://pypi.org/project/geopy,2023-11-23 21:49:30.000,901.0,6266778.0,https://anaconda.org/conda-forge/geopy,2024-02-28 17:12:19.096,1464595.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
198,ftfy,rspeer/python-ftfy,nlp,,https://github.com/rspeer/python-ftfy,https://github.com/rspeer/python-ftfy,Apache-2.0,2012-08-24 16:14:59.000,2024-10-10 02:24:26.000000,2024-10-10 02:24:06,654.0,33.0,119.0,75.0,75.0,13.0,132.0,3788.0,"Fixes mojibake and other glitches in Unicode text, after the fact.",20.0,33,True,2024-08-06 01:36:27.000,6.2.3,53.0,ftfy,conda-forge/ftfy,,,15.0,5555463.0,23798.0,23235.0,https://pypi.org/project/ftfy,2024-08-06 01:30:44.000,563.0,5548754.0,https://anaconda.org/conda-forge/ftfy,2024-08-06 18:05:02.848,301907.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
199,STUMPY,TDAmeritrade/stumpy,time-series-data,,https://github.com/TDAmeritrade/stumpy,https://github.com/TDAmeritrade/stumpy,BSD-3-Clause,2019-05-03 19:23:44.000,2024-09-16 01:55:17.000000,2024-09-16 01:55:17,1355.0,14.0,316.0,59.0,244.0,66.0,446.0,3644.0,STUMPY is a powerful and scalable Python library for modern time series analysis.,41.0,33,True,2024-07-09 04:43:23.000,1.13.0,29.0,stumpy,conda-forge/stumpy,,,,290021.0,926.0,896.0,https://pypi.org/project/stumpy,2024-07-09 04:21:56.000,30.0,270281.0,https://anaconda.org/conda-forge/stumpy,2024-07-09 04:54:55.949,1026494.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
200,datashader,holoviz/datashader,data-viz,,https://github.com/holoviz/datashader,https://github.com/holoviz/datashader,BSD-3-Clause,2015-12-23 18:02:20.000,2024-10-10 06:47:05.000000,2024-10-10 06:47:04,1526.0,9.0,363.0,90.0,770.0,136.0,449.0,3307.0,Quickly and accurately render even the largest data.,56.0,33,True,2024-07-04 16:40:09.000,0.16.3,51.0,datashader,conda-forge/datashader,,,,168223.0,5052.0,4856.0,https://pypi.org/project/datashader,2024-07-04 12:26:22.000,196.0,146450.0,https://anaconda.org/conda-forge/datashader,2024-07-08 10:48:31.985,1154003.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
201,hdbscan,scikit-learn-contrib/hdbscan,others,,https://github.com/scikit-learn-contrib/hdbscan,https://github.com/scikit-learn-contrib/hdbscan,BSD-3-Clause,2015-04-22 13:32:37.000,2024-10-08 14:15:10.522000,2024-10-08 01:20:27,1031.0,16.0,497.0,56.0,145.0,360.0,171.0,2782.0,A high performance implementation of HDBSCAN clustering.,92.0,33,True,2024-10-08 01:50:20.000,release-0.8.38.post2,55.0,hdbscan,conda-forge/hdbscan,,['sklearn'],,665612.0,4437.0,4105.0,https://pypi.org/project/hdbscan,2024-10-08 01:35:17.000,332.0,620590.0,https://anaconda.org/conda-forge/hdbscan,2024-10-08 14:15:10.522,2161095.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
202,scikit-optimize,scikit-optimize/scikit-optimize,hyperopt,,https://github.com/scikit-optimize/scikit-optimize,https://github.com/scikit-optimize/scikit-optimize,BSD-3-Clause,2016-03-20 21:10:54.000,2024-06-05 12:17:25.116000,2021-10-12 13:32:38,1570.0,,545.0,63.0,546.0,322.0,393.0,2740.0,Sequential model-based optimization with a `scipy.optimize` interface.,76.0,33,False,2024-06-04 19:12:54.000,0.10.2,23.0,scikit-optimize,conda-forge/scikit-optimize,,,,1005789.0,7001.0,6633.0,https://pypi.org/project/scikit-optimize,2024-06-04 19:12:54.000,368.0,990876.0,https://anaconda.org/conda-forge/scikit-optimize,2024-06-05 12:17:25.116,745676.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
203,pgmpy,pgmpy/pgmpy,probabilistics,,https://github.com/pgmpy/pgmpy,https://github.com/pgmpy/pgmpy,MIT,2013-09-20 08:18:58.000,2024-10-02 07:53:20.000000,2024-10-02 07:53:08,3010.0,36.0,698.0,74.0,905.0,293.0,633.0,2710.0,"Python Library for learning (Structure and Parameter), inference (Probabilistic and Causal), and simulations in..",127.0,33,True,2024-08-09 17:03:45.000,0.1.26,26.0,pgmpy,,,,537.0,121101.0,1240.0,1187.0,https://pypi.org/project/pgmpy,2024-08-09 16:48:04.000,53.0,121091.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
204,Pythran,serge-sans-paille/pythran,others,,https://github.com/serge-sans-paille/pythran,https://github.com/serge-sans-paille/pythran,BSD-3-Clause,2012-05-29 08:02:14.000,2024-09-23 11:42:47.000000,2024-09-23 11:42:47,3754.0,36.0,192.0,49.0,1386.0,133.0,734.0,1996.0,Ahead of Time compiler for numeric kernels.,73.0,33,True,2024-05-28 05:22:14.000,0.16.1,61.0,pythran,conda-forge/pythran,,,,218156.0,2690.0,2671.0,https://pypi.org/project/pythran,2024-05-28 05:22:14.000,19.0,203409.0,https://anaconda.org/conda-forge/pythran,2024-09-03 03:38:51.615,722622.0,2.0,,,,,,,,,,,,,,,,,,,,,,pythran,python-pythran,
205,PyCUDA,inducer/pycuda,gpu-utilities,,https://github.com/inducer/pycuda,https://github.com/inducer/pycuda,MIT,2011-04-06 02:53:31.000,2024-08-17 22:59:08.823000,2024-07-30 13:52:24,1606.0,12.0,285.0,56.0,142.0,83.0,191.0,1833.0,"CUDA integration for Python, plus shiny features.",82.0,33,True,2024-07-30 16:38:24.000,2024.1.2,55.0,pycuda,conda-forge/pycuda,,,,109090.0,3302.0,3145.0,https://pypi.org/project/pycuda,2024-07-30 13:53:42.000,157.0,95463.0,https://anaconda.org/conda-forge/pycuda,2024-08-17 22:59:08.823,585990.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
206,ipyleaflet,jupyter-widgets/ipyleaflet,geospatial-data,,https://github.com/jupyter-widgets/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,MIT,2014-05-07 16:32:10.000,2024-08-21 06:38:39.000000,2024-07-22 07:57:37,1193.0,4.0,363.0,67.0,616.0,292.0,359.0,1486.0,A Jupyter - Leaflet.js bridge.,90.0,33,True,2024-07-22 08:02:59.000,0.19.2,84.0,ipyleaflet,conda-forge/ipyleaflet,,['jupyter'],,315077.0,11873.0,11589.0,https://pypi.org/project/ipyleaflet,2024-07-22 08:02:59.000,275.0,283706.0,https://anaconda.org/conda-forge/ipyleaflet,2024-07-22 12:26:50.743,1268226.0,2.0,,,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2024-07-22 08:02:28.803,9.0,7443.0,,,,,,,,,,,
207,agate,wireservice/agate,others,,https://github.com/wireservice/agate,https://github.com/wireservice/agate,MIT,2014-04-25 13:59:09.000,2024-07-30 07:34:33.171000,2024-07-30 00:56:56,1557.0,2.0,155.0,40.0,133.0,4.0,644.0,1172.0,A Python data analysis library that is optimized for humans instead of machines.,53.0,33,True,2024-07-30 00:58:25.000,1.12.0,37.0,agate,conda-forge/agate,,,,10664116.0,3896.0,3847.0,https://pypi.org/project/agate,2024-07-30 00:58:25.000,49.0,10658271.0,https://anaconda.org/conda-forge/agate,2024-07-30 07:34:33.171,239655.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
208,vit-pytorch,lucidrains/vit-pytorch,image,,https://github.com/lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,MIT,2020-10-03 22:47:24.000,2024-10-09 14:33:07.000000,2024-10-09 14:32:25,323.0,15.0,2998.0,152.0,54.0,134.0,141.0,19987.0,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single..",21.0,32,True,2024-10-09 14:33:07.000,1.8.1,204.0,vit-pytorch,,,['pytorch'],,21764.0,547.0,534.0,https://pypi.org/project/vit-pytorch,2024-10-09 14:33:07.000,13.0,21764.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
209,zipline,quantopian/zipline,financial-data,,https://github.com/quantopian/zipline,https://github.com/quantopian/zipline,Apache-2.0,2012-10-19 15:50:29.000,2024-02-13 08:02:51.000000,2020-10-14 16:36:49,6226.0,,4706.0,1011.0,1869.0,363.0,658.0,17587.0,"Zipline, a Pythonic Algorithmic Trading Library.",161.0,32,False,2020-10-05 15:46:20.429,1.4.1,30.0,zipline,conda-forge/zipline,,,,3802.0,1021.0,1011.0,https://pypi.org/project/zipline,2020-10-05 15:46:20.429,10.0,3623.0,https://anaconda.org/conda-forge/zipline,2023-06-16 19:21:35.991,8773.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
210,Lime,marcotcr/lime,interpretability,,https://github.com/marcotcr/lime,https://github.com/marcotcr/lime,BSD-2-Clause,2016-03-15 22:18:10.000,2024-07-25 20:32:21.000000,2021-07-29 23:17:25,531.0,,1795.0,261.0,117.0,120.0,535.0,11557.0,Lime: Explaining the predictions of any machine learning classifier.,62.0,32,False,2020-04-03 22:05:03.000,0.2.0.0,39.0,lime,conda-forge/lime,,,,369336.0,6644.0,6441.0,https://pypi.org/project/lime,2020-06-26 21:38:15.000,203.0,366881.0,https://anaconda.org/conda-forge/lime,2023-06-16 13:18:57.655,230804.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
211,Turi Create,apple/turicreate,ml-frameworks,,https://github.com/apple/turicreate,https://github.com/apple/turicreate,BSD-3-Clause,2017-12-01 00:42:04.000,2023-11-01 06:14:06.000000,2021-11-29 19:55:31,1571.0,,1135.0,339.0,1683.0,523.0,1294.0,11196.0,Turi Create simplifies the development of custom machine learning models.,87.0,32,False,2020-09-30 22:51:40.000,6.4.1,31.0,turicreate,,,,10739.0,17833.0,381.0,376.0,https://pypi.org/project/turicreate,2020-09-30 22:51:40.000,5.0,17703.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
212,ParlAI,facebookresearch/ParlAI,nlp,,https://github.com/facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,MIT,2017-04-24 17:10:44.000,2023-11-03 14:30:00.000000,2023-11-03 14:30:00,4358.0,,2091.0,283.0,3401.0,51.0,1494.0,10479.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,218.0,32,True,2023-06-06 20:46:16.091,1.7.2,25.0,parlai,,,['pytorch'],,3843.0,261.0,256.0,https://pypi.org/project/parlai,2022-09-20 02:56:01.305,5.0,3843.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
213,wordcloud,amueller/word_cloud,data-viz,,https://github.com/amueller/word_cloud,https://github.com/amueller/word_cloud,MIT,2012-11-04 22:57:59.000,2024-09-16 13:29:20.331000,2024-09-15 17:01:45,578.0,2.0,2312.0,217.0,251.0,129.0,417.0,10116.0,A little word cloud generator in Python.,72.0,32,True,2023-12-09 14:04:35.000,1.9.3,20.0,wordcloud,conda-forge/wordcloud,,,,1673298.0,552.0,21.0,https://pypi.org/project/wordcloud,2023-12-09 14:04:35.000,531.0,1662622.0,https://anaconda.org/conda-forge/wordcloud,2024-09-16 13:29:20.331,544508.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
214,Sonnet,deepmind/sonnet,ml-frameworks,,https://github.com/google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,Apache-2.0,2017-04-03 11:34:35.000,2024-10-01 18:34:33.000000,2024-04-08 20:21:10,864.0,,1289.0,422.0,89.0,32.0,161.0,9760.0,TensorFlow-based neural network library.,59.0,32,True,2024-01-02 11:15:06.000,2.0.2,29.0,dm-sonnet,conda-forge/sonnet,,['tensorflow'],,22338.0,1363.0,1344.0,https://pypi.org/project/dm-sonnet,2024-01-02 11:15:06.000,19.0,21757.0,https://anaconda.org/conda-forge/sonnet,2023-06-16 16:19:12.602,34284.0,3.0,,,,,,google-deepmind/sonnet,,,,,,,,,,,,,,,,,,
215,tsfresh,blue-yonder/tsfresh,time-series-data,,https://github.com/blue-yonder/tsfresh,https://github.com/blue-yonder/tsfresh,MIT,2016-10-26 11:29:17.000,2024-08-04 02:13:02.666000,2024-08-03 20:47:58,560.0,6.0,1206.0,170.0,436.0,68.0,474.0,8390.0,Automatic extraction of relevant features from time series:.,97.0,32,True,2024-08-03 20:51:43.000,0.20.3,32.0,tsfresh,conda-forge/tsfresh,,['sklearn'],,265533.0,114.0,21.0,https://pypi.org/project/tsfresh,2024-08-03 20:51:43.000,93.0,239257.0,https://anaconda.org/conda-forge/tsfresh,2024-08-04 02:13:02.666,1392650.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
216,OpenNMT,OpenNMT/OpenNMT-py,nlp,,https://github.com/OpenNMT/OpenNMT-py,https://github.com/OpenNMT/OpenNMT-py,MIT,2017-02-22 19:01:50.000,2024-06-27 17:56:28.000000,2024-06-27 17:56:21,2895.0,,2243.0,177.0,1152.0,27.0,1429.0,6738.0,Open Source Neural Machine Translation and (Large) Language Models in PyTorch.,191.0,32,True,2024-03-18 14:02:12.000,3.5.1,50.0,OpenNMT-py,,,['pytorch'],,9804.0,314.0,291.0,https://pypi.org/project/OpenNMT-py,2024-03-18 14:02:12.000,23.0,9804.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
217,tensorpack,tensorpack/tensorpack,ml-frameworks,,https://github.com/tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,Apache-2.0,2015-12-25 23:08:44.000,2023-08-06 00:30:36.000000,2023-08-06 00:30:36,2944.0,,1813.0,196.0,206.0,13.0,1343.0,6297.0,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibility.",58.0,32,False,2020-04-24 19:04:45.487,0.10.1,37.0,tensorpack,conda-forge/tensorpack,,['tensorflow'],184.0,14276.0,1624.0,1606.0,https://pypi.org/project/tensorpack,2021-01-22 19:59:12.425,18.0,13955.0,https://anaconda.org/conda-forge/tensorpack,2023-06-16 19:27:42.012,11497.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
218,kaggle,Kaggle/kaggle-api,ml-experiments,,https://github.com/Kaggle/kaggle-api,https://github.com/Kaggle/kaggle-api,Apache-2.0,2018-01-25 03:02:39.000,2024-10-07 16:58:48.000000,2024-10-07 16:58:46,205.0,21.0,1083.0,198.0,148.0,151.0,339.0,6176.0,Official Kaggle API.,47.0,32,True,2024-07-24 19:08:19.000,1.6.17,74.0,kaggle,conda-forge/kaggle,,,,224375.0,230.0,21.0,https://pypi.org/project/kaggle,2024-07-24 19:08:19.000,209.0,220630.0,https://anaconda.org/conda-forge/kaggle,2024-07-27 21:52:01.276,183514.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
219,aim,aimhubio/aim,ml-experiments,,https://github.com/aimhubio/aim,https://github.com/aimhubio/aim,Apache-2.0,2019-05-31 18:25:07.000,2024-10-09 20:10:42.000000,2024-10-02 16:35:21,2213.0,16.0,315.0,45.0,2189.0,375.0,664.0,5175.0,Aim An easy-to-use & supercharged open-source experiment tracker.,76.0,32,True,2024-10-02 17:28:03.000,3.25.0,1120.0,aim,conda-forge/aim,,,,350856.0,734.0,696.0,https://pypi.org/project/aim,2024-10-09 20:10:42.000,38.0,348813.0,https://anaconda.org/conda-forge/aim,2024-06-14 16:22:37.168,79679.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
